date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff
2023-09-26,6:40 PM.,CWS,AZ,away,Partly Cloudy.,69,570632,C,0,1,0,0,0,0,0,0,1,0,0,0.17,0.23,0.31,0.54,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,107.0,98.0,98.0,,,,,,,0.288,,,,-1.62,,,95.0,,,,,0.339,0.589,0.171,,,,61.0,98.0,82.0,,,,90.0,95.0,88.0,101.0,103.0,105.0,0.217,0.253,,0.243,-4.06,-0.94,,-0.46,95.4,87.4,86.2,,0.351,1.0,0.075,0.22,0.39,0.258,0.214,0.452,0.36,,,,,,,,,,,,,,,,,,
2023-09-14,4:11 PM.,NYM,AZ,away,Sunny.,78,673540,P,1,0,0,0,0,0,0,0,0,0,0,0.17,0.226,0.31,0.536,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,,,,93.0,95.0,93.0,,0.25,,2.52,,,90.8,,,0.125,0.5,0.444,,,,0.244,0.339,0.182,,,,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,0.37,0.116,0.027,,0.17,-0.96,-0.23,,95.7,,82.7,72.8,0.244,0.399,0.173,,,,0.333,0.952,0.245,,,,0.11,0.147,0.595,,,,,,,0.237,0.95,83.2,,,
2023-09-13,7:10 PM.,NYM,AZ,away,Partly Cloudy.,77,664192,C,3,1,0,0,0,0,0,0,1,0,2,0.171,0.227,0.312,0.539,664192,joeylucchesi,Lucchesi,Left,Joey Lucchesi,NYM,2.89,5.44,46.2,97.0,76.0,90.0,0.831,6.17,3.28,8.49,0.77,1.17,0.278,0.285,0.153,0.313,0.399,79.0,99.0,90.0,,,,74.0,97.0,88.0,0.517,0.228,,2.74,0.95,,90.4,90.0,,0.289,0.421,0.3,0.293,0.478,0.151,0.133,0.2,0.107,53.0,67.0,57.0,74.0,96.0,93.0,,,,,,,,,0.247,0.007,,,-2.14,0.25,,81.8,,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,7:11 PM.,NYM,AZ,away,Partly Cloudy.,78,676130,C,0,0,0,0,0,0,1,0,0,0,0,0.174,0.227,0.317,0.544,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,86.0,86.0,79.0,,,,,,,0.056,,,,4.53,,,92.9,,0.2,0.2,0.267,0.231,0.231,0.185,,,,83.0,96.0,92.0,76.0,88.0,94.0,101.0,96.0,94.0,109.0,104.0,106.0,0.509,0.151,0.055,0.229,1.65,1.11,1.56,-2.44,93.8,85.5,86.2,80.0,0.174,0.275,0.2269999999999999,0.316,0.395,0.373,0.154,0.308,0.389,,,,,,,,,,,,,,,,,,
2023-09-11,8:22 PM.,NYM,AZ,away,Partly Cloudy.,73,500779,C,3,0,2,0,0,0,0,0,0,1,0,0.174,0.222,0.317,0.539,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,78.0,99.0,91.0,,,,,,,0.323,,,,3.29,,,90.4,,0.214,0.268,0.2689999999999999,0.196,0.25,0.135,,,,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.181,-2.28,,1.45,-1.18,90.2,85.8,,77.2,0.391,0.594,0.217,0.276,0.379,0.296,,,,,,,,,,0.211,0.368,0.207,,,,,,,,,
2023-09-10,1:20 PM.,CHC,AZ,away,Sunny.,75,543294,C,3,0,2,0,0,0,1,0,0,0,0,0.165,0.215,0.311,0.526,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,72.0,110.0,99.0,,,,,,,0.349,,,,0.04,,,87.5,,0.25,0.25,0.4379999999999999,0.318,0.46,0.08,,,,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,,,,0.205,,0.035,0.411,-1.61,,0.0,1.43,87.8,80.7,,73.3,0.38,0.658,0.1119999999999999,0.18,0.279,0.324,,,,,,,,,,,,,,,,,,,,,
2023-08-02,7:07 PM.,TEX,CWS,away,Roof Closed.,74,641540,C,3,1,1,0,0,1,1,0,0,2,0,0.155,0.207,0.304,0.511,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,79.0,104.0,94.0,,,,90.0,100.0,95.0,0.331,0.2,0.032,0.82,1.37,-0.43,88.9,91.0,77.5,0.25,0.25,0.5,0.246,0.354,0.08,0.258,0.393,0.231,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,101.0,106.0,106.0,0.032,0.234,0.016,0.156,-3.75,0.14,-3.56,-0.87,90.5,85.7,82.1,78.1,0.294,0.765,0.235,0.301,0.478,0.258,0.212,0.364,0.345,,,,,,,,,,,,,,,,,,
2023-08-01,7:08 PM.,TEX,CWS,away,Roof Closed.,74,571760,C,2,0,0,0,0,0,0,0,0,2,0,0.152,0.205,0.285,0.49,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.169,0.1,-1.35,-3.87,-0.11,92.5,84.0,82.0,74.4,0.236,0.431,0.256,0.274,0.452,0.24,0.259,0.443,0.296,,,,,,,,,,,,,,,,,,
2023-07-30,1:10 PM.,CLE,CWS,home,Sunny.,79,650644,C,1,0,0,0,0,0,0,0,1,0,0,0.154,0.207,0.288,0.495,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,75.0,101.0,89.0,,,,96.0,104.0,103.0,0.185,0.372,,1.13,1.59,,87.7,92.4,,0.188,0.323,0.273,0.202,0.292,0.144,0.261,0.406,0.2339999999999999,,,,153.0,113.0,120.0,76.0,101.0,91.0,128.0,111.0,116.0,0.123,0.058,0.244,,-0.65,0.15,0.77,,91.8,,82.5,78.1,0.359,0.436,0.243,,,,0.172,0.345,0.2319999999999999,0.017,-6.33,85.2,0.5,0.625,0.182,,,,58.0,95.0,95.0,,,,,,
2023-07-28,6:10 PM.,CLE,CWS,home,Cloudy.,86,675540,C,3,0,0,0,0,0,0,0,1,0,2,0.155,0.204,0.29,0.494,675540,xzavioncurry,Curry,Right,Xzavion Curry,CLE,4.07,4.93,95.0,101.0,91.0,99.0,0.815,6.35,2.84,9.28,1.14,0.69,0.266,0.357,0.128,0.364,0.448,,,,,,,,,,,,,,,,,,,0.31,0.524,0.259,,,,,,,74.0,89.0,87.0,90.0,93.0,94.0,82.0,97.0,94.0,103.0,110.0,110.0,0.484,0.361,0.116,0.039,-0.14,0.89,-2.04,-1.29,92.5,87.7,85.1,75.1,0.283,0.478,0.191,0.278,0.5,0.0,0.238,0.361,0.2319999999999999,,,,,,,,,,,,,,,,,,
