date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-08-08,6:39 PM.,LAA,SF,away,Partly Cloudy.,77,608337,CF,0,0,0,0,0,0,0,0,0,0,0,0.165,0.215,0.308,0.523,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,,,,,,,,0.419,,,0.015,0.283,-0.85,,,,-3.72,-0.2,93.1,,,80.9,,77.9,,,,,,,,,,0.5,0.5,0.2,0.209,0.442,0.352,0.262,0.546,0.2,107.0,105.0,104.0,0.282,-0.25,84.0,0.236,0.438,0.345,,,,,,
2023-08-07,6:38 PM.,LAA,SF,away,Clear.,78,663776,RF,3,0,0,0,0,0,0,0,0,1,1,0.165,0.215,0.308,0.523,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,,,,,,,0.111,0.256,,,0.09,0.258,-1.22,,,0.36,0.27,0.3,93.0,,,83.0,93.2,76.5,0.269,0.327,0.129,,,,,,,0.286,0.286,0.237,0.184,0.33,0.432,0.336,0.507,0.156,123.0,100.0,107.0,0.285,0.02,86.5,0.2,0.5,0.306,,,,,,
2023-08-03,12:46 PM.,AZ,SF,home,Overcast.,62,694297,LF,0,0,0,0,0,0,0,0,0,0,0,0.169,0.22,0.315,0.535,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,,,,,,,0.099,0.454,,,0.055,0.122,-1.63,,,-0.03,-1.24,-3.66,93.6,,,86.7,93.1,78.8,0.313,0.563,0.188,,,,,,,0.294,0.529,0.294,0.4,0.711,0.33,0.327,0.654,0.176,119.0,106.0,117.0,0.27,1.21,83.8,0.18,0.323,0.337,,,,,,
2023-08-02,6:45 PM.,AZ,SF,home,Partly Cloudy.,61,677944,LF,0,0,0,0,0,0,0,0,0,0,0,0.169,0.22,0.315,0.535,677944,sladececconi,Cecconi,Right,Slade Cecconi,ARI,4.33,4.77,27.0,99.0,96.0,99.0,0.842,6.67,1.33,9.0,1.33,0.91,0.247,0.376,0.118,0.376,0.483,102.0,78.0,85.0,87.0,94.0,101.0,90.0,103.0,98.0,,,,,,,,,,,0.586,,0.031,0.098,0.014,0.54,,-12.1,,-1.57,-1.94,94.1,,80.8,81.7,,73.2,,,,,,,0.333,1.333,0.0,0.375,0.375,0.133,,,,0.265,0.5,0.13,111.0,98.0,103.0,0.27,0.2,83.0,0.2,0.32,0.36,,,,,,
2023-08-01,6:45 PM.,AZ,SF,home,Overcast.,60,668678,LF,3,0,0,0,0,0,0,0,0,1,0,0.169,0.22,0.315,0.535,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,,,,104.0,104.0,106.0,97.0,95.0,92.0,106.0,99.0,94.0,,,,0.007,0.491,0.092,,,0.139,1.59,-2.24,,-3.38,,1.05,93.6,90.2,,86.8,93.0,,0.286,0.714,0.125,0.352,0.648,0.205,,,,0.21,0.344,0.405,0.21,0.336,0.314,0.238,0.36,0.192,105.0,116.0,112.0,0.045,0.34,87.4,0.25,0.389,0.265,121.0,104.0,112.0,0.227,0.46,82.5
2023-07-21,7:10 PM.,TOR,SEA,home,Clear.,79,579328,LF,3,0,1,1,0,0,0,0,0,1,3,0.173,0.225,0.323,0.548,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,,,,,,,,0.451,,,0.193,0.097,0.05,,,,0.24,-1.83,95.1,,,88.7,,83.1,,,,,,,,,,0.284,0.463,0.307,0.254,0.508,0.193,0.27,0.412,0.268,101.0,105.0,108.0,0.259,1.11,88.7,0.225,0.396,0.302,,,,,,
2023-07-18,6:42 PM.,MIN,SEA,home,Clear.,77,641927,LF,4,0,1,0,0,0,0,0,0,1,1,0.169,0.222,0.315,0.537,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,100.0,108.0,106.0,73.0,107.0,99.0,,,,,,,,,,,0.457,,,0.067,0.28,0.75,,,,1.44,1.08,91.3,,,83.7,,77.5,,,,,,,,,,0.194,0.306,0.161,0.226,0.35,0.298,0.232,0.425,0.2769999999999999,83.0,99.0,96.0,0.196,-0.7,81.0,0.255,0.48,0.3289999999999999,,,,,,
2023-07-14,7:10 PM.,DET,SEA,home,Clear.,80,593958,DH,3,0,1,0,0,0,0,0,0,1,0,0.167,0.221,0.317,0.538,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,84.0,117.0,107.0,90.0,101.0,98.0,,,,0.093,0.454,0.192,,,0.189,0.65,0.51,,1.11,,0.71,92.2,88.8,,85.9,92.4,,0.165,0.228,0.135,0.2,0.471,0.1939999999999999,,,,,,,0.233,0.292,0.317,0.278,0.431,0.222,103.0,107.0,106.0,0.072,3.12,84.5,0.089,0.178,0.395,,,,,,
2023-07-08,6:17 PM.,HOU,SEA,away,Roof Closed.,73,664285,LF,3,0,0,0,0,0,0,0,0,1,4,0.162,0.219,0.316,0.535,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,99.0,99.0,95.0,,,,0.468,0.001,0.034,,0.253,0.157,-16.35,0.45,,0.93,1.07,0.73,95.7,89.1,,90.1,95.3,80.2,0.274,0.455,0.126,0.182,0.182,0.435,,,,0.158,0.211,0.402,0.231,0.342,0.311,,,,,,,0.087,-0.32,84.7,0.189,0.405,0.4379999999999999,,,,,,
2023-07-04,1:36 PM.,SF,SEA,away,Sunny.,69,676775,LF,4,2,2,0,0,1,2,0,0,0,2,0.167,0.224,0.325,0.549,676775,keatonwinn,Winn,Right,Keaton Winn,SFG,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.211,0.455,0.098,0.366,0.451,,,,,,,91.0,105.0,98.0,85.0,92.0,90.0,,,,143.0,99.0,110.0,0.153,0.258,,0.554,,,-1.55,,1.11,-0.06,,,95.9,,88.7,,95.5,,0.25,0.417,0.2,,,,0.221,0.347,0.344,,,,,,,0.24,0.68,0.299,119.0,107.0,104.0,0.035,2.19,85.9,,,,,,,,,
