date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023-04-04,1:11 PM.,AZ,SD,home,Sunny.,57,668678,RF,3,0,0,0,0,0,0,0,0,0,3,0.111,0.111,0.444,0.555,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,0.007,0.491,0.045,0.227,0.139,1.59,-3.38,0.34,0.46,1.05,93.6,86.8,93.0,87.4,82.5,0.238,0.36,0.192,0.25,0.389,0.265,0.21,0.344,0.405,0.286,0.714,0.125,0.21,0.336,0.314,,,,106.0,99.0,94.0,0.092,,-2.24,,90.2,,0.352,0.648,0.205,,,,,,,,,,,,,,,,,,,,,
2023-04-03,6:42 PM.,AZ,SD,home,Partly Cloudy.,56,669194,PH,1,1,1,0,0,1,1,0,0,0,0,0.167,0.167,0.667,0.834,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,102.0,104.0,103.0,,,,106.0,105.0,113.0,,,,,0.546,0.134,,0.133,-0.72,,0.52,,-0.16,94.4,83.3,,81.7,,0.308,0.553,0.1669999999999999,0.174,0.565,0.257,0.429,0.714,0.182,,,,0.203,0.407,0.312,99.0,94.0,98.0,101.0,111.0,105.0,0.135,0.052,-1.72,-2.44,85.6,76.4,0.326,0.539,0.218,,,,,,,,,,,,,,,,,,,,,
2023-04-01,5:40 PM.,COL,SD,home,Clear.,60,570632,RF,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,61.0,98.0,82.0,90.0,95.0,88.0,107.0,98.0,98.0,101.0,103.0,105.0,,,,0.288,0.217,0.253,,0.243,-4.06,-1.62,-0.94,,-0.46,95.4,87.4,95.0,86.2,,0.351,1.0,0.075,0.214,0.452,0.36,,,,0.339,0.589,0.171,0.22,0.39,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30,6:42 PM.,COL,SD,home,Partly Cloudy.,56,608566,RF,4,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,608566,germanmarquez,Márquez,Right,Germán Márquez,COL,4.95,4.83,20.0,101.0,95.0,100.0,0.777,7.65,1.35,8.55,1.8,1.56,0.276,0.466,0.052,0.414,0.45,97.0,88.0,103.0,79.0,106.0,97.0,72.0,103.0,99.0,106.0,91.0,97.0,139.0,104.0,110.0,0.219,0.342,0.249,0.176,0.013,-1.46,-1.84,2.84,-0.42,0.49,95.7,85.8,94.8,88.5,86.4,0.348,0.696,0.109,0.158,0.368,0.513,0.167,0.333,0.24,0.357,0.714,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-06,7:46 PM.,ATL,PHI,away,Cloudy.,75,680885,DH,2,0,0,0,0,0,0,0,0,2,1,0.207,0.242,0.397,0.639,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,,,,0.068,0.291,0.199,,,0.27,-0.12,0.61,,,96.1,,95.1,87.3,,0.24,0.448,0.205,0.225,0.333,0.279,0.236,0.436,0.409,0.231,0.385,0.078,,,,101.0,104.0,108.0,94.0,104.0,100.0,0.168,0.146,0.53,0.29,92.9,80.6,0.27,0.5,0.199,,,,84.0,107.0,109.0,0.128,1.96,84.5,,,,0.147,0.235,0.463,,,,,,
2024-07-04,1:20 PM.,CHC,PHI,away,Cloudy.,80,592791,RF,4,0,0,0,0,0,0,0,0,3,2,0.214,0.25,0.411,0.661,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,,,,0.109,0.296,0.155,,0.043,-0.27,1.47,0.65,,-2.45,92.3,86.0,92.5,80.4,,0.287,0.497,0.147,,,,0.232,0.424,0.23,0.219,0.297,0.085,0.273,0.576,0.148,104.0,111.0,113.0,92.0,103.0,98.0,0.251,0.147,2.12,-1.04,86.5,79.5,0.252,0.31,0.191,,,,,,,,,,0.183,0.296,0.317,,,,,,,,,
2024-07-02,7:08 PM.,CHC,PHI,away,Partly Cloudy.,83,669713,DH,4,0,0,0,0,0,0,0,0,4,3,0.231,0.268,0.442,0.71,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,92.0,102.0,104.0,51.0,101.0,86.0,91.0,100.0,96.0,134.0,101.0,112.0,,,,0.112,0.365,0.406,,0.03,-0.68,-0.56,0.59,,1.66,94.6,87.2,93.5,82.4,,0.254,0.465,0.143,,,,,,,0.273,0.545,0.121,0.125,0.125,0.25,,,,76.0,98.0,98.0,0.088,,3.38,,88.1,,0.167,0.167,0.213,,,,,,,,,,0.174,0.348,0.433,,,,,,,,,
2024-06-30,1:36 PM.,MIA,PHI,home,Cloudy.,81,630023,DH,4,1,1,0,0,0,0,0,1,2,6,0.25,0.288,0.479,0.767,630023,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,MIA,6.3,4.71,30.0,97.0,115.0,98.0,0.801,7.5,3.9,12.9,2.1,0.77,0.272,0.379,0.214,0.301,0.443,,,,69.0,97.0,84.0,100.0,97.0,97.0,154.0,97.0,106.0,,,,0.297,0.165,0.39,,,-6.18,-6.8,0.86,,,93.0,,92.7,85.2,,0.333,0.833,0.289,0.2,0.286,0.244,,,,0.522,0.826,0.127,,,,,,,,,,,,,,,,,,,,,,98.0,99.0,92.0,0.148,0.1,85.7,,,,0.182,0.318,0.205,,,,,,
2024-06-26,1:10 PM.,DET,PHI,away,Cloudy.,80,663947,LF,3,0,1,0,0,0,1,0,0,1,0,0.25,0.277,0.5,0.777,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,79.0,100.0,91.0,77.0,105.0,97.0,113.0,97.0,105.0,,,,0.216,0.152,0.155,,0.189,4.5,2.61,1.73,,0.4,92.1,83.6,91.5,80.6,,0.105,0.14,0.257,,,,,,,0.156,0.338,0.094,0.25,0.382,0.289,109.0,94.0,100.0,85.0,105.0,101.0,0.273,0.015,1.85,1.83,87.6,79.2,0.194,0.292,0.253,,,,,,,,,,0.13,0.174,0.379,,,,,,,,,
2024-06-24,6:40 PM.,DET,PHI,away,Partly Cloudy.,81,663554,LF,2,0,1,0,0,0,0,0,0,1,1,0.244,0.279,0.512,0.791,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,106.0,105.0,102.0,92.0,108.0,105.0,107.0,101.0,102.0,102.0,90.0,94.0,0.08,0.386,0.277,0.075,,-0.47,1.3,-0.46,-2.21,,95.5,,95.5,85.7,79.6,0.306,0.428,0.205,0.271,0.5,0.218,0.261,0.522,0.216,0.293,0.341,0.08,,,,,,,,,,,,,,,,,,,,,,112.0,99.0,102.0,0.181,-1.06,86.2,,,,0.286,0.405,0.322,,,,,,
