date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,SV_ba,SV_slg,SV_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff
2023-09-30,6:37 PM.,MIA,PIT,home,Cloudy.,75,608638,DH,4,0,1,0,0,0,0,0,0,2,3,0.216,0.303,0.356,0.659,608638,jtchargois,Chargois,Right,JT Chargois,MIA,3.61,3.63,42.1,99.0,108.0,102.0,0.803,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.277,0.413,104.0,98.0,96.0,,,,,,,0.506,,,,1.23,,,96.3,,,,,0.25,0.421,0.096,,,,,,,83.0,92.0,92.0,118.0,101.0,111.0,,,,0.078,,0.415,,0.34,,0.1,,95.8,,86.3,,,,,0.286,0.286,0.3,,,,0.206,0.338,0.302,,,,,,,,,,,,
2023-09-29,6:39 PM.,MIA,PIT,home,Partly Cloudy.,76,665795,DH,4,0,0,0,0,0,0,0,0,2,2,0.216,0.301,0.358,0.659,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.347,109.0,86.0,82.0,,,,,,,0.093,,,,-0.3,,,96.1,,0.24,0.38,0.38,0.28,0.44,0.233,,,,109.0,102.0,103.0,106.0,95.0,92.0,115.0,98.0,104.0,,,,0.279,,0.081,0.234,0.19,,-0.71,-0.37,96.2,,88.2,84.6,,,,0.211,0.366,0.191,,,,0.222,0.444,0.306,91.0,98.0,99.0,0.314,1.29,92.9,0.186,0.3,0.363,,,
2023-09-27,6:43 PM.,PHI,PIT,away,Partly Cloudy.,64,624133,DH,4,0,1,0,0,0,2,0,1,1,2,0.22,0.306,0.364,0.67,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,96.0,104.0,102.0,,,,97.0,97.0,94.0,0.28,0.126,,-1.27,0.52,,87.5,92.8,,0.143,0.226,0.377,0.289,0.409,0.1,0.34,0.585,0.179,95.0,104.0,102.0,69.0,98.0,88.0,91.0,113.0,108.0,,,,0.215,,0.005,0.19,-0.65,,4.65,1.95,93.4,,84.1,75.8,,,,0.304,0.478,0.2189999999999999,,,,0.2,0.2,0.0,70.0,98.0,99.0,0.184,-1.45,82.9,0.267,0.444,0.311,,,
2023-09-26,6:44 PM.,PHI,PIT,away,Cloudy.,59,605400,DH,4,1,2,0,0,1,1,0,0,1,2,0.219,0.304,0.367,0.671,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,100.0,107.0,101.0,118.0,105.0,113.0,111.0,110.0,105.0,0.188,0.075,0.316,0.4,0.46,0.47,86.3,91.8,79.4,0.221,0.398,0.3329999999999999,0.279,0.416,0.106,0.246,0.508,0.301,,,,95.0,107.0,103.0,,,,,,,0.295,,,,-0.03,,,,92.7,,,,,,,0.246,0.503,0.217,,,,,,,70.0,111.0,103.0,0.126,0.14,85.9,0.22,0.319,0.319,,,
2023-09-24,1:41 PM.,CIN,PIT,away,Sunny.,77,682227,DH,4,1,2,2,0,0,0,0,0,1,4,0.214,0.3,0.35,0.65,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,,,,,,,106.0,102.0,98.0,,0.298,,1.71,,,89.3,,,0.333,0.6,0.143,,,,0.252,0.433,0.185,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,,,,0.372,,0.102,0.064,-0.15,,-1.33,-1.75,92.8,,81.7,73.1,,,,0.269,0.433,0.171,,,,0.0,0.0,0.273,97.0,94.0,99.0,0.165,-0.51,84.0,0.183,0.39,0.3989999999999999,,,
2023-09-22,6:41 PM.,CIN,PIT,away,Partly Cloudy.,80,671096,RF,4,1,1,0,0,1,1,0,0,3,2,0.208,0.297,0.337,0.634,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,,,,,,,,,,,,,,,,,,,0.367,0.65,0.26,,,,,,,99.0,103.0,103.0,81.0,99.0,91.0,106.0,107.0,113.0,,,,0.501,,0.165,0.171,-0.02,,1.61,-2.27,92.7,,82.9,80.9,,,,0.249,0.459,0.198,,,,0.174,0.304,0.29,72.0,96.0,91.0,0.163,0.99,86.6,0.203,0.27,0.3939999999999999,,,
2023-09-20,6:40 PM.,CHC,PIT,away,Cloudy.,75,657006,DH,4,0,1,0,0,0,2,0,1,2,3,0.207,0.298,0.323,0.621,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,45.0,95.0,88.0,,,,,,,0.018,,,,0.89,,,92.2,,0.0,0.0,0.3329999999999999,0.25,0.333,0.1669999999999999,,,,87.0,98.0,109.0,88.0,102.0,98.0,123.0,104.0,111.0,,,,0.626,,0.339,0.006,0.67,,0.54,2.44,91.8,,83.3,80.7,,,,0.275,0.393,0.203,,,,0.217,0.346,0.311,69.0,85.0,78.0,0.01,-1.94,87.5,0.4,0.4,0.1,,,
2023-09-19,8:05 PM.,CHC,PIT,away,Overcast.,64,665871,RF,4,0,1,0,0,0,0,0,0,2,1,0.206,0.295,0.325,0.62,665871,javierassad,Assad,Right,Javier Assad,CHC,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.283,0.334,0.18,0.331,0.412,87.0,103.0,93.0,,,,103.0,99.0,95.0,0.306,0.274,,0.48,2.18,,89.1,92.7,,0.25,0.55,0.258,0.214,0.324,0.142,0.218,0.418,0.18,92.0,89.0,86.0,82.0,97.0,90.0,103.0,100.0,103.0,,,,0.194,,0.135,0.051,-0.9,,0.28,-3.14,93.1,,80.6,76.5,,,,0.313,0.484,0.193,,,,0.163,0.265,0.457,58.0,94.0,87.0,0.04,-3.27,85.0,0.357,0.571,0.292,,,
2023-09-17,1:51 PM.,NYY,PIT,home,Rain.,62,607074,DH,4,0,0,0,0,0,0,0,0,3,1,0.205,0.296,0.326,0.622,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,,,,,,,,,,,,,,,,,,,0.375,1.25,0.211,,,,,,,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,,,,0.603,,0.29,0.065,-1.05,,-0.06,-3.96,95.3,,85.4,79.7,,,,0.294,0.55,0.217,,,,0.2,0.347,0.372,84.0,67.0,81.0,0.043,0.96,85.5,0.0,0.0,0.421,,,
2023-09-16,6:36 PM.,NYY,PIT,home,Clear.,71,596133,DH,3,0,0,0,0,0,0,0,0,3,2,0.21,0.302,0.333,0.635,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,,,,,,,99.0,103.0,102.0,,0.11,0.118,0.87,,-1.56,90.3,,81.7,0.255,0.691,0.1669999999999999,,,,0.218,0.473,0.252,,,,88.0,102.0,96.0,112.0,101.0,104.0,,,,0.435,,0.137,,-1.47,,-2.22,,94.0,,85.8,,,,,0.311,0.543,0.175,,,,0.235,0.294,0.321,83.0,103.0,100.0,0.2,-2.01,86.1,0.316,0.547,0.3229999999999999,,,
