date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023-08-28,6:45 PM.,SF,CIN,away,Clear.,67,690986,DH,3,0,0,0,0,0,0,0,0,3,3,0.171,0.227,0.171,0.398,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.15,4.55,34.2,99.0,95.0,98.0,0.796,9.09,2.86,7.53,2.08,0.5,0.351,0.361,0.155,0.32,0.427,83.0,90.0,91.0,104.0,103.0,102.0,,,,86.0,99.0,105.0,,,,,,,,0.607,,,0.017,0.265,0.66,,,,-4.23,-2.28,93.6,,,,87.5,82.2,,,,,,,0.182,0.39,0.248,,,,,,,,,,78.0,100.0,93.0,0.111,-0.87,86.6,0.25,0.45,0.19,,,,0.273,0.606,0.242
2023-08-26,5:10 PM.,AZ,CIN,away,Roof Closed.,79,605200,DH,1,1,0,0,0,0,0,0,0,1,1,0.184,0.244,0.184,0.428,605200,zachdavies,Davies,Right,Zach Davies,ARI,7.0,5.48,82.1,100.0,75.0,92.0,0.799,7.87,4.26,10.71,1.09,1.3,0.239,0.398,0.14,0.371,0.36,89.0,99.0,100.0,72.0,100.0,91.0,71.0,97.0,88.0,113.0,105.0,101.0,73.0,93.0,88.0,,,,0.325,0.226,0.113,,0.027,0.061,-0.05,0.13,,-1.5,-1.83,-0.55,89.3,87.5,,89.6,80.8,77.0,0.381,0.552,0.096,0.3,0.3,0.145,0.21,0.355,0.181,0.25,0.5,0.1669999999999999,0.188,0.5,0.2,,,,78.0,106.0,100.0,0.248,-1.19,80.7,0.275,0.477,0.372,,,,,,
2023-08-23,1:09 PM.,LAA,CIN,away,Sunny.,85,660271,DH,3,0,0,0,0,0,0,0,0,1,2,0.147,0.194,0.147,0.341,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.356,0.036,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.273,0.409,0.225,0.31,0.606,0.228,0.164,0.236,0.27,0.146,0.339,0.365,0.111,0.167,0.417,0.179,0.205,0.411,,,,,,,,,,,,,,,
2023-08-23,6:39 PM.,LAA,CIN,away,Clear.,76,672282,LF,3,1,2,0,0,0,0,0,0,0,0,0.189,0.25,0.189,0.439,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,93.0,94.0,105.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,,,,,,,0.432,,,0.319,0.194,-0.38,,,,0.91,0.14,94.3,,,,88.7,74.7,,,,,,,0.291,0.505,0.212,0.0,0.0,0.267,0.191,0.326,0.286,,,,92.0,101.0,97.0,0.054,-2.03,84.8,0.242,0.424,0.246,,,,,,
2023-08-22,6:39 PM.,LAA,CIN,away,Clear.,81,608337,RF,1,0,0,0,0,0,0,0,0,1,0,0.161,0.212,0.161,0.373,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,,,,0.419,,,0.282,0.015,-0.85,,,,-0.25,-3.72,93.1,,,,84.0,77.9,,,,,,,0.262,0.546,0.2,0.236,0.438,0.345,0.5,0.5,0.2,,,,99.0,100.0,107.0,0.283,-0.2,80.9,0.209,0.442,0.352,,,,,,
2023-08-20,1:42 PM.,TOR,CIN,home,Sunny.,89,547943,RF,3,0,0,0,0,0,0,0,0,3,2,0.167,0.219,0.167,0.386,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,92.0,107.0,97.0,,,,0.095,0.317,0.189,,,0.171,-0.51,1.27,,3.34,,-1.45,88.6,85.1,,87.7,,68.9,0.133,0.133,0.091,0.238,0.357,0.207,0.265,0.633,0.119,,,,0.286,0.429,0.352,,,,74.0,104.0,95.0,0.228,-2.1,78.1,0.276,0.448,0.25,,,,,,
2023-08-15,6:42 PM.,CLE,CIN,home,Partly Cloudy.,72,671106,RF,1,0,0,0,0,0,0,0,1,1,1,0.185,0.241,0.185,0.426,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,110.0,97.0,98.0,,,,,0.451,0.089,,0.247,,-0.12,-2.1,,,-0.74,,91.4,86.3,,,79.3,,,,,0.462,0.692,0.17,0.257,0.482,0.177,0.3,0.3,0.368,,,,,,,60.0,104.0,105.0,0.213,1.49,82.7,0.191,0.223,0.33,,,,,,
2023-08-13,6:06 PM.,PIT,CIN,away,Partly Cloudy.,82,656578,RF,1,1,1,0,0,0,0,0,0,0,0,0.192,0.222,0.192,0.414,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,96.0,93.0,93.0,99.0,98.0,94.0,,,,90.0,101.0,103.0,,,,,,,,0.446,,,0.17,0.065,0.74,,,,1.4,1.88,94.9,,,,87.1,81.5,,,,,,,0.222,0.367,0.191,0.148,0.296,0.206,0.067,0.067,0.3229999999999999,,,,85.0,106.0,100.0,0.32,-1.7,86.9,0.273,0.566,0.297,,,,,,
2023-08-11,7:09 PM.,PIT,CIN,away,Cloudy.,83,670912,RF,1,0,0,0,0,0,0,0,0,0,0,0.16,0.192,0.16,0.352,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,,,,,,,0.05,0.392,,,0.367,0.149,-1.25,,,0.93,0.8,0.82,95.8,,,95.7,88.2,80.9,0.276,0.345,0.065,,,,0.277,0.477,0.183,0.21,0.349,0.326,0.193,0.352,0.308,,,,75.0,84.0,82.0,0.041,-0.07,88.1,0.25,0.3,0.357,,,,,,
2023-08-08,6:41 PM.,MIA,CIN,home,Clear.,81,666129,PR,0,0,0,0,0,0,0,0,0,0,0,0.167,0.2,0.167,0.367,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,80.0,97.0,95.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,,,,0.317,0.075,0.177,,0.258,0.084,-1.84,1.53,,1.06,0.45,-4.44,90.8,87.5,,90.5,82.8,77.7,0.256,0.377,0.107,0.243,0.477,0.247,0.325,0.575,0.159,0.169,0.302,0.408,0.5,1.059,0.2,,,,85.0,95.0,86.0,0.088,0.73,84.1,0.286,0.327,0.327,,,,,,
