date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wCU/C,vFA,vFC,vFS,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff
2024-09-29,2:10 PM.,BAL,MIN,home,Sunny.,79,544150,CF,2,1,1,0,0,1,1,0,0,0,0,0.154,0.214,0.385,0.599,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,94.0,99.0,98.0,90.0,101.0,96.0,74.0,99.0,92.0,,,,0.5,0.195,,0.132,-0.36,0.73,,0.41,94.8,86.3,,79.0,0.276,0.469,0.228,,,,0.24,0.365,0.308,0.174,0.348,0.252,99.0,100.0,106.0,,,,,,,,,0.172,,,-0.5,86.1,,,,,,,,,0.274,0.434,0.228,,,
2024-09-28,6:15 PM.,BAL,MIN,home,Clear.,84,621199,LF,1,0,0,0,0,0,0,0,0,0,0,0.091,0.167,0.091,0.258,621199,mattbowman,Bowman,Right,Matt Bowman,- - -,4.4,4.81,30.2,99.0,105.0,101.0,0.823,7.04,3.82,7.63,1.47,1.17,0.312,0.376,0.161,0.376,0.404,,,,66.0,120.0,96.0,100.0,91.0,89.0,83.0,97.0,104.0,0.006,0.197,0.151,,2.85,-1.38,-3.8,,92.4,90.5,84.3,,,,,0.3,0.5,0.242,0.35,0.35,0.2,,,,,,,95.0,105.0,99.0,138.0,98.0,112.0,0.388,0.258,,3.99,-3.05,,,92.2,82.7,0.13,0.241,0.135,,,,,,,0.273,0.818,0.228
2024-09-11,6:10 PM.,LAA,MIN,home,Clear.,85,686799,CF,3,0,0,0,0,0,0,0,0,0,1,0.1,0.182,0.1,0.282,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,111.0,95.0,106.0,87.0,95.0,90.0,,,,,,,0.062,,,0.184,-1.87,,,-1.06,96.3,,,85.0,0.167,0.5,0.364,,,,,,,0.235,0.412,0.25,74.0,103.0,98.0,99.0,103.0,102.0,,,,0.724,,0.03,0.89,,-3.35,88.3,95.8,,0.286,0.411,0.121,,,,0.333,0.444,0.067,,,
2024-09-10,6:41 PM.,LAA,MIN,home,Partly Cloudy.,78,656288,CF,4,0,1,0,0,0,0,0,0,1,2,0.143,0.143,0.143,0.286,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,75.0,96.0,96.0,73.0,94.0,86.0,,,,,,,0.376,,,0.107,-0.85,,,-0.86,93.4,,,80.6,0.251,0.529,0.147,,,,,,,0.271,0.438,0.241,96.0,102.0,102.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.24,0.267,-6.83,-0.91,0.48,88.6,93.0,87.7,0.429,0.857,0.0,0.284,0.444,0.331,0.259,0.387,0.288,,,
2024-09-07,6:15 PM.,KC,MIN,away,Clear.,75,679525,CF,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,103.0,105.0,103.0,93.0,98.0,95.0,,,,,,,0.37,,,0.164,0.34,,,-1.2,94.2,,,82.8,0.208,0.383,0.223,,,,,,,0.263,0.5,0.274,88.0,95.0,94.0,98.0,99.0,97.0,117.0,99.0,107.0,0.138,0.228,0.1,-1.16,-0.57,0.84,86.3,93.6,86.5,0.317,0.524,0.099,0.29,0.462,0.294,0.204,0.296,0.177,0.2,0.433,0.464
2024-09-05,1:10 PM.,TB,MIN,away,Dome.,72,671737,CF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,100.0,91.0,93.0,129.0,97.0,102.0,91.0,100.0,98.0,123.0,102.0,114.0,0.417,0.225,0.269,0.089,-0.04,1.02,0.47,-1.5,96.4,90.9,90.9,79.1,0.269,0.5,0.21,0.213,0.32,0.33,0.205,0.357,0.324,0.241,0.483,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
