date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,vKN (sc),KN%,wKN/C
2023-07-02,12:06 PM.,MIN,BAL,home,Cloudy.,84,543243,C,3,0,1,0,0,0,0,0,0,1,2,0.182,0.308,0.182,0.49,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,122.0,108.0,121.0,0.271,0.205,0.168,0.067,0.61,3.25,0.87,-0.63,92.9,87.9,84.3,79.6,0.301,0.422,0.1639999999999999,0.096,0.117,0.413,0.27,0.405,0.174,0.257,0.371,0.282,82.0,99.0,94.0,118.0,102.0,102.0,0.157,0.131,1.3,-0.46,87.6,92.8,0.265,0.368,0.278,,,,,,,,0.001,,-0.41,,72.9,,,,0.275,0.413,0.177,,,
2023-06-30,8:31 PM.,MIN,BAL,home,Cloudy.,73,641154,C,2,0,0,0,0,0,0,0,1,0,0,0.125,0.3,0.125,0.425,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,111.0,106.0,114.0,0.345,0.214,0.125,0.211,0.1,1.34,0.25,-0.17,94.9,88.4,84.4,82.5,0.268,0.468,0.315,0.173,0.287,0.366,0.257,0.41,0.284,0.202,0.33,0.364,98.0,105.0,104.0,,,,0.106,,,2.08,,94.5,,,,,,,,,,,,,,,,,,,0.278,0.342,0.126,,,
2023-06-25,1:36 PM.,SEA,BAL,home,Sunny.,85,669923,C,3,0,1,0,0,0,0,0,0,0,2,0.167,0.286,0.167,0.453,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,126.0,106.0,112.0,0.394,0.197,,0.018,1.34,1.03,,-5.31,96.1,86.6,86.3,,0.234,0.392,0.28,0.264,0.377,0.22,0.5,0.9,0.125,0.265,0.458,0.159,106.0,110.0,109.0,,,,0.216,,,0.43,,95.8,,,,,,,95.0,103.0,110.0,0.061,0.115,1.07,0.35,84.9,81.8,0.143,0.286,0.357,0.261,0.383,0.131,75.1,0.001,0.26
2023-06-23,8:45 PM.,SEA,BAL,home,Overcast.,73,669302,C,1,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,133.0,101.0,99.0,0.419,0.297,,,0.01,1.84,,,95.7,,88.7,,0.28,0.491,0.177,0.211,0.349,0.322,,,,0.214,0.371,0.306,55.0,90.0,81.0,,,,0.003,,,-11.33,,93.7,,,,110.0,95.0,103.0,98.0,103.0,117.0,0.148,0.134,0.25,0.39,85.6,80.3,0.174,0.34,0.35,0.667,1.0,0.25,,,
2023-04-09,1:37 PM.,NYY,BAL,home,Partly Cloudy.,55,641482,C,0,0,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.432,0.176,0.29,0.441,92.0,111.0,110.0,,,,102.0,106.0,106.0,92.0,103.0,103.0,0.521,0.158,,0.028,0.68,-1.47,,-6.99,91.6,83.4,76.9,,0.213,0.352,0.249,0.2,0.2,0.429,0.5,0.6,0.294,,,,138.0,99.0,111.0,110.0,102.0,102.0,0.005,0.288,0.39,4.05,86.6,89.3,0.26,0.545,0.206,,,,,,,,,,,,,,,,,,,,,
2023-04-03,7:08 PM.,TEX,BAL,away,Roof Closed.,74,592351,C,2,0,0,0,0,0,0,0,1,0,0,0.0,0.333,0.0,0.333,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,116.0,103.0,109.0,0.424,0.398,0.062,0.116,-1.83,2.33,-1.69,1.71,95.7,88.8,87.2,78.2,0.346,0.551,0.179,0.105,0.211,0.324,0.211,0.268,0.213,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
