date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023-05-16,7:11 PM.,HOU,CHC,away,Roof Closed.,73,664299,DH,2,0,0,0,0,0,0,0,0,0,1,0.234,0.28,0.33,0.61,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,,,,108.0,95.0,102.0,,,,,,0.3,,0.041,,,-0.09,,-1.29,,83.7,,79.5,,,,,0.28,0.36,0.392,0.268,0.366,0.195,0.211,0.367,0.287,,,,101.0,98.0,98.0,0.584,0.44,92.7,0.236,0.455,0.265,,,,,,,,,,91.0,99.0,102.0,0.075,-1.17,76.6,,,
2023-05-13,2:31 PM.,MIN,CHC,away,Overcast.,63,657746,DH,3,0,0,0,0,0,0,0,1,1,5,0.239,0.286,0.337,0.623,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,,,,102.0,88.0,94.0,,,,,,0.159,,,,,-2.12,,,,,,80.3,,,,,,,,,,,0.32,0.56,0.241,,,,102.0,112.0,108.0,0.569,0.89,92.3,0.24,0.457,0.287,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213,,,,,,,,,
2023-05-09,6:39 PM.,STL,CHC,home,Partly Cloudy.,59,656427,DH,4,0,1,0,0,0,0,0,0,2,6,0.247,0.287,0.348,0.635,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.246,0.459,0.132,0.307,0.398,68.0,89.0,84.0,,,,75.0,82.0,71.0,98.0,101.0,102.0,92.0,98.0,101.0,0.02,0.091,0.246,,0.033,-1.05,-2.28,-1.15,,0.86,88.7,85.3,90.1,84.2,,0.318,0.545,0.264,0.154,0.154,0.083,0.204,0.372,0.402,0.339,0.558,0.265,0.333,0.333,0.1,98.0,99.0,98.0,0.417,-0.44,93.1,0.29,0.411,0.208,,,,,,,,,,93.0,102.0,108.0,0.194,0.23,76.2,,,
2023-05-08,6:39 PM.,STL,CHC,home,Cloudy.,48,571945,PH,1,0,0,0,0,0,0,0,0,0,0,0.247,0.289,0.353,0.642,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,58.0,96.0,93.0,95.0,105.0,102.0,86.0,108.0,99.0,108.0,107.0,108.0,,,,0.243,,0.243,0.198,0.054,,-1.61,0.62,-0.92,2.68,,84.4,92.7,86.4,75.9,,,,0.182,0.382,0.085,0.261,0.387,0.198,0.245,0.375,0.2239999999999999,0.34,0.54,0.085,74.0,112.0,99.0,0.26,-0.19,93.3,0.29,0.495,0.1889999999999999,,,,,,,,,,,,,0.002,-0.89,68.1,,,
2023-05-07,1:20 PM.,MIA,CHC,home,Sunny.,77,645261,DH,4,0,1,0,0,0,1,0,0,1,1,0.25,0.292,0.357,0.649,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,,0.201,0.022,0.273,,1.72,0.72,-0.52,-0.43,,91.1,97.6,89.9,86.1,,,,0.282,0.401,0.299,0.308,0.308,0.182,0.227,0.364,0.352,0.237,0.366,0.124,111.0,111.0,107.0,0.213,-0.27,98.0,0.253,0.448,0.267,,,,,,,,,,,,,,,,,,
2023-05-03,7:05 PM.,WSH,CHC,away,Cloudy.,54,663623,DH,4,0,0,0,0,0,0,0,0,2,3,0.25,0.294,0.363,0.657,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,110.0,100.0,103.0,101.0,101.0,98.0,,,,,,,0.287,,,0.306,0.051,,-0.75,,0.08,1.21,,87.8,93.9,,80.9,,,,0.25,0.5,0.156,0.197,0.362,0.257,,,,0.348,0.525,0.093,92.0,100.0,94.0,0.356,-0.01,94.5,0.208,0.376,0.192,,,,,,,,,,,,,,,,,,
2023-05-02,7:05 PM.,WSH,CHC,away,Overcast.,53,592866,1B,4,0,2,0,0,0,0,0,0,0,5,0.263,0.309,0.382,0.691,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,91.0,100.0,95.0,94.0,114.0,103.0,,,,0.146,,0.182,0.069,0.171,,-0.45,-1.7,-1.93,-2.25,,83.3,88.2,80.9,76.7,,,,0.315,0.483,0.1989999999999999,0.314,0.629,0.2,0.313,0.5,0.281,0.325,0.458,0.188,80.0,107.0,96.0,0.433,-0.77,89.7,0.283,0.563,0.1669999999999999,,,,,,,,,,,,,,,,,,
2023-04-30,12:05 PM.,MIA,CHC,away,Roof Closed.,72,663773,1B,3,0,1,0,0,0,0,0,0,1,0,0.25,0.299,0.375,0.674,663773,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.357,0.121,0.335,0.395,41.0,99.0,76.0,,,,106.0,100.0,99.0,97.0,104.0,108.0,,,,0.526,,0.318,,0.026,,-0.76,0.98,,-5.28,,87.2,94.1,83.2,,,,,0.6,0.8,0.231,,,,0.179,0.333,0.3289999999999999,0.275,0.55,0.1639999999999999,80.0,97.0,87.0,0.089,-2.17,93.9,0.333,0.619,0.095,,,,0.042,-5.4,84.9,0.333,0.733,0.25,,,,,,,,,
2023-04-29,4:07 PM.,MIA,CHC,away,Roof Closed.,72,665795,DH,3,0,1,0,0,0,0,0,0,2,1,0.246,0.297,0.377,0.674,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.347,91.0,98.0,99.0,109.0,102.0,103.0,109.0,86.0,82.0,115.0,98.0,104.0,,,,0.093,,0.081,0.234,0.314,,-0.3,-0.71,-0.37,1.29,,92.9,96.1,88.2,84.6,,,,0.186,0.3,0.363,0.24,0.38,0.38,0.222,0.444,0.306,0.28,0.44,0.233,106.0,95.0,92.0,0.279,0.19,96.2,0.211,0.366,0.191,,,,,,,,,,,,,,,,,,
2023-04-28,6:41 PM.,MIA,CHC,away,Roof Closed.,72,666200,PH,1,0,1,0,0,0,1,0,0,0,0,0.242,0.296,0.379,0.675,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,,,,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.004,0.289,,0.21,0.74,-0.81,-0.26,,-0.09,91.4,88.3,96.5,85.1,,,,,0.248,0.429,0.361,,,,0.233,0.389,0.518,0.314,0.686,0.102,106.0,103.0,100.0,0.457,0.93,96.7,0.232,0.384,0.1939999999999999,,,,,,,,,,,,,,,,,,
