date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CH%,wFA/C,wFC/C,wSI/C,wCH/C,vFA,vFC,vCH,vSI,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-09-29,1:11 PM.,LAD,COL,home,Partly Cloudy.,85,607455,LF,2,0,0,0,0,0,0,0,0,2,2,0.188,0.245,0.276,0.521,607455,anthonybanda,Banda,Left,Anthony Banda,LAD,3.08,3.26,49.2,101.0,94.0,100.0,0.716,9.06,3.26,7.97,0.91,1.2,0.281,0.367,0.187,0.331,0.435,71.0,104.0,102.0,91.0,101.0,97.0,89.0,102.0,100.0,57.0,104.0,92.0,0.24,0.349,0.001,0.123,0.24,-2.1,1.52,-1.58,96.1,83.2,90.0,96.0,,,,0.364,0.5,0.392,0.231,0.415,0.212,0.283,0.304,0.124,109.0,98.0,102.0,0.281,1.51,85.7,0.154,0.25,0.513,,,,0.006,1.46,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,6:12 PM.,LAD,COL,home,Clear.,86,808967,PH,1,0,0,0,0,0,0,0,0,0,1,0.19,0.247,0.28,0.527,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,84.0,103.0,96.0,101.0,110.0,103.0,91.0,97.0,91.0,0.029,0.404,0.061,,0.77,0.28,-1.65,,95.5,91.5,,94.9,0.35,0.55,0.2,,,,0.262,0.413,0.176,0.364,0.545,0.13,116.0,110.0,120.0,0.033,0.53,86.3,0.158,0.211,0.357,109.0,103.0,112.0,0.231,1.14,78.0,0.214,0.371,0.333,121.0,112.0,119.0,0.242,0.25,90.2,0.17,0.266,0.386,,,,,,,,,,,,,,,,,,
2024-09-27,6:11 PM.,LAD,COL,home,Clear.,83,518489,CF,2,0,0,0,0,0,0,0,0,1,1,0.192,0.249,0.281,0.53,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,93.0,111.0,107.0,96.0,95.0,90.0,78.0,103.0,104.0,0.163,0.294,0.12,,4.25,4.05,1.24,,94.5,90.4,,94.5,0.182,0.273,0.037,,,,0.115,0.115,0.265,0.214,0.214,0.2,102.0,110.0,111.0,0.422,-2.39,85.3,0.28,0.58,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,6:41 PM.,STL,COL,home,Clear.,74,700241,RF,2,0,0,0,0,0,0,0,0,0,2,0.194,0.251,0.285,0.536,700241,michaelmcgreevy,McGreevy,Right,Michael McGreevy,STL,1.96,3.59,23.0,107.0,82.0,101.0,0.783,7.04,0.78,6.26,0.39,3.64,0.138,0.523,0.2,0.262,0.447,46.0,110.0,100.0,67.0,117.0,105.0,87.0,105.0,99.0,63.0,97.0,84.0,0.35,0.196,0.109,0.093,2.76,2.29,3.74,-0.49,93.0,88.9,87.3,91.9,0.2,0.4,0.294,0.333,0.333,0.182,0.083,0.25,0.31,0.184,0.211,0.06,117.0,107.0,113.0,0.19,0.41,84.3,0.222,0.444,0.345,88.0,96.0,98.0,0.061,-0.51,79.8,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,7:10 PM.,LAD,COL,away,Clear.,68,518489,LF,2,0,0,0,0,0,0,0,0,2,0,0.196,0.254,0.288,0.542,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,93.0,111.0,107.0,96.0,95.0,90.0,78.0,103.0,104.0,0.163,0.294,0.12,,4.25,4.05,1.24,,94.5,90.4,,94.5,0.182,0.273,0.037,,,,0.115,0.115,0.265,0.214,0.214,0.2,102.0,110.0,111.0,0.422,-2.39,85.3,0.28,0.58,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,1:10 PM.,AZ,COL,home,Sunny.,82,593958,RF,4,0,0,0,0,0,0,0,0,2,2,0.199,0.253,0.292,0.545,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.53,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,97.0,103.0,101.0,60.0,101.0,90.0,84.0,111.0,99.0,77.0,105.0,97.0,0.076,0.44,0.193,0.225,-0.04,-1.76,-3.84,-0.27,92.0,88.8,86.7,91.6,0.333,0.595,0.133,0.269,0.385,0.256,0.257,0.486,0.268,0.318,0.455,0.182,105.0,109.0,105.0,0.066,-0.19,83.9,0.167,0.417,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,6:40 PM.,AZ,COL,home,Clear.,74,656756,RF,4,1,2,1,0,0,1,1,0,2,0,0.204,0.259,0.299,0.558,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,97.0,100.0,92.0,66.0,98.0,89.0,89.0,95.0,93.0,,,,0.308,0.173,,0.193,-0.02,,-2.11,-1.92,92.1,,83.1,91.8,,,,0.321,0.593,0.386,0.284,0.375,0.184,0.374,0.577,0.159,104.0,95.0,90.0,0.018,3.84,84.2,0.0,0.0,0.5,106.0,102.0,107.0,0.307,-0.83,79.2,0.27,0.453,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,6:41 PM.,AZ,COL,home,Partly Cloudy.,80,518876,RF,3,0,0,0,0,0,0,0,0,0,2,0.196,0.253,0.288,0.541,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,73.0,106.0,97.0,84.0,98.0,90.0,95.0,103.0,98.0,0.147,0.197,0.252,0.21,-0.76,0.01,-3.28,4.47,91.9,90.3,88.4,92.3,0.276,0.5,0.109,0.099,0.099,0.315,0.26,0.54,0.204,0.378,0.644,0.086,114.0,111.0,111.0,0.118,-0.18,85.6,0.273,0.455,0.394,116.0,108.0,107.0,0.077,-1.78,82.2,0.25,0.55,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,6:09 PM.,CHC,COL,home,Clear.,87,592791,LF,2,0,0,0,0,0,0,0,1,0,1,0.2,0.258,0.293,0.551,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,74.0,104.0,92.0,92.0,103.0,98.0,0.109,0.296,0.251,0.043,-0.27,2.12,1.47,-2.45,92.3,86.5,86.0,92.5,0.252,0.31,0.191,0.273,0.576,0.148,0.287,0.497,0.147,0.219,0.297,0.085,104.0,116.0,120.0,0.155,0.65,80.4,,,,104.0,111.0,113.0,0.147,-1.04,79.5,0.232,0.424,0.23,,,,,,,,,,,,,0.183,0.296,0.317,,,,,,,,,,,,
2024-09-13,6:39 PM.,CHC,COL,home,Cloudy.,80,665871,RF,4,0,1,0,0,0,0,0,0,1,1,0.203,0.256,0.297,0.553,665871,javierassad,Assad,Right,Javier Assad,CHC,3.73,4.97,147.0,99.0,85.0,94.0,0.843,7.59,3.86,8.76,1.22,1.13,0.263,0.373,0.146,0.301,0.422,69.0,91.0,88.0,68.0,102.0,92.0,75.0,101.0,92.0,96.0,97.0,92.0,0.357,0.158,0.216,0.046,-0.91,-0.73,0.51,-1.65,91.5,87.9,83.7,91.4,0.315,0.583,0.142,0.296,0.296,0.125,0.319,0.472,0.201,0.236,0.373,0.111,114.0,94.0,100.0,0.107,-1.54,80.1,0.364,0.636,0.368,98.0,101.0,97.0,0.116,-0.4,76.8,0.178,0.329,0.3,,,,,,,,,,,,,0.174,0.37,0.341,,,,,,,,,,,,
