date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2023-08-22,6:40 PM.,SD,MIA,away,Clear.,73,605483,LF,2,0,0,0,0,0,1,0,0,0,1,0.185,0.241,0.315,0.556,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,,,,0.486,,0.131,0.198,0.184,0.07,,0.68,2.55,2.65,95.5,,86.7,88.4,81.0,0.255,0.389,0.195,0.123,0.26,0.536,0.185,0.266,0.4679999999999999,0.079,0.14,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-21,6:42 PM.,SD,MIA,away,Overcast.,72,608379,PH,1,0,0,0,0,0,0,0,0,1,0,0.189,0.246,0.321,0.567,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,,,,96.0,100.0,96.0,0.288,0.124,,0.11,0.345,1.23,-2.13,,1.04,1.06,92.0,86.9,81.6,,74.0,0.188,0.323,0.1669999999999999,,,,0.207,0.346,0.359,0.172,0.31,0.27,0.364,0.582,0.165,84.0,103.0,103.0,0.133,-0.36,91.9,0.25,0.45,0.111,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-19,6:10 PM.,LAD,MIA,away,Cloudy.,77,628711,LF,4,0,2,1,0,0,0,1,0,1,0,0.19,0.248,0.324,0.572,628711,juliourias,"Urías, J",Left,Julio Urías,LAD,4.6,4.16,117.1,105.0,105.0,107.0,0.788,8.97,1.84,8.59,1.84,0.82,0.234,0.471,0.192,0.312,0.453,91.0,109.0,108.0,132.0,103.0,112.0,90.0,101.0,98.0,,,,109.0,124.0,127.0,0.451,0.092,,0.3,0.157,0.02,-0.42,,0.84,-3.03,92.7,87.1,86.1,,79.2,0.267,0.503,0.218,,,,0.296,0.593,0.299,,,,0.186,0.322,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,0.457,0.2289999999999999,,,
2023-08-18,7:10 PM.,LAD,MIA,away,Clear.,76,664062,RF,1,0,0,0,0,0,0,0,0,1,0,0.178,0.239,0.307,0.546,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,,,,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,,,,0.395,,0.183,0.151,,1.42,,-0.82,-2.12,,92.4,,,86.8,80.9,0.221,0.436,0.157,0.268,0.439,0.253,,,,0.313,0.656,0.209,,,,,,,,,,,,,,,,0.181,0.315,0.27,120.0,98.0,106.0,0.272,0.21,83.0,,,,,,,,,,,,
2023-08-15,6:41 PM.,HOU,MIA,home,Roof Closed.,72,664299,PH,1,0,0,0,0,0,0,0,0,1,1,0.18,0.241,0.31,0.551,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,101.0,98.0,98.0,108.0,95.0,102.0,,,,0.584,,0.3,,0.041,0.44,,-0.09,,-1.29,92.7,,83.7,79.5,,0.236,0.455,0.265,0.211,0.367,0.287,0.28,0.36,0.392,0.268,0.366,0.195,,,,,,,,,,,,,,,,,,,,,,,,,91.0,99.0,102.0,0.075,-1.17,76.6,,,,,,
2023-08-14,6:40 PM.,HOU,MIA,home,Roof Closed.,72,664285,LF,2,0,0,0,0,0,0,0,1,0,0,0.182,0.243,0.313,0.556,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,,,,99.0,99.0,95.0,0.001,0.034,0.087,0.253,0.157,-16.35,0.45,-0.32,1.07,0.73,95.7,89.1,90.1,84.7,80.2,,,,0.189,0.405,0.4379999999999999,0.231,0.342,0.311,0.158,0.211,0.402,0.182,0.182,0.435,97.0,98.0,96.0,0.468,0.93,95.3,0.274,0.455,0.126,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-13,1:41 PM.,NYY,MIA,home,Roof Closed.,72,543037,PH,1,0,0,0,0,0,0,0,0,1,0,0.186,0.24,0.32,0.56,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,,,,125.0,104.0,108.0,136.0,105.0,114.0,107.0,103.0,102.0,0.53,0.07,0.208,,0.071,1.66,0.61,1.69,,-0.54,96.7,92.7,89.1,89.1,,0.201,0.332,0.228,0.186,0.251,0.327,0.235,0.51,0.286,0.215,0.269,0.244,0.262,0.377,0.311,,,,,,,,,,,,,,,,,,,,,,114.0,103.0,113.0,0.121,0.94,82.9,,,,,,
2023-08-09,1:11 PM.,CIN,MIA,away,Partly Cloudy.,81,668933,RF,4,0,0,0,0,0,0,0,0,1,0,0.188,0.243,0.323,0.566,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,,,,166.0,102.0,114.0,116.0,98.0,100.0,,0.529,0.373,,0.0,,0.15,-0.37,,-25.75,,95.8,90.4,88.3,,,,,0.221,0.461,0.3289999999999999,,,,,,,0.292,0.436,0.171,57.0,90.0,82.0,0.097,-1.17,96.5,0.286,0.429,0.1,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-07,6:41 PM.,CIN,MIA,away,Cloudy.,75,682227,LF,2,0,0,0,0,0,0,0,0,1,0,0.196,0.253,0.337,0.59,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,106.0,102.0,98.0,0.372,0.298,0.102,0.064,0.165,-0.15,1.71,-1.33,-1.75,-0.51,92.8,89.3,84.0,81.7,73.1,0.269,0.433,0.171,0.0,0.0,0.273,0.183,0.39,0.3989999999999999,0.333,0.6,0.143,0.252,0.433,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-06,1:37 PM.,TEX,MIA,away,Roof Closed.,74,571760,LF,4,0,0,0,0,0,0,0,0,2,2,0.2,0.258,0.344,0.602,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,,,,0.579,,0.252,0.0,0.169,0.1,,-1.35,-3.87,-0.11,92.5,,84.0,82.0,74.4,0.236,0.431,0.256,0.259,0.443,0.296,0.274,0.452,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-05,3:09 PM.,TEX,MIA,away,Roof Closed.,74,592351,RF,1,0,0,0,0,0,0,0,0,1,2,0.209,0.269,0.36,0.629,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,116.0,103.0,109.0,,,,0.424,,0.398,0.062,0.116,-1.83,,2.33,-1.69,1.71,95.7,,88.8,87.2,78.2,0.346,0.551,0.179,0.105,0.211,0.324,0.211,0.268,0.213,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04,7:08 PM.,TEX,MIA,away,Roof Closed.,74,656756,CF,4,0,1,0,0,0,0,0,0,3,2,0.212,0.272,0.365,0.637,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.229,-0.68,-4.4,,0.84,0.2,93.4,88.2,83.5,,80.5,0.333,0.5,0.195,,,,0.239,0.405,0.392,0.191,0.357,0.371,0.417,0.667,0.31,91.0,99.0,91.0,0.426,1.22,93.3,0.255,0.374,0.141,,,,,,,,,,,,,,,,,,,,,,,,
