date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-09-30,6:11 PM.,NYY,KC,home,Clear.,88,657376,C,4,0,1,0,0,0,0,0,0,2,5,0.194,0.324,0.323,0.647,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,,,,0.241,,,0.274,,,,-0.2,-0.59,,,,93.4,86.0,,0.288,0.447,0.11,,,,0.198,0.314,0.345,,,,0.276,0.559,0.263,31.0,95.0,88.0,96.0,106.0,105.0,0.279,0.015,0.27,-7.35,91.3,89.4,0.28,0.457,0.222,0.5,0.5,0.091,146.0,100.0,118.0,0.191,-0.46,83.7
2023-09-29,7:10 PM.,NYY,KC,home,Clear.,87,607074,C,4,1,0,0,0,0,0,0,1,2,4,0.185,0.333,0.333,0.666,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,102.0,92.0,96.0,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,0.065,-1.05,,,-0.06,-3.96,95.3,,,85.4,79.7,,,,0.294,0.55,0.217,0.375,1.25,0.211,,,,0.2,0.347,0.372,84.0,67.0,81.0,,,,,0.043,,0.96,,85.5,,,,0.0,0.0,0.421,,,,,,
2023-09-27,6:40 PM.,DET,KC,away,Overcast.,64,669373,C,3,0,0,0,0,0,0,0,0,1,1,0.217,0.357,0.391,0.748,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,,,,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,,,,0.122,0.36,,0.207,,2.49,,2.7,-0.49,,95.8,,95.9,87.6,,0.229,0.286,0.173,0.206,0.299,0.256,0.143,0.214,0.36,,,,0.224,0.448,0.24,93.0,102.0,114.0,,,,,0.244,,3.25,,84.3,,,,0.167,0.205,0.506,81.0,90.0,93.0,0.068,0.54,76.4
2023-09-24,1:10 PM.,HOU,KC,away,Roof Closed.,73,686613,C,2,0,1,0,0,0,0,0,2,0,0,0.25,0.4,0.45,0.85,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,92.0,104.0,105.0,0.002,0.461,0.048,0.017,,0.01,0.92,-0.16,-2.64,,95.7,88.2,96.0,84.6,,,,,0.271,0.511,0.223,0.247,0.374,0.303,,,,0.25,0.625,0.3329999999999999,,,,,,,0.235,,-0.4,,91.7,,0.297,0.506,0.208,0.121,0.242,0.37,112.0,102.0,110.0,0.238,-0.77,82.9
2023-09-22,7:12 PM.,HOU,KC,away,Roof Closed.,73,664285,C,2,1,0,0,0,0,0,0,1,2,1,0.222,0.333,0.444,0.777,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,,,,0.468,0.001,,0.087,0.253,-16.35,,0.93,-0.32,1.07,95.7,,95.3,84.7,80.2,0.274,0.455,0.126,,,,0.158,0.211,0.402,,,,0.189,0.405,0.4379999999999999,96.0,98.0,94.0,99.0,99.0,95.0,0.034,0.157,0.45,0.73,89.1,90.1,0.182,0.182,0.435,0.231,0.342,0.311,,,,,,
2023-09-20,1:11 PM.,CLE,KC,home,Sunny.,79,608337,C,3,0,0,0,0,0,0,0,1,1,3,0.25,0.333,0.5,0.833,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,-0.85,,,-0.25,-3.72,93.1,,,84.0,77.9,,,,0.262,0.546,0.2,0.5,0.5,0.2,,,,0.236,0.438,0.345,99.0,100.0,107.0,,,,,0.283,,-0.2,,80.9,,,,0.209,0.442,0.352,,,,,,
2023-09-19,6:41 PM.,CLE,KC,home,Partly Cloudy.,76,671106,C,0,0,0,0,0,0,0,0,0,0,0,0.308,0.357,0.615,0.972,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,,,,,0.451,,0.247,,-0.12,,,-0.74,,91.4,,,79.3,,,,,0.257,0.482,0.177,,,,,,,0.3,0.3,0.368,60.0,104.0,105.0,110.0,97.0,98.0,0.089,0.213,-2.1,1.49,86.3,82.7,0.462,0.692,0.17,0.191,0.223,0.33,,,,,,
2023-09-18,1:10 PM.,CLE,KC,home,Sunny.,80,615698,C,3,0,0,0,0,0,0,0,0,2,1,0.308,0.357,0.615,0.972,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,103.0,110.0,111.0,75.0,77.0,73.0,86.0,96.0,90.0,,,,113.0,104.0,104.0,0.416,0.01,0.123,,0.109,-2.44,-1.13,0.18,,1.28,93.8,86.8,93.7,,82.0,0.277,0.428,0.1689999999999999,0.333,0.667,0.2,0.188,0.313,0.158,0.241,0.362,0.225,,,,85.0,94.0,91.0,103.0,94.0,93.0,0.241,0.101,-0.89,-2.42,88.1,86.1,0.33,0.495,0.221,0.344,0.625,0.182,,,,,,
2023-09-17,1:12 PM.,HOU,KC,home,Sunny.,73,664285,C,3,0,1,1,0,0,0,0,0,0,2,0.4,0.455,0.8,1.255,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,,,,0.468,0.001,,0.087,0.253,-16.35,,0.93,-0.32,1.07,95.7,,95.3,84.7,80.2,0.274,0.455,0.126,,,,0.158,0.211,0.402,,,,0.189,0.405,0.4379999999999999,96.0,98.0,94.0,99.0,99.0,95.0,0.034,0.157,0.45,0.73,89.1,90.1,0.182,0.182,0.435,0.231,0.342,0.311,,,,,,
2023-09-16,6:47 PM.,HOU,KC,home,Cloudy.,71,641585,C,3,1,1,0,0,1,1,0,0,0,3,0.429,0.5,0.857,1.357,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,116.0,98.0,100.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,,,,,0.431,,0.091,0.137,-0.26,,,-2.09,0.16,93.0,,,80.1,76.0,,,,0.308,0.481,0.106,0.145,0.273,0.422,,,,0.25,0.533,0.298,75.0,102.0,112.0,116.0,108.0,103.0,0.189,0.152,0.33,2.51,86.8,81.8,0.317,0.446,0.22,0.183,0.237,0.308,,,,,,
