date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FC%,SL%,wFC/C,wSL/C,vFC,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-08-22,1:20 PM.,DET,CHC,home,Partly Cloudy.,75,663947,3B,1,0,0,0,0,0,0,0,0,1,0,0.304,0.333,0.391,0.724,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,109.0,94.0,100.0,79.0,100.0,91.0,77.0,105.0,97.0,0.216,0.152,0.015,0.189,4.5,2.61,1.83,0.4,92.1,83.6,91.5,79.2,0.105,0.14,0.257,,,,0.25,0.382,0.289,0.156,0.338,0.094,113.0,97.0,105.0,85.0,105.0,101.0,0.273,0.155,1.85,1.73,87.6,80.6,0.194,0.292,0.253,,,,0.13,0.174,0.379,,,,,,,,,,,,,,,,,,
2024-08-21,7:05 PM.,DET,CHC,home,Clear.,69,689225,PH,1,0,0,0,0,0,0,0,0,0,0,0.311,0.34,0.4,0.74,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,,,,120.0,99.0,101.0,84.0,106.0,97.0,0.159,0.404,,0.265,0.99,2.22,,0.26,95.9,88.4,95.5,,0.222,0.272,0.212,,,,0.212,0.4,0.319,0.235,0.294,0.116,122.0,93.0,100.0,,,,,0.173,,-1.62,,86.1,,,,0.241,0.552,0.271,,,,,,,,,,,,,,,,,,,,,
2024-08-18,1:20 PM.,TOR,CHC,home,Cloudy.,74,670102,3B,0,0,0,0,0,0,0,0,0,0,0,0.318,0.348,0.409,0.757,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,,,,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,0.029,0.513,0.182,,2.21,1.45,-1.71,,92.9,,90.3,73.5,0.174,0.371,0.185,0.308,0.558,0.243,,,,0.182,0.455,0.067,96.0,92.0,92.0,,,,,0.092,,-1.47,,81.7,,,,0.25,0.583,0.436,,,,109.0,105.0,110.0,0.184,1.44,83.8,0.169,0.169,0.225,,,,,,,,,
2024-08-14,6:40 PM.,CLE,CHC,away,Clear.,78,502171,1B,1,0,0,0,0,0,0,0,0,0,1,0.318,0.348,0.409,0.757,502171,alexcobb,Cobb,Right,Alex Cobb,CLE,2.76,5.01,16.1,105.0,107.0,107.0,0.867,5.51,1.65,7.71,0.55,2.31,0.163,0.449,0.122,0.367,0.401,,,,,,,,,,83.0,105.0,104.0,0.43,,,,,0.29,,,,,93.8,,,,,0.5,0.5,0.364,,,,0.25,0.417,0.059,,,,,,,,,,,,,,,,,,,,,,123.0,111.0,114.0,0.438,2.81,89.2,0.2,0.267,0.2,130.0,89.0,97.0,0.132,-1.41,83.2,,,
2024-08-01,7:05 PM.,STL,CHC,home,Cloudy.,84,543243,1B,1,0,0,0,0,0,0,0,0,1,0,0.326,0.356,0.419,0.775,543243,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.67,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,69.0,91.0,86.0,119.0,96.0,97.0,107.0,97.0,101.0,93.0,114.0,112.0,0.178,0.239,0.139,0.064,-0.05,1.64,0.7,-2.25,92.4,88.3,92.7,80.0,0.333,0.567,0.182,0.21,0.452,0.331,0.357,0.714,0.328,0.2,0.385,0.208,152.0,114.0,125.0,92.0,98.0,96.0,0.178,0.201,0.19,0.94,87.7,84.8,0.287,0.494,0.308,,,,0.142,0.205,0.444,,,,,,,,,,,,,0.0,-2.42,75.4,,,
2024-07-31,7:21 PM.,CIN,CHC,away,Overcast.,85,666157,2B,0,0,0,0,0,0,0,0,0,0,0,0.333,0.364,0.429,0.793,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,90.0,94.0,100.0,119.0,103.0,97.0,111.0,97.0,93.0,0.133,0.43,0.273,0.164,0.11,0.99,-0.75,-0.21,94.1,88.1,94.1,81.7,0.241,0.407,0.23,0.217,0.302,0.429,0.232,0.39,0.259,0.234,0.453,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,1:10 PM.,KC,CHC,away,Partly Cloudy.,88,666142,3B,4,1,1,1,0,0,1,0,1,1,2,0.333,0.364,0.429,0.793,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,,,,105.0,101.0,106.0,,,,,0.418,,0.237,0.85,,,1.43,95.4,84.8,,,0.213,0.361,0.231,0.14,0.256,0.352,0.183,0.28,0.478,,,,132.0,106.0,114.0,88.0,94.0,91.0,0.113,0.128,0.26,-0.34,90.7,86.0,0.348,0.455,0.228,0.21,0.305,0.337,,,,,,,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8,,,
2024-07-27,6:10 PM.,KC,CHC,away,Cloudy.,73,607625,3B,1,0,1,0,0,0,1,0,0,0,0,0.342,0.359,0.421,0.78,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,126.0,100.0,110.0,75.0,103.0,95.0,68.0,101.0,92.0,0.185,0.24,0.262,0.069,0.7,0.65,1.44,0.08,92.2,87.4,92.1,79.4,0.234,0.392,0.176,0.178,0.271,0.339,0.208,0.333,0.291,0.274,0.381,0.129,125.0,97.0,105.0,97.0,103.0,103.0,0.082,0.135,2.86,-0.67,90.1,85.2,0.228,0.228,0.23,0.213,0.387,0.2,0.375,0.75,0.109,93.0,107.0,106.0,0.026,0.07,85.7,0.105,0.421,0.351,,,,,,,0.215,0.28,0.285
2024-07-23,8:29 PM.,MIL,CHC,home,Cloudy.,70,607067,1B,1,0,0,0,0,0,0,0,0,0,3,0.324,0.342,0.405,0.747,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,0.311,0.193,0.042,,0.49,-0.28,-3.64,,92.9,,92.3,78.7,0.207,0.314,0.248,0.394,0.636,0.18,,,,0.298,0.482,0.115,109.0,106.0,108.0,76.0,94.0,88.0,0.194,0.172,-1.34,1.41,87.6,82.0,0.287,0.656,0.168,,,,0.159,0.234,0.227,78.0,98.0,96.0,0.088,-2.02,86.5,0.286,0.492,0.277,,,,,,,,,
2024-07-22,7:05 PM.,MIL,CHC,home,Partly Cloudy.,74,668964,3B,2,0,0,0,0,0,0,0,0,0,2,0.333,0.351,0.417,0.768,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,0.005,0.401,0.041,0.114,0.58,11.28,-3.19,1.18,92.9,81.1,91.5,77.8,0.239,0.436,0.194,0.421,0.579,0.194,0.083,0.083,0.444,0.0,0.0,0.0,92.0,106.0,103.0,96.0,100.0,91.0,0.23,0.21,-0.75,1.43,89.2,85.5,0.336,0.518,0.123,0.198,0.255,0.248,,,,,,,,,,,,,,,,,,,,,
2024-07-21,1:20 PM.,AZ,CHC,home,Partly Cloudy.,83,694297,3B,0,0,0,0,0,0,0,0,0,0,0,0.353,0.371,0.441,0.812,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,106.0,102.0,104.0,95.0,106.0,103.0,89.0,106.0,104.0,0.222,0.334,0.053,0.112,0.37,-0.09,-1.37,0.84,93.8,87.5,93.7,80.8,0.265,0.466,0.224,0.429,0.571,0.295,0.25,0.289,0.312,0.286,0.365,0.119,143.0,109.0,119.0,,,,,0.273,,-0.12,,84.8,,,,,,,0.215,0.455,0.362,,,,0.006,0.45,89.6,0.2,0.8,0.0,,,,,,,,,
