date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2023-03-28,7:10 PM.,HOU,SUG,away,Partly Cloudy.,73,677651,3B,2,0,0,0,0,0,0,0,2,2,0,0.25,0.571,0.5,1.071,677651,luisgarcia,"Garcia, L",Right,Luis Garcia,HOU,4.0,4.01,27.0,101.0,92.0,97.0,0.707,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.427,0.126,0.076,0.059,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,84.4,78.4,76.2,0.192,0.308,0.419,0.407,0.741,0.121,0.1,0.3,0.32,0.222,0.333,0.385,0.25,0.5,0.182,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,7:10 PM.,STL,TOR,home,Partly Cloudy.,67,607200,2B,5,0,1,0,0,0,0,0,0,1,5,0.305,0.337,0.451,0.788,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,126.0,101.0,106.0,78.0,104.0,97.0,0.003,0.323,0.202,,0.164,-6.18,0.43,1.28,,-0.54,92.9,89.9,87.7,83.5,,0.262,0.47,0.232,0.5,0.5,0.0,,,,0.228,0.351,0.165,,,,76.0,105.0,93.0,0.308,0.59,93.0,0.25,0.358,0.202,0.165,0.309,0.251,,,,,,,,,,,,
2024-09-11,3:09 PM.,NYM,TOR,home,Sunny.,68,640455,2B,3,0,0,0,0,0,0,0,1,1,1,0.312,0.346,0.468,0.814,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,,,,88.0,103.0,99.0,88.0,88.0,93.0,84.0,88.0,85.0,0.113,0.071,0.251,,0.118,1.13,0.97,0.37,,-1.19,92.3,88.4,85.3,79.5,,0.222,0.25,0.179,0.167,0.295,0.311,0.174,0.435,0.32,0.25,0.438,0.254,,,,95.0,100.0,97.0,0.447,1.36,92.3,0.201,0.333,0.21,0.193,0.311,0.388,,,,,,,,,,,,
2024-09-09,7:07 PM.,NYM,TOR,home,Roof Closed.,68,656731,2B,1,0,0,0,0,0,0,0,1,1,0,0.324,0.351,0.486,0.837,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,130.0,94.0,112.0,91.0,77.0,82.0,112.0,99.0,101.0,103.0,103.0,106.0,101.0,96.0,93.0,0.467,0.136,0.132,0.078,0.015,0.29,-1.19,-0.85,-0.37,-4.39,95.7,90.1,87.2,85.1,78.0,0.326,0.565,0.27,0.228,0.35,0.292,0.233,0.302,0.291,0.5,0.5,0.111,0.188,0.313,0.333,108.0,104.0,110.0,0.098,3.24,94.6,0.206,0.206,0.184,0.25,1.0,0.167,105.0,93.0,107.0,0.073,,-1.25,,84.7,,0.143,0.393,0.429
2024-09-07,7:21 PM.,ATL,TOR,away,Partly Cloudy.,78,680885,2B,5,0,3,0,0,0,2,0,0,0,0,0.329,0.347,0.493,0.84,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,110.0,113.0,119.0,94.0,104.0,100.0,0.291,0.168,0.199,0.146,,0.27,0.53,0.61,0.29,,96.1,92.9,,87.3,80.6,0.27,0.5,0.199,0.24,0.448,0.205,0.225,0.333,0.279,,,,0.236,0.436,0.409,93.0,102.0,101.0,0.068,-0.12,95.1,0.231,0.385,0.078,,,,84.0,107.0,109.0,0.128,,1.96,,84.5,,0.147,0.235,0.463
2024-09-06,7:20 PM.,ATL,TOR,away,Overcast.,72,608331,2B,4,0,0,0,0,0,0,0,0,2,3,0.309,0.329,0.485,0.814,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,102.0,97.0,98.0,93.0,96.0,94.0,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,0.5,1.39,1.7,93.9,88.5,85.7,82.1,74.6,0.286,0.476,0.286,0.266,0.36,0.182,0.22,0.293,0.297,0.196,0.283,0.251,0.154,0.285,0.371,90.0,98.0,94.0,0.158,1.47,93.6,0.265,0.299,0.137,0.167,0.2,0.358,,,,,,,,,,,,
2024-09-04,3:08 PM.,PHI,TOR,home,Sunny.,74,650911,PH,1,0,0,0,0,0,0,0,0,1,1,0.328,0.348,0.516,0.864,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,102.0,102.0,103.0,86.0,52.0,74.0,,0.001,0.169,,0.357,,2.59,0.65,,1.56,,86.5,85.1,84.4,,,,,,,,0.219,0.368,0.308,0.177,0.22,0.348,,,,95.0,101.0,98.0,0.473,-0.55,94.5,0.345,0.481,0.131,,,,,,,,,,,,,,,
2024-09-03,7:07 PM.,PHI,TOR,home,Clear.,69,663969,2B,5,0,1,0,0,0,1,0,0,1,1,0.333,0.354,0.524,0.878,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,107.0,112.0,116.0,68.0,92.0,90.0,121.0,95.0,102.0,,,,0.187,,0.292,0.144,0.066,3.13,,-2.49,-0.37,-9.69,92.7,,85.7,82.5,81.0,,,,0.219,0.313,0.214,,,,0.6,1.1,0.182,0.174,0.304,0.222,80.0,101.0,91.0,0.311,-1.15,93.7,0.35,0.7,0.118,0.311,0.511,0.329,,,,,,,,,,,,
2024-09-01,1:11 PM.,MIN,TOR,away,Sunny.,69,641927,DH,2,0,0,0,0,0,0,0,0,0,3,0.345,0.367,0.552,0.919,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,74.0,100.0,101.0,84.0,104.0,100.0,0.381,0.195,0.118,0.011,0.294,-0.01,-0.86,2.03,4.57,1.98,91.7,86.2,83.4,80.3,76.0,0.279,0.504,0.229,0.258,0.506,0.222,0.095,0.162,0.307,0.154,0.285,0.395,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,6:11 PM.,MIN,TOR,away,Clear.,82,805673,1B,6,3,5,1,0,1,2,0,0,0,3,0.357,0.379,0.571,0.95,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,107.0,117.0,117.0,95.0,99.0,97.0,114.0,100.0,105.0,96.0,101.0,95.0,0.428,0.162,0.259,0.071,0.079,-1.19,-1.3,-1.68,-5.76,-3.13,94.9,90.9,85.8,87.2,81.7,0.345,0.655,0.182,0.288,0.627,0.178,0.308,0.462,0.376,0.222,0.333,0.313,0.4,0.667,0.174,,,,,,,,,,,,,,,,,,,,,,,,
