date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
2023-04-06,1:13 PM.,BOS,DET,home,Cloudy.,47,519242,LF,2,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0.286,0.524,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,,,,99.0,102.0,100.0,92.0,98.0,100.0,0.432,0.375,,0.131,0.46,0.7,,-1.09,93.9,86.1,77.8,,0.252,0.437,0.2339999999999999,0.309,0.473,0.322,0.162,0.358,0.389,,,,98.0,94.0,96.0,,,,0.062,,,-1.13,,93.3,0.267,0.5,0.1669999999999999,,,,,,,,,,,,,,,
2023-04-05,1:10 PM.,HOU,DET,away,Roof Closed.,73,664299,LF,4,0,1,0,0,0,1,0,0,0,1,0.263,0.263,0.316,0.579,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,101.0,98.0,98.0,108.0,95.0,102.0,0.584,0.3,,0.041,0.44,-0.09,,-1.29,92.7,83.7,79.5,,0.236,0.455,0.265,0.28,0.36,0.392,0.211,0.367,0.287,0.268,0.366,0.195,,,,,,,,,,,,,,,,,,,91.0,99.0,102.0,,,,,0.075,,-1.17,,76.6
2023-04-03,7:11 PM.,HOU,DET,away,Clear.,73,686613,LF,5,0,0,0,0,0,0,0,0,1,5,0.267,0.267,0.333,0.6,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,,,,101.0,99.0,96.0,104.0,92.0,97.0,0.461,0.017,,,0.01,-2.64,,,95.7,,84.6,,0.271,0.511,0.223,0.121,0.242,0.37,0.25,0.625,0.3329999999999999,0.247,0.374,0.303,90.0,103.0,93.0,,,,0.002,0.235,-0.4,-0.16,91.7,96.0,,,,0.297,0.506,0.208,112.0,102.0,110.0,92.0,104.0,105.0,0.048,0.238,0.92,-0.77,88.2,82.9
2023-04-02,1:30 PM.,TB,DET,away,Dome.,72,605488,LF,3,0,0,0,0,0,0,0,0,1,1,0.4,0.4,0.5,0.9,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,0.56,1.66,16.0,111.0,100.0,112.0,0.637,13.5,2.25,2.25,0.56,1.44,0.308,0.5,0.192,0.308,0.479,86.0,116.0,116.0,,,,105.0,108.0,107.0,115.0,114.0,117.0,0.406,0.251,,0.343,2.63,3.79,,5.88,91.7,80.4,82.2,,0.143,0.286,0.176,0.048,0.048,0.5,0.0,0.0,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,4:10 PM.,TB,DET,away,Dome.,72,621107,LF,3,0,1,0,0,0,1,0,0,1,1,0.571,0.571,0.714,1.285,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,75.0,99.0,94.0,100.0,110.0,107.0,83.0,123.0,112.0,122.0,120.0,127.0,0.062,0.044,0.263,0.051,2.53,0.79,1.27,-0.61,92.9,86.4,80.0,79.1,0.104,0.208,0.32,0.192,0.308,0.283,0.6,0.6,0.5,0.185,0.339,0.349,98.0,107.0,105.0,100.0,106.0,102.0,0.319,0.261,-0.01,1.09,88.5,92.2,0.259,0.315,0.129,0.307,0.588,0.1669999999999999,,,,,,,,,,,,
2023-03-30,3:10 PM.,TB,DET,away,Dome.,72,663556,LF,4,0,3,1,0,0,0,0,0,0,0,0.75,0.75,1.0,1.75,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,107.0,102.0,105.0,0.419,0.153,0.17,0.258,-0.34,-0.27,1.12,2.65,96.8,86.9,89.3,83.5,0.269,0.479,0.233,0.153,0.191,0.541,0.261,0.58,0.291,0.197,0.344,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
