date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-09-26,12:37 PM.,OAK,TEX,away,Sunny.,67,669372,3B,3,0,1,0,0,0,0,0,0,1,0,0.194,0.237,0.25,0.487,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,0.511,0.035,0.309,0.146,1.23,-0.98,2.3,-0.36,92.2,87.0,92.9,85.3,0.319,0.472,0.205,0.158,0.237,0.355,0.389,0.556,0.375,,,,,,,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,6:40 PM.,OAK,TEX,away,Partly Cloudy.,64,669620,SS,4,0,1,0,0,0,0,0,0,3,1,0.182,0.229,0.242,0.471,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,0.023,0.469,,0.123,2.37,-1.21,,-3.63,92.2,86.4,92.0,,,,,,,,0.357,0.571,0.227,79.0,112.0,110.0,0.206,1.0,76.4,0.225,0.325,0.165,0.2,0.2,0.385,102.0,107.0,103.0,0.18,-2.37,88.1,,,,0.385,0.615,0.308,,,,,,,,,,,,,,,,,,,,,
2024-09-24,6:40 PM.,OAK,TEX,away,Partly Cloudy.,69,687765,3B,3,0,1,0,0,0,0,0,0,1,1,0.172,0.226,0.241,0.467,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,0.146,,0.326,0.011,,-1.41,0.01,-7.88,,88.4,91.9,84.3,0.338,0.403,0.16,0.278,0.493,0.276,0.571,0.857,0.0,118.0,117.0,117.0,0.121,-0.82,80.4,,,,0.196,0.351,0.31,99.0,100.0,96.0,0.396,-0.41,90.7,,,,0.278,0.472,0.176,,,,,,,,,,,,,,,,,,,,,
2024-09-20,7:07 PM.,SEA,TEX,home,Roof Closed.,74,669923,3B,3,0,0,0,0,0,0,0,0,0,3,0.154,0.214,0.231,0.445,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,0.46,1.5,1.28,,96.0,,96.0,87.2,0.263,0.354,0.105,0.226,0.316,0.271,,,,,,,,,,0.221,0.458,0.291,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,114.0,110.0,113.0,0.082,-1.95,83.4,,,,73.9,0.0,-3.5
2024-09-11,12:41 PM.,AZ,TEX,away,Roof Closed.,78,518876,SS,1,0,1,0,0,0,0,0,0,0,0,0.174,0.24,0.261,0.501,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,0.147,0.197,0.118,0.21,-0.76,-3.28,-0.18,4.47,91.9,88.4,92.3,85.6,0.378,0.644,0.086,0.273,0.455,0.394,0.099,0.099,0.315,116.0,108.0,107.0,0.077,-1.78,82.2,0.26,0.54,0.204,0.25,0.55,0.205,95.0,103.0,98.0,0.252,0.01,90.3,,,,0.276,0.5,0.109,,,,,,,,,,,,,,,,,,,,,
2024-09-03,7:07 PM.,NYY,TEX,home,Roof Closed.,74,607074,SS,2,0,0,0,0,0,0,0,0,2,1,0.136,0.208,0.227,0.435,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,0.494,0.26,0.129,0.05,,-0.4,1.44,95.4,85.5,,86.8,,,,0.199,0.361,0.393,0.188,0.247,0.495,103.0,86.0,93.0,0.083,-1.32,81.0,0.262,0.514,0.214,0.281,0.531,0.276,100.0,83.0,82.0,0.035,-3.11,91.8,,,,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
2024-07-26,7:07 PM.,TOR,TEX,away,Clear.,75,579328,3B,3,0,0,0,0,0,0,0,1,1,0,0.15,0.227,0.25,0.477,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,0.471,0.235,0.111,-0.08,,1.31,-0.15,95.5,86.7,,88.3,,,,0.21,0.28,0.297,0.194,0.25,0.358,99.0,105.0,105.0,0.183,0.02,82.4,0.274,0.505,0.28,0.264,0.395,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-24,7:09 PM.,CWS,TEX,home,Roof Closed.,74,623167,SS,0,0,0,0,0,0,0,0,0,0,0,0.176,0.222,0.294,0.516,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,0.002,0.37,0.087,0.157,-0.64,2.01,-2.65,-1.32,91.3,81.3,91.4,80.0,,,,0.361,0.475,0.271,0.257,0.436,0.379,83.0,98.0,101.0,0.122,0.43,72.0,0.261,0.473,0.132,0.246,0.393,0.308,47.0,101.0,90.0,0.261,-0.75,87.4,,,,0.319,0.536,0.218,,,,,,,,,,,,,,,,,,,,,
2024-07-23,7:07 PM.,CWS,TEX,home,Roof Closed.,74,676979,SS,3,0,0,0,0,0,0,0,0,0,1,0.176,0.222,0.294,0.516,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,0.021,0.537,0.098,0.059,1.66,4.04,-2.29,-0.36,97.2,91.0,97.9,84.3,0.154,0.154,0.321,,,,0.184,0.289,0.339,,,,,,,0.198,0.295,0.314,,,,94.0,105.0,103.0,0.284,-0.14,91.6,,,,0.268,0.458,0.334,,,,,,,,,,,,,,,,0.228,0.561,0.422,,,
2024-07-19,7:09 PM.,BAL,TEX,home,Roof Closed.,74,669203,2B,1,0,0,0,0,0,0,0,0,0,0,0.214,0.267,0.357,0.624,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,0.078,,0.146,0.11,,-0.5,0.7,0.2,,89.2,97.0,87.2,0.235,0.412,0.157,0.196,0.268,0.463,0.194,0.339,0.377,109.0,101.0,106.0,0.215,0.44,80.3,,,,0.2,0.326,0.378,125.0,105.0,108.0,0.45,1.37,95.3,,,,0.251,0.362,0.19,,,,,,,,,,,,,,,,0.125,0.5,0.457,,,
2024-07-07,1:37 PM.,TB,TEX,home,Roof Closed.,74,641793,SS,1,0,0,0,0,0,0,0,0,1,0,0.231,0.286,0.385,0.671,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,0.148,0.221,0.399,,0.58,-0.6,0.45,,92.4,,91.6,85.7,0.265,0.439,0.141,0.257,0.427,0.227,,,,,,,,,,0.245,0.358,0.191,,,,,,,,,,,,,,,,104.0,106.0,112.0,0.232,-0.84,83.0,0.258,0.423,0.344,,,,,,,0.406,0.594,0.115,,,
2024-07-06,3:07 PM.,TB,TEX,home,Roof Closed.,74,671737,3B,3,0,0,0,0,0,0,0,0,2,4,0.25,0.308,0.417,0.725,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,129.0,97.0,102.0,,,,,,,,0.417,,,-0.04,,,,96.4,,,,,,,,,,,,,100.0,91.0,93.0,0.089,-1.5,79.1,0.269,0.5,0.21,0.241,0.483,0.346,91.0,100.0,98.0,0.225,1.02,90.9,,,,0.205,0.357,0.324,123.0,102.0,114.0,0.269,0.47,90.9,0.213,0.32,0.33,,,,,,,,,,,,
2024-07-05,7:07 PM.,TB,TEX,home,Roof Closed.,74,669358,3B,3,1,2,1,0,0,0,0,0,1,2,0.333,0.4,0.556,0.956,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,85.0,97.0,94.0,121.0,101.0,104.0,,,,111.0,96.0,100.0,,0.479,0.213,0.103,0.81,,-0.08,2.88,95.6,88.1,,87.3,,,,0.164,0.4,0.222,0.115,0.115,0.276,119.0,104.0,109.0,0.205,1.71,83.6,0.252,0.37,0.221,0.169,0.247,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-04,1:37 PM.,SD,TEX,home,Roof Closed.,74,650633,2B,3,0,0,0,0,0,0,0,0,1,0,0.167,0.286,0.333,0.619,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,0.234,0.246,-0.15,0.68,-0.19,1.61,93.7,86.7,92.9,82.9,0.2,0.376,0.189,0.281,0.5,0.284,0.207,0.286,0.362,,,,,,,0.265,0.402,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,0.304,0.345,,,
2024-07-02,7:08 PM.,SD,TEX,home,Roof Closed.,74,656302,3B,2,0,1,1,0,0,1,0,1,0,1,0.333,0.5,0.667,1.167,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,123.0,95.0,102.0,,,,112.0,100.0,105.0,,0.435,0.471,0.009,0.22,,1.98,-4.13,96.9,69.7,,87.2,,,,0.159,0.257,0.447,0.25,1.0,0.2,,,,,,,0.235,0.39,0.203,0.28,0.44,0.286,113.0,89.0,90.0,0.006,-5.11,91.8,,,,0.25,1.0,0.0,,,,,,,,,,105.0,95.0,102.0,0.079,-0.95,82.3,0.2,0.267,0.385,,,
2024-06-30,7:10 PM.,BAL,TEX,away,Partly Cloudy.,93,608344,2B,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,62.0,99.0,85.0,75.0,101.0,89.0,85.0,121.0,119.0,0.2,0.264,0.041,0.134,-1.16,-0.49,-3.18,-1.52,91.9,84.9,91.5,78.1,0.307,0.485,0.088,0.25,0.438,0.196,0.282,0.474,0.243,102.0,98.0,102.0,0.252,-0.38,77.3,0.296,0.592,0.163,0.283,0.424,0.189,86.0,102.0,91.0,0.109,-0.64,85.9,,,,0.327,0.551,0.181,,,,,,,,,,,,,,,,,,,,,
2024-05-07,12:37 PM.,OAK,TEX,away,Sunny.,62,548389,2B,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,62.0,100.0,87.0,90.0,102.0,90.0,121.0,108.0,112.0,0.142,0.303,0.134,0.176,-0.05,-0.67,-1.89,-1.87,91.7,82.7,90.2,84.7,0.39,0.441,0.078,0.328,0.5,0.157,0.333,0.52,0.241,,,,,,,0.244,0.422,0.175,0.364,0.455,0.179,80.0,107.0,92.0,0.159,0.67,87.5,,,,0.245,0.367,0.156,,,,,,,,,,89.0,105.0,106.0,0.086,-1.1,76.3,,,,,,
