date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
2023-05-31,12:45 PM.,SF,PIT,away,Cloudy.,60,622072,SS,4,0,0,0,0,0,0,0,0,3,3,0.16,0.16,0.16,0.32,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,78.0,103.0,99.0,,,,80.0,95.0,88.0,110.0,93.0,95.0,,,,0.446,,0.261,0.001,0.292,,0.12,-0.8,-5.8,-0.33,,85.2,91.5,82.4,83.6,0.234,0.433,0.242,,,,0.288,0.441,0.25,,,,0.273,0.388,0.154,,,,,,,,,,,,,,,
2023-05-28,1:11 PM.,SEA,PIT,away,Cloudy.,56,594835,SS,3,0,1,0,0,0,0,0,0,1,0,0.19,0.19,0.19,0.38,594835,marcogonzales,"Gonzales, M",Left,Marco Gonzales,SEA,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.202,0.46,0.129,0.294,0.429,89.0,116.0,105.0,78.0,104.0,96.0,,,,,,,,,,0.002,0.366,,,0.302,-1.28,6.42,,,1.36,89.0,79.9,88.8,,,,,,0.294,0.353,0.135,,,,0.333,0.556,0.124,0.222,0.358,0.295,96.0,108.0,105.0,0.242,1.1,79.3,92.0,104.0,90.0,0.088,-2.98,85.9,0.389,0.667,0.176
2023-05-24,12:35 PM.,TEX,PIT,home,Sunny.,70,527048,SS,4,0,1,0,0,0,0,0,0,1,3,0.167,0.167,0.167,0.334,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,71.0,110.0,99.0,75.0,102.0,99.0,73.0,102.0,95.0,88.0,94.0,96.0,,,,0.428,0.04,0.01,,0.265,3.25,0.44,2.0,,-0.75,91.8,84.1,91.6,83.4,,0.244,0.394,0.0969999999999999,0.063,0.063,0.353,0.0,0.0,0.2,0.167,0.222,0.146,0.316,0.447,0.278,78.0,101.0,100.0,0.037,3.35,79.1,79.0,99.0,88.0,0.221,-2.02,89.2,0.342,0.64,0.1169999999999999
2023-05-19,6:37 PM.,AZ,PIT,home,Cloudy.,74,668678,SS,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,121.0,104.0,112.0,0.007,0.491,0.045,0.227,0.139,1.59,-3.38,0.34,0.46,1.05,93.6,86.8,93.0,87.4,82.5,0.286,0.714,0.125,0.21,0.344,0.405,0.25,0.389,0.265,0.238,0.36,0.192,0.21,0.336,0.314,,,,,,,106.0,99.0,94.0,0.092,-2.24,90.2,0.352,0.648,0.205
2023-05-17,1:10 PM.,DET,PIT,away,Sunny.,53,593958,SS,5,0,1,0,0,0,0,0,0,3,4,0.143,0.143,0.143,0.286,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,,,,0.093,0.454,0.072,,0.189,0.65,1.11,3.12,,0.71,92.2,85.9,92.4,84.5,,0.165,0.228,0.135,,,,0.089,0.178,0.395,0.278,0.431,0.222,0.233,0.292,0.317,,,,,,,90.0,101.0,98.0,0.192,0.51,88.8,0.2,0.471,0.1939999999999999
2023-05-14,1:35 PM.,BAL,PIT,away,Partly Cloudy.,75,502043,SS,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,,,,0.261,0.134,0.184,,0.17,-0.69,-0.08,2.01,,-0.29,92.1,85.5,91.9,81.6,,0.289,0.459,0.11,0.279,0.419,0.4039999999999999,0.147,0.228,0.471,0.287,0.55,0.156,0.288,0.453,0.291,90.0,102.0,99.0,0.084,0.01,79.5,90.0,95.0,92.0,0.166,-1.02,89.8,0.345,0.552,0.154
2023-05-13,7:06 PM.,BAL,PIT,away,Overcast.,67,669330,SS,2,0,0,0,0,0,0,0,0,2,0,0.111,0.111,0.111,0.222,669330,tylerwells,"Wells, T",Right,Tyler Wells,BAL,3.64,3.96,118.2,103.0,93.0,101.0,0.765,8.87,2.58,6.29,1.9,0.59,0.244,0.371,0.175,0.337,0.415,126.0,106.0,111.0,84.0,102.0,99.0,,,,88.0,108.0,103.0,,,,,0.377,0.164,,0.185,0.59,,1.18,,0.43,92.5,85.4,,84.0,,,,,0.217,0.348,0.184,0.149,0.23,0.28,0.2,0.467,0.266,0.196,0.382,0.3279999999999999,84.0,95.0,100.0,0.078,0.41,74.1,85.0,100.0,96.0,0.195,0.67,88.7,0.212,0.537,0.193
2023-05-10,12:35 PM.,COL,PIT,home,Cloudy.,66,622608,SS,3,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143,0.286,622608,antoniosenzatela,Senzatela,Right,Antonio Senzatela,COL,4.7,10.68,7.2,103.0,81.0,92.0,0.825,4.7,2.35,8.22,3.52,1.86,0.167,0.458,0.125,0.375,0.475,61.0,112.0,85.0,80.0,104.0,92.0,73.0,101.0,94.0,97.0,97.0,97.0,,,,0.117,0.433,0.275,,0.158,-3.39,2.08,-1.95,,1.79,94.4,87.1,92.4,85.7,,0.25,0.25,0.0,,,,0.286,0.429,0.083,0.25,1.0,0.222,0.2,0.2,0.4,102.0,75.0,75.0,0.017,0.51,78.8,,,,,,,,,
2023-05-09,6:37 PM.,COL,PIT,home,Clear.,72,657756,SS,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,657756,connorseabold,Seabold,Right,Connor Seabold,COL,7.52,5.13,87.1,102.0,80.0,95.0,0.8,6.9,2.89,11.95,1.96,0.72,0.297,0.366,0.157,0.395,0.46,72.0,88.0,86.0,74.0,104.0,93.0,,,,93.0,104.0,102.0,,,,,0.544,0.305,,0.133,-1.53,,-2.41,,0.41,92.6,80.6,,85.3,,,,,0.5,0.6,0.231,0.313,0.616,0.262,0.338,0.605,0.186,0.204,0.265,0.2269999999999999,100.0,101.0,103.0,0.018,-8.0,78.7,,,,,,,,,
2023-05-08,6:37 PM.,COL,PIT,home,Overcast.,71,607536,SS,3,0,1,0,0,0,0,0,0,1,2,0.333,0.333,0.333,0.666,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,96.0,105.0,105.0,0.283,0.184,0.236,0.176,0.122,1.13,-0.86,-0.2,-1.91,-3.3,88.8,84.2,88.7,84.1,80.6,0.349,0.529,0.091,0.261,0.41,0.32,0.246,0.549,0.2,0.239,0.431,0.127,0.435,0.681,0.139,,,,,,,,,,,,,,,
