date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
2024-09-27,7:11 PM.,HOU,CLE,home,Cloudy.,72,669854,DH,4,0,0,0,0,0,0,0,0,3,5,0.241,0.289,0.433,0.722,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,,,,0.383,0.302,,0.221,-0.42,,2.24,,-0.16,93.4,85.2,,86.4,,0.232,0.497,0.192,0.18,0.284,0.333,0.071,0.071,0.376,0.188,0.356,0.343,,,,75.0,96.0,100.0,,,,,,,,,0.094,,,2.55,,,80.1,,,,,,,,,,,,
2024-09-25,6:41 PM.,CIN,CLE,home,Overcast.,71,596001,DH,4,0,1,0,0,0,0,0,0,0,0,0.248,0.297,0.445,0.742,596001,jakobjunis,Junis,Right,Jakob Junis,- - -,2.69,3.8,67.0,108.0,99.0,108.0,0.779,6.85,1.07,6.58,1.07,0.96,0.257,0.408,0.105,0.288,0.502,89.0,102.0,106.0,73.0,112.0,101.0,79.0,109.0,102.0,123.0,107.0,116.0,,,,0.362,0.1,0.453,,0.084,3.97,1.95,1.3,,-2.62,92.5,86.6,91.9,83.0,,0.1,0.1,0.235,0.183,0.346,0.296,,,,0.238,0.714,0.265,0.25,0.381,0.19,,,,97.0,119.0,106.0,,,,0.002,,,-12.89,,,88.2,,,,,,,,,,,,,,
2024-09-24,6:40 PM.,CIN,CLE,home,Cloudy.,73,686730,DH,3,2,1,0,0,1,1,0,1,0,2,0.248,0.299,0.451,0.75,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,69.0,102.0,90.0,76.0,101.0,95.0,80.0,107.0,99.0,121.0,106.0,113.0,,,,0.175,0.299,0.245,,0.121,-1.66,0.68,-1.23,,-5.43,92.4,86.7,92.1,81.5,,0.256,0.462,0.205,0.0,0.0,0.4,,,,0.396,0.774,0.198,0.3,0.5,0.122,,,,82.0,103.0,98.0,,,,0.16,,,-0.84,,,87.8,,,,,,0.291,0.544,0.319,0.321,0.547,0.195,,,
2024-09-22,1:16 PM.,STL,CLE,away,Overcast.,78,669467,PH,1,0,0,0,0,0,0,0,0,0,0,0.246,0.293,0.431,0.724,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,88.0,102.0,109.0,0.19,0.512,0.172,0.126,,1.34,-0.25,-0.64,0.42,,94.5,,94.8,87.5,79.5,0.23,0.297,0.162,0.294,0.435,0.282,0.157,0.257,0.345,,,,0.265,0.373,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,6:15 PM.,STL,CLE,away,Overcast.,85,571945,DH,3,0,0,0,0,0,0,0,0,1,1,0.248,0.295,0.434,0.729,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,,,,0.231,0.279,0.283,0.005,0.085,0.23,1.42,-1.19,4.24,-4.2,93.2,85.6,92.4,85.7,69.6,0.287,0.446,0.178,0.301,0.506,0.164,0.267,0.52,0.231,0.394,0.742,0.159,0.237,0.382,0.108,94.0,109.0,106.0,,,,,,,,,0.116,,,-1.97,,,76.6,,,,0.273,0.545,0.275,,,,,,
2024-09-20,7:16 PM.,STL,CLE,away,Partly Cloudy.,93,502043,DH,2,0,0,0,0,0,0,0,1,1,2,0.254,0.301,0.444,0.745,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,,,,0.264,0.132,0.207,,0.099,-1.39,0.22,0.92,,1.2,91.4,84.9,90.7,80.7,,0.268,0.563,0.065,,,,0.325,0.675,0.462,0.19,0.254,0.39,0.267,0.422,0.092,102.0,103.0,104.0,96.0,95.0,91.0,,,,0.211,,0.086,0.21,,-2.21,88.6,,78.3,,,,0.2,0.312,0.412,0.299,0.479,0.181,,,
2024-09-19,1:10 PM.,MIN,CLE,home,Sunny.,76,680573,DH,3,1,3,0,0,1,1,0,0,0,0,0.258,0.301,0.452,0.753,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,71.0,100.0,88.0,,,,92.0,108.0,106.0,,,,,0.403,0.312,,0.193,0.82,,0.76,,-3.33,93.1,82.8,,86.4,,0.258,0.356,0.219,0.214,0.313,0.239,0.186,0.326,0.221,0.311,0.622,0.205,,,,106.0,103.0,102.0,,,,,,,,,0.093,,,1.68,,,76.1,,,,,,,,,,,,
2024-09-18,6:41 PM.,MIN,CLE,home,Partly Cloudy.,75,641927,PH,1,0,1,0,0,0,1,0,0,0,0,0.24,0.285,0.413,0.698,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,,,,0.381,0.118,,0.294,-0.01,,2.03,,1.98,91.7,83.4,,80.3,,0.258,0.506,0.222,0.095,0.162,0.307,0.0,0.0,0.375,0.154,0.285,0.395,,,,94.0,99.0,103.0,84.0,104.0,100.0,,,,0.195,,0.011,-0.86,,4.57,86.2,,76.0,,,,,,,0.279,0.504,0.229,,,
2024-09-17,6:41 PM.,MIN,CLE,home,Partly Cloudy.,76,805673,DH,2,0,1,0,0,0,0,0,1,0,0,0.233,0.279,0.408,0.687,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,95.0,99.0,97.0,,,,114.0,100.0,105.0,,,,,0.428,0.259,,0.079,-1.19,,-1.68,,-3.13,94.9,85.8,,87.2,,0.288,0.627,0.178,0.308,0.462,0.376,0.4,0.667,0.174,0.222,0.333,0.313,,,,107.0,117.0,117.0,96.0,101.0,95.0,,,,0.162,,0.071,-1.3,,-5.76,90.9,,81.7,,,,,,,0.345,0.655,0.182,,,
2024-09-16,6:40 PM.,MIN,CLE,home,Clear.,77,641154,DH,3,2,1,0,0,1,2,0,1,0,0,0.229,0.27,0.407,0.677,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,0.073,0.407,0.219,,0.201,1.65,-2.77,-0.84,,-0.14,95.0,88.5,94.5,84.5,,0.208,0.352,0.259,,,,0.23,0.446,0.341,0.281,0.359,0.249,0.426,0.639,0.142,92.0,103.0,108.0,,,,,,,,,0.1,,,-1.28,,,82.4,,,,0.239,0.436,0.331,,,,,,
2024-09-13,7:11 PM.,TB,CLE,home,Clear.,76,641793,DH,3,0,0,0,0,0,0,0,0,2,1,0.226,0.262,0.383,0.645,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,54.0,110.0,91.0,67.0,103.0,91.0,102.0,99.0,98.0,,,,0.148,0.221,0.399,,,0.58,-0.6,0.45,,,92.4,,91.6,85.7,,0.245,0.358,0.191,0.257,0.427,0.227,,,,,,,0.265,0.439,0.141,,,,,,,104.0,106.0,112.0,,0.232,,,-0.84,,,83.0,,0.258,0.423,0.344,0.406,0.594,0.115,,,,,,
2024-09-12,7:15 PM.,TB,CLE,home,Clear.,76,686752,DH,2,0,0,0,0,0,0,0,0,1,2,0.232,0.269,0.393,0.662,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,,,,,0.506,0.173,,0.235,1.07,,0.51,,-0.47,94.9,85.8,,89.0,,0.181,0.33,0.316,0.267,0.407,0.317,0.167,0.167,0.5,0.216,0.353,0.286,,,,140.0,75.0,84.0,100.0,103.0,100.0,,,,0.06,,0.027,-0.88,,-1.47,91.6,,80.6,,,,,,,0.276,0.586,0.141,,,
2024-09-11,1:11 PM.,CWS,CLE,away,Partly Cloudy.,81,663436,DH,4,0,1,0,0,0,0,0,0,1,1,0.236,0.274,0.4,0.674,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,92.0,95.0,91.0,,,,114.0,108.0,111.0,,,,,0.285,0.268,,0.196,-2.03,,1.22,,-0.16,93.6,89.3,,83.6,,0.389,0.472,0.202,0.121,0.293,0.378,0.357,0.429,0.348,0.34,0.4,0.204,,,,95.0,91.0,93.0,76.0,93.0,84.0,,,,0.175,,0.076,1.59,,-2.54,89.0,,78.4,,,,,,,0.206,0.294,0.231,,,
2024-09-10,6:40 PM.,CWS,CLE,away,Clear.,80,686563,DH,4,0,2,0,0,0,1,0,0,1,1,0.236,0.274,0.406,0.68,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,,,,0.28,0.123,0.218,,0.187,-1.13,0.44,-1.39,,-0.22,94.3,85.7,93.3,81.9,,0.25,0.411,0.252,,,,,,,0.248,0.394,0.269,0.287,0.449,0.132,,,,79.0,101.0,93.0,,,,0.192,,,0.39,,,90.2,,,,,,0.255,0.489,0.282,0.263,0.45,0.191,,,
2024-09-09,6:39 PM.,CWS,CLE,away,Clear.,79,694363,DH,1,0,0,0,0,0,0,0,0,0,2,0.225,0.266,0.402,0.668,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,71.0,97.0,86.0,68.0,101.0,88.0,85.0,104.0,102.0,,,,0.047,0.375,0.284,,0.294,-0.54,-0.83,0.49,,-0.49,92.5,84.1,91.8,86.0,,0.274,0.487,0.162,0.25,0.316,0.288,,,,0.244,0.372,0.312,0.313,0.5,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,1:10 PM.,LAD,CLE,away,Sunny.,103,656427,PH,1,0,0,0,0,0,0,0,0,1,1,0.228,0.269,0.406,0.675,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,101.0,103.0,107.0,0.023,0.441,0.29,0.218,0.027,0.5,-5.05,0.02,2.19,-0.55,93.3,85.7,90.6,84.7,77.4,0.245,0.401,0.238,0.222,0.455,0.363,0.164,0.219,0.436,0.111,0.333,0.111,0.6,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,6:09 PM.,LAD,CLE,away,Partly Cloudy.,92,518489,DH,2,0,1,1,0,0,0,0,0,0,1,0.23,0.271,0.41,0.681,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,93.0,111.0,107.0,96.0,95.0,90.0,102.0,110.0,111.0,,,,0.163,0.294,0.422,,,4.25,1.24,-2.39,,,94.5,,94.5,85.3,,0.115,0.115,0.265,0.28,0.58,0.253,,,,,,,0.214,0.214,0.2,,,,78.0,103.0,104.0,,,,0.12,,,4.05,,,90.4,,,,,,,,,0.182,0.273,0.037,,,
2024-09-06,7:10 PM.,LAD,CLE,away,Clear.,87,689017,DH,3,0,0,0,0,0,0,0,1,2,0,0.224,0.267,0.398,0.665,689017,landonknack,Knack,Right,Landon Knack,LAD,3.65,3.94,69.0,98.0,104.0,99.0,0.78,9.0,2.35,7.57,1.83,0.62,0.204,0.505,0.138,0.352,0.429,73.0,91.0,90.0,115.0,99.0,103.0,,,,120.0,105.0,104.0,,,,,0.463,0.23,,0.145,0.2,,1.46,,-0.24,93.5,84.2,,85.1,,0.228,0.526,0.203,0.183,0.296,0.278,0.333,0.485,0.206,0.182,0.364,0.271,,,,77.0,92.0,89.0,,,,,,,,,0.162,,,-1.55,,,79.6,,,,,,,,,,,,
2024-09-04,6:40 PM.,KC,CLE,away,Clear.,82,607625,1B,3,0,0,0,0,0,0,0,0,1,2,0.232,0.267,0.411,0.678,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,,,,0.185,0.24,0.135,,0.069,0.7,0.65,-0.67,,0.08,92.2,87.4,92.1,85.2,,0.234,0.392,0.176,0.213,0.387,0.2,0.178,0.271,0.339,0.208,0.333,0.291,0.274,0.381,0.129,126.0,100.0,110.0,97.0,103.0,103.0,93.0,107.0,106.0,0.082,0.026,0.262,2.86,0.07,1.44,90.1,85.7,79.4,0.105,0.421,0.351,0.375,0.75,0.109,0.228,0.228,0.23,0.215,0.28,0.285
2024-09-03,6:40 PM.,KC,CLE,away,Clear.,79,663903,DH,4,0,3,1,0,0,0,0,0,1,2,0.239,0.276,0.424,0.7,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,80.0,77.0,69.0,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,,,,0.413,0.113,0.455,,0.019,-2.09,0.77,0.0,,-5.71,91.6,88.1,92.2,82.9,,0.326,0.609,0.197,0.207,0.361,0.354,,,,0.429,0.5,0.111,0.267,0.389,0.127,,,,,,,,,,,,,,,,,,,,,,0.327,0.571,0.35,,,,,,
2024-09-02,3:11 PM.,KC,CLE,away,Sunny.,78,608379,DH,3,0,0,0,0,0,0,0,0,1,1,0.216,0.255,0.398,0.653,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,,,,0.153,0.238,0.092,,0.322,0.39,0.29,-2.39,,2.26,93.6,81.2,93.6,84.1,,0.279,0.449,0.169,0.371,0.6,0.373,0.357,0.643,0.174,0.169,0.312,0.341,0.252,0.301,0.099,72.0,89.0,92.0,78.0,100.0,92.0,,,,0.114,,0.081,-0.94,,-1.64,88.8,,75.2,,,,,,,0.319,0.458,0.148,,,
2024-09-01,1:40 PM.,PIT,CLE,home,Sunny.,78,656605,DH,3,2,2,0,0,2,2,0,1,0,1,0.224,0.264,0.412,0.676,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,,,,0.22,0.304,0.25,,0.008,0.3,-0.26,-1.04,,-12.5,94.4,89.8,93.4,84.7,,0.257,0.4,0.24,0.338,0.636,0.248,0.233,0.442,0.293,0.667,1.333,0.0,0.266,0.405,0.125,111.0,96.0,104.0,96.0,99.0,98.0,,,,0.122,,0.096,-1.0,,-0.11,90.4,,78.4,,,,0.204,0.331,0.25,0.272,0.593,0.195,,,
