date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-09-15,1:11 PM.,MIL,AZ,home,Roof Closed.,77,669084,C,1,1,1,0,0,0,1,0,0,0,0,0.313,0.368,0.525,0.893,669084,dlhall,"Hall, DL",Left,DL Hall,MIL,5.02,4.46,43.0,99.0,87.0,96.0,0.794,9.21,4.4,10.05,1.26,1.22,0.189,0.441,0.173,0.299,0.413,93.0,99.0,92.0,104.0,99.0,102.0,72.0,98.0,91.0,,,,105.0,105.0,108.0,,0.453,0.143,0.199,0.205,-2.43,,0.51,0.75,-0.11,93.3,84.7,,84.7,79.7,0.189,0.351,0.347,0.182,0.212,0.451,0.395,0.553,0.124,,,,0.208,0.375,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,5:10 PM.,MIL,AZ,home,Roof Closed.,78,668964,C,4,0,2,1,0,0,1,0,0,0,3,0.304,0.36,0.519,0.879,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,0.005,0.401,0.21,0.041,0.114,0.58,11.28,1.43,-3.19,1.18,92.9,81.1,91.5,85.5,77.8,0.083,0.083,0.444,0.198,0.255,0.248,0.239,0.436,0.194,0.0,0.0,0.0,0.421,0.579,0.194,,,,96.0,100.0,91.0,,,,0.23,,-0.75,,89.2,,0.336,0.518,0.123,,,,,,,,,,,,
2024-09-11,12:41 PM.,TEX,AZ,home,Roof Closed.,78,674003,C,4,2,2,1,0,1,3,0,0,1,1,0.293,0.354,0.507,0.861,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,105.0,104.0,109.0,96.0,103.0,104.0,94.0,105.0,93.0,,,,49.0,114.0,107.0,,0.523,0.07,0.128,0.273,1.75,,-0.79,-2.32,0.86,89.8,80.9,,82.7,74.9,0.21,0.333,0.338,0.32,0.48,0.182,0.185,0.344,0.213,,,,0.306,0.556,0.129,,,,70.0,112.0,85.0,,,,0.007,,-3.68,,86.4,,,,,,,,,,,,,,,,
2024-09-08,6:11 PM.,HOU,AZ,away,Roof Closed.,0,434378,C,5,0,2,1,0,0,0,0,0,1,1,0.282,0.346,0.451,0.797,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,0.487,0.193,0.219,0.101,-0.59,,0.66,-1.46,-0.58,93.5,84.0,,86.7,77.6,0.235,0.353,0.253,0.195,0.322,0.215,0.299,0.497,0.202,,,,0.34,0.56,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,7:12 PM.,HOU,AZ,away,Roof Closed.,73,664285,C,1,0,0,0,0,0,0,0,0,0,0,0.273,0.342,0.439,0.781,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,129.0,96.0,108.0,60.0,102.0,94.0,98.0,99.0,97.0,107.0,102.0,110.0,0.458,0.012,0.043,0.313,0.175,-4.64,1.46,-0.2,1.59,0.62,94.5,89.9,94.1,85.1,79.7,0.226,0.278,0.354,0.233,0.467,0.383,0.4,1.0,0.273,0.276,0.399,0.116,0.121,0.187,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05,12:45 PM.,SF,AZ,away,Sunny.,70,605483,C,4,0,0,0,0,0,0,0,0,2,2,0.277,0.347,0.446,0.793,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,148.0,99.0,109.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,0.464,0.101,0.26,0.176,1.16,,0.11,2.25,0.95,95.9,85.5,,88.7,81.1,0.236,0.319,0.476,0.167,0.267,0.446,0.2,0.303,0.244,,,,0.111,0.183,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03,6:44 PM.,SF,AZ,away,Clear.,74,690986,C,4,0,1,0,0,0,0,0,0,2,1,0.295,0.368,0.475,0.843,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,0.577,0.003,0.223,0.197,0.2,,-11.71,-0.22,-1.64,92.5,84.8,,88.2,80.6,0.287,0.435,0.215,0.333,0.667,0.5,0.249,0.425,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,0.452,0.277
2024-09-02,1:10 PM.,LAD,AZ,home,Roof Closed.,76,656427,C,4,0,0,0,0,0,0,0,0,3,3,0.298,0.375,0.491,0.866,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,0.023,0.441,0.29,,0.027,0.5,-5.05,0.02,,-0.55,93.3,85.7,90.6,84.7,,0.111,0.333,0.111,0.222,0.455,0.363,0.245,0.401,0.238,0.6,1.2,0.4,0.164,0.219,0.436,,,,,,,,,,,,,,,,,,,,,,101.0,103.0,107.0,0.218,2.19,77.4,,,
2024-08-31,5:10 PM.,LAD,AZ,home,Roof Closed.,78,694813,C,3,0,0,0,0,0,0,0,1,1,1,0.321,0.4,0.528,0.928,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,93.0,102.0,102.0,101.0,100.0,97.0,97.0,103.0,98.0,136.0,111.0,117.0,0.226,0.247,0.165,0.042,0.266,0.1,-0.69,0.96,1.45,0.82,94.9,87.5,95.3,88.7,83.3,0.178,0.356,0.372,0.239,0.326,0.355,0.246,0.41,0.162,0.314,0.504,0.136,0.267,0.333,0.167,0.182,0.182,0.133,80.0,101.0,94.0,,,,0.053,,0.49,,92.3,,0.32,0.48,0.183,,,,,,,,,,,,
2024-08-30,6:41 PM.,LAD,AZ,home,Roof Closed.,78,477132,C,1,0,0,0,0,0,0,0,0,1,1,0.34,0.411,0.56,0.971,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,4.5,4.59,30.0,100.0,101.0,100.0,0.79,7.2,2.7,10.8,0.6,1.12,0.134,0.485,0.144,0.289,0.461,58.0,86.0,75.0,114.0,99.0,107.0,90.0,99.0,94.0,,,,108.0,103.0,104.0,0.006,0.351,0.437,0.163,0.022,-2.61,-2.44,-0.11,0.67,3.89,89.9,84.2,90.2,86.0,72.1,,,,0.281,0.421,0.264,0.429,0.514,0.078,,,,0.174,0.348,0.317,,,,,,,61.0,72.0,74.0,,0.022,,-4.62,,82.9,,,,0.333,0.333,0.375,,,,,,,,,
