date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-09-28,3:30 PM.,DET,CWS,away,Drizzle.,70,689225,C,3,0,0,0,0,0,0,0,1,1,0,0.129,0.197,0.129,0.326,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,0.265,0.99,2.22,-1.62,0.26,95.9,88.4,95.5,86.1,0.241,0.552,0.271,0.235,0.294,0.116,,,,0.222,0.272,0.212,0.212,0.4,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,1:11 PM.,LAA,CWS,home,Sunny.,73,542881,C,4,0,0,0,0,0,0,0,0,2,4,0.134,0.194,0.134,0.328,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.371,-0.73,-3.87,-0.06,1.32,89.4,78.9,88.1,81.3,0.0,0.0,0.357,0.261,0.696,0.152,,,,0.272,0.494,0.183,0.185,0.259,0.396,,,,0.001,-3.14,71.6,,,,99.0,100.0,96.0,,,,0.185,,-0.41,,84.3,,,,,0.264,0.455,0.247,,,,,,
2024-09-24,7:45 PM.,LAA,CWS,home,Cloudy.,64,686799,C,2,0,0,0,0,0,0,0,0,0,0,0.143,0.206,0.143,0.349,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.03,-1.87,0.89,,-3.35,96.3,88.3,95.8,,,,,0.286,0.411,0.121,,,,0.167,0.5,0.364,0.333,0.444,0.067,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,5:44 PM.,SD,CWS,away,Partly Cloudy.,70,527048,C,3,0,1,0,0,0,0,0,1,0,0,0.148,0.212,0.148,0.36,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,0.358,0.053,0.0,0.227,-8.23,0.57,-51.06,-1.27,91.3,83.4,90.7,82.8,,,,0.275,0.383,0.097,,,,0.458,0.917,0.043,0.28,0.448,0.341,74.0,102.0,98.0,0.141,0.62,77.9,0.246,0.354,0.29,70.0,101.0,93.0,,,,0.221,,-0.61,,87.9,,,,,0.28,0.57,0.212,,,,,,
2024-09-18,1:08 PM.,LAA,CWS,away,Partly Cloudy.,75,686799,C,3,0,0,0,0,0,0,0,0,1,3,0.138,0.194,0.138,0.332,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.03,-1.87,0.89,,-3.35,96.3,88.3,95.8,,,,,0.286,0.411,0.121,,,,0.167,0.5,0.364,0.333,0.444,0.067,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,6:39 PM.,LAA,CWS,away,Partly Cloudy.,68,672282,C,4,0,0,0,0,0,0,0,0,3,0,0.145,0.203,0.145,0.348,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.142,-0.56,,-0.44,-1.18,93.8,84.7,,86.2,0.22,0.39,0.368,,,,,,,0.278,0.508,0.253,0.351,0.544,0.319,89.0,100.0,103.0,0.146,-3.5,75.0,0.37,0.804,0.216,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,6:11 PM.,OAK,CWS,home,Partly Cloudy.,81,669372,C,4,1,1,0,0,0,0,0,0,0,2,0.157,0.218,0.157,0.375,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,0.511,0.035,0.309,0.146,1.23,-0.98,2.3,-0.36,92.2,87.0,92.9,85.3,0.158,0.237,0.355,0.319,0.472,0.205,,,,0.0,0.0,0.333,0.389,0.556,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,1:11 PM.,CLE,CWS,home,Partly Cloudy.,81,571510,C,2,0,0,0,0,0,0,0,0,2,1,0.149,0.216,0.149,0.365,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.262,1.47,-2.47,1.14,0.04,92.0,80.9,91.8,79.5,0.148,0.222,0.449,0.32,0.64,0.071,,,,0.15,0.25,0.246,0.261,0.37,0.352,85.0,100.0,98.0,0.081,1.41,74.1,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,7:15 PM.,BOS,CWS,away,Cloudy.,71,681867,C,2,1,0,0,0,0,0,0,2,0,1,0.156,0.208,0.156,0.364,681867,coopercriswell,Criswell,Right,Cooper Criswell,BOS,4.08,4.31,99.1,102.0,100.0,99.0,0.848,6.61,2.81,9.33,0.91,1.51,0.208,0.486,0.153,0.358,0.41,99.0,103.0,102.0,,,,102.0,108.0,100.0,110.0,95.0,99.0,0.297,,0.288,0.261,,0.48,-1.92,0.55,,84.4,89.1,77.1,0.429,0.857,0.154,0.33,0.511,0.073,0.287,0.479,0.207,,,,0.256,0.338,0.171,,,,,,,,,,79.0,103.0,93.0,,,,0.154,,0.64,,86.4,,,,,0.163,0.306,0.294,,,,,,
2024-09-06,7:11 PM.,BOS,CWS,away,Partly Cloudy.,71,601713,C,4,0,1,0,0,0,0,0,0,0,1,0.163,0.182,0.163,0.345,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,,,,155.0,103.0,111.0,,0.486,0.291,,0.73,,-0.1,,93.9,,,82.6,0.143,0.393,0.326,,,,0.224,0.436,0.35,0.239,0.399,0.218,,,,118.0,104.0,104.0,0.163,0.61,80.0,0.167,0.4,0.206,104.0,96.0,82.0,,,,0.059,,-4.63,,88.3,,,,,0.394,0.879,0.211,,,,,,
