date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FO%,wFO/C,vFO,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-08-19,6:41 PM.,TOR,CIN,home,Clear.,83,605135,RF,2,0,0,0,0,0,0,0,0,1,4,0.243,0.349,0.311,0.66,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,78.0,84.0,84.0,0.093,0.153,0.033,0.136,0.126,-3.9,-1.13,-3.07,-0.72,0.67,92.4,87.8,82.6,75.6,70.7,0.333,0.652,0.206,0.375,0.563,0.226,0.274,0.496,0.253,0.192,0.295,0.318,0.227,0.636,0.191,72.0,93.0,91.0,92.0,104.0,98.0,0.393,0.065,2.11,1.71,84.1,91.9,0.22,0.336,0.144,0.189,0.351,0.1009999999999999,,,,,,,,,
2023-08-15,6:42 PM.,CLE,CIN,home,Partly Cloudy.,72,671106,DH,4,0,0,0,0,0,0,0,0,3,3,0.25,0.357,0.319,0.676,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,,,,0.451,0.089,,0.247,,-0.12,-2.1,,-0.74,,91.4,86.3,,79.3,,0.257,0.482,0.177,,,,0.462,0.692,0.17,,,,0.3,0.3,0.368,60.0,104.0,105.0,,,,,0.213,,1.49,82.7,,,,,0.191,0.223,0.33,,,,,,,,,
2023-08-13,1:36 PM.,PIT,CIN,away,Partly Cloudy.,79,656605,PH,1,0,0,0,0,0,0,0,0,1,1,0.231,0.342,0.292,0.634,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.21,4.18,194.1,103.0,104.0,103.0,0.797,9.73,2.55,8.66,1.16,1.29,0.277,0.358,0.172,0.31,0.456,91.0,94.0,98.0,100.0,106.0,100.0,142.0,104.0,123.0,99.0,98.0,99.0,,,,0.261,0.242,,0.161,0.08,0.66,-0.07,,-0.5,-1.97,95.2,89.7,,82.8,78.0,0.176,0.351,0.302,,,,0.316,0.503,0.236,0.273,0.614,0.235,0.221,0.324,0.272,83.0,104.0,97.0,93.0,106.0,100.0,0.228,0.028,1.66,-2.63,90.7,93.9,0.258,0.346,0.105,0.36,0.6,0.211,,,,,,,,,
2023-08-13,6:06 PM.,PIT,CIN,away,Partly Cloudy.,82,656578,RF,3,1,3,1,0,0,1,0,1,0,0,0.265,0.375,0.338,0.713,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,,,,,,,0.446,,,0.17,0.065,0.74,,,1.4,1.88,94.9,,,87.1,81.5,0.222,0.367,0.191,,,,,,,0.067,0.067,0.3229999999999999,0.148,0.296,0.206,85.0,106.0,100.0,,,,,0.32,,-1.7,86.9,,,,,0.273,0.566,0.297,,,,,,,,,
2023-08-11,7:09 PM.,PIT,CIN,away,Cloudy.,83,670912,DH,2,0,0,0,0,0,0,0,0,1,1,0.234,0.347,0.297,0.644,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,87.0,97.0,101.0,83.0,93.0,87.0,103.0,98.0,104.0,,,,,,,0.392,,,0.367,0.149,-1.25,,,0.8,0.82,95.8,,,88.2,80.9,0.277,0.477,0.183,,,,,,,0.193,0.352,0.308,0.21,0.349,0.326,75.0,84.0,82.0,100.0,93.0,92.0,0.05,0.041,0.93,-0.07,88.1,95.7,0.276,0.345,0.065,0.25,0.3,0.357,,,,,,,,,
2023-05-19,6:41 PM.,NYY,CIN,home,Partly Cloudy.,77,657376,DH,2,0,0,0,0,0,0,0,2,1,2,0.242,0.356,0.306,0.662,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,,,,109.0,99.0,107.0,96.0,106.0,105.0,,,,,0.279,,0.274,,,0.27,,-0.59,,,91.3,,86.0,,,,,,,,0.28,0.457,0.222,0.198,0.314,0.345,0.276,0.559,0.263,31.0,95.0,88.0,68.0,103.0,88.0,0.241,0.015,-0.2,-7.35,89.4,93.4,0.288,0.447,0.11,0.5,0.5,0.091,,,,146.0,100.0,118.0,0.191,-0.46,83.7
2023-05-15,6:41 PM.,COL,CIN,away,Cloudy.,63,657756,DH,4,2,2,1,0,0,0,1,1,0,3,0.25,0.348,0.317,0.665,657756,connorseabold,Seabold,Right,Connor Seabold,COL,7.52,5.13,87.1,102.0,80.0,95.0,0.8,6.9,2.89,11.95,1.96,0.72,0.297,0.366,0.157,0.395,0.46,100.0,101.0,103.0,74.0,104.0,93.0,93.0,104.0,102.0,,,,,,,0.544,,,0.305,0.018,-1.53,,,-2.41,-8.0,92.6,,,85.3,78.7,0.338,0.605,0.186,,,,,,,0.5,0.6,0.231,0.313,0.616,0.262,72.0,88.0,86.0,,,,,0.133,,0.41,80.6,,,,,0.204,0.265,0.2269999999999999,,,,,,,,,
2023-05-14,1:41 PM.,MIA,CIN,away,Roof Closed.,72,666129,LF,3,0,0,0,0,0,0,0,0,0,3,0.232,0.328,0.286,0.614,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,80.0,97.0,95.0,79.0,101.0,93.0,100.0,102.0,102.0,95.0,100.0,97.0,,,,0.075,0.177,,0.258,0.084,-1.84,1.53,,0.45,-4.44,90.8,87.5,,82.8,77.7,0.325,0.575,0.159,,,,0.243,0.477,0.247,0.5,1.059,0.2,0.169,0.302,0.408,85.0,95.0,86.0,91.0,102.0,97.0,0.317,0.088,1.06,0.73,84.1,90.5,0.256,0.377,0.107,0.286,0.327,0.327,,,,,,,,,
2023-05-13,1:12 PM.,MIA,CIN,away,Roof Closed.,72,645261,RF,4,0,2,1,0,0,1,0,0,1,1,0.245,0.333,0.302,0.635,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,134.0,99.0,105.0,111.0,111.0,107.0,116.0,103.0,110.0,,,,,,,0.213,,,0.201,0.022,-0.27,,,0.72,-0.52,98.0,,,89.9,86.1,0.253,0.448,0.267,,,,,,,0.308,0.308,0.182,0.227,0.364,0.352,108.0,104.0,107.0,115.0,106.0,108.0,0.29,0.273,1.72,-0.43,91.1,97.6,0.237,0.366,0.124,0.282,0.401,0.299,,,,,,,,,
2023-05-12,6:40 PM.,MIA,CIN,away,Partly Cloudy.,83,691587,DH,4,0,1,0,0,0,0,1,0,2,2,0.224,0.321,0.265,0.586,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,91.0,95.0,99.0,128.0,100.0,109.0,101.0,102.0,107.0,,,,,,,0.454,,,0.308,0.14,-0.47,,,0.99,1.89,97.5,,,86.4,81.2,0.289,0.585,0.187,,,,,,,0.098,0.171,0.5429999999999999,0.183,0.365,0.477,86.0,85.0,82.0,,,,,0.098,,0.99,89.7,,,,,0.045,0.045,0.462,,,,,,,,,
2023-05-11,12:36 PM.,NYM,CIN,home,Partly Cloudy.,76,673540,RF,2,0,0,0,0,0,0,0,1,1,0,0.222,0.327,0.267,0.594,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,,,,0.37,0.25,,0.116,0.027,0.17,2.52,,-0.96,-0.23,95.7,90.8,,82.7,72.8,0.244,0.399,0.173,0.11,0.147,0.595,0.244,0.339,0.182,0.125,0.5,0.444,0.333,0.952,0.245,,,,,,,,,,,,,,,,,,,0.237,0.95,83.2,,,,,,
