date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,ST_ba,ST_slg,ST_whiff
2023-08-19,6:12 PM.,SEA,HOU,home,Roof Closed.,73,669302,PH,1,0,0,0,0,0,0,0,0,1,0,0.119,0.213,0.167,0.38,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,0.003,0.419,,0.297,,,0.01,,-11.33,1.84,,,95.7,,,93.7,88.7,,0.28,0.491,0.177,,,,0.667,1.0,0.25,0.211,0.349,0.322,0.214,0.371,0.306,,,,0.134,0.39,80.3,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,,,,110.0,95.0,103.0,,,
2023-07-21,6:41 PM.,OAK,HOU,away,Clear.,71,676664,DH,3,0,0,0,0,0,0,0,1,1,1,0.12,0.215,0.169,0.384,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,93.0,102.0,106.0,,,,0.001,0.501,,0.346,,0.151,-0.84,,0.63,-0.06,,0.36,93.1,,84.1,92.1,81.4,,0.256,0.478,0.217,,,,,,,0.21,0.395,0.283,,,,0.277,0.438,0.225,,,,,,,,,,,,,,,,,,,,,
2023-07-14,6:37 PM.,LAA,HOU,away,Clear.,85,660271,DH,1,0,0,0,0,0,0,0,0,1,2,0.125,0.213,0.175,0.388,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,0.06,0.33,0.156,0.356,0.036,,1.64,-0.82,-0.53,1.81,1.15,,96.8,88.6,,94.5,83.7,75.7,0.164,0.236,0.27,0.31,0.606,0.228,0.273,0.409,0.225,0.146,0.339,0.365,0.111,0.167,0.417,,,,,,,129.0,93.0,108.0,0.062,-0.25,88.6,0.179,0.205,0.411,,,,,,,,,
2023-07-07,7:11 PM.,SEA,HOU,home,Roof Closed.,73,622491,1B,2,0,0,0,0,0,0,0,0,0,0,0.127,0.216,0.177,0.393,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,,,,0.179,0.444,,0.221,,0.156,1.31,,0.6,-0.12,,-1.6,96.3,,88.3,95.9,85.7,,0.165,0.384,0.33,,,,0.239,0.337,0.136,0.234,0.455,0.3779999999999999,,,,0.28,0.42,0.325,,,,,,,,,,,,,,,,,,,,,
2023-05-17,7:10 PM.,CHC,HOU,home,Roof Closed.,73,592767,2B,3,0,0,0,0,0,0,0,0,2,3,0.13,0.221,0.182,0.403,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,,,,77.0,94.0,88.0,,,,86.0,94.0,82.0,0.389,,0.117,,,,,-0.51,-1.32,,,,,88.6,,91.9,,,,,,0.293,0.463,0.216,0.314,0.6,0.173,,,,0.229,0.399,0.36,,,,0.494,-0.09,78.6,,,,,,,,,,,,,105.0,102.0,103.0,,,
2023-05-16,7:11 PM.,CHC,HOU,home,Roof Closed.,73,657006,1B,1,0,0,0,0,0,0,0,0,0,0,0.135,0.229,0.189,0.418,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,0.018,0.626,,0.339,0.006,0.01,0.67,,0.89,0.54,2.44,-1.94,91.8,,87.5,92.2,83.3,80.7,0.275,0.393,0.203,,,,0.25,0.333,0.1669999999999999,0.217,0.346,0.311,0.0,0.0,0.3329999999999999,0.4,0.4,0.1,,,,,,,,,,,,,,,,,,,,,
2023-05-14,1:10 PM.,CWS,HOU,away,Overcast.,58,608337,2B,4,0,0,0,0,0,0,0,0,2,0,0.137,0.232,0.192,0.424,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,0.283,-0.85,,,-0.25,-3.72,-0.2,93.1,,80.9,,84.0,77.9,0.262,0.546,0.2,,,,,,,0.236,0.438,0.345,0.5,0.5,0.2,0.209,0.442,0.352,,,,,,,,,,,,,,,,,,,,,
2023-05-10,1:08 PM.,LAA,HOU,away,Partly Cloudy.,69,656288,2B,3,1,0,0,0,0,0,0,1,2,1,0.145,0.244,0.203,0.447,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,0.006,0.348,,0.299,0.134,0.213,-0.21,,-8.61,0.1,-0.53,1.6,94.7,,90.2,95.0,88.4,81.8,0.235,0.5,0.283,,,,0.333,1.333,0.0,0.261,0.344,0.34,0.271,0.667,0.252,0.213,0.339,0.248,,,,,,,,,,,,,,,,,,,,,
2023-05-09,6:39 PM.,LAA,HOU,away,Partly Cloudy.,63,660271,2B,1,1,1,0,0,0,0,0,0,0,0,0.152,0.243,0.212,0.455,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,0.06,0.33,0.156,0.356,0.036,,1.64,-0.82,-0.53,1.81,1.15,,96.8,88.6,,94.5,83.7,75.7,0.164,0.236,0.27,0.31,0.606,0.228,0.273,0.409,0.225,0.146,0.339,0.365,0.111,0.167,0.417,,,,,,,129.0,93.0,108.0,0.062,-0.25,88.6,0.179,0.205,0.411,,,,,,,,,
2023-05-08,6:39 PM.,LAA,HOU,away,Clear.,69,663776,3B,3,1,1,0,0,1,1,0,0,1,1,0.138,0.233,0.2,0.433,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,,,,0.111,0.256,,0.285,0.09,0.258,-1.22,,0.36,0.02,0.27,0.3,93.0,,83.0,93.2,86.5,76.5,0.336,0.507,0.156,,,,0.269,0.327,0.129,0.2,0.5,0.306,0.286,0.286,0.237,0.184,0.33,0.432,,,,,,,,,,,,,,,,,,,,,
