date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-06-25,1:40 PM.,PIT,MIA,home,Roof Closed.,72,670912,SS,3,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.367,0.041,-1.25,0.93,0.8,-0.07,95.8,88.1,95.7,88.2,0.276,0.345,0.065,0.21,0.349,0.326,0.277,0.477,0.183,0.25,0.3,0.357,87.0,97.0,101.0,0.149,0.82,80.9,,,,0.193,0.352,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-20,6:42 PM.,TOR,MIA,home,Roof Closed.,72,579328,SS,2,0,0,0,0,0,0,0,0,1,1,0.333,0.333,0.333,0.666,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.097,0.05,,1.11,-1.83,95.1,88.7,,88.7,,,,0.225,0.396,0.302,0.27,0.412,0.268,0.254,0.508,0.193,98.0,103.0,105.0,0.193,0.24,83.1,,,,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19,6:41 PM.,TOR,MIA,home,Roof Closed.,72,621244,2B,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,96.0,103.0,99.0,92.0,104.0,99.0,,,,0.315,0.204,,0.185,0.72,0.61,,-0.38,94.3,84.1,93.8,,0.255,0.398,0.131,,,,0.254,0.456,0.276,0.245,0.409,0.33,116.0,104.0,110.0,0.296,0.31,82.6,0.216,0.357,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18,1:36 PM.,WSH,MIA,away,Sunny.,81,571578,SS,3,1,1,0,0,0,1,1,0,0,4,0.333,0.333,0.333,0.666,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,0.417,0.169,0.35,0.064,-0.69,-0.89,-0.51,-2.07,91.8,81.2,92.1,80.5,0.32,0.463,0.074,0.233,0.461,0.397,0.327,0.541,0.121,0.29,0.645,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,3:12 PM.,DET,CWS,away,Overcast.,72,628317,SS,5,0,1,0,0,0,1,0,0,3,3,0.176,0.222,0.191,0.413,628317,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.09,4.43,112.1,101.0,93.0,100.0,0.776,7.69,2.48,9.93,1.76,0.83,0.19,0.466,0.185,0.27,0.388,,,,67.0,99.0,91.0,59.0,104.0,93.0,101.0,95.0,98.0,0.072,0.225,0.359,,-2.6,-0.02,-0.34,,90.8,,90.4,81.4,0.294,0.324,0.133,0.31,0.569,0.268,0.359,0.667,0.13,,,,80.0,75.0,78.0,0.016,-4.36,76.4,,,,0.5,0.75,0.0,65.0,94.0,79.0,110.0,105.0,110.0,0.016,0.312,1.08,-0.22,84.8,83.9,0.333,0.333,0.391,0.217,0.42,0.303,0.241,0.379,0.207,,,,,,
2024-09-28,3:30 PM.,DET,CWS,away,Drizzle.,70,689225,SS,4,0,0,0,0,0,0,0,0,2,1,0.175,0.224,0.19,0.414,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,0.159,0.404,0.173,0.265,0.99,2.22,-1.62,0.26,95.9,88.4,95.5,86.1,0.235,0.294,0.116,0.241,0.552,0.271,0.222,0.272,0.212,0.212,0.4,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,1:11 PM.,LAA,CWS,home,Sunny.,73,542881,SS,4,0,1,0,0,0,0,0,0,1,2,0.186,0.238,0.203,0.441,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.371,-0.73,-3.87,-0.06,1.32,89.4,78.9,88.1,81.3,0.261,0.696,0.152,0.0,0.0,0.357,0.272,0.494,0.183,0.185,0.259,0.396,,,,0.001,-3.14,71.6,,,,,,,99.0,100.0,96.0,,,,0.185,,-0.41,,84.3,,0.264,0.455,0.247,,,,,,,,,,,,
2024-09-25,6:40 PM.,LAA,CWS,home,Clear.,70,660761,SS,3,0,0,0,0,0,0,0,0,0,3,0.182,0.237,0.2,0.437,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,6.02,4.84,52.1,94.0,100.0,95.0,0.742,9.63,4.64,9.8,1.2,1.11,0.229,0.451,0.196,0.34,0.381,96.0,90.0,96.0,104.0,95.0,95.0,73.0,100.0,88.0,103.0,95.0,94.0,0.088,0.399,0.249,0.247,-0.93,-7.11,0.92,-1.17,93.0,82.9,91.8,81.9,0.5,1.045,0.136,0.25,0.393,0.299,0.286,0.49,0.226,0.243,0.459,0.333,77.0,123.0,123.0,0.001,-2.42,74.1,,,,,,,107.0,94.0,86.0,,,,0.015,,-5.92,,88.7,,0.4,0.8,0.125,,,,0.167,0.233,0.386,,,,,,
2024-09-24,7:45 PM.,LAA,CWS,home,Cloudy.,64,686799,SS,2,0,0,0,0,0,0,0,0,0,0,0.192,0.25,0.212,0.462,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.03,-1.87,0.89,,-3.35,96.3,88.3,95.8,,0.286,0.411,0.121,,,,0.167,0.5,0.364,0.333,0.444,0.067,111.0,95.0,106.0,0.184,-1.06,85.0,,,,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,1:11 PM.,SD,CWS,away,Sunny.,73,506433,SS,3,0,0,0,0,0,0,0,0,2,0,0.2,0.259,0.22,0.479,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,3.31,3.62,81.2,102.0,101.0,102.0,0.755,8.6,2.42,7.16,1.32,0.89,0.171,0.504,0.154,0.325,0.467,,,,97.0,104.0,102.0,88.0,104.0,98.0,118.0,100.0,106.0,0.168,0.19,0.371,,-0.19,-0.28,0.6,,94.0,,93.6,84.4,0.255,0.473,0.176,0.269,0.478,0.286,0.21,0.403,0.151,,,,85.0,94.0,102.0,0.086,0.49,73.8,,,,0.162,0.243,0.364,80.0,103.0,97.0,110.0,99.0,99.0,0.044,0.09,2.98,0.68,90.6,87.9,0.0,0.0,0.346,0.167,0.333,0.328,0.214,0.333,0.261,89.0,114.0,112.0,0.051,2.13,78.7
