date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff
2024-08-21,6:45 PM.,STL,MIL,away,Clear.,73,502043,DH,3,0,1,0,0,0,0,0,0,2,2,0.204,0.316,0.245,0.561,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,96.0,95.0,91.0,0.264,0.132,0.211,0.207,0.099,-1.39,0.21,0.22,0.92,1.2,91.4,88.6,84.9,90.7,80.7,0.299,0.479,0.181,0.268,0.563,0.065,0.2,0.312,0.412,0.19,0.254,0.39,0.267,0.422,0.092,102.0,103.0,104.0,0.086,-2.21,78.3,0.325,0.675,0.462,,,,,,,,,,,,,,,,,,,,,
2024-08-20,6:46 PM.,STL,MIL,away,Partly Cloudy.,76,607200,DH,1,0,0,0,0,0,0,0,2,0,0,0.196,0.315,0.239,0.554,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,78.0,104.0,97.0,0.308,0.003,0.323,0.202,0.164,-6.18,0.43,0.59,1.28,-0.54,92.9,89.9,87.7,93.0,83.5,0.262,0.47,0.232,0.5,0.5,0.0,0.165,0.309,0.251,0.228,0.351,0.165,0.25,0.358,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,7:11 PM.,CLE,MIL,home,Roof Closed.,79,668909,DH,4,2,1,0,0,0,0,0,0,0,2,0.2,0.294,0.244,0.538,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,97.0,102.0,102.0,,,,95.0,80.0,96.0,98.0,99.0,94.0,,0.515,0.12,0.113,0.054,0.08,0.56,,-0.16,-3.82,96.6,91.6,89.2,,88.6,0.205,0.333,0.341,0.286,0.421,0.22,,,,0.417,0.833,0.148,,,,121.0,101.0,105.0,0.198,-0.01,79.5,0.155,0.31,0.304,0.258,0.387,0.242,,,,,,,,,,,,,,,,,,
2024-08-15,1:11 PM.,LAD,MIL,home,Roof Closed.,77,656427,DH,1,0,0,0,0,0,1,0,0,0,2,0.195,0.298,0.244,0.542,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,0.027,0.5,,-5.05,0.02,-0.55,93.3,,85.7,90.6,84.7,,,,0.245,0.401,0.238,,,,0.111,0.333,0.111,0.6,1.2,0.4,,,,,,,0.164,0.219,0.436,0.222,0.455,0.363,101.0,103.0,107.0,0.218,2.19,77.4,,,,,,,,,,,,
2024-08-14,7:11 PM.,LAD,MIL,home,Partly Cloudy.,74,621111,DH,3,0,0,0,0,0,0,0,1,2,2,0.2,0.304,0.25,0.554,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,70.0,100.0,89.0,85.0,102.0,99.0,82.0,99.0,92.0,119.0,99.0,108.0,103.0,103.0,100.0,0.163,0.29,0.208,0.095,0.052,-2.43,1.62,-0.74,-0.87,-5.9,95.0,91.2,90.0,94.8,82.9,0.238,0.397,0.215,0.342,0.696,0.169,0.121,0.303,0.294,0.455,0.773,0.088,0.291,0.327,0.115,,,,,,,0.278,0.481,0.267,1.0,2.5,0.25,100.0,98.0,105.0,0.192,-1.56,78.0,,,,,,,,,,,,
2024-08-13,7:10 PM.,LAD,MIL,home,Clear.,80,694813,DH,3,0,0,0,0,0,0,0,0,1,1,0.216,0.31,0.27,0.58,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,101.0,100.0,97.0,97.0,103.0,98.0,136.0,111.0,117.0,80.0,101.0,94.0,0.226,0.247,0.053,0.165,0.266,0.1,0.49,-0.69,0.96,0.82,94.9,92.3,87.5,95.3,88.7,0.32,0.48,0.183,0.246,0.41,0.162,0.182,0.182,0.133,0.178,0.356,0.372,0.314,0.504,0.136,93.0,102.0,102.0,0.042,1.45,83.3,0.267,0.333,0.167,0.239,0.326,0.355,,,,,,,,,,,,,,,,,,
2024-06-29,3:11 PM.,CHC,MIL,home,Partly Cloudy.,85,657006,PH,1,0,0,0,0,0,0,0,0,1,2,0.235,0.316,0.294,0.61,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,,,,0.053,0.595,,0.297,0.033,0.38,,0.43,1.81,0.32,91.6,,86.2,91.6,83.3,,,,0.253,0.396,0.223,,,,0.222,0.222,0.172,0.292,0.458,0.182,92.0,120.0,108.0,0.022,2.76,79.9,0.0,0.0,0.2,0.16,0.243,0.282,,,,,,,,,,,,,,,,,,
2024-06-23,1:11 PM.,SD,MIL,away,Sunny.,79,650633,1B,2,0,1,0,0,0,1,0,1,1,0,0.242,0.324,0.303,0.627,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,,,,0.279,0.241,,0.234,0.246,-0.15,,0.68,-0.19,1.61,93.7,,86.7,92.9,82.9,,,,0.265,0.402,0.261,0.206,0.304,0.345,0.207,0.286,0.362,0.2,0.376,0.189,,,,,,,,,,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,
2024-06-22,4:15 PM.,SD,MIL,away,Sunny.,76,681190,1B,4,0,2,0,0,0,0,0,0,1,1,0.226,0.294,0.29,0.584,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.87,5.94,98.0,101.0,106.0,100.0,0.837,5.69,2.66,10.93,1.19,1.02,0.21,0.378,0.177,0.333,0.434,96.0,99.0,96.0,92.0,103.0,100.0,103.0,103.0,98.0,132.0,101.0,109.0,107.0,99.0,97.0,0.157,0.285,0.137,0.1,0.124,-0.56,2.22,-1.91,-0.16,-3.49,94.3,90.2,88.6,94.2,82.4,0.228,0.351,0.169,0.301,0.462,0.222,0.229,0.396,0.247,0.365,0.615,0.122,0.429,0.571,0.106,124.0,101.0,106.0,0.197,-0.45,82.2,0.234,0.422,0.239,,,,,,,,,,,,,,,,,,,,,
2024-06-21,6:41 PM.,SD,MIL,away,Clear.,70,656302,DH,3,1,0,0,0,0,0,1,1,1,6,0.185,0.267,0.259,0.526,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,123.0,95.0,102.0,,,,112.0,100.0,105.0,113.0,89.0,90.0,,0.435,0.006,0.471,0.009,0.22,-5.11,,1.98,-4.13,96.9,91.8,69.7,,87.2,0.25,1.0,0.0,0.235,0.39,0.203,0.2,0.267,0.385,0.25,1.0,0.2,,,,,,,,,,0.28,0.44,0.286,0.159,0.257,0.447,105.0,95.0,102.0,0.079,-0.95,82.3,,,,,,,,,,,,
