date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,wFA/C,wSI/C,wSL/C,wKC/C,vFA,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
2024-06-20,1:10 PM.,LAD,COL,home,Partly Cloudy.,92,694813,2B,3,0,1,0,0,0,0,0,0,0,0,0.171,0.194,0.2,0.394,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,101.0,100.0,97.0,97.0,103.0,98.0,136.0,111.0,117.0,,,,0.226,0.247,0.165,,0.1,-0.69,0.96,,94.9,95.3,88.7,,0.246,0.41,0.162,0.314,0.504,0.136,0.239,0.326,0.355,0.267,0.333,0.167,81.0,102.0,98.0,93.0,102.0,102.0,0.042,0.266,1.45,0.82,87.5,83.3,0.178,0.356,0.372,80.0,101.0,94.0,0.053,0.49,92.3,0.32,0.48,0.183,0.182,0.182,0.133
2024-06-19,6:41 PM.,LAD,COL,home,Partly Cloudy.,73,676272,2B,3,0,2,1,0,0,0,0,1,0,2,0.156,0.182,0.188,0.37,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,,,,0.136,0.379,0.096,,-1.44,-4.54,-3.17,,97.6,97.3,88.6,,0.327,0.634,0.167,0.433,0.9,0.174,0.333,0.619,0.275,0.357,0.536,0.286,104.0,91.0,96.0,120.0,99.0,104.0,0.19,0.199,-1.0,0.29,86.4,79.8,0.13,0.217,0.41,,,,,,,,,,,,
2024-06-17,6:41 PM.,LAD,COL,home,Partly Cloudy.,87,572020,2B,3,0,0,0,0,0,0,0,0,0,0,0.103,0.103,0.103,0.206,572020,jamespaxton,Paxton,Left,James Paxton,- - -,4.4,4.74,100.1,98.0,74.0,91.0,0.812,6.55,4.49,8.52,1.08,0.88,0.272,0.329,0.144,0.355,0.424,69.0,98.0,86.0,64.0,107.0,97.0,,,,82.0,98.0,97.0,0.05,0.551,,0.303,-0.21,-1.01,,0.57,93.2,92.8,,80.8,0.264,0.431,0.144,0.308,0.423,0.091,,,,0.2,0.3,0.362,72.0,95.0,95.0,,,,,0.066,,-2.12,82.6,,0.25,0.375,0.326,82.0,95.0,83.0,0.031,-3.38,84.0,0.308,0.769,0.13,,,
2024-06-16,1:11 PM.,PIT,COL,home,Partly Cloudy.,82,676596,2B,3,0,0,0,0,0,0,0,0,0,1,0.115,0.115,0.115,0.23,676596,joshfleming,Fleming,Left,Josh Fleming,PIT,4.02,4.31,31.1,96.0,67.0,89.0,0.843,4.88,4.02,9.77,0.86,2.04,0.198,0.396,0.179,0.292,0.331,142.0,135.0,123.0,50.0,90.0,86.0,,,,,,,0.378,0.004,,,1.97,-2.42,,,89.8,90.4,,,,,,0.4,0.578,0.218,,,,0.333,0.778,0.294,69.0,100.0,89.0,100.0,91.0,89.0,0.062,0.301,-5.88,1.56,83.2,77.9,0.156,0.2,0.159,83.0,101.0,93.0,0.256,1.26,87.2,0.261,0.304,0.164,,,
2024-06-15,7:10 PM.,PIT,COL,home,Cloudy.,89,683003,2B,5,0,0,0,0,0,0,0,0,1,2,0.13,0.13,0.13,0.26,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,132.0,102.0,109.0,,,,130.0,103.0,111.0,,,,,0.493,0.348,,0.15,,1.12,,97.3,,88.8,,0.224,0.425,0.257,,,,0.208,0.354,0.373,0.348,0.87,0.327,113.0,99.0,106.0,95.0,96.0,98.0,0.093,0.066,-2.53,-2.91,89.9,81.5,0.317,0.561,0.229,,,,,,,,,,,,
2024-06-14,6:41 PM.,PIT,COL,home,Partly Cloudy.,82,669387,2B,4,0,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,669387,carmenmlodzinski,Mlodzinski,Right,Carmen Mlodzinski,PIT,3.38,3.34,50.2,100.0,102.0,103.0,0.774,8.17,3.38,7.28,0.53,1.23,0.275,0.458,0.134,0.282,0.418,95.0,100.0,98.0,,,,118.0,99.0,114.0,,,,,0.398,0.398,,1.09,,-0.03,,96.2,,86.7,,0.174,0.304,0.255,,,,0.228,0.246,0.321,,,,114.0,81.0,85.0,,,,,0.003,,-28.1,88.6,,,,,93.0,101.0,97.0,0.2,1.68,92.5,0.235,0.353,0.143,0.304,0.391,0.339
2024-06-12,12:11 PM.,MIN,COL,away,Overcast.,65,641154,2B,4,1,1,0,0,0,0,0,0,1,3,0.143,0.143,0.143,0.286,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,,,,0.073,0.407,0.219,,1.65,-2.77,-0.84,,95.0,94.5,84.5,,0.208,0.352,0.259,0.426,0.639,0.142,,,,0.23,0.446,0.341,95.0,104.0,105.0,92.0,103.0,108.0,0.1,0.201,-1.28,-0.14,88.5,82.4,0.281,0.359,0.249,,,,,,,,,,0.239,0.436,0.331
2024-06-11,6:40 PM.,MIN,COL,away,Clear.,82,686973,2B,4,0,0,0,0,0,0,0,0,1,3,0.1,0.1,0.1,0.2,686973,louievarland,Varland,Right,Louie Varland,MIN,7.61,5.42,49.2,100.0,101.0,100.0,0.781,8.88,2.9,12.32,2.17,1.23,0.296,0.361,0.112,0.379,0.473,107.0,105.0,105.0,94.0,107.0,102.0,,,,108.0,93.0,99.0,0.038,0.425,,0.155,-0.34,-5.1,,-1.27,96.3,93.8,,84.6,0.306,0.553,0.242,0.5,0.875,0.059,,,,0.293,0.366,0.288,93.0,93.0,97.0,,,,,0.104,,-0.65,89.4,,0.294,0.294,0.105,91.0,93.0,92.0,0.277,-3.42,90.1,0.333,0.603,0.246,,,
2024-06-10,6:40 PM.,MIN,COL,away,Partly Cloudy.,75,663978,2B,3,0,0,0,0,0,0,0,0,2,0,0.167,0.167,0.167,0.334,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,79.0,111.0,103.0,,,,71.0,97.0,96.0,,,,,0.429,0.177,,0.63,,-0.21,,93.3,,85.9,,0.277,0.4,0.243,,,,0.264,0.434,0.254,0.326,0.435,0.19,108.0,107.0,112.0,106.0,102.0,103.0,0.136,0.259,-1.69,-1.51,82.9,78.2,0.283,0.519,0.248,,,,,,,,,,,,
2024-06-09,1:16 PM.,STL,COL,away,Overcast.,71,669467,2B,3,0,1,0,0,0,0,1,0,1,1,0.333,0.333,0.333,0.666,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,88.0,102.0,109.0,0.19,0.512,0.172,0.126,1.34,-0.25,-0.64,0.42,94.5,94.8,87.5,79.5,0.23,0.297,0.162,0.265,0.373,0.132,0.294,0.435,0.282,0.157,0.257,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,
