date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023-06-23,8:45 PM.,SEA,BAL,home,Overcast.,73,669302,P,1,0,0,0,0,0,0,0,0,0,0,0.182,0.217,0.182,0.399,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,110.0,95.0,103.0,0.003,0.419,0.297,0.134,,0.01,-11.33,1.84,0.39,,95.7,,93.7,88.7,80.3,0.211,0.349,0.322,0.667,1.0,0.25,0.28,0.491,0.177,,,,0.214,0.371,0.306,,,,,,,,,,,,,,,,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,,,
2023-06-21,12:11 PM.,TB,BAL,away,Dome.,72,671737,1B,1,0,0,0,0,0,0,0,0,0,0,0.19,0.227,0.19,0.417,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,131.0,101.0,109.0,,,,,,,,,,0.001,0.449,,,,-0.8,0.0,,,,96.1,,97.8,,,,,,,,,0.277,0.559,0.191,,,,0.169,0.338,0.2239999999999999,88.0,107.0,111.0,0.167,0.04,79.0,106.0,99.0,99.0,0.248,-1.32,88.9,0.312,0.581,0.295,,,,0.136,0.62,89.3,0.19,0.333,0.41,,,
2023-06-18,12:05 PM.,CHC,BAL,away,Partly Cloudy.,76,592791,1B,1,0,0,0,0,0,0,0,1,0,2,0.2,0.238,0.2,0.438,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,87.0,104.0,97.0,97.0,107.0,97.0,117.0,113.0,122.0,,,,0.102,0.342,0.154,,0.031,-0.69,0.9,0.75,,-0.22,93.7,86.5,93.9,80.9,,0.233,0.333,0.2739999999999999,0.296,0.394,0.133,0.261,0.553,0.204,0.28,0.44,0.106,0.198,0.349,0.2,109.0,111.0,113.0,0.149,-0.12,80.5,101.0,102.0,99.0,0.222,-0.32,88.6,0.311,0.521,0.2739999999999999,,,,,,,,,,,,
2023-06-17,1:20 PM.,CHC,BAL,away,Sunny.,69,657006,PH,1,0,0,0,0,0,0,0,0,1,0,0.211,0.211,0.211,0.422,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,0.018,0.626,0.339,,0.01,0.67,0.89,0.54,,-1.94,91.8,87.5,92.2,83.3,,0.217,0.346,0.311,0.25,0.333,0.1669999999999999,0.275,0.393,0.203,0.4,0.4,0.1,0.0,0.0,0.3329999999999999,87.0,98.0,109.0,0.006,2.44,80.7,,,,,,,,,,,,,,,,,,,,,
2023-06-16,1:21 PM.,CHC,BAL,away,Cloudy.,57,543294,1B,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,0.349,0.205,,,0.411,-1.61,0.04,,,1.43,87.8,80.7,87.5,,,,,,0.318,0.46,0.08,0.38,0.658,0.1119999999999999,0.18,0.279,0.324,0.25,0.25,0.4379999999999999,97.0,79.0,84.0,0.035,0.0,73.3,,,,,,,,,,,,,,,,,,,,,
2023-06-14,7:06 PM.,TOR,BAL,home,Clear.,77,621244,1B,3,0,0,0,0,0,0,0,0,2,1,0.222,0.222,0.222,0.444,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,96.0,103.0,99.0,92.0,104.0,99.0,,,,,,,0.315,0.204,,,0.185,0.72,0.61,,,-0.38,94.3,84.1,93.8,,,,,,0.255,0.398,0.131,0.254,0.456,0.276,0.245,0.409,0.33,,,,116.0,104.0,110.0,0.296,0.31,82.6,,,,,,,,,,,,,,,,,,,0.216,0.357,0.305
2023-06-11,1:36 PM.,KC,BAL,home,Cloudy.,87,672578,1B,4,0,2,0,0,0,2,0,0,1,2,0.267,0.267,0.267,0.534,672578,carloshernandez,"Hernández, C",Right,Carlos Hernández,KCR,5.27,4.7,70.0,100.0,124.0,106.0,0.726,9.9,3.99,7.97,1.29,0.75,0.241,0.45,0.105,0.403,0.43,,,,134.0,99.0,105.0,145.0,87.0,126.0,118.0,103.0,112.0,117.0,95.0,103.0,0.007,0.552,0.235,0.093,0.001,0.09,-3.63,0.71,-0.29,-5.8,99.1,77.7,98.1,88.6,84.0,0.173,0.307,0.379,,,,0.272,0.507,0.254,,,,0.208,0.5,0.3779999999999999,,,,0.001,-3.64,70.1,,,,0.001,-10.95,83.8,,,,93.0,100.0,104.0,0.111,0.44,89.0,0.2,0.267,0.362,,,
2023-06-10,4:06 PM.,KC,BAL,home,Partly Cloudy.,85,663903,DH,4,0,1,0,0,0,0,0,0,0,3,0.182,0.182,0.182,0.364,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,,,,0.51,0.002,0.426,,0.063,-2.24,-1.24,0.01,,-0.3,90.9,87.7,92.1,84.0,,0.0,0.0,0.6,0.339,0.555,0.113,,,,0.265,0.353,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07,6:41 PM.,MIL,BAL,away,Roof Closed.,70,669203,DH,3,0,0,0,0,0,0,0,0,1,2,0.143,0.143,0.143,0.286,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,,,,103.0,97.0,90.0,144.0,110.0,127.0,,,,0.077,,0.085,,0.112,,-2.42,1.12,,1.07,,89.3,95.3,86.0,,0.159,0.275,0.4379999999999999,0.291,0.564,0.129,,,,0.204,0.258,0.306,0.133,0.211,0.488,160.0,104.0,113.0,0.171,1.35,79.8,127.0,101.0,103.0,0.554,1.51,94.4,0.209,0.34,0.2269999999999999,,,,,,,,,,,,
2023-06-06,6:40 PM.,MIL,BAL,away,Roof Closed.,71,642547,RF,1,0,0,0,0,0,0,0,0,1,2,0.25,0.25,0.25,0.5,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,,,,0.512,0.218,,0.146,0.89,,0.36,,0.15,94.4,88.6,,82.4,,0.203,0.392,0.46,,,,0.213,0.387,0.292,0.224,0.388,0.312,0.214,0.381,0.3379999999999999,85.0,103.0,110.0,0.124,0.2,76.9,,,,,,,,,,,,,,,,,,,,,
