date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff
2024-09-06,5:12 PM.,COL,MIL,home,Roof Closed.,72,663372,PR,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,109.0,99.0,104.0,,,,0.37,,0.254,0.101,0.147,0.63,,-0.87,1.28,-1.02,94.6,,85.2,87.4,79.2,,,,0.24,0.376,0.177,0.299,0.485,0.394,93.0,93.0,89.0,0.128,-0.45,94.2,0.299,0.403,0.159,0.355,0.523,0.226,0.164,0.26,0.248,0.156,0.375,0.35
2024-09-03,6:41 PM.,STL,MIL,home,Clear.,73,571927,RF,3,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,571927,stevenmatz,Matz,Left,Steven Matz,STL,5.08,4.65,44.1,104.0,86.0,100.0,0.832,6.7,3.05,9.95,1.42,1.12,0.271,0.357,0.207,0.214,0.456,99.0,107.0,102.0,108.0,102.0,106.0,,,,85.0,90.0,94.0,,,,,,0.069,0.076,0.257,,,-1.16,-1.14,-2.61,,,83.3,88.1,77.6,,,,,,,0.3,0.567,0.272,78.0,105.0,100.0,0.598,0.6,93.9,0.247,0.412,0.15,0.385,0.462,0.192,0.385,0.385,0.048,,,
2024-09-01,12:12 PM.,CIN,MIL,away,Partly Cloudy.,81,682227,RF,2,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,3.77,4.81,14.1,92.0,69.0,85.0,0.827,7.53,3.14,6.28,2.51,0.68,0.25,0.375,0.075,0.425,0.42,96.0,90.0,94.0,85.0,65.0,67.0,55.0,106.0,91.0,138.0,128.0,121.0,59.0,89.0,78.0,0.242,0.464,0.004,0.071,0.218,-1.44,0.38,-2.42,-4.16,2.09,92.7,90.1,83.9,82.2,75.7,0.179,0.5,0.154,0.313,0.563,0.167,0.0,0.0,0.316,,,,,,,,,,,,,,,,,,
