date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023-09-17,1:11 PM.,MIL,WSH,away,Partly Cloudy.,67,605540,1B,1,0,0,0,0,0,0,0,0,1,0,0.242,0.281,0.341,0.622,605540,brandonwoodruff,Woodruff,Right,Brandon Woodruff,MIL,2.28,2.82,67.0,107.0,114.0,110.0,0.749,9.94,2.01,5.37,1.21,0.81,0.236,0.416,0.168,0.298,0.474,111.0,104.0,118.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,,,,0.22,0.41,,0.095,0.197,0.95,,2.76,-0.33,3.2,95.8,,85.8,95.0,86.9,0.177,0.385,0.314,,,,0.278,0.611,0.268,0.098,0.118,0.38,89.0,103.0,105.0,0.079,-0.01,82.9,0.193,0.281,0.124,0.182,0.455,0.409,,,,,,,,,,,,,,,
2023-09-16,6:10 PM.,MIL,WSH,away,Roof Closed.,74,669203,DH,0,1,0,0,0,0,0,0,0,0,0,0.244,0.284,0.344,0.628,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,,,,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,,0.554,0.085,0.112,,1.51,-2.42,1.12,1.07,,94.4,89.3,95.3,86.0,,,,0.209,0.34,0.2269999999999999,0.159,0.275,0.4379999999999999,0.204,0.258,0.306,160.0,104.0,113.0,0.171,1.35,79.8,0.291,0.564,0.129,0.133,0.211,0.488,,,,,,,,,,,,,,,
2023-09-15,7:10 PM.,MIL,WSH,away,Clear.,68,489119,2B,2,0,0,0,0,0,0,0,0,2,2,0.244,0.284,0.344,0.628,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,101.0,103.0,101.0,0.046,0.195,0.443,0.049,0.246,0.46,1.07,-2.53,0.62,0.6,90.4,87.1,83.7,90.7,79.1,0.198,0.453,0.134,0.232,0.446,0.172,0.192,0.308,0.349,0.219,0.281,0.239,79.0,99.0,98.0,0.022,2.01,75.8,0.333,0.375,0.125,,,,,,,,,,,,,,,,,,
2023-09-10,1:35 PM.,LAD,WSH,home,Cloudy.,80,642232,2B,2,0,1,0,0,0,0,0,0,1,2,0.25,0.29,0.352,0.642,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,61.0,105.0,94.0,,,,76.0,108.0,89.0,,,,77.0,106.0,93.0,0.002,0.308,0.248,,0.182,0.59,1.48,1.21,,-2.4,87.0,84.2,78.5,88.2,,0.283,0.37,0.127,0.289,0.378,0.121,,,,0.329,0.6,0.2769999999999999,102.0,98.0,108.0,0.26,-0.24,71.9,,,,0.208,0.386,0.382,,,,,,,,,,,,,,,
2023-09-09,8:15 PM.,LAD,WSH,home,Cloudy.,72,676272,1B,1,1,0,0,0,0,0,0,0,0,2,0.244,0.286,0.349,0.635,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,130.0,102.0,105.0,107.0,99.0,100.0,153.0,110.0,121.0,,,,0.192,0.289,,0.174,0.16,1.2,,1.75,-1.0,0.6,99.0,,88.2,98.8,89.7,0.258,0.367,0.206,,,,0.5,0.75,0.25,0.133,0.307,0.3989999999999999,115.0,100.0,110.0,0.185,1.25,80.6,0.258,0.382,0.178,0.184,0.303,0.36,,,,,,,,,,,,,,,
2023-09-06,7:05 PM.,NYM,WSH,home,Clear.,97,676130,RF,0,0,0,0,0,0,0,0,0,0,0,0.247,0.289,0.353,0.642,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,83.0,96.0,92.0,101.0,96.0,94.0,86.0,86.0,79.0,109.0,104.0,106.0,,,,0.056,0.509,,0.151,0.229,1.65,,4.53,1.11,-2.44,93.8,,85.5,92.9,86.2,0.174,0.275,0.2269999999999999,,,,0.154,0.308,0.389,0.316,0.395,0.373,76.0,88.0,94.0,0.055,1.56,80.0,0.231,0.231,0.185,0.2,0.2,0.267,,,,,,,,,,,,,,,
2023-09-03,1:36 PM.,MIA,WSH,home,Sunny.,91,645261,DH,0,0,0,0,0,0,0,0,0,0,0,0.247,0.289,0.353,0.642,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.273,-0.27,,1.72,0.72,-0.43,98.0,,91.1,97.6,89.9,0.253,0.448,0.267,,,,0.227,0.364,0.352,0.282,0.401,0.299,134.0,99.0,105.0,0.022,-0.52,86.1,0.237,0.366,0.124,0.308,0.308,0.182,,,,,,,,,,,,,,,
2023-08-31,7:06 PM.,MIA,WSH,home,Clear.,78,666129,2B,3,0,0,0,0,0,0,0,0,0,1,0.247,0.289,0.353,0.642,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,0.317,0.075,0.177,0.258,0.088,-1.84,1.53,1.06,0.45,0.73,90.8,87.5,84.1,90.5,82.8,0.325,0.575,0.159,0.243,0.477,0.247,0.169,0.302,0.408,0.286,0.327,0.327,80.0,97.0,95.0,0.084,-4.44,77.7,0.256,0.377,0.107,0.5,1.059,0.2,,,,,,,,,,,,,,,
2023-08-26,4:11 PM.,MIA,WSH,away,Roof Closed.,72,691587,1B,0,1,0,0,0,0,0,0,0,0,0,0.256,0.299,0.366,0.665,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,128.0,100.0,109.0,,,,101.0,102.0,107.0,,,,,0.454,,0.308,0.098,-0.47,,,0.99,0.99,97.5,,89.7,,86.4,0.289,0.585,0.187,,,,0.183,0.365,0.477,0.045,0.045,0.462,91.0,95.0,99.0,0.14,1.89,81.2,,,,0.098,0.171,0.5429999999999999,,,,,,,,,,,,,,,
2023-08-25,6:41 PM.,MIA,WSH,away,Roof Closed.,72,666129,2B,4,1,2,1,0,0,0,1,0,1,2,0.256,0.299,0.366,0.665,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,0.317,0.075,0.177,0.258,0.088,-1.84,1.53,1.06,0.45,0.73,90.8,87.5,84.1,90.5,82.8,0.325,0.575,0.159,0.243,0.477,0.247,0.169,0.302,0.408,0.286,0.327,0.327,80.0,97.0,95.0,0.084,-4.44,77.7,0.256,0.377,0.107,0.5,1.059,0.2,,,,,,,,,,,,,,,
