date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C
2023-05-05,7:10 PM.,KC,OAK,away,Cloudy.,76,641745,PH,0,0,0,0,0,0,0,0,1,0,0,0.266,0.322,0.481,0.803,641745,bradkeller,"Keller, B",Right,Brad Keller,KCR,4.57,5.66,45.1,87.0,100.0,89.0,0.789,6.15,8.93,8.34,0.6,2.08,0.22,0.439,0.106,0.242,0.382,120.0,90.0,92.0,94.0,88.0,90.0,66.0,74.0,70.0,135.0,84.0,78.0,,,,,,,0.104,0.311,,,0.265,0.197,-2.21,,,0.62,0.26,-0.24,93.3,,,92.5,84.3,85.1,0.5,0.5,0.0,0.359,0.564,0.165,,,,,,,0.143,0.143,0.08,0.267,0.378,0.2789999999999999,91.0,90.0,78.0,0.123,1.66,90.8,0.125,0.125,0.273,,,,,,,,,
2023-05-04,12:38 PM.,SEA,OAK,home,Cloudy.,59,669923,1B,3,0,1,0,0,0,0,0,0,0,2,0.266,0.314,0.481,0.795,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,,,,95.0,103.0,110.0,0.216,0.394,,0.061,0.197,,1.34,,1.07,0.43,1.03,,96.1,,84.9,95.8,86.3,,0.264,0.377,0.22,0.234,0.392,0.28,,,,0.143,0.286,0.357,0.261,0.383,0.131,0.265,0.458,0.159,94.0,107.0,111.0,0.018,-5.31,86.6,0.5,0.9,0.125,,,,0.115,0.35,81.8,75.1,0.001,0.26
2023-05-03,7:45 PM.,SEA,OAK,home,Overcast.,53,669302,1B,2,0,0,0,0,0,0,0,0,2,2,0.263,0.313,0.487,0.8,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,98.0,103.0,117.0,0.003,0.419,,0.148,0.297,,0.01,,0.25,-11.33,1.84,,95.7,,85.6,93.7,88.7,,0.211,0.349,0.322,0.28,0.491,0.177,,,,0.174,0.34,0.35,0.667,1.0,0.25,0.214,0.371,0.306,,,,,,,,,,110.0,95.0,103.0,0.134,0.39,80.3,,,
2023-04-30,1:08 PM.,CIN,OAK,home,Partly Cloudy.,63,666157,1B,4,1,2,0,0,1,2,0,0,1,4,0.27,0.321,0.5,0.821,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,6.29,4.83,34.1,101.0,97.0,98.0,0.722,12.32,2.62,13.11,2.62,1.24,0.304,0.382,0.137,0.314,0.412,97.0,94.0,97.0,103.0,106.0,100.0,92.0,102.0,101.0,,,,,,,,,,0.053,0.464,,,,0.358,-0.45,,,-7.52,,-2.74,93.2,,,93.4,,79.6,,,,0.297,0.578,0.19,,,,,,,0.7,1.0,0.0,0.286,0.536,0.45,78.0,99.0,88.0,0.125,-4.06,87.3,0.471,0.706,0.326,,,,,,,,,
2023-04-27,1:07 PM.,LAA,OAK,away,Sunny.,74,660271,1B,1,1,1,0,0,0,0,0,0,0,0,0.257,0.312,0.457,0.769,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.356,0.036,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.339,0.365,0.164,0.236,0.27,0.31,0.606,0.228,0.179,0.205,0.411,0.273,0.409,0.225,0.111,0.167,0.417,,,,,,,,,,,,,,,,,,
2023-04-26,6:38 PM.,LAA,OAK,away,Clear.,73,663776,1B,4,0,0,0,0,0,0,0,0,2,1,0.246,0.303,0.449,0.752,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,,,,,,,0.111,0.256,,,0.285,0.09,-1.22,,,0.36,0.02,0.27,93.0,,,93.2,86.5,76.5,0.2,0.5,0.306,0.336,0.507,0.156,,,,,,,0.269,0.327,0.129,0.286,0.286,0.237,99.0,98.0,100.0,0.258,0.3,83.0,0.184,0.33,0.432,,,,,,,,,
2023-04-25,6:39 PM.,LAA,OAK,away,Partly Cloudy.,65,656288,DH,3,0,0,0,0,0,0,0,1,2,3,0.262,0.319,0.477,0.796,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,,,,0.006,0.348,,,0.299,0.134,-0.21,,,-8.61,0.1,-0.53,94.7,,,95.0,88.4,81.8,0.261,0.344,0.34,0.235,0.5,0.283,,,,,,,0.333,1.333,0.0,0.271,0.667,0.252,89.0,101.0,101.0,0.213,1.6,90.2,0.213,0.339,0.248,,,,,,,,,
2023-04-24,6:39 PM.,LAA,OAK,away,Clear.,67,660761,1B,4,2,3,0,0,2,2,0,0,0,0,0.274,0.324,0.5,0.824,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,,,,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,99.0,68.0,88.0,,,,0.052,0.398,0.015,,0.267,,-0.97,0.89,,-3.55,-3.72,,92.3,88.1,,90.8,81.5,,0.591,1.091,0.25,0.273,0.477,0.222,0.0,0.0,0.5,,,,0.444,0.778,0.067,,,,84.0,100.0,103.0,0.269,-2.55,82.0,0.31,0.548,0.385,,,,,,,,,
2023-04-23,1:37 PM.,TEX,OAK,away,Roof Closed.,74,594798,DH,4,0,0,0,0,0,0,0,0,1,0,0.241,0.297,0.379,0.676,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.333,0.273,0.212,0.212,0.371,133.0,116.0,132.0,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,,,,0.521,,,0.37,0.02,2.0,,,,0.39,6.08,98.7,,,,91.8,84.8,0.189,0.378,0.5329999999999999,0.177,0.339,0.35,,,,,,,,,,,,,132.0,101.0,106.0,0.089,3.57,91.4,0.1,0.1,0.318,,,,,,,,,
2023-04-22,6:07 PM.,TEX,OAK,away,Roof Closed.,74,571760,1B,3,1,2,0,0,1,1,0,0,0,0,0.259,0.317,0.407,0.724,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,80.0,143.0,68.0,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,,0.252,0.0,0.1,,,,-1.35,-3.87,92.5,,,,82.0,74.4,0.259,0.443,0.296,0.236,0.431,0.256,,,,,,,,,,,,,101.0,97.0,92.0,0.169,-0.11,84.0,0.274,0.452,0.24,,,,,,,,,
