date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-06-02,5:12 PM.,CIN,MIL,away,Clear.,92,682227,1B,1,0,0,0,0,0,0,0,1,1,0,0.224,0.333,0.286,0.619,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,,,,,0.372,,0.102,0.064,0.165,-0.15,,,-1.33,-1.75,-0.51,92.8,,84.0,,81.7,73.1,0.0,0.0,0.273,0.269,0.433,0.171,0.333,0.6,0.143,0.183,0.39,0.3989999999999999,,,,,,,106.0,102.0,98.0,0.298,1.71,89.3,0.252,0.433,0.185,,,,,,
2023-05-30,7:07 PM.,TOR,MIL,away,Clear.,73,579328,DH,5,0,0,0,0,0,0,0,0,3,3,0.229,0.327,0.292,0.619,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,,,,0.451,,0.259,0.193,0.097,0.05,,,1.11,0.24,-1.83,95.1,,88.7,,88.7,83.1,0.225,0.396,0.302,0.27,0.412,0.268,0.284,0.463,0.307,0.254,0.508,0.193,,,,,,,,,,,,,,,,,,,,,
2023-05-28,1:11 PM.,SF,MIL,home,Sunny.,74,502171,DH,3,0,0,0,0,0,0,0,1,1,0,0.256,0.36,0.326,0.686,502171,alexcobb,Cobb,Right,Alex Cobb,SFG,3.87,4.73,151.1,102.0,91.0,100.0,0.808,7.79,2.2,9.69,1.13,2.6,0.216,0.43,0.142,0.356,0.399,,,,,,,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,78.0,103.0,103.0,0.397,0.003,0.388,0.051,,,-3.47,0.2,0.33,-1.31,,,95.8,89.5,,94.5,86.2,,0.333,0.542,0.306,,,,0.379,0.638,0.32,,,,0.239,0.386,0.246,0.28,0.435,0.129,,,,,,,,,,115.0,95.0,103.0,0.162,-1.38,83.6
2023-05-26,7:10 PM.,SF,MIL,home,Roof Closed.,67,622072,1B,3,1,1,0,0,0,0,0,1,0,1,0.275,0.37,0.35,0.72,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,78.0,103.0,99.0,,,,,,,80.0,95.0,88.0,110.0,93.0,95.0,,,,0.446,,,0.261,,0.292,,,0.12,-0.8,,-0.33,,,85.2,91.5,82.4,,0.288,0.441,0.25,,,,,,,0.273,0.388,0.154,,,,0.234,0.433,0.242,,,,,,,,,,,,,0.001,-5.8,83.6
2023-05-25,6:41 PM.,SF,MIL,home,Roof Closed.,65,518397,DH,1,0,0,0,0,0,0,0,0,0,0,0.27,0.357,0.351,0.708,518397,scottalexander,Alexander,Left,Scott Alexander,SFG,4.66,3.61,48.1,101.0,87.0,97.0,0.82,5.77,2.05,10.24,0.37,3.19,0.176,0.43,0.158,0.333,0.465,68.0,92.0,87.0,,,,,,,84.0,101.0,97.0,110.0,103.0,103.0,,,,0.758,,,0.16,,0.082,,,0.64,1.06,,0.57,,,85.9,92.8,83.0,,0.192,0.308,0.396,,,,,,,0.167,0.25,0.346,,,,0.306,0.389,0.146,,,,,,,,,,,,,,,
2023-05-22,6:41 PM.,HOU,MIL,home,Partly Cloudy.,69,664299,1B,1,0,1,0,0,0,0,0,0,0,0,0.278,0.366,0.361,0.727,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,0.3,,0.041,0.44,,,-0.09,,-1.29,92.7,,83.7,,79.5,,0.211,0.367,0.287,0.236,0.455,0.265,0.268,0.366,0.195,0.28,0.36,0.392,,,,,,,,,,,,,,,,91.0,99.0,102.0,0.075,-1.17,76.6
2023-05-21,1:40 PM.,TB,MIL,away,Dome.,72,656222,DH,4,1,1,1,0,0,0,0,0,1,2,0.257,0.35,0.343,0.693,656222,jalenbeeks,Beeks,Left,Jalen Beeks,TBR,5.95,3.61,42.1,95.0,89.0,90.0,0.729,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.438,112.0,95.0,96.0,,,,65.0,95.0,83.0,,,,106.0,71.0,93.0,,,,,0.435,,0.015,,0.443,-0.49,,,-16.85,,-0.18,94.3,,89.6,,81.8,,1.0,1.5,0.0,0.243,0.419,0.252,,,,0.267,0.373,0.317,,,,,,,92.0,105.0,98.0,0.107,2.73,85.7,0.125,0.125,0.588,,,,,,
2023-05-19,6:41 PM.,TB,MIL,away,Dome.,72,663556,DH,2,0,2,0,0,0,0,0,1,0,0,0.258,0.361,0.323,0.684,663556,shanemcclanahan,McClanahan,Left,Shane McClanahan,TBR,3.29,4.13,115.0,102.0,112.0,106.0,0.694,9.47,3.21,7.43,1.17,1.18,0.28,0.384,0.134,0.355,0.455,115.0,104.0,109.0,115.0,101.0,107.0,111.0,100.0,104.0,,,,107.0,102.0,105.0,,,,,0.419,,0.153,0.17,0.258,-0.34,,,-0.27,1.12,2.65,96.8,,86.9,,89.3,83.5,0.261,0.58,0.291,0.269,0.479,0.233,0.197,0.344,0.314,0.153,0.191,0.541,,,,,,,,,,,,,,,,,,,,,
2023-05-17,6:46 PM.,STL,MIL,away,Partly Cloudy.,78,669461,1B,2,0,0,0,0,0,0,0,0,0,0,0.207,0.303,0.276,0.579,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,5.25,5.96,61.2,93.0,88.0,93.0,0.825,6.71,3.65,9.63,0.73,1.28,0.322,0.342,0.131,0.372,0.426,72.0,100.0,96.0,101.0,87.0,97.0,72.0,98.0,90.0,91.0,92.0,91.0,117.0,88.0,99.0,,,,0.185,0.382,,0.127,0.224,0.081,-0.74,,1.76,-2.12,-1.62,-0.64,94.2,,87.3,94.3,86.6,76.6,0.333,0.533,0.286,0.308,0.49,0.161,0.222,0.472,0.3379999999999999,0.278,0.389,0.125,,,,0.208,0.302,0.098,,,,,,,,,,,,,,,
2023-05-16,6:45 PM.,STL,MIL,away,Overcast.,69,656756,DH,3,0,0,0,0,0,0,0,0,1,4,0.222,0.323,0.296,0.619,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,,,,0.426,0.106,,,0.222,0.229,-0.68,,1.22,,0.84,0.2,93.4,,83.5,93.3,,80.5,,,,0.333,0.5,0.195,0.191,0.357,0.371,0.239,0.405,0.392,,,,0.255,0.374,0.141,101.0,102.0,87.0,0.016,-4.4,88.2,0.417,0.667,0.31,,,,,,
