date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-09-29,3:05 PM.,PHI,WSH,home,Overcast.,69,605400,1B,0,0,0,0,0,0,0,0,0,0,0,0.2,0.268,0.232,0.5,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,,,,90.0,103.0,99.0,,,,,,,0.278,,,,0.81,,,,92.5,,,,0.168,0.318,0.224,,,,,,,0.221,0.381,0.37,78.0,102.0,91.0,100.0,109.0,106.0,69.0,99.0,92.0,0.204,0.092,0.096,-2.57,-0.34,-1.67,87.5,85.7,91.5,0.279,0.426,0.135,0.389,0.796,0.178,0.313,0.475,0.136,,,,135.0,106.0,113.0,0.329,0.94,79.1,,,,,,,,,
2024-09-24,7:25 PM.,KC,WSH,home,Overcast.,66,666142,3B,2,0,0,0,0,0,0,0,0,1,1,0.2,0.268,0.232,0.5,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,,,,105.0,101.0,106.0,132.0,106.0,114.0,,,,0.418,,0.128,,0.85,,-0.34,,95.4,,86.0,,0.213,0.361,0.231,0.21,0.305,0.337,,,,0.14,0.256,0.352,114.0,98.0,103.0,,,,88.0,94.0,91.0,,0.113,0.237,0.26,,1.43,90.7,84.8,,0.183,0.28,0.478,0.348,0.455,0.228,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8,,,,,,,,,
2024-09-22,3:40 PM.,CHC,WSH,away,Rain.,68,684007,3B,4,0,0,0,0,0,0,0,0,1,2,0.202,0.271,0.234,0.505,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,70.0,96.0,97.0,96.0,104.0,106.0,103.0,105.0,104.0,81.0,106.0,100.0,0.52,0.306,0.077,0.032,0.36,1.39,0.14,-0.59,91.7,82.9,81.6,72.7,0.229,0.47,0.176,,,,0.204,0.283,0.431,0.444,0.556,0.0,82.0,105.0,104.0,76.0,102.0,91.0,50.0,107.0,96.0,0.021,0.005,0.039,-6.3,0.77,0.48,89.8,81.6,88.7,0.194,0.226,0.333,0.333,1.333,0.143,0.25,0.333,0.37,0.267,0.311,0.347,,,,0.0,-76.55,53.9,,,,,,,,,
2024-08-07,6:45 PM.,SF,WSH,home,Overcast.,84,605483,3B,2,0,0,0,0,0,0,0,1,0,1,0.207,0.276,0.239,0.515,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,148.0,99.0,109.0,116.0,96.0,100.0,106.0,87.0,91.0,,,,0.464,,0.101,0.26,1.16,,0.11,2.25,95.9,,88.7,81.1,0.2,0.303,0.244,0.167,0.267,0.446,,,,0.111,0.183,0.498,110.0,108.0,116.0,,,,,,,,,0.176,,,0.95,,85.5,,0.236,0.319,0.476,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,1:35 PM.,MIL,WSH,home,Cloudy.,83,668964,3B,2,0,0,0,0,0,0,0,1,0,1,0.209,0.275,0.242,0.517,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,,,,0.401,,0.21,0.041,0.58,,1.43,-3.19,92.9,,85.5,77.8,0.239,0.436,0.194,0.198,0.255,0.248,,,,0.421,0.579,0.194,109.0,86.0,90.0,71.0,92.0,74.0,96.0,100.0,91.0,0.005,0.23,0.114,-0.75,11.28,1.18,89.2,81.1,91.5,0.083,0.083,0.444,0.336,0.518,0.123,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-03,4:04 PM.,MIL,WSH,home,Partly Cloudy.,95,650644,3B,2,0,0,0,0,0,0,0,0,0,0,0.211,0.274,0.244,0.518,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,57.0,96.0,102.0,0.099,0.02,0.163,0.156,-1.7,-4.86,-1.03,-1.36,92.0,85.6,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,0.375,0.625,0.261,0.25,0.479,0.275,,,,71.0,93.0,83.0,91.0,100.0,101.0,0.24,0.322,,1.08,0.06,,88.1,,92.6,,,,0.232,0.394,0.233,0.241,0.421,0.158,0.267,0.467,0.272,,,,,,,,,,,,,,,
2024-07-30,6:40 PM.,AZ,WSH,away,Roof Closed.,78,669194,3B,3,0,0,0,0,0,0,0,0,2,2,0.213,0.277,0.247,0.524,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,,,,0.557,,0.103,0.057,0.64,,-0.66,1.81,95.2,,83.8,77.8,0.249,0.418,0.195,0.226,0.34,0.156,,,,0.138,0.207,0.148,108.0,99.0,107.0,,,,78.0,107.0,96.0,,0.184,0.099,-0.85,,-2.35,91.2,83.0,,0.302,0.587,0.203,0.317,0.508,0.154,,,,0.4,0.733,0.167,,,,,,,,,,,,,,,
2024-07-29,6:41 PM.,AZ,WSH,away,Roof Closed.,78,656756,3B,5,1,1,0,0,0,0,0,0,1,3,0.217,0.281,0.251,0.532,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.23,5.18,117.0,99.0,92.0,96.0,0.748,6.38,3.38,11.46,1.08,1.24,0.194,0.428,0.137,0.346,0.37,106.0,102.0,107.0,66.0,98.0,89.0,104.0,95.0,90.0,,,,0.173,,0.018,0.307,-0.02,,3.84,-0.83,92.1,,84.2,79.2,0.284,0.375,0.184,0.0,0.0,0.5,,,,0.27,0.453,0.353,97.0,100.0,92.0,89.0,95.0,93.0,,,,0.308,,0.193,,-2.11,-1.92,,83.1,91.8,0.321,0.593,0.386,,,,0.374,0.577,0.159,,,,,,,,,,,,,,,,,,
2024-07-27,8:19 PM.,STL,WSH,away,Overcast.,76,502043,3B,4,1,0,0,0,0,0,0,2,0,3,0.218,0.283,0.253,0.536,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,102.0,103.0,104.0,80.0,88.0,83.0,104.0,102.0,105.0,,,,0.132,,0.207,0.086,-1.39,,0.92,-2.21,91.4,,80.7,78.3,0.268,0.563,0.065,,,,,,,0.325,0.675,0.462,99.0,92.0,89.0,84.0,101.0,96.0,96.0,95.0,91.0,0.264,0.211,0.099,0.21,0.22,1.2,88.6,84.9,90.7,0.19,0.254,0.39,0.299,0.479,0.181,0.267,0.422,0.092,0.2,0.312,0.412,,,,,,,,,,,,,,,
2024-07-26,7:16 PM.,STL,WSH,away,Partly Cloudy.,84,543243,3B,4,1,1,0,0,0,0,0,1,1,3,0.223,0.282,0.259,0.541,543243,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.67,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,119.0,96.0,97.0,107.0,97.0,101.0,152.0,114.0,125.0,,,,0.239,,0.201,0.139,-0.05,,0.94,0.7,92.4,,84.8,80.0,0.333,0.567,0.182,,,,,,,0.21,0.452,0.331,69.0,91.0,86.0,93.0,114.0,112.0,92.0,98.0,96.0,0.178,0.178,0.064,0.19,1.64,-2.25,87.7,88.3,92.7,0.357,0.714,0.328,0.287,0.494,0.308,0.2,0.385,0.208,0.142,0.205,0.444,,,,0.0,-2.42,75.4,,,,,,,,,
