date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2023-08-01,7:08 PM.,CWS,TEX,home,Roof Closed.,74,669947,DH,3,0,0,0,0,0,0,0,0,0,0,0.214,0.328,0.339,0.667,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,73.0,99.0,93.0,,,,82.0,98.0,101.0,,0.435,0.366,0.035,0.27,,-1.82,0.73,92.8,85.4,,85.4,,,,0.354,0.472,0.2339999999999999,0.111,0.111,0.154,,,,,,,,,,,,,0.245,0.469,0.3429999999999999,0.266,0.462,0.14,,,,104.0,104.0,106.0,0.165,-0.51,74.0,,,,,,,,,,,,,,,
2023-07-24,7:10 PM.,HOU,TEX,away,Roof Closed.,73,656232,DH,1,1,0,0,0,0,0,0,1,1,1,0.226,0.344,0.358,0.702,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,90.0,100.0,98.0,73.0,97.0,87.0,78.0,99.0,88.0,99.0,93.0,95.0,0.214,0.306,0.118,0.247,-1.15,-0.12,-3.74,0.83,92.1,87.1,92.1,82.0,0.338,0.477,0.135,0.333,0.722,0.355,0.227,0.352,0.332,,,,,,,0.004,,-0.48,,84.4,,0.217,0.217,0.302,0.273,0.505,0.159,,,,101.0,90.0,88.0,0.111,-0.81,79.5,,,,,,,,,,,,,,,
2023-07-23,1:39 PM.,LAD,TEX,home,Roof Closed.,74,686218,DH,3,2,2,1,0,0,0,0,1,1,1,0.231,0.339,0.365,0.704,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,104.0,96.0,95.0,,,,112.0,98.0,103.0,,0.6,0.228,0.172,0.04,,1.57,0.51,95.4,82.9,,85.8,,,,0.091,0.182,0.412,0.178,0.333,0.476,,,,,,,,,,,,,,,,0.24,0.504,0.2019999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-22,3:07 PM.,LAD,TEX,home,Roof Closed.,72,676272,P,1,0,0,0,0,0,0,0,0,0,0,0.204,0.31,0.327,0.637,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,130.0,102.0,105.0,107.0,99.0,100.0,153.0,110.0,121.0,0.192,0.289,0.174,0.16,1.2,1.75,-1.0,0.6,99.0,88.2,98.8,89.7,0.258,0.382,0.178,0.5,0.75,0.25,0.133,0.307,0.3989999999999999,,,,,,,,,,,,,0.184,0.303,0.36,0.258,0.367,0.206,,,,115.0,100.0,110.0,0.185,1.25,80.6,,,,,,,,,,,,,,,
2023-07-14,7:08 PM.,CLE,TEX,home,Roof Closed.,74,650644,DH,0,0,0,0,0,0,0,0,1,0,0,0.208,0.316,0.333,0.649,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,0.185,0.123,0.058,,-0.65,1.59,0.15,,91.8,,92.4,82.5,0.202,0.292,0.144,0.172,0.345,0.2319999999999999,,,,,,,96.0,104.0,103.0,0.372,,1.13,,87.7,,0.188,0.323,0.273,0.359,0.436,0.243,0.261,0.406,0.2339999999999999,153.0,113.0,120.0,0.244,0.77,78.1,58.0,95.0,95.0,0.017,-6.33,85.2,,,,0.5,0.625,0.182,,,
2023-05-26,7:06 PM.,BAL,TEX,away,Clear.,73,680570,DH,1,0,1,1,0,0,1,0,0,0,0,0.208,0.304,0.333,0.637,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,0.496,0.148,0.224,-0.83,,1.92,1.7,97.4,83.9,,82.4,,,,0.153,0.169,0.34,0.201,0.318,0.283,,,,76.0,90.0,86.0,0.052,,-1.59,,90.0,,0.176,0.353,0.281,0.342,0.535,0.241,0.333,0.889,0.143,146.0,97.0,101.0,0.081,-0.49,79.9,,,,,,,,,,,,,,,
2023-05-23,6:36 PM.,PIT,TEX,away,Partly Cloudy.,77,448179,DH,1,0,0,0,0,0,0,0,0,1,0,0.191,0.291,0.298,0.589,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,0.04,0.342,0.088,0.023,-0.32,2.5,-2.52,-0.06,88.4,83.0,86.1,71.1,0.105,0.105,0.226,0.5,0.929,0.125,0.263,0.421,0.037,,,,85.0,97.0,93.0,0.147,0.008,-1.27,-3.65,83.3,67.1,0.283,0.47,0.174,0.249,0.454,0.218,0.39,0.701,0.1989999999999999,116.0,94.0,103.0,0.354,-1.16,72.0,,,,,,,,,,,,,,,
2023-05-20,3:07 PM.,COL,TEX,home,Roof Closed.,74,607536,DH,0,0,0,0,0,0,0,0,1,0,0,0.196,0.296,0.304,0.6,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,0.283,0.184,0.236,0.122,1.13,-0.86,-0.2,-3.3,88.8,84.2,88.7,84.1,0.349,0.529,0.091,0.246,0.549,0.2,0.435,0.681,0.139,96.0,105.0,105.0,,,,,0.176,,-1.91,,80.6,0.261,0.41,0.32,0.239,0.431,0.127,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,7:07 PM.,ATL,TEX,home,Roof Closed.,74,450203,3B,1,0,1,0,0,0,0,0,0,0,0,0.196,0.283,0.304,0.587,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,,0.103,-1.26,-4.03,,0.86,94.9,86.0,94.2,,0.474,0.711,0.071,,,,0.25,0.339,0.336,,,,89.0,92.0,87.0,0.08,,0.25,,89.1,,0.177,0.258,0.42,0.292,0.482,0.225,0.296,0.407,0.3,139.0,100.0,111.0,0.432,1.79,82.3,,,,,,,,,,,,,,,
2023-05-14,1:07 PM.,OAK,TEX,away,Sunny.,71,676664,DH,1,0,0,0,0,0,0,0,0,0,2,0.178,0.269,0.289,0.558,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,93.0,102.0,96.0,,,,93.0,102.0,106.0,0.001,0.501,0.346,0.151,-0.84,0.63,-0.06,0.36,93.1,84.1,92.1,81.4,,,,0.21,0.395,0.283,0.277,0.438,0.225,,,,,,,,,,,,,,,,0.256,0.478,0.217,,,,,,,,,,,,,,,,,,,,,,,,
