date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
2023-09-23,6:10 PM.,HOU,KC,away,Roof Closed.,73,641585,C,3,0,0,0,0,0,0,0,0,1,2,0.167,0.143,0.167,0.31,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.189,0.091,0.152,-0.26,0.33,-2.09,2.51,93.0,86.8,81.8,80.1,0.308,0.481,0.106,0.25,0.533,0.298,0.183,0.237,0.308,0.317,0.446,0.22,116.0,98.0,100.0,0.137,0.16,76.0,0.145,0.273,0.422
2023-09-19,6:41 PM.,CLE,KC,home,Partly Cloudy.,76,671106,C,3,0,1,0,0,0,1,0,0,1,0,0.333,0.25,0.333,0.583,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.089,0.247,0.213,-0.12,-2.1,-0.74,1.49,91.4,86.3,82.7,79.3,0.257,0.482,0.177,0.3,0.3,0.368,0.191,0.223,0.33,0.462,0.692,0.17,,,,,,,,,
