date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff
2023-06-21,12:35 PM.,CHC,PIT,home,Sunny.,77,543294,RF,3,0,0,0,0,0,0,0,1,0,1,0.0,0.2,0.0,0.2,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,,,,0.349,0.205,,,,0.035,-1.61,,,0.04,,0.0,87.8,,,87.5,,73.3,0.318,0.46,0.08,,,,,,,0.38,0.658,0.1119999999999999,,,,,,,43.0,107.0,90.0,0.411,1.43,80.7,0.18,0.279,0.324,0.25,0.25,0.4379999999999999
2023-06-20,7:05 PM.,CHC,PIT,home,Cloudy.,77,573186,PH,1,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,139.0,103.0,111.0,58.0,106.0,91.0,102.0,97.0,95.0,78.0,111.0,109.0,105.0,96.0,98.0,46.0,95.0,91.0,0.464,0.082,0.096,0.077,0.051,0.23,0.34,0.96,0.12,1.08,-0.41,0.34,92.0,89.7,86.6,91.4,86.1,84.6,0.245,0.332,0.143,0.24,0.38,0.301,0.26,0.42,0.242,0.154,0.256,0.32,0.205,0.308,0.324,0.184,0.237,0.322,,,,,,,,,,,,
