date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,wFA/C,wFC/C,wSL/C,wCU/C,vFA,vFC,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-07-14,1:36 PM.,OAK,PHI,home,Partly Cloudy.,94,683155,C,0,0,0,0,0,0,0,0,0,0,0,0.294,0.345,0.549,0.894,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,,,,80.0,106.0,99.0,114.0,113.0,117.0,111.0,89.0,91.0,0.517,0.007,0.332,,0.08,-13.81,-0.2,,92.4,86.4,79.6,,0.257,0.469,0.175,0.217,0.367,0.216,,,,,,,0.261,0.435,0.223,61.0,93.0,83.0,0.034,-1.55,90.8,0.263,0.579,0.147,78.0,93.0,94.0,0.111,-2.46,84.8,0.357,0.738,0.204,,,,,,,,,,,,,,,,,,,,,
2024-07-12,6:42 PM.,OAK,PHI,home,Drizzle.,78,663687,C,3,0,0,0,0,0,0,0,1,0,1,0.294,0.345,0.549,0.894,663687,hoganharris,"Harris, H",Left,Hogan Harris,OAK,2.86,5.04,72.1,98.0,85.0,95.0,0.813,7.59,4.11,8.09,0.87,0.93,0.226,0.38,0.125,0.317,0.468,59.0,102.0,106.0,81.0,97.0,89.0,87.0,100.0,102.0,,,,0.563,,0.115,0.157,0.33,,-3.23,-0.41,92.9,,78.8,72.4,0.261,0.408,0.169,,,,0.244,0.311,0.338,,,,0.282,0.641,0.211,,,,,,,,,,118.0,95.0,101.0,0.165,1.22,81.1,0.15,0.175,0.247,,,,,,,,,,,,,,,,,,,,,
2024-07-09,6:41 PM.,LAD,PHI,home,Cloudy.,93,676272,C,3,2,3,2,0,0,1,0,0,0,0,0.313,0.353,0.583,0.936,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,120.0,99.0,104.0,119.0,89.0,92.0,115.0,99.0,108.0,,,,0.379,,0.096,0.19,-1.44,,-3.17,-1.0,97.6,,88.6,79.8,0.327,0.634,0.167,,,,0.357,0.536,0.286,,,,0.333,0.619,0.275,101.0,93.0,89.0,0.136,-4.54,97.3,0.433,0.9,0.174,104.0,91.0,96.0,0.199,0.29,86.4,0.13,0.217,0.41,,,,,,,,,,,,,,,,,,,,,
2024-07-06,7:46 PM.,ATL,PHI,away,Cloudy.,75,680885,C,4,0,1,0,0,0,0,0,0,2,1,0.267,0.298,0.511,0.809,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,101.0,104.0,108.0,110.0,108.0,108.0,110.0,113.0,119.0,94.0,104.0,100.0,0.291,0.168,0.199,0.146,0.27,0.53,0.61,0.29,96.1,92.9,87.3,80.6,0.24,0.448,0.205,,,,0.236,0.436,0.409,0.27,0.5,0.199,0.225,0.333,0.279,93.0,102.0,101.0,0.068,-0.12,95.1,0.231,0.385,0.078,,,,,,,,,,,,,,,,,,,,,,84.0,107.0,109.0,0.128,1.96,84.5,0.147,0.235,0.463
2024-07-05,7:21 PM.,ATL,PHI,away,Cloudy.,79,608331,C,5,0,2,0,0,0,0,0,0,2,2,0.268,0.302,0.537,0.839,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,116.0,103.0,108.0,78.0,93.0,93.0,102.0,97.0,98.0,93.0,96.0,94.0,0.327,0.054,0.115,0.21,0.63,-1.33,0.5,1.39,93.9,88.5,82.1,74.6,0.266,0.36,0.182,0.167,0.2,0.358,0.154,0.285,0.371,0.286,0.476,0.286,0.22,0.293,0.297,90.0,98.0,94.0,0.158,1.47,93.6,0.265,0.299,0.137,91.0,101.0,103.0,0.136,1.7,85.7,0.196,0.283,0.251,,,,,,,,,,,,,,,,,,,,,
2024-07-03,7:05 PM.,CHC,PHI,away,Partly Cloudy.,84,684007,C,4,1,2,1,0,1,1,0,0,1,0,0.25,0.289,0.556,0.845,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,70.0,96.0,97.0,96.0,104.0,106.0,103.0,105.0,104.0,50.0,107.0,96.0,0.52,0.005,0.077,0.032,0.36,-6.3,0.14,-0.59,91.7,89.8,81.6,72.7,0.229,0.47,0.176,0.267,0.311,0.347,0.444,0.556,0.0,0.333,1.333,0.143,,,,76.0,102.0,91.0,0.021,0.77,88.7,0.25,0.333,0.37,82.0,105.0,104.0,0.039,0.48,81.6,0.194,0.226,0.333,,,,,,,,,,0.0,-76.55,53.9,81.0,106.0,100.0,0.306,1.39,82.9,0.204,0.283,0.431
2024-06-30,1:36 PM.,MIA,PHI,home,Cloudy.,81,630023,C,2,1,0,0,0,0,0,0,1,0,1,0.219,0.265,0.438,0.703,630023,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,MIA,6.3,4.71,30.0,97.0,115.0,98.0,0.801,7.5,3.9,12.9,2.1,0.77,0.272,0.379,0.214,0.301,0.443,,,,69.0,97.0,84.0,154.0,97.0,106.0,,,,0.165,,0.39,,-6.18,,0.86,,93.0,,85.2,,0.333,0.833,0.289,,,,,,,,,,0.2,0.286,0.244,100.0,97.0,97.0,0.297,-6.8,92.7,0.522,0.826,0.127,,,,,,,,,,,,,,,,,,,,,,98.0,99.0,92.0,0.148,0.1,85.7,0.182,0.318,0.205
2024-06-29,4:05 PM.,MIA,PHI,home,Cloudy.,86,682610,C,1,0,0,0,0,0,0,0,0,0,0,0.233,0.258,0.467,0.725,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,,,,96.0,97.0,94.0,103.0,94.0,100.0,89.0,96.0,90.0,0.269,0.212,0.198,,-3.28,-0.08,-2.57,,95.4,89.8,85.7,,0.325,0.714,0.175,,,,,,,0.229,0.471,0.313,0.261,0.536,0.328,93.0,94.0,91.0,0.228,-0.99,94.9,0.27,0.554,0.109,57.0,96.0,89.0,0.093,-2.82,89.3,0.27,0.595,0.306,,,,,,,,,,,,,,,,,,,,,
2024-06-27,6:20 PM.,MIA,PHI,home,Partly Cloudy.,87,669432,C,4,1,1,0,0,1,1,0,0,0,3,0.241,0.267,0.483,0.75,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,,,,66.0,101.0,93.0,74.0,93.0,91.0,,,,0.317,,0.206,,-0.26,,-1.99,,91.9,,82.4,,0.252,0.467,0.234,,,,,,,,,,0.312,0.506,0.259,86.0,97.0,92.0,0.24,-0.36,91.5,0.292,0.492,0.1,111.0,108.0,115.0,0.238,-1.32,85.6,0.295,0.396,0.238,,,,,,,,,,,,,,,,,,,,,
2024-06-25,6:40 PM.,DET,PHI,away,Partly Cloudy.,84,669373,C,3,0,0,0,0,0,0,0,0,0,0,0.24,0.269,0.4,0.669,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,,,,112.0,104.0,103.0,111.0,99.0,103.0,,,,0.332,,0.149,,1.84,,0.78,,96.8,,88.7,,0.197,0.286,0.277,,,,0.158,0.316,0.175,,,,0.169,0.364,0.346,95.0,105.0,104.0,0.205,1.25,96.6,0.207,0.305,0.16,97.0,104.0,114.0,0.271,1.13,86.3,0.216,0.322,0.461,,,,,,,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,
