date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff
2023-07-01,3:31 PM.,TOR,BOS,away,Overcast.,80,579328,C,3,0,0,0,0,0,0,0,1,3,1,0.0,0.167,0.0,0.167,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,,,,0.451,,0.259,0.193,0.097,0.05,,,1.11,0.24,-1.83,95.1,,88.7,,88.7,83.1,0.27,0.412,0.268,,,,,,,0.225,0.396,0.302,0.284,0.463,0.307,0.254,0.508,0.193
2023-06-28,7:12 PM.,MIA,BOS,home,Cloudy.,77,666129,C,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,0.317,0.075,0.177,0.258,0.084,0.088,-1.84,1.53,1.06,0.45,-4.44,0.73,90.8,87.5,84.1,90.5,82.8,77.7,0.325,0.575,0.159,0.243,0.477,0.247,0.256,0.377,0.107,0.169,0.302,0.408,0.5,1.059,0.2,0.286,0.327,0.327
2023-06-25,1:10 PM.,CWS,BOS,away,Overcast.,86,621383,C,2,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,621383,tannerbanks,Banks,Left,Tanner Banks,CHW,4.43,4.39,61.0,101.0,88.0,101.0,0.788,7.52,2.36,8.7,1.48,0.86,0.272,0.348,0.103,0.37,0.445,64.0,102.0,96.0,113.0,106.0,109.0,75.0,102.0,99.0,79.0,100.0,95.0,106.0,100.0,102.0,,,,0.028,0.354,,0.303,0.151,0.165,-0.84,,-1.44,1.17,-3.1,2.23,92.6,,86.3,91.4,86.3,80.9,0.291,0.494,0.244,,,,0.5,0.5,0.444,0.225,0.408,0.263,0.31,0.69,0.243,0.162,0.324,0.188
2023-06-24,3:12 PM.,CWS,BOS,away,Sunny.,82,458681,C,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.437,0.23,0.063,0.074,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,84.9,91.4,83.0,80.8,0.255,0.52,0.316,0.273,0.512,0.267,0.239,0.394,0.177,0.286,0.446,0.308,0.208,0.453,0.354,0.302,0.372,0.296
