date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC
2023-09-05,6:37 PM.,MIL,PIT,home,Partly Cloudy.,90,605540,PH,0,0,0,0,0,0,0,0,0,0,0,0.167,0.25,0.222,0.472,605540,brandonwoodruff,Woodruff,Right,Brandon Woodruff,MIL,2.28,2.82,67.0,107.0,114.0,110.0,0.749,9.94,2.01,5.37,1.21,0.81,0.236,0.416,0.168,0.298,0.474,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.197,0.95,2.76,-0.33,-0.01,3.2,95.8,85.8,95.0,86.9,82.9,0.193,0.281,0.124,0.177,0.385,0.314,0.278,0.611,0.268,0.182,0.455,0.409,0.098,0.118,0.38,,,,,,,,,,,,,,,,,,,,,
2023-09-03,1:16 PM.,STL,PIT,away,Partly Cloudy.,89,668868,2B,3,0,0,0,0,0,0,0,0,2,0,0.167,0.25,0.222,0.472,668868,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,4.48,4.58,66.1,101.0,79.0,94.0,0.779,9.77,3.39,9.36,1.09,1.33,0.309,0.324,0.117,0.378,0.428,64.0,93.0,83.0,65.0,102.0,108.0,87.0,102.0,89.0,,,,,,,,0.537,0.17,0.271,0.021,-0.44,,0.82,0.67,-2.61,93.6,86.1,,85.7,75.5,,,,0.327,0.476,0.206,0.205,0.462,0.33,0.185,0.246,0.2289999999999999,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,0.002,-21.02,62.4
2023-08-30,7:11 PM.,KC,PIT,away,Clear.,83,672582,3B,3,1,1,1,0,0,1,0,1,1,0,0.2,0.294,0.267,0.561,672582,angelzerpa,Zerpa,Left,Angel Zerpa,KCR,4.85,4.36,42.2,101.0,77.0,96.0,0.822,7.59,1.69,9.7,1.48,1.6,0.224,0.418,0.164,0.381,0.46,67.0,97.0,93.0,,,,59.0,100.0,88.0,80.0,106.0,98.0,106.0,102.0,107.0,0.232,0.335,0.239,,0.194,0.43,0.96,-0.82,,-2.48,94.5,86.9,94.6,86.2,,0.289,0.467,0.05,0.222,0.407,0.216,0.244,0.463,0.231,,,,0.379,0.552,0.313,,,,,,,,,,,,,,,,,,,,,
2023-08-27,1:37 PM.,CHC,PIT,home,Partly Cloudy.,73,665871,PH,1,0,0,0,0,0,0,0,0,1,1,0.167,0.231,0.167,0.398,665871,javierassad,Assad,Right,Javier Assad,CHC,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.283,0.334,0.18,0.331,0.412,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,87.0,103.0,93.0,103.0,100.0,103.0,0.306,0.194,0.135,0.051,0.04,-0.9,2.18,0.28,-3.14,-3.27,93.1,85.0,92.7,80.6,76.5,0.214,0.324,0.142,0.313,0.484,0.193,0.163,0.265,0.457,0.25,0.55,0.258,0.357,0.571,0.292,103.0,99.0,95.0,,,,0.274,,0.48,,89.1,,0.218,0.418,0.18,,,,,,
2023-08-24,7:06 PM.,CHC,PIT,home,Cloudy.,84,657006,2B,2,0,0,0,0,0,0,0,0,1,0,0.182,0.25,0.182,0.432,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,0.018,0.626,0.339,0.006,0.01,0.67,0.89,0.54,2.44,-1.94,91.8,87.5,92.2,83.3,80.7,0.25,0.333,0.1669999999999999,0.275,0.393,0.203,0.217,0.346,0.311,0.0,0.0,0.3329999999999999,0.4,0.4,0.1,,,,,,,,,,,,,,,,,,,,,
2023-08-22,7:08 PM.,STL,PIT,home,Partly Cloudy.,76,425794,3B,4,1,1,0,0,0,0,0,0,0,0,0.222,0.3,0.222,0.522,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,129.0,102.0,110.0,80.0,94.0,84.0,87.0,99.0,89.0,83.0,78.0,71.0,0.314,0.099,0.003,0.306,0.05,-1.48,-3.36,-13.9,-1.5,-3.6,85.7,81.4,86.9,75.6,71.5,0.394,0.746,0.093,0.326,0.512,0.1169999999999999,,,,0.291,0.475,0.153,0.389,0.611,0.1,107.0,99.0,95.0,,,,0.226,,-0.27,,82.9,,0.344,0.473,0.152,,,,0.002,6.39,65.7
2023-08-21,7:07 PM.,STL,PIT,home,Partly Cloudy.,86,680723,3B,1,0,1,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533,680723,drewrom,Rom,Left,Drew Rom,STL,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.464,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,0.241,0.443,0.237,,,-2.41,-2.11,-2.48,,,90.6,,87.4,79.4,,0.351,0.568,0.091,0.333,0.633,0.212,0.289,0.632,0.172,,,,,,,,,,85.0,83.0,71.0,,0.079,,-5.66,,83.6,,,,0.467,0.6,0.2689999999999999,,,
2023-08-04,7:11 PM.,MIL,PIT,away,Partly Cloudy.,75,607067,2B,3,1,0,0,0,0,0,0,1,0,2,0.0,0.2,0.0,0.2,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,0.299,0.193,0.109,0.079,,2.43,0.31,-0.31,-0.94,,93.2,,92.6,83.1,78.8,0.253,0.42,0.136,0.135,0.27,0.264,0.226,0.377,0.362,0.242,0.455,0.231,,,,87.0,99.0,95.0,62.0,96.0,91.0,0.265,0.056,-0.01,-5.76,86.7,86.0,0.245,0.519,0.293,0.44,0.84,0.184,,,
2023-08-03,6:15 PM.,MIL,PIT,away,Clear.,88,605288,3B,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,0.471,0.238,0.166,0.085,0.04,0.29,0.46,-0.89,-1.08,-2.07,93.4,84.3,92.1,82.3,79.4,0.296,0.396,0.129,0.227,0.34,0.237,0.258,0.484,0.284,0.269,0.538,0.127,0.294,0.471,0.2,,,,,,,,,,,,,,,,,,,,,
2024-07-09,7:10 PM.,PIT,MIL,home,Cloudy.,73,676596,3B,4,0,0,0,0,0,0,0,0,3,2,0.111,0.111,0.222,0.333,676596,joshfleming,Fleming,Left,Josh Fleming,PIT,4.02,4.31,31.1,96.0,67.0,89.0,0.843,4.88,4.02,9.77,0.86,2.04,0.198,0.396,0.179,0.292,0.331,69.0,100.0,89.0,100.0,91.0,89.0,142.0,135.0,123.0,50.0,90.0,86.0,,,,0.378,0.004,,0.062,0.301,1.97,-2.42,,-5.88,1.56,89.8,83.2,90.4,,77.9,0.4,0.578,0.218,,,,,,,0.333,0.778,0.294,0.156,0.2,0.159,83.0,101.0,93.0,,,,0.256,,1.26,,87.2,,0.261,0.304,0.164,,,,,,
