Player ID,Player Name,Team,Strategy,Date,Cron,Hits 2023,No Hits 2023,Hit Percentage 2023,Hits 2024,No Hits 2024,Hit Percentage 2024
663457,larsnootbaar,STL,PitchingHand=Right|ERA>5,2024-04-23,rolling,16,1,94.12%,1,0,100.00%
660670,ronaldacunajr,ATL,PitchingHand=Right|FB% 2>0.4|FBv<93,2024-04-23,rolling,32,2,94.12%,4,0,100.00%
608369,coreyseager,TEX,PitchingHand=Right|location=home|xERA>4,2024-04-23,rolling,28,3,90.32%,3,0,100.00%
660271,shoheiohtani,LAD,GB/FB<1|xERA>4,2024-04-23,rolling,31,2,93.94%,6,1,85.71%
663538,nicohoerner,CHC,PitchingHand=Left|xERA>4,2024-04-23,rolling,29,2,93.55%,3,1,75.00%
683002,gunnarhenderson,BAL,PitchingHand=Right|location=home|xERA>5,2024-04-23,rolling,11,0,100.00%,4,0,100.00%
605141,mookiebetts,LAD,wFB/C<0|GB/FB>1.25,2024-04-23,rolling,19,1,95.00%,5,0,100.00%
606466,ketelmarte,AZ,SL%<0.2|CB%<0.2|wSL/C<0|wCB/C<0,2024-04-23,rolling,17,1,94.44%,3,0,100.00%
647304,joshnaylor,CLE,FBv>94|wFB/C<0,2024-04-23,rolling,19,0,100.00%,1,0,100.00%
663538,nicohoerner,CHC,GB/FB>1.5|Pitching+<100,2024-04-23,rolling,15,1,93.75%,1,1,50.00%
606466,ketelmarte,AZ,FB% 2>0.5|Pitching+<100,2024-04-24,rolling,21,2,91.30%,4,0,100.00%
542303,marcellozuna,ATL,PitchingHand=Left|H/9>8|weather=Sunny.,2024-05-24,rolling,1,2,33.33%,,,
606466,ketelmarte,AZ,PitchingHand=Left|GB/FB<1,2024-05-27,rolling,13,2,86.67%,9,0,100.00%
656811,ryanohearn,BAL,GB/FB>1.5|PitchingHand=Right,2024-05-27,all,15,0,100.00%,3,0,100.00%
