date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023/09/12,7:11 PM.,NYM,AZ,away,Partly Cloudy.,78,676130,C,2,0,0,0,0,0,0,0,0,1,2,.208,.296,.257,.553,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,83.0,96.0,92.0,76.0,88.0,94.0,101.0,96.0,94.0,86.0,86.0,79.0,109.0,104.0,106.0,,,,0.056,0.509,,0.151,0.055,0.229,1.65,,4.53,1.11,1.56,-2.44,93.8,,85.5,92.9,86.2,80.0,0.154,0.308,0.389,0.174,0.275,0.22699999999999998,0.2,0.2,0.267,0.316,0.395,0.373,,,,0.231,0.231,0.185,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/11,8:22 PM.,NYM,AZ,away,Partly Cloudy.,73,500779,C,0,0,0,0,0,0,0,0,0,0,0,.212,.301,.263,.564,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,,,,,,,0.323,0.242,,,0.253,0.181,-2.28,,3.29,,1.45,-1.18,90.2,,85.8,90.4,,77.2,,,,0.391,0.594,0.217,0.214,0.268,0.26899999999999996,0.276,0.379,0.29600000000000004,,,,0.196,0.25,0.135,,,,,,,,,,,,,,,,0.211,0.368,0.207,,,,,,
2023/09/06,12:40 PM.,COL,AZ,home,Roof Closed.,75,623167,C,5,1,2,1,0,0,0,0,0,1,1,.212,.301,.263,.564,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,,,,0.019,0.409,,0.097,0.022,0.16,-2.66,,-7.15,-2.44,2.61,0.72,91.9,,81.0,90.9,80.8,71.6,0.389,0.444,0.14800000000000002,0.379,0.739,0.174,0.125,0.125,0.35700000000000004,0.213,0.32,0.397,,,,0.6,0.7,0.111,87.0,100.0,94.0,0.293,-0.47,87.9,0.287,0.504,0.20199999999999999,,,,,,,,,,,,,,,
2023/09/03,1:10 PM.,BAL,AZ,home,Roof Closed.,78,656427,C,3,0,0,0,0,0,0,0,0,2,1,.202,.296,.245,.541,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.246,0.459,0.132,0.307,0.398,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,,,,0.02,0.417,,0.246,,0.033,-0.44,,-2.28,-1.15,,0.86,93.1,,85.3,90.1,84.2,,0.339,0.558,0.265,0.29,0.411,0.20800000000000002,0.204,0.372,0.402,0.154,0.154,0.083,,,,0.333,0.333,0.1,92.0,98.0,101.0,0.091,-1.05,88.7,0.318,0.545,0.264,93.0,102.0,108.0,0.194,0.23,76.2,,,,,,,,,
2023/08/30,7:10 PM.,LAD,AZ,away,Clear.,82,686752,C,2,0,0,0,0,0,0,0,0,0,0,.209,.305,.253,.558,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,LAD,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.274,0.416,0.177,0.301,0.424,87.0,115.0,113.0,,,,100.0,100.0,97.0,,,,115.0,96.0,101.0,,,,,0.506,,0.147,,0.347,1.83,,,0.98,,0.55,94.0,,86.3,,88.8,,0.174,0.348,0.326,0.156,0.344,0.22399999999999998,,,,0.203,0.391,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/26,5:10 PM.,CIN,AZ,home,Roof Closed.,79,518585,C,5,2,1,0,0,0,0,0,0,1,1,.213,.311,.258,.569,518585,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.91,3.45,66.0,94.0,93.0,98.0,0.664,13.36,3.82,7.09,0.82,0.64,0.253,0.453,0.167,0.36,0.393,,,,,,,95.0,94.0,90.0,110.0,83.0,96.0,95.0,82.0,93.0,94.0,98.0,110.0,0.004,0.351,0.358,0.045,,0.001,-0.18,2.89,-3.09,2.96,,5.63,94.3,81.4,84.1,93.8,83.3,,0.125,0.125,0.455,0.3,0.512,0.16699999999999998,,,,,,,0.094,0.154,0.5670000000000001,,,,87.0,91.0,92.0,0.24,-1.76,87.9,0.39,0.732,0.185,,,,,,,,,,,,,,,
2023/08/19,12:12 PM.,SD,AZ,away,Overcast.,71,663362,C,3,0,0,0,0,0,0,0,0,1,1,.214,.316,.262,.578,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,,,,76.0,105.0,98.0,81.0,106.0,95.0,101.0,100.0,109.0,,,,0.236,0.205,,0.16,,,-0.95,,0.75,-0.44,,,91.3,,,91.3,79.8,,0.269,0.5,0.204,0.259,0.519,0.217,,,,,,,,,,0.239,0.457,0.095,104.0,114.0,109.0,0.131,0.15,86.7,0.214,0.464,0.193,,,,,,,,,,76.6,0.267,-1.01,0.242,0.485,0.247
2023/08/16,1:10 PM.,COL,AZ,away,Partly Cloudy.,95,596295,C,3,0,1,0,0,0,0,0,1,0,0,.222,.326,.272,.598,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,0.012,0.439,,0.201,,0.181,-1.99,,-5.34,0.96,,-0.07,90.6,,81.6,90.8,84.8,,0.275,0.383,0.247,0.344,0.656,0.11800000000000001,0.226,0.358,0.28,0.296,0.509,0.19899999999999998,,,,0.4,1.0,0.16699999999999998,,,,,,,,,,90.0,103.0,104.0,0.168,-0.75,77.6,,,,,,,,,
2023/08/13,1:10 PM.,SD,AZ,home,Roof Closed.,78,607625,C,2,0,1,0,0,0,0,0,0,1,2,.218,.319,.269,.588,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,,,,0.199,0.318,,0.111,0.313,0.059,0.36,,1.87,-0.6,0.26,-2.89,93.4,,86.3,93.2,85.2,79.6,0.25,0.417,0.28600000000000003,0.246,0.464,0.214,0.287,0.384,0.265,0.303,0.576,0.34299999999999997,,,,0.208,0.36,0.08900000000000001,,,,,,,,,,,,,,,,0.0,0.0,0.226,,,,,,
2023/08/09,6:40 PM.,LAD,AZ,home,Roof Closed.,78,676272,C,1,0,0,0,0,0,0,0,2,0,1,.211,.315,.263,.578,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,107.0,99.0,100.0,153.0,110.0,121.0,,,,0.192,0.289,,0.174,0.185,0.16,1.2,,1.75,-1.0,1.25,0.6,99.0,,88.2,98.8,89.7,80.6,0.5,0.75,0.25,0.258,0.367,0.20600000000000002,0.184,0.303,0.36,0.133,0.307,0.39899999999999997,,,,0.258,0.382,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,
