date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/29,7:20 PM.,WSH,ATL,home,Partly Cloudy.,78,592866,CF,5,1,3,0,0,0,0,1,0,2,0,.462,.533,.846,1.379,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,,,,0.146,0.433,,0.182,0.171,-0.77,,-0.45,-1.7,-2.25,89.7,,83.3,88.2,80.9,0.283,0.563,0.16699999999999998,0.315,0.483,0.19899999999999998,0.313,0.5,0.281,,,,0.325,0.458,0.188,97.0,95.0,95.0,,,,,0.069,,-1.93,,76.7,,,,0.314,0.629,0.2,,,,,,
2023/09/26,7:22 PM.,CHC,ATL,home,Partly Cloudy.,77,657006,PR,0,1,0,0,0,0,0,1,0,0,0,.375,.500,1.000,1.500,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,0.018,0.626,,0.339,0.01,0.67,,0.89,0.54,-1.94,91.8,,87.5,92.2,83.3,0.275,0.393,0.203,0.4,0.4,0.1,0.217,0.346,0.311,,,,0.25,0.333,0.16699999999999998,87.0,98.0,109.0,,,,,0.006,,2.44,,80.7,,,,0.0,0.0,0.33299999999999996,,,,,,
2023/09/24,6:35 PM.,WSH,ATL,away,Cloudy.,67,672851,LF,2,1,1,0,0,1,2,1,2,0,0,.375,.500,1.000,1.500,672851,joanadon,Adon,Right,Joan Adon,WSN,6.45,5.59,51.2,98.0,89.0,93.0,0.802,8.36,4.18,10.45,1.39,1.0,0.242,0.406,0.145,0.406,0.411,86.0,98.0,102.0,79.0,101.0,90.0,89.0,89.0,79.0,98.0,93.0,93.0,,,,0.136,0.395,,0.113,0.152,0.26,,-1.28,-2.74,0.68,94.5,,88.1,94.2,87.3,0.288,0.411,0.221,0.148,0.222,0.33899999999999997,0.318,0.455,0.28600000000000003,,,,0.314,0.629,0.013999999999999999,104.0,101.0,102.0,,,,,0.205,,-3.51,,80.8,,,,0.315,0.63,0.253,,,,,,
2023/09/21,7:05 PM.,WSH,ATL,away,Partly Cloudy.,75,663623,RF,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,92.0,100.0,94.0,101.0,101.0,98.0,,,,,,,0.287,0.356,,,0.051,-0.01,,-0.75,,1.21,94.5,,87.8,93.9,,0.208,0.376,0.192,0.25,0.5,0.156,,,,,,,0.348,0.525,0.09300000000000001,110.0,100.0,103.0,,,,,0.306,,0.08,,80.9,,,,0.197,0.362,0.257,,,,,,
2023/09/20,12:21 PM.,PHI,ATL,home,Partly Cloudy.,75,605400,DH,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,95.0,107.0,103.0,100.0,107.0,101.0,,,,111.0,110.0,105.0,0.188,0.295,0.075,,0.126,-0.03,0.4,0.46,,0.14,92.7,86.3,85.9,91.8,,0.246,0.503,0.217,0.22,0.319,0.319,,,,0.246,0.508,0.301,0.279,0.416,0.106,,,,,,,,,,,,,,,,0.221,0.398,0.33299999999999996,118.0,105.0,113.0,0.316,0.47,79.4
2023/09/18,7:19 PM.,PHI,ATL,home,Partly Cloudy.,73,554430,LF,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,96.0,102.0,102.0,0.18,0.435,0.144,0.123,0.004,1.69,-0.63,1.62,0.36,-6.22,95.8,90.9,90.8,95.2,84.4,0.199,0.333,0.314,,,,0.198,0.36,0.392,0.27,0.426,0.228,0.252,0.308,0.192,116.0,105.0,114.0,,,,,0.115,,-1.61,,81.4,,,,0.264,0.473,0.33,,,,,,
2023/09/17,1:41 PM.,MIA,ATL,away,Roof Closed.,72,666200,LF,2,0,1,1,0,0,0,0,0,0,1,.333,.333,.667,1.000,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,68.0,87.0,76.0,0.04,0.457,0.004,0.289,0.21,0.93,0.74,-0.81,-0.26,-0.09,96.7,91.4,88.3,96.5,85.1,0.232,0.384,0.19399999999999998,0.248,0.429,0.361,0.233,0.389,0.518,,,,0.314,0.686,0.102,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/16,4:10 PM.,MIA,ATL,away,Roof Closed.,72,663773,LF,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,663773,bryanhoeing,Hoeing,Right,Bryan Hoeing,MIA,5.48,5.3,70.2,101.0,97.0,100.0,0.805,6.75,3.18,9.04,1.66,1.17,0.268,0.357,0.121,0.335,0.395,41.0,99.0,76.0,80.0,97.0,87.0,106.0,100.0,99.0,97.0,104.0,108.0,,,,0.526,0.089,,0.318,0.026,-2.17,,-0.76,0.98,-5.28,93.9,,87.2,94.1,83.2,0.333,0.619,0.095,0.6,0.8,0.231,0.179,0.333,0.32899999999999996,,,,0.275,0.55,0.16399999999999998,,,,,,,0.042,,-5.4,,84.9,,0.333,0.733,0.25,,,,,,,,,
2023/09/15,6:43 PM.,MIA,ATL,away,Roof Closed.,72,456501,LF,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,456501,johnnycueto,Cueto,Right,Johnny Cueto,MIA,6.02,5.13,52.1,107.0,84.0,103.0,0.831,6.71,2.58,8.77,2.92,0.7,0.298,0.472,0.161,0.323,0.408,73.0,106.0,102.0,87.0,116.0,112.0,89.0,103.0,100.0,88.0,95.0,96.0,69.0,90.0,66.0,0.196,0.346,0.028,0.234,0.192,-0.03,0.08,2.47,-1.92,-3.11,92.2,88.1,84.1,92.2,86.1,0.242,0.53,0.245,0.286,0.595,0.278,0.27,0.73,0.154,0.222,0.333,0.1,0.244,0.4,0.035,120.0,47.0,56.0,,,,,0.004,,-3.06,,76.0,,,,,,,,,,,,
2023/09/12,6:42 PM.,PHI,ATL,away,Partly Cloudy.,83,554430,DH,0,1,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,96.0,102.0,102.0,0.18,0.435,0.144,0.123,0.004,1.69,-0.63,1.62,0.36,-6.22,95.8,90.9,90.8,95.2,84.4,0.199,0.333,0.314,,,,0.198,0.36,0.392,0.27,0.426,0.228,0.252,0.308,0.192,116.0,105.0,114.0,,,,,0.115,,-1.61,,81.4,,,,0.264,0.473,0.33,,,,,,
