date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023/05/19,7:11 PM.,CWS,KC,away,Cloudy.,61,656629,3B,3,0,0,0,0,0,0,0,0,1,0,.183,.253,.305,.558,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,,,,0.614,,0.272,0.04,0.074,-0.71,,,-1.5,-0.94,0.15,95.2,,88.7,,84.8,80.6,,,,0.133,0.3,0.33899999999999997,,,,0.244,0.462,0.264,0.158,0.474,0.19399999999999998,0.258,0.516,0.27399999999999997,,,,,,,,,,,,,,,,,,
2023/05/15,6:42 PM.,SD,KC,away,Partly Cloudy.,63,608379,RF,3,0,0,0,0,0,0,0,0,1,2,.190,.261,.316,.577,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,,,,96.0,100.0,96.0,0.133,0.288,0.124,,0.11,0.345,1.23,-2.13,-0.36,,1.04,1.06,92.0,86.9,81.6,91.9,,74.0,0.25,0.45,0.111,0.207,0.346,0.359,0.364,0.582,0.165,0.188,0.323,0.16699999999999998,0.172,0.31,0.27,,,,,,,,,,,,,,,,,,,,,
2023/05/14,1:11 PM.,MIL,KC,away,Roof Closed.,65,607067,3B,3,2,1,0,0,1,2,0,0,1,1,.197,.271,.329,.600,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,101.0,105.0,105.0,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,0.299,0.193,0.265,0.109,0.079,,2.43,-0.01,0.31,-0.31,-0.94,,93.2,86.7,,92.6,83.1,78.8,0.253,0.42,0.136,,,,0.245,0.519,0.293,0.135,0.27,0.264,0.242,0.455,0.231,0.226,0.377,0.36200000000000004,,,,,,,62.0,96.0,91.0,0.056,-5.76,86.0,0.44,0.84,0.184,,,
2023/05/12,7:10 PM.,MIL,KC,away,Roof Closed.,70,669203,3B,2,0,1,0,0,0,0,0,1,1,0,.192,.272,.288,.560,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,160.0,104.0,113.0,,,,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,,0.554,0.085,0.171,0.112,,1.51,-2.42,1.12,1.35,1.07,,94.4,89.3,95.3,86.0,79.8,0.291,0.564,0.129,0.204,0.258,0.306,0.209,0.34,0.22699999999999998,,,,0.133,0.211,0.488,0.159,0.275,0.43799999999999994,,,,,,,,,,,,,,,,,,
2023/05/09,8:40 PM.,CWS,KC,home,Cloudy.,69,608337,3B,3,0,1,0,0,0,0,0,0,0,3,.183,.256,.282,.538,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,0.283,-0.85,,,-0.25,-3.72,-0.2,93.1,,80.9,,84.0,77.9,,,,0.209,0.442,0.35200000000000004,,,,0.262,0.546,0.2,0.5,0.5,0.2,0.236,0.438,0.345,,,,,,,,,,,,,,,,,,
2023/05/06,6:16 PM.,OAK,KC,home,Clear.,93,686610,RF,3,0,0,0,0,0,0,0,1,1,5,.176,.253,.279,.532,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,,,,96.0,99.0,100.0,,,,,0.543,,0.271,0.02,0.166,-0.52,,,-0.79,-3.62,-1.4,93.3,,84.2,,81.1,74.5,,,,0.34,0.515,0.374,,,,0.275,0.493,0.17800000000000002,0.333,0.833,0.0,0.218,0.423,0.32799999999999996,,,,,,,,,,,,,,,,,,
2023/05/05,7:10 PM.,OAK,KC,home,Cloudy.,76,666205,3B,2,0,2,1,1,0,2,0,2,0,0,.185,.254,.292,.546,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,74.0,72.0,74.0,97.0,103.0,104.0,87.0,99.0,92.0,,,,90.0,98.0,99.0,,,,,0.517,,0.253,0.149,0.081,-2.52,,,-0.45,-2.07,-3.21,93.5,,87.9,,87.1,81.2,,,,0.333,0.5,0.387,,,,0.395,0.663,0.161,0.268,0.415,0.284,0.293,0.475,0.242,,,,,,,,,,,,,,,,,,
2023/05/04,1:10 PM.,BAL,KC,home,Overcast.,72,680570,LF,1,0,0,0,0,0,0,0,0,1,2,.159,.209,.222,.431,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,0.496,0.052,0.148,0.081,0.224,-0.83,-1.59,,1.92,-0.49,1.7,97.4,90.0,83.9,,82.4,79.9,,,,0.201,0.318,0.28300000000000003,0.333,0.889,0.14300000000000002,0.342,0.535,0.24100000000000002,0.176,0.353,0.281,0.153,0.169,0.34,,,,,,,,,,,,,,,,,,
2023/04/30,1:14 PM.,MIN,KC,away,Cloudy.,45,543243,3B,4,0,0,0,0,0,0,0,0,3,2,.161,.212,.226,.438,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.168,0.067,0.61,1.3,-0.46,3.25,0.87,-0.63,92.9,87.6,87.9,92.8,84.3,79.6,0.275,0.413,0.177,0.27,0.405,0.174,0.265,0.368,0.278,0.301,0.422,0.16399999999999998,0.257,0.371,0.282,0.096,0.117,0.413,0.001,-0.41,72.9,,,,,,,,,,,,,,,
2023/04/29,1:10 PM.,MIN,KC,away,Overcast.,47,641927,DH,0,0,0,0,0,0,0,1,0,0,0,.172,.226,.241,.467,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,100.0,108.0,106.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,0.457,,0.196,0.067,0.28,0.75,,,-0.7,1.44,1.08,91.3,,83.7,,81.0,77.5,,,,0.226,0.35,0.298,,,,0.232,0.425,0.27699999999999997,0.194,0.306,0.161,0.255,0.48,0.32899999999999996,,,,,,,,,,,,,,,,,,
