date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/30,3:08 PM.,TOR,TB,away,Partly Cloudy.,68,547943,1B,1,0,0,0,0,0,0,0,0,0,1,.207,.327,.305,.632,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,75.0,105.0,91.0,,,,0.317,,0.228,-0.51,,-2.1,88.6,78.1,,0.265,0.633,0.11900000000000001,,,,0.276,0.448,0.25,73.0,100.0,94.0,0.095,3.34,87.7,0.133,0.133,0.091,88.0,111.0,105.0,0.171,-1.45,68.9,0.286,0.429,0.35200000000000004,92.0,107.0,97.0,,,,0.189,,1.27,,85.1,,,,,0.238,0.357,0.207,,,,,,
2023/09/29,7:07 PM.,TOR,TB,away,Clear.,64,579328,DH,1,0,0,0,0,0,0,0,0,1,0,.210,.330,.309,.639,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.097,0.05,1.11,-1.83,95.1,88.7,88.7,0.27,0.412,0.268,0.225,0.396,0.302,0.254,0.508,0.193,,,,,,,,,,98.0,103.0,105.0,0.193,0.24,83.1,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/27,6:13 PM.,BOS,TB,away,Partly Cloudy.,61,678394,2B,4,0,1,0,0,0,0,0,1,0,0,.213,.333,.313,.646,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,83.0,102.0,93.0,103.0,94.0,103.0,0.207,0.175,0.239,-1.91,-1.86,1.38,95.5,86.2,85.3,0.31,0.646,0.19899999999999998,0.3,0.456,0.259,0.196,0.291,0.387,93.0,101.0,98.0,0.364,0.52,95.0,0.278,0.435,0.16,,,,,,,,,,88.0,100.0,88.0,,,,0.015,,-6.73,,89.1,,,,,0.462,1.077,0.20800000000000002,,,,,,
2023/09/26,7:14 PM.,BOS,TB,away,Partly Cloudy.,56,656557,1B,4,1,3,1,0,0,1,0,0,0,0,.211,.330,.316,.646,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,,,,95.0,96.0,88.0,113.0,99.0,107.0,0.099,0.383,,-2.8,0.98,,93.9,,83.9,0.325,0.55,0.157,0.178,0.301,0.387,,,,111.0,102.0,101.0,0.295,-0.38,93.4,0.306,0.507,0.187,,,,,,,,,,80.0,100.0,92.0,67.0,105.0,92.0,0.108,0.114,0.73,-1.52,91.3,87.6,0.31,0.452,0.40399999999999997,0.229,0.354,0.21600000000000003,,,,,,
2023/09/23,4:10 PM.,TOR,TB,home,Dome.,72,547943,PH,1,0,0,0,0,0,0,0,0,1,0,.181,.302,.278,.580,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,75.0,105.0,91.0,,,,0.317,,0.228,-0.51,,-2.1,88.6,78.1,,0.265,0.633,0.11900000000000001,,,,0.276,0.448,0.25,73.0,100.0,94.0,0.095,3.34,87.7,0.133,0.133,0.091,88.0,111.0,105.0,0.171,-1.45,68.9,0.286,0.429,0.35200000000000004,92.0,107.0,97.0,,,,0.189,,1.27,,85.1,,,,,0.238,0.357,0.207,,,,,,
2023/09/22,6:41 PM.,TOR,TB,home,Dome.,72,605135,DH,4,0,0,0,0,0,0,0,0,2,1,.183,.306,.282,.588,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,74.0,106.0,98.0,106.0,93.0,102.0,0.093,0.136,0.065,-3.9,-0.72,1.71,92.4,84.1,75.6,0.333,0.652,0.20600000000000002,0.227,0.636,0.191,0.189,0.351,0.10099999999999999,92.0,104.0,98.0,0.393,2.11,91.9,0.22,0.336,0.14400000000000002,93.0,92.0,100.0,0.126,0.67,70.7,0.192,0.295,0.318,95.0,105.0,102.0,78.0,84.0,84.0,0.153,0.033,-1.13,-3.07,87.8,82.6,0.375,0.563,0.226,0.274,0.496,0.253,,,,,,
2023/09/21,1:10 PM.,LAA,TB,home,Dome.,72,656288,DH,4,0,0,0,0,0,1,0,0,2,3,.194,.321,.299,.620,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,78.0,101.0,93.0,124.0,105.0,110.0,0.348,0.299,0.213,-0.21,0.1,1.6,94.7,90.2,88.4,0.235,0.5,0.28300000000000003,0.261,0.344,0.34,0.213,0.339,0.248,81.0,95.0,86.0,0.006,-8.61,95.0,0.333,1.333,0.0,91.0,98.0,103.0,0.134,-0.53,81.8,0.271,0.667,0.252,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/20,6:40 PM.,LAA,TB,home,Dome.,72,672282,2B,2,1,1,0,0,0,0,0,0,0,0,.206,.338,.317,.655,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,87.0,101.0,95.0,124.0,100.0,102.0,0.432,0.319,0.054,-0.38,0.91,-2.03,94.3,84.8,88.7,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.24600000000000002,,,,,,,,,,93.0,94.0,105.0,0.194,0.14,74.7,0.191,0.326,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:36 PM.,BAL,TB,away,Overcast.,72,665152,DH,4,0,0,0,0,0,0,0,0,2,2,.197,.333,.311,.644,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,106.0,103.0,102.0,116.0,98.0,105.0,0.371,0.033,0.123,0.43,-1.43,-1.4,94.6,85.3,82.8,0.252,0.409,0.262,0.25,0.417,0.244,0.26,0.377,0.27,84.0,106.0,99.0,0.145,1.81,91.9,0.269,0.38,0.081,93.0,94.0,98.0,0.089,-2.29,78.1,0.347,0.592,0.24,104.0,106.0,102.0,,,,0.239,,0.02,,88.8,,,,,0.222,0.416,0.27699999999999997,,,,,,
2023/09/16,7:06 PM.,BAL,TB,away,Clear.,79,680570,DH,3,0,1,0,0,0,0,0,0,0,0,.211,.352,.333,.685,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,116.0,104.0,106.0,126.0,103.0,114.0,0.496,0.148,0.224,-0.83,1.92,1.7,97.4,83.9,82.4,0.342,0.535,0.24100000000000002,0.153,0.169,0.34,0.201,0.318,0.28300000000000003,,,,,,,,,,146.0,97.0,101.0,0.081,-0.49,79.9,0.176,0.353,0.281,76.0,90.0,86.0,,,,0.052,,-1.59,,90.0,,,,,0.333,0.889,0.14300000000000002,,,,,,
2023/09/14,7:16 PM.,BAL,TB,away,Clear.,73,680694,DH,1,0,0,0,0,0,0,0,0,0,0,.204,.353,.333,.686,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,101.0,96.0,96.0,171.0,105.0,116.0,0.224,0.313,0.083,-1.0,1.77,-0.36,94.5,90.8,88.1,0.366,0.602,0.15,0.168,0.272,0.364,0.259,0.37,0.114,88.0,104.0,98.0,0.207,1.53,95.0,0.23,0.367,0.15,135.0,105.0,109.0,0.173,3.99,84.8,0.142,0.165,0.35600000000000004,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/13,12:10 PM.,MIN,TB,away,Sunny.,60,572971,PH,1,0,0,0,0,0,0,0,0,1,0,.208,.358,.340,.698,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIN,5.97,5.59,37.2,98.0,74.0,94.0,0.799,5.97,4.3,10.75,0.72,2.23,0.213,0.504,0.189,0.315,0.333,74.0,110.0,108.0,,,,64.0,94.0,95.0,,0.129,0.271,,0.06,-0.58,,80.3,78.3,,,,0.222,0.278,0.441,0.327,0.473,0.196,64.0,92.0,86.0,0.347,0.39,87.4,0.245,0.367,0.084,,,,,,,,,,92.0,94.0,90.0,,,,0.254,,-2.63,,84.8,,,,,0.379,0.69,0.24600000000000002,,,,,,
2023/09/12,6:41 PM.,MIN,TB,away,Partly Cloudy.,63,657746,DH,3,0,0,0,0,0,0,0,0,2,0,.212,.364,.346,.710,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,102.0,88.0,94.0,0.569,0.159,,0.89,-2.12,,92.3,,80.3,0.24,0.457,0.287,0.32,0.56,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,91.0,104.0,102.0,,0.272,,-0.3,,83.9,0.242,0.415,0.213,,,,,,,,,
2023/09/11,6:41 PM.,MIN,TB,away,Partly Cloudy.,72,543243,3B,2,0,0,0,0,0,0,0,3,0,0,.224,.381,.367,.748,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,105.0,99.0,100.0,122.0,108.0,121.0,0.271,0.205,0.067,0.61,3.25,-0.63,92.9,87.9,84.3,0.301,0.422,0.16399999999999998,0.096,0.117,0.413,0.27,0.405,0.174,82.0,99.0,94.0,0.157,-0.46,92.8,0.275,0.413,0.177,91.0,98.0,101.0,0.168,0.87,79.6,0.257,0.371,0.282,118.0,102.0,102.0,,,,0.131,,1.3,,87.6,,,,,0.265,0.368,0.278,,,,0.001,-0.41,72.9
