date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI%,wSI/C,vSI,vKN (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,KN%,wFS/C,wKC/C,wKN/C,vFS,vKC,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023/04/30,1:36 PM.,BOS,CLE,away,Drizzle.,51,519242,C,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,,,,99.0,102.0,100.0,92.0,98.0,100.0,,,,0.432,,0.375,,0.131,0.46,,0.7,,-1.09,93.9,,86.1,77.8,,0.252,0.437,0.23399999999999999,,,,0.309,0.473,0.322,0.162,0.358,0.389,,,,0.062,-1.13,93.3,,98.0,94.0,96.0,,,,,,,,,,,,0.267,0.5,0.16699999999999998,,,,,,
2023/04/24,6:09 PM.,COL,CLE,home,Clear.,44,596295,C,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,93.0,98.0,102.0,,,,0.439,,0.201,,0.181,-1.99,,0.96,,-0.07,90.6,,81.6,84.8,,0.344,0.656,0.11800000000000001,,,,0.296,0.509,0.19899999999999998,0.275,0.383,0.247,0.226,0.358,0.28,0.012,-5.34,90.8,,66.0,7.0,2.0,,,,,0.168,,,-0.75,,,77.6,0.4,1.0,0.16699999999999998,,,,90.0,103.0,104.0
2023/04/22,8:13 PM.,MIA,CLE,home,Cloudy.,49,666129,C,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,100.0,102.0,102.0,95.0,100.0,97.0,0.075,0.177,0.258,0.084,0.088,-1.84,1.53,0.45,-4.44,0.73,90.8,87.5,84.1,82.8,77.7,0.325,0.575,0.159,0.243,0.477,0.247,0.286,0.327,0.327,0.169,0.302,0.408,0.5,1.059,0.2,0.317,1.06,90.5,,91.0,102.0,97.0,,,,,,,,,,,,0.256,0.377,0.107,,,,,,
2023/04/18,4:17 PM.,DET,CLE,away,Partly Cloudy.,46,593958,C,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,103.0,107.0,106.0,90.0,101.0,98.0,0.454,0.192,0.072,,0.189,0.65,0.51,3.12,,0.71,92.2,88.8,85.9,84.5,,0.278,0.431,0.222,0.2,0.471,0.19399999999999998,0.233,0.292,0.317,0.089,0.178,0.395,,,,0.093,1.11,92.4,,84.0,117.0,107.0,,,,,,,,,,,,0.165,0.228,0.135,,,,,,
2023/04/11,6:09 PM.,NYY,CLE,home,Clear.,59,543037,C,1,0,0,0,0,0,0,0,0,0,1,.000,.250,.000,.250,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,,,,125.0,104.0,108.0,136.0,105.0,114.0,107.0,103.0,102.0,0.53,0.07,0.208,,0.071,1.66,0.61,1.69,,-0.54,96.7,92.7,89.1,89.1,,0.201,0.332,0.228,0.262,0.377,0.311,0.235,0.51,0.28600000000000003,0.186,0.251,0.327,0.215,0.269,0.244,,,,,,,,,,,,0.121,,,0.94,,,82.9,,,,,,,114.0,103.0,113.0
2023/04/09,1:41 PM.,SEA,CLE,home,Sunny.,52,669923,C,1,0,0,0,0,0,0,0,1,0,1,.000,.333,.000,.333,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,126.0,106.0,112.0,,,,0.394,,0.197,,0.018,1.34,,1.03,,-5.31,96.1,,86.6,86.3,,0.234,0.392,0.28,,,,0.5,0.9,0.125,0.264,0.377,0.22,0.265,0.458,0.159,0.216,0.43,95.8,75.1,106.0,110.0,109.0,95.0,103.0,110.0,0.061,0.115,0.001,1.07,0.35,0.26,84.9,81.8,0.261,0.383,0.131,0.143,0.286,0.35700000000000004,,,
2023/04/08,6:10 PM.,SEA,CLE,home,Clear.,45,594835,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,594835,marcogonzales,"Gonzales, M",Left,Marco Gonzales,SEA,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.202,0.46,0.129,0.294,0.429,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,,,,92.0,104.0,90.0,0.366,0.088,,0.242,0.302,-1.28,-2.98,,1.1,1.36,89.0,85.9,79.9,,79.3,0.333,0.556,0.124,0.389,0.667,0.17600000000000002,0.222,0.358,0.295,,,,0.294,0.353,0.135,0.002,6.42,88.8,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/05,12:37 PM.,OAK,CLE,away,Partly Cloudy.,57,666205,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,74.0,72.0,74.0,97.0,103.0,104.0,87.0,99.0,92.0,90.0,98.0,99.0,,,,0.517,,0.253,0.149,0.081,-2.52,,-0.45,-2.07,-3.21,93.5,,87.9,87.1,81.2,0.395,0.663,0.161,,,,0.333,0.5,0.387,0.293,0.475,0.242,0.268,0.415,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/04,6:40 PM.,OAK,CLE,away,Partly Cloudy.,54,676664,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,,,,0.501,,0.346,,0.151,-0.84,,-0.06,,0.36,93.1,,84.1,81.4,,0.256,0.478,0.217,,,,0.277,0.438,0.225,0.21,0.395,0.28300000000000003,,,,0.001,0.63,92.1,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/02,1:10 PM.,SEA,CLE,away,Cloudy.,44,594835,C,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,594835,marcogonzales,"Gonzales, M",Left,Marco Gonzales,SEA,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.202,0.46,0.129,0.294,0.429,89.0,116.0,105.0,96.0,108.0,105.0,78.0,104.0,96.0,,,,92.0,104.0,90.0,0.366,0.088,,0.242,0.302,-1.28,-2.98,,1.1,1.36,89.0,85.9,79.9,,79.3,0.333,0.556,0.124,0.389,0.667,0.17600000000000002,0.222,0.358,0.295,,,,0.294,0.353,0.135,0.002,6.42,88.8,,,,,,,,,,,,,,,,,,,,,,,,
