date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SL,Loc+ SL,Pit+ SL,FS%,SL%,CU%,wFS/C,wSL/C,wCU/C,vFS,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff
2023/04/30,6:10 PM.,PHI,HOU,home,Roof Closed.,73,663559,2B,3,0,0,0,0,0,0,0,0,2,1,.000,.000,.000,.000,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,72.0,105.0,96.0,77.0,103.0,92.0,,,,,,,0.072,0.444,,,0.046,-0.08,,-1.63,,-0.8,90.7,,84.6,90.7,,0.267,0.493,0.209,0.305,0.435,0.156,0.333,0.571,0.133,0.273,0.364,0.33299999999999996,,,,87.0,108.0,105.0,77.0,105.0,100.0,0.024,0.189,0.225,3.65,-1.91,-0.85,85.0,84.5,76.5,0.288,0.746,0.19899999999999998,0.0,0.0,0.33299999999999996
2023/04/28,7:11 PM.,PHI,HOU,home,Roof Closed.,73,605400,DH,3,0,0,0,0,0,0,0,0,1,2,.000,.000,.000,.000,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,95.0,107.0,103.0,100.0,107.0,101.0,118.0,105.0,113.0,111.0,110.0,105.0,0.188,0.295,0.075,0.316,0.126,-0.03,0.4,0.46,0.47,0.14,92.7,86.3,85.9,91.8,79.4,0.221,0.398,0.33299999999999996,0.246,0.503,0.217,0.279,0.416,0.106,0.22,0.319,0.319,0.246,0.508,0.301,,,,,,,,,,,,,,,,,,,,,
2023/03/28,7:10 PM.,SUG,HOU,home,Partly Cloudy.,73,666215,3B,1,0,0,0,0,0,0,0,1,1,0,.250,.500,.500,1.000,666215,forrestwhitley,Whitley,Right,Forrest Whitley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
