date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,CU%,wFS/C,wSL/C,wCU/C,vFS,vSL,vCU,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff
2023/09/22,1:19 PM.,COL,CHC,home,Partly Cloudy.,74,663562,DH,3,1,1,0,0,1,2,0,0,1,0,.205,.279,.513,.792,663562,noahdavis,Davis,Right,Noah Davis,COL,8.7,4.8,30.0,95.0,85.0,90.0,0.823,7.8,4.5,12.9,1.8,1.31,0.267,0.396,0.129,0.366,0.459,82.0,81.0,79.0,63.0,89.0,80.0,75.0,97.0,86.0,,,,95.0,102.0,95.0,0.504,0.017,0.17,,0.092,1.13,0.75,-2.48,,-7.33,91.0,88.3,84.7,93.5,,0.267,0.267,0.20800000000000002,0.333,0.333,0.33299999999999996,0.4,0.6,0.115,0.533,0.867,0.292,0.143,0.357,0.32,110.0,77.0,95.0,103.0,99.0,102.0,,,,,0.143,0.075,,0.59,-2.62,,83.8,78.4,,,,0.143,0.357,0.22899999999999998
2023/09/19,8:05 PM.,PIT,CHC,home,Overcast.,64,663559,1B,1,0,1,0,1,0,1,0,0,0,0,.194,.275,.444,.719,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,72.0,105.0,96.0,77.0,103.0,92.0,,,,,,,0.072,0.444,,,0.046,-0.08,,-1.63,,-0.8,90.7,,84.6,90.7,,0.267,0.493,0.209,0.305,0.435,0.156,0.333,0.571,0.133,0.273,0.364,0.33299999999999996,,,,87.0,108.0,105.0,77.0,105.0,100.0,,,,0.024,0.189,0.225,3.65,-1.91,-0.85,85.0,84.5,76.5,0.0,0.0,0.33299999999999996,0.288,0.746,0.19899999999999998
2023/07/18,7:04 PM.,WSH,CHC,home,Clear.,73,571578,1B,1,0,0,0,0,0,0,0,0,1,2,.171,.256,.371,.627,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,65.0,103.0,88.0,86.0,102.0,93.0,,,,,,,0.417,0.169,,,0.064,-0.69,,-0.89,,-2.07,91.8,,81.2,92.1,,,,,0.327,0.541,0.121,0.32,0.463,0.07400000000000001,0.29,0.645,0.4,,,,,,,84.0,99.0,100.0,,,,,0.35,,,-0.51,,,80.5,,,,,0.233,0.461,0.397
2023/07/16,1:20 PM.,BOS,CHC,home,Partly Cloudy.,81,676710,1B,1,0,0,0,0,0,0,0,0,1,2,.176,.263,.382,.645,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,,,,111.0,107.0,108.0,,,,92.0,101.0,103.0,108.0,94.0,95.0,,0.391,0.281,0.119,,1.44,0.35,,-1.47,,93.6,88.6,,,79.4,0.34,0.642,0.2,0.163,0.326,0.258,,,,,,,0.289,0.43,0.244,,,,113.0,110.0,113.0,88.0,95.0,103.0,0.077,0.132,,-0.82,1.5,,82.4,82.5,,0.214,0.357,0.214,0.15,0.25,0.376
2023/07/14,7:05 PM.,BOS,CHC,home,Cloudy.,86,678394,1B,3,0,0,0,0,0,0,0,1,0,2,.182,.270,.394,.664,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,,,,88.0,100.0,88.0,0.364,0.207,0.015,,0.239,-1.91,-6.73,0.52,,1.38,95.5,89.1,86.2,95.0,,,,,0.31,0.646,0.19899999999999998,0.278,0.435,0.16,0.196,0.291,0.387,0.462,1.077,0.20800000000000002,,,,103.0,94.0,103.0,,,,,0.175,,,-1.86,,,85.3,,,,,0.3,0.456,0.259
2023/07/09,1:38 PM.,NYY,CHC,away,Cloudy.,79,593334,1B,4,1,1,0,0,0,1,1,0,0,2,.200,.273,.433,.706,593334,domingogerman,Germán,Right,Domingo Germán,NYY,4.56,4.3,108.2,100.0,92.0,98.0,0.707,9.44,2.82,6.87,1.66,0.97,0.159,0.486,0.166,0.328,0.416,96.0,98.0,95.0,89.0,100.0,97.0,82.0,95.0,87.0,,,,,,,0.105,0.277,,,0.209,-1.75,,0.95,,1.01,92.3,,85.8,92.4,,0.174,0.344,0.39299999999999996,0.321,0.741,0.19,0.15,0.325,0.13,0.2,0.306,0.322,,,,94.0,102.0,104.0,,,,,,,,,0.409,,,1.5,,,82.9,,,,,,
2023/07/06,1:10 PM.,MIL,CHC,away,Partly Cloudy.,76,642547,1B,4,0,0,0,0,0,0,0,0,3,3,.192,.276,.462,.738,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,117.0,104.0,110.0,,,,,,,,,,,0.512,,,0.146,0.89,,,,0.15,94.4,,88.6,,,0.214,0.381,0.33799999999999997,0.213,0.387,0.292,,,,0.224,0.388,0.312,,,,85.0,103.0,110.0,115.0,99.0,104.0,,,,,0.218,0.124,,0.36,0.2,,82.4,76.9,,,,0.203,0.392,0.46
2023/07/05,7:10 PM.,MIL,CHC,away,Roof Closed.,81,605288,1B,4,1,1,0,0,0,0,0,0,2,2,.227,.320,.545,.865,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,80.0,103.0,92.0,86.0,104.0,100.0,,,,,,,0.471,0.238,,,0.04,0.29,,0.46,,-2.07,93.4,,84.3,92.1,,0.269,0.538,0.127,0.227,0.34,0.237,0.296,0.396,0.129,0.294,0.471,0.2,,,,67.0,100.0,95.0,83.0,102.0,99.0,,,,,0.166,0.085,,-0.89,-1.08,,82.3,79.4,,,,0.258,0.484,0.284
2023/07/04,3:09 PM.,MIL,CHC,away,Partly Cloudy.,86,489119,1B,1,1,0,0,0,0,0,0,0,0,2,.222,.333,.611,.944,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,78.0,106.0,99.0,88.0,109.0,96.0,,,,101.0,103.0,101.0,0.046,0.195,0.443,,0.246,0.46,1.07,-2.53,,0.6,90.4,87.1,83.7,90.7,,,,,0.198,0.453,0.134,0.333,0.375,0.125,0.219,0.281,0.239,0.232,0.446,0.172,79.0,99.0,98.0,113.0,108.0,103.0,,,,,0.049,0.022,,0.62,2.01,,79.1,75.8,,,,0.192,0.308,0.349
2023/07/03,1:11 PM.,MIL,CHC,away,Sunny.,83,527054,1B,4,0,0,0,0,0,0,1,0,0,3,.235,.350,.647,.997,527054,julioteheran,Teheran,Right,Julio Teheran,MIL,4.4,4.93,71.2,104.0,85.0,98.0,0.813,6.28,1.63,8.54,1.63,0.97,0.249,0.362,0.118,0.339,0.428,94.0,107.0,89.0,99.0,109.0,105.0,90.0,104.0,100.0,,,,79.0,101.0,96.0,0.387,0.094,0.287,,0.118,-5.82,0.93,-0.03,,-0.54,89.2,86.4,83.4,90.0,,0.074,0.185,0.32799999999999996,0.368,1.105,0.265,0.285,0.472,0.121,0.286,0.514,0.257,0.219,0.359,0.22,82.0,103.0,103.0,,,,,,,,,0.115,,,1.98,,,77.4,,,,,,
