date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/30,6:07 PM.,OAK,LAA,home,Overcast.,66,671212,RF,3,0,0,0,0,0,0,0,0,2,0,.208,.263,.472,.735,671212,joeboyle,Boyle,Right,Joe Boyle,OAK,1.69,2.25,16.0,100.0,132.0,106.0,0.811,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,,,,,,,,,,,,,,,,,,,0.0,0.0,0.16699999999999998,,,,,,,,,,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,0.583,0.321,0.096,,1.62,1.53,3.62,,97.8,,88.0,81.5,0.156,0.313,0.21600000000000003,0.158,0.211,0.32299999999999995,,,,,,,,,,,,,,,
2023/09/29,6:39 PM.,OAK,LAA,home,Cloudy.,69,686610,RF,4,0,0,0,0,0,0,0,0,1,3,.220,.278,.500,.778,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,,,,,,,,,,,,,,,,,,,0.333,0.833,0.0,,,,,,,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,96.0,99.0,100.0,0.543,0.271,0.02,0.166,-0.52,-0.79,-3.62,-1.4,93.3,84.2,81.1,74.5,0.275,0.493,0.17800000000000002,0.218,0.423,0.32799999999999996,0.34,0.515,0.374,,,,,,,,,,,,
2023/09/27,6:39 PM.,TEX,LAA,home,Partly Cloudy.,75,641540,CF,3,0,0,0,0,0,0,0,0,0,2,.239,.300,.543,.843,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,79.0,104.0,94.0,,,,90.0,100.0,95.0,0.331,0.2,0.032,0.82,1.37,-0.43,88.9,91.0,77.5,0.25,0.25,0.5,0.246,0.354,0.08,0.258,0.393,0.231,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,101.0,106.0,106.0,0.032,0.234,0.016,0.156,-3.75,0.14,-3.56,-0.87,90.5,85.7,82.1,78.1,0.294,0.765,0.235,0.212,0.364,0.345,0.301,0.478,0.258,,,,,,,,,,,,
2023/09/26,6:39 PM.,TEX,LAA,home,Clear.,75,674003,RF,4,1,2,0,0,0,0,0,0,2,1,.256,.319,.581,.900,674003,codybradford,Bradford,Left,Cody Bradford,TEX,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,,,,,,,,,,,0.134,,-1.23,,,86.6,,,,,,,,,0.316,0.737,0.17,91.0,100.0,102.0,,,,64.0,109.0,99.0,66.0,104.0,103.0,0.546,0.044,,0.276,0.16,-6.76,,0.74,90.4,82.1,83.1,,0.26,0.535,0.18600000000000003,0.5,0.9,0.15,0.2,0.283,0.33899999999999997,,,,,,,,,,,,
2023/09/25,6:39 PM.,TEX,LAA,home,Clear.,73,592351,CF,4,0,1,0,0,0,0,0,0,1,1,.231,.302,.590,.892,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,,,,,,,,,,,,,,,,,,,0.263,0.737,0.27,,,,,,,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,116.0,103.0,109.0,0.424,0.398,0.062,0.116,-1.83,2.33,-1.69,1.71,95.7,88.8,87.2,78.2,0.346,0.551,0.179,0.105,0.211,0.324,0.211,0.268,0.213,,,,,,,,,,,,
2023/09/24,1:13 PM.,MIN,LAA,away,Partly Cloudy.,69,657746,RF,4,0,1,1,0,0,0,0,0,2,3,.229,.308,.629,.937,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,112.0,108.0,102.0,88.0,94.0,0.569,0.159,,,0.89,-2.12,,,92.3,,80.3,,0.24,0.457,0.287,0.32,0.56,0.24100000000000002,,,,,,,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213
2023/09/23,1:13 PM.,MIN,LAA,away,Cloudy.,71,543243,RF,3,1,1,0,0,1,1,0,1,1,0,.226,.314,.645,.959,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,82.0,99.0,94.0,,,,118.0,102.0,102.0,0.157,0.131,0.001,1.3,-0.46,-0.41,87.6,92.8,72.9,0.257,0.371,0.282,0.275,0.413,0.177,0.265,0.368,0.278,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,122.0,108.0,121.0,0.271,0.205,0.168,0.067,0.61,3.25,0.87,-0.63,92.9,87.9,84.3,79.6,0.301,0.422,0.16399999999999998,0.096,0.117,0.413,0.27,0.405,0.174,,,,,,,,,,,,
2023/09/22,7:13 PM.,MIN,LAA,away,Cloudy.,72,641154,CF,3,1,0,0,0,0,0,0,1,2,0,.214,.290,.571,.861,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,98.0,105.0,104.0,,,,,,,0.106,,,,2.08,,,94.5,,0.202,0.33,0.364,0.278,0.342,0.126,,,,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,111.0,106.0,114.0,0.345,0.214,0.125,0.211,0.1,1.34,0.25,-0.17,94.9,88.4,84.4,82.5,0.268,0.468,0.315,0.173,0.287,0.366,0.257,0.41,0.284,,,,,,,,,,,,
2023/09/21,1:10 PM.,TB,LAA,away,Dome.,72,621107,RF,3,2,2,0,0,1,2,0,1,0,1,.240,.296,.640,.936,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,98.0,107.0,105.0,,,,100.0,106.0,102.0,0.319,0.261,,-0.01,1.09,,88.5,92.2,,0.185,0.339,0.349,0.259,0.315,0.129,0.307,0.588,0.16699999999999998,75.0,99.0,94.0,100.0,110.0,107.0,83.0,123.0,112.0,122.0,120.0,127.0,0.062,0.044,0.263,0.051,2.53,0.79,1.27,-0.61,92.9,86.4,80.0,79.1,0.104,0.208,0.32,0.6,0.6,0.5,0.192,0.308,0.28300000000000003,,,,,,,,,,,,
2023/09/20,6:40 PM.,TB,LAA,away,Dome.,72,650644,LF,5,0,0,0,0,0,0,0,0,4,2,.182,.217,.500,.717,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,75.0,101.0,89.0,,,,96.0,104.0,103.0,0.185,0.372,,1.13,1.59,,87.7,92.4,,0.188,0.323,0.273,0.202,0.292,0.14400000000000002,0.261,0.406,0.23399999999999999,,,,153.0,113.0,120.0,76.0,101.0,91.0,128.0,111.0,116.0,0.123,0.058,0.244,,-0.65,0.15,0.77,,91.8,,82.5,78.1,0.359,0.436,0.243,0.172,0.345,0.23199999999999998,,,,,,,58.0,95.0,95.0,0.017,-6.33,85.2,0.5,0.625,0.182
2023/09/19,6:40 PM.,TB,LAA,away,Dome.,72,671737,RF,4,0,1,1,0,0,0,0,0,1,0,.235,.278,.647,.925,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,,,,106.0,99.0,99.0,0.001,0.248,,-1.32,0.0,,88.9,97.8,,0.169,0.338,0.22399999999999998,,,,0.312,0.581,0.295,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,0.449,,0.167,,-0.8,,0.04,,96.1,,,79.0,0.277,0.559,0.191,,,,,,,,,,,,,0.136,0.62,89.3,0.19,0.333,0.41
2023/07/08,6:10 PM.,LAD,LAA,away,Clear.,73,681911,LF,1,0,0,0,0,0,0,0,0,1,1,.231,.286,.692,.978,681911,alexvesia,Vesia,Left,Alex Vesia,LAD,4.35,3.66,49.2,103.0,116.0,108.0,0.729,11.6,3.08,9.42,1.27,0.57,0.299,0.351,0.164,0.343,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,82.0,85.0,,,,123.0,106.0,112.0,103.0,96.0,101.0,0.681,0.305,,0.014,0.39,-1.15,,2.85,94.4,86.4,85.9,,0.273,0.42,0.281,0.245,0.415,0.358,,,,,,,,,,,,,,,
2023/07/07,7:10 PM.,LAD,LAA,away,Clear.,69,664062,CF,4,0,0,0,0,0,0,0,0,2,3,.250,.308,.750,1.058,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,,,,,,,,,,,,,,,,,,,0.313,0.656,0.209,,,,,,,,,,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,0.395,0.183,0.151,,1.42,-0.82,-2.12,,92.4,,86.8,80.9,0.221,0.436,0.157,0.268,0.439,0.253,,,,,,,120.0,98.0,106.0,0.272,0.21,83.0,0.181,0.315,0.27
2023/07/05,5:41 PM.,SD,LAA,away,Clear.,68,607625,LF,4,0,1,1,0,0,1,0,0,2,0,.375,.444,1.125,1.569,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,97.0,102.0,97.0,,,,,,,0.199,,,,1.87,,,93.2,,0.287,0.384,0.265,0.208,0.36,0.08900000000000001,,,,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,114.0,96.0,108.0,0.318,0.111,0.313,0.059,0.36,-0.6,0.26,-2.89,93.4,86.3,85.2,79.6,0.246,0.464,0.214,0.25,0.417,0.28600000000000003,0.303,0.576,0.34299999999999997,0.0,0.0,0.226,,,,,,,,,
2023/07/04,3:42 PM.,SD,LAA,away,Sunny.,71,605397,PH,1,1,1,0,1,0,1,0,0,0,0,.500,.600,1.750,2.350,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.438,0.154,0.254,0.414,109.0,98.0,78.0,,,,102.0,99.0,98.0,0.054,0.204,,1.68,3.35,,90.1,92.8,,0.207,0.329,0.34,0.261,0.261,0.125,0.302,0.429,0.13,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,117.0,110.0,111.0,0.245,0.145,0.239,0.114,1.77,-2.03,0.77,-0.63,93.1,87.1,82.2,81.3,0.205,0.273,0.222,0.281,0.594,0.33899999999999997,0.267,0.333,0.406,,,,,,,,,,,,
2023/06/08,6:40 PM.,CHC,LAA,home,Clear.,71,592767,RF,3,1,1,0,0,1,1,0,1,1,1,.333,.500,1.333,1.833,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,77.0,94.0,88.0,105.0,102.0,103.0,86.0,94.0,82.0,0.389,0.117,0.494,-0.51,-1.32,-0.09,88.6,91.9,78.6,0.229,0.399,0.36,0.314,0.6,0.17300000000000001,0.293,0.463,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
