date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/30,7:20 PM.,ATL,WSH,away,Partly Cloudy.,81,675911,3B,4,0,0,0,0,0,0,0,0,2,6,.202,.264,.369,.633,675911,spencerstrider,Strider,Right,Spencer Strider,ATL,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.328,0.323,0.142,0.354,0.438,85.0,98.0,101.0,,,,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.338,,0.073,0.4,1.67,,0.97,97.2,87.0,85.6,,0.256,0.431,0.287,0.154,0.269,0.5529999999999999,,,,0.122,0.184,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/29,7:20 PM.,ATL,WSH,away,Partly Cloudy.,78,642216,3B,4,2,1,0,0,1,3,0,1,2,3,.213,.276,.388,.664,642216,allanwinans,Winans,Right,Allan Winans,ATL,5.29,4.24,32.1,104.0,77.0,97.0,0.771,9.46,2.23,10.3,1.39,1.19,0.227,0.474,0.103,0.381,0.449,78.0,107.0,101.0,,,,71.0,107.0,93.0,86.0,104.0,108.0,0.225,0.245,,0.277,-1.11,-1.04,,0.71,90.0,82.9,78.8,,0.25,0.583,0.133,0.267,0.5,0.364,,,,0.25,0.341,0.311,74.0,97.0,86.0,0.253,-1.36,89.6,0.387,0.581,0.113,,,,,,,,,,,,,,,,,,,,,
2023/09/27,6:36 PM.,BAL,WSH,away,Clear.,67,680570,3B,2,0,0,0,0,0,0,0,0,0,2,.211,.268,.355,.623,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,126.0,103.0,114.0,0.496,0.148,0.081,0.224,-0.83,1.92,-0.49,1.7,97.4,83.9,82.4,79.9,0.342,0.535,0.24100000000000002,0.153,0.169,0.34,0.176,0.353,0.281,0.201,0.318,0.28300000000000003,,,,,,,,,,76.0,90.0,86.0,0.052,-1.59,90.0,0.333,0.889,0.14300000000000002,,,,,,,,,,,,
2023/09/24,1:35 PM.,ATL,WSH,home,Rain.,67,642216,3B,3,0,1,0,0,0,0,0,1,2,0,.216,.275,.365,.640,642216,allanwinans,Winans,Right,Allan Winans,ATL,5.29,4.24,32.1,104.0,77.0,97.0,0.771,9.46,2.23,10.3,1.39,1.19,0.227,0.474,0.103,0.381,0.449,78.0,107.0,101.0,,,,71.0,107.0,93.0,86.0,104.0,108.0,0.225,0.245,,0.277,-1.11,-1.04,,0.71,90.0,82.9,78.8,,0.25,0.583,0.133,0.267,0.5,0.364,,,,0.25,0.341,0.311,74.0,97.0,86.0,0.253,-1.36,89.6,0.387,0.581,0.113,,,,,,,,,,,,,,,,,,,,,
2023/09/21,7:05 PM.,ATL,WSH,home,Partly Cloudy.,75,608331,3B,3,1,0,0,0,0,0,0,1,1,0,.211,.263,.366,.629,608331,maxfried,Fried,Left,Max Fried,ATL,2.55,2.73,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.393,0.147,0.242,0.379,89.0,101.0,106.0,114.0,98.0,106.0,90.0,98.0,99.0,105.0,98.0,105.0,0.332,0.11,0.231,0.165,0.71,-0.19,2.64,1.75,94.0,86.2,83.6,74.2,0.291,0.418,0.177,0.4,0.9,0.275,0.109,0.109,0.391,0.232,0.286,0.377,79.0,98.0,88.0,0.117,-0.71,93.5,0.302,0.395,0.23199999999999998,,,,0.044,1.44,87.5,0.091,0.364,0.19,,,,,,,,,,,,
2023/09/20,1:06 PM.,CWS,WSH,home,Partly Cloudy.,75,656629,3B,1,0,1,0,0,0,0,0,0,0,0,.221,.264,.382,.646,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,102.0,97.0,99.0,0.614,0.272,0.04,0.074,-0.71,-1.5,-0.94,0.15,95.2,88.7,84.8,80.6,0.244,0.462,0.264,0.258,0.516,0.27399999999999997,0.158,0.474,0.19399999999999998,0.133,0.3,0.33899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/19,7:05 PM.,CWS,WSH,home,Clear.,74,570632,3B,1,1,1,0,0,0,0,0,0,0,0,.209,.254,.373,.627,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,61.0,98.0,82.0,,,,90.0,95.0,88.0,101.0,103.0,105.0,0.217,0.253,,0.243,-4.06,-0.94,,-0.46,95.4,87.4,86.2,,0.351,1.0,0.075,0.214,0.452,0.36,,,,0.22,0.39,0.258,107.0,98.0,98.0,0.288,-1.62,95.0,0.339,0.589,0.171,,,,,,,,,,,,,,,,,,,,,
2023/09/18,7:06 PM.,CWS,WSH,home,Clear.,74,605182,3B,4,0,0,0,0,0,0,0,0,3,0,.197,.243,.364,.607,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,0.479,0.271,0.016,0.128,-0.21,0.5,0.55,1.69,94.3,86.1,79.4,76.0,0.283,0.494,0.174,0.203,0.366,0.306,0.167,0.167,0.2,0.175,0.206,0.293,91.0,100.0,90.0,0.024,1.47,93.1,0.2,0.2,0.2,90.0,100.0,100.0,0.082,-0.07,84.9,0.256,0.395,0.264,,,,,,,,,,,,
2023/09/16,6:10 PM.,MIL,WSH,away,Roof Closed.,74,669203,3B,4,0,1,0,0,0,1,0,0,0,1,.210,.258,.387,.645,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,160.0,104.0,113.0,,,,144.0,110.0,127.0,,0.085,0.171,0.112,,1.12,1.35,1.07,,89.3,86.0,79.8,,,,0.159,0.275,0.43799999999999994,0.133,0.211,0.488,0.204,0.258,0.306,103.0,97.0,90.0,0.077,-2.42,95.3,0.291,0.564,0.129,127.0,101.0,103.0,0.554,1.51,94.4,0.209,0.34,0.22699999999999998,,,,,,,,,,,,
2023/09/15,7:10 PM.,MIL,WSH,away,Clear.,68,489119,DH,3,1,2,1,0,0,1,0,1,1,0,.207,.258,.397,.655,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,113.0,108.0,103.0,0.195,0.049,0.022,0.246,0.46,0.62,2.01,0.6,90.4,83.7,79.1,75.8,0.198,0.453,0.134,0.192,0.308,0.349,,,,0.219,0.281,0.239,88.0,109.0,96.0,0.046,-2.53,90.7,0.333,0.375,0.125,101.0,103.0,101.0,0.443,1.07,87.1,0.232,0.446,0.172,,,,,,,,,,,,
2023/09/12,6:36 PM.,PIT,WSH,away,Cloudy.,66,663559,3B,2,0,0,0,0,0,0,0,0,0,2,.182,.224,.364,.588,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,87.0,108.0,105.0,72.0,105.0,96.0,77.0,105.0,100.0,0.444,0.189,0.225,0.046,-0.08,-1.91,-0.85,-0.8,90.7,84.6,84.5,76.5,0.305,0.435,0.156,0.288,0.746,0.19899999999999998,0.267,0.493,0.209,0.273,0.364,0.33299999999999996,77.0,103.0,92.0,0.072,-1.63,90.7,0.333,0.571,0.133,,,,,,,,,,,,,,,,0.024,3.65,85.0,0.0,0.0,0.33299999999999996
2023/09/10,1:35 PM.,LAD,WSH,home,Cloudy.,80,642232,3B,4,0,1,0,0,0,0,0,0,1,4,.189,.232,.377,.609,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,61.0,105.0,94.0,102.0,98.0,108.0,,,,,,,0.308,,0.26,0.182,0.59,,-0.24,-2.4,87.0,78.5,,71.9,0.283,0.37,0.127,,,,0.208,0.386,0.382,0.329,0.6,0.27699999999999997,76.0,108.0,89.0,0.002,1.21,88.2,,,,77.0,106.0,93.0,0.248,1.48,84.2,0.289,0.378,0.121,,,,,,,,,,,,
2023/09/09,8:15 PM.,LAD,WSH,home,Cloudy.,72,676272,3B,0,1,0,0,0,0,0,0,0,0,0,.184,.231,.388,.619,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,153.0,110.0,121.0,0.289,0.174,0.185,0.16,1.2,-1.0,1.25,0.6,99.0,88.2,89.7,80.6,0.258,0.367,0.20600000000000002,0.5,0.75,0.25,0.184,0.303,0.36,0.133,0.307,0.39899999999999997,107.0,99.0,100.0,0.192,1.75,98.8,0.258,0.382,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,
2023/09/08,7:05 PM.,LAD,WSH,home,Partly Cloudy.,89,686218,3B,4,0,0,0,0,0,0,0,0,4,2,.184,.231,.388,.619,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,104.0,96.0,95.0,112.0,98.0,103.0,0.6,0.228,,0.172,0.04,1.57,,0.51,95.4,82.9,85.8,,0.24,0.504,0.20199999999999999,0.091,0.182,0.41200000000000003,,,,0.178,0.333,0.47600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/06,7:05 PM.,NYM,WSH,home,Clear.,97,676130,3B,3,1,0,0,0,0,0,0,1,1,3,.200,.250,.422,.672,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,83.0,96.0,92.0,76.0,88.0,94.0,101.0,96.0,94.0,109.0,104.0,106.0,0.509,0.151,0.055,0.229,1.65,1.11,1.56,-2.44,93.8,85.5,86.2,80.0,0.174,0.275,0.22699999999999998,0.154,0.308,0.389,0.2,0.2,0.267,0.316,0.395,0.373,86.0,86.0,79.0,0.056,4.53,92.9,0.231,0.231,0.185,,,,,,,,,,,,,,,,,,,,,
