date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,FS%,wFS/C,vFS,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C
2023/08/02,1:10 PM.,SEA,BOS,away,Sunny.,77,669302,2B,3,0,0,0,0,0,0,0,0,0,1,.241,.268,.369,.637,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,,,,0.003,0.419,,,,0.01,,-11.33,,,95.7,,,93.7,,0.214,0.371,0.306,0.28,0.491,0.177,,,,0.667,1.0,0.25,,,,133.0,101.0,99.0,0.297,1.84,88.7,0.211,0.349,0.322,0.148,0.25,85.6,98.0,103.0,117.0,0.174,0.34,0.35,,,,110.0,95.0,103.0,0.134,0.39,80.3,,,
2023/08/01,6:41 PM.,SEA,BOS,away,Clear.,77,682243,2B,4,0,1,1,0,0,2,0,0,1,2,.245,.272,.375,.647,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,,,,0.076,0.585,,0.009,0.056,0.3,,1.22,-8.41,0.66,95.1,,85.0,95.1,78.2,0.667,1.333,0.125,0.256,0.45,0.271,0.167,0.433,0.179,0.26,0.36,0.096,,,,112.0,100.0,107.0,0.274,0.14,85.0,0.3,0.475,0.174,,,,,,,,,,,,,,,,,,,,,
2023/07/31,6:41 PM.,SEA,BOS,away,Clear.,74,669923,2B,0,0,0,0,0,0,0,0,0,0,0,.245,.273,.372,.645,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,,,,0.216,0.394,,,0.018,1.34,,0.43,,-5.31,96.1,,86.6,95.8,,0.265,0.458,0.159,0.234,0.392,0.28,0.5,0.9,0.125,0.261,0.383,0.131,,,,126.0,106.0,112.0,0.197,1.03,86.3,0.264,0.377,0.22,0.061,1.07,84.9,95.0,103.0,110.0,0.143,0.286,0.35700000000000004,,,,,,,0.115,0.35,81.8,75.1,0.001,0.26
2023/07/30,1:05 PM.,SF,BOS,away,Partly Cloudy.,65,518397,SS,3,0,1,0,0,0,0,0,0,1,0,.245,.273,.372,.645,518397,scottalexander,Alexander,Left,Scott Alexander,SFG,4.66,3.61,48.1,101.0,87.0,97.0,0.82,5.77,2.05,10.24,0.37,3.19,0.176,0.43,0.158,0.333,0.465,68.0,92.0,87.0,,,,,,,84.0,101.0,97.0,,,,0.758,,,,0.082,,,0.64,,0.57,,,85.9,92.8,,,,,,,,0.167,0.25,0.34600000000000003,0.306,0.389,0.146,,,,110.0,103.0,103.0,0.16,1.06,83.0,0.192,0.308,0.396,,,,,,,,,,,,,,,,,,,,,
2023/07/29,4:15 PM.,SF,BOS,away,Sunny.,65,676254,2B,3,0,0,0,0,0,0,0,0,0,1,.243,.272,.373,.645,676254,ryanwalker,"Walker, R",Right,Ryan Walker,SFG,3.23,3.06,61.1,101.0,115.0,104.0,0.714,11.45,3.52,8.95,1.17,1.18,0.233,0.421,0.233,0.189,0.418,,,,139.0,42.0,53.0,,,,101.0,101.0,95.0,,,,0.496,,,0.001,,,,0.41,-5.8,,,,,94.8,72.7,,,,,,,,,,0.279,0.356,0.175,,,,128.0,100.0,113.0,0.503,-0.84,83.2,0.248,0.473,0.419,,,,,,,,,,,,,,,,,,,,,
2023/07/28,7:15 PM.,SF,BOS,away,Clear.,62,657277,2B,0,0,0,0,0,0,0,0,0,0,0,.247,.276,.379,.655,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,,,,0.336,0.037,,,0.416,-1.37,,0.31,,2.18,92.6,,87.5,92.3,,,,,0.226,0.452,0.3,0.225,0.309,0.228,0.313,0.481,0.10400000000000001,,,,91.0,100.0,111.0,0.212,0.11,84.3,0.208,0.369,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,
2023/07/26,7:13 PM.,ATL,BOS,home,Partly Cloudy.,85,675911,2B,0,0,0,0,0,0,0,0,0,0,0,.247,.276,.379,.655,675911,spencerstrider,Strider,Right,Spencer Strider,ATL,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.328,0.323,0.142,0.354,0.438,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,,,,,0.589,,,0.073,0.4,,,,0.97,97.2,,87.0,,,,,,0.256,0.431,0.287,0.122,0.184,0.444,,,,,,,104.0,103.0,107.0,0.338,1.67,85.6,0.154,0.269,0.5529999999999999,,,,,,,,,,,,,,,,,,,,,
2023/07/25,8:50 PM.,ATL,BOS,home,Cloudy.,69,450203,2B,4,0,1,0,0,0,1,0,0,1,1,.247,.276,.379,.655,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,89.0,92.0,87.0,0.068,0.317,0.08,0.432,0.103,-1.26,0.25,-4.03,1.79,0.86,94.9,89.1,86.0,94.2,82.3,0.177,0.258,0.42,0.292,0.482,0.225,0.25,0.339,0.336,0.474,0.711,0.071,0.296,0.407,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/18,6:42 PM.,OAK,BOS,away,Clear.,63,665622,2B,3,0,0,0,0,0,0,0,0,2,3,.247,.277,.382,.659,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,,,,0.142,0.415,,0.117,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,87.3,95.5,79.6,0.146,0.366,0.308,0.272,0.494,0.121,0.256,0.282,0.304,0.313,0.406,0.141,,,,106.0,97.0,100.0,0.238,-0.8,85.3,0.233,0.456,0.484,,,,,,,,,,,,,,,,,,,,,
2023/07/17,6:40 PM.,OAK,BOS,away,Clear.,67,621112,2B,4,1,1,0,0,0,0,0,0,0,3,.251,.281,.389,.670,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,89.0,104.0,104.0,77.0,95.0,87.0,82.0,96.0,87.0,106.0,100.0,100.0,0.24,0.146,0.204,0.117,0.112,-2.52,-2.38,-0.75,1.69,2.14,91.9,88.9,86.0,91.8,79.1,0.14,0.326,0.245,0.383,0.553,0.17,0.143,0.286,0.389,0.306,0.435,0.15,0.435,0.624,0.159,91.0,103.0,108.0,0.181,0.46,80.8,0.198,0.308,0.344,,,,,,,,,,,,,,,,,,,,,
2023/07/16,1:20 PM.,CHC,BOS,away,Partly Cloudy.,81,657006,3B,5,0,0,0,0,0,0,0,0,1,4,.251,.282,.392,.674,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,,,,0.018,0.626,,0.006,0.01,0.67,,0.89,2.44,-1.94,91.8,,87.5,92.2,80.7,0.0,0.0,0.33299999999999996,0.275,0.393,0.203,0.4,0.4,0.1,0.25,0.333,0.16699999999999998,,,,123.0,104.0,111.0,0.339,0.54,83.3,0.217,0.346,0.311,,,,,,,,,,,,,,,,,,,,,
