date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KC%,KN%,wKC/C,wKN/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023/09/16,6:08 PM.,DET,LAA,home,Overcast.,69,687830,LF,3,0,0,0,0,0,0,0,0,0,1,.128,.125,.128,.253,687830,sawyergipsonlong,Gipson-Long,Right,Sawyer Gipson-Long,DET,2.7,2.52,20.0,101.0,108.0,103.0,0.662,11.7,3.6,6.3,0.9,0.74,0.271,0.438,0.125,0.208,0.378,121.0,95.0,102.0,112.0,99.0,99.0,94.0,105.0,110.0,0.238,0.318,0.244,2.45,-0.88,-1.53,93.6,85.8,82.4,0.174,0.304,0.18899999999999997,0.176,0.412,0.5,0.273,0.455,0.409,115.0,104.0,95.0,,,,0.188,,,4.55,,92.4,0.083,0.167,0.258,,,,,,,,,,,,,,,,,,,83.0,103.0,101.0,0.012,-1.39,87.6,,,,,,
2023/09/15,6:38 PM.,DET,LAA,home,Clear.,73,669373,LF,4,0,0,0,0,0,0,0,0,2,2,.139,.135,.139,.274,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,94.0,112.0,103.0,114.0,104.0,109.0,0.36,0.207,0.244,2.49,-0.49,3.25,95.8,84.3,87.6,0.206,0.299,0.256,0.167,0.205,0.506,0.224,0.448,0.24,98.0,109.0,105.0,,,,0.122,,,2.7,,95.9,0.229,0.286,0.17300000000000001,,,,,0.068,,0.54,,76.4,0.143,0.214,0.36,,,,,,,,,,,,,,,,81.0,90.0,93.0
2023/09/13,1:11 PM.,SEA,LAA,away,Partly Cloudy.,70,622491,LF,4,0,1,0,0,0,0,0,0,3,2,.156,.152,.156,.308,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,95.0,104.0,100.0,117.0,100.0,108.0,0.444,0.221,0.156,1.31,-0.12,-1.6,96.3,88.3,85.7,0.165,0.384,0.33,0.28,0.42,0.325,0.234,0.455,0.37799999999999995,82.0,103.0,95.0,,,,0.179,,,0.6,,95.9,0.239,0.337,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/12,6:42 PM.,SEA,LAA,away,Roof Closed.,63,693433,RF,3,0,0,0,0,0,0,0,0,1,2,.143,.138,.143,.281,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,110.0,96.0,105.0,0.469,0.24,0.037,0.69,-0.83,-2.37,95.1,89.7,86.0,0.207,0.407,0.303,0.4,0.4,0.222,0.257,0.457,0.311,109.0,102.0,103.0,,,,0.255,,,1.34,,95.0,0.213,0.372,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/11,6:40 PM.,SEA,LAA,away,Clear.,69,669302,RF,5,1,0,0,0,0,0,0,0,1,5,.160,.154,.160,.314,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,88.0,103.0,99.0,133.0,101.0,99.0,0.419,0.297,,0.01,1.84,,95.7,,88.7,0.28,0.491,0.177,,,,0.211,0.349,0.322,55.0,90.0,81.0,98.0,103.0,117.0,0.003,0.148,0.25,-11.33,85.6,93.7,0.667,1.0,0.25,0.174,0.34,0.35,,0.134,,0.39,,80.3,0.214,0.371,0.306,,,,,,,,,,,,,,,,110.0,95.0,103.0
2023/09/10,1:08 PM.,CLE,LAA,home,Partly Cloudy.,88,676440,RF,3,0,1,0,0,0,0,0,0,2,0,.200,.190,.200,.390,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,0.471,0.27,0.166,0.6,1.35,1.07,94.9,83.8,84.7,0.243,0.348,0.19,0.213,0.298,0.37799999999999995,0.206,0.355,0.317,,,,,,,,,,,,,,,,,,,,,,,,,0.271,0.479,0.233,88.0,98.0,102.0,0.093,-1.11,78.3,,,,,,,,,,,,
2023/09/08,6:38 PM.,CLE,LAA,home,Partly Cloudy.,86,671106,RF,3,0,1,0,0,0,1,1,0,1,0,.176,.167,.176,.343,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,0.451,0.247,0.213,-0.12,-0.74,1.49,91.4,82.7,79.3,0.257,0.482,0.177,0.191,0.223,0.33,0.3,0.3,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,97.0,98.0,0.089,-2.1,86.3,0.462,0.692,0.17,,,
2023/08/19,6:07 PM.,TB,LAA,home,Cloudy.,76,621107,CF,4,0,2,0,0,0,0,0,0,1,1,.143,.143,.143,.286,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,75.0,99.0,94.0,83.0,123.0,112.0,122.0,120.0,127.0,0.062,0.044,0.051,2.53,0.79,-0.61,92.9,86.4,80.0,0.104,0.208,0.32,0.192,0.308,0.28300000000000003,0.6,0.6,0.5,98.0,107.0,105.0,,,,0.319,,,1.09,,92.2,0.259,0.315,0.129,,,,,,,,,,0.185,0.339,0.349,100.0,110.0,107.0,0.263,1.27,79.1,100.0,106.0,102.0,0.261,-0.01,88.5,0.307,0.588,0.16699999999999998,,,
2023/08/19,1:08 PM.,TB,LAA,home,Cloudy.,78,607192,CF,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,128.0,103.0,110.0,94.0,97.0,104.0,0.432,0.348,0.003,0.54,1.25,2.91,96.4,92.3,90.1,0.236,0.41,0.249,,,,0.254,0.373,0.382,,,,,,,0.004,,,-7.7,,96.4,,,,,,,,,,,,,0.095,0.19,0.522,152.0,103.0,114.0,0.213,1.81,83.9,,,,,,,,,,,,
2023/08/15,7:08 PM.,TEX,LAA,away,Roof Closed.,74,656756,CF,2,0,0,0,0,0,0,0,0,1,2,.000,.000,.000,.000,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,75.0,95.0,84.0,,,,0.106,,0.229,-0.68,,0.2,93.4,83.5,,0.333,0.5,0.195,0.239,0.405,0.392,,,,91.0,99.0,91.0,,,,0.426,,,1.22,,93.3,0.255,0.374,0.141,,,,,,,,,,0.191,0.357,0.371,116.0,108.0,111.0,0.222,0.84,80.5,101.0,102.0,87.0,0.016,-4.4,88.2,0.417,0.667,0.31,,,
