date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,KC%,wFC/C,wFS/C,wSI/C,wKC/C,vFC,vFS,vSI,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FC,Loc+ FC,Pit+ FC,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff
2023/09/29,7:10 PM.,KC,NYY,away,Clear.,87,543475,C,4,1,1,0,0,1,4,0,0,0,1,.197,.229,.439,.668,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,99.0,107.0,110.0,0.306,0.247,0.131,0.109,1.11,-1.31,-1.6,-1.66,91.2,85.5,80.2,79.4,0.227,0.444,0.154,0.28,0.543,0.249,0.238,0.476,0.21899999999999997,0.26,0.481,0.257,76.0,103.0,88.0,,,,,,,0.131,0.076,,,-0.94,,-0.01,,86.8,,90.5,,0.314,0.725,0.19,96.0,99.0,98.0,0.248,0.457,0.158,,,
2023/09/28,7:08 PM.,TOR,NYY,away,Overcast.,63,605135,C,4,0,1,0,0,0,0,0,0,1,0,.194,.227,.403,.630,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,0.093,0.136,0.126,0.065,-3.9,-0.72,0.67,1.71,92.4,84.1,75.6,70.7,0.333,0.652,0.20600000000000002,0.227,0.636,0.191,0.192,0.295,0.318,0.189,0.351,0.10099999999999999,92.0,104.0,98.0,,,,78.0,84.0,84.0,0.393,0.153,0.033,,-1.13,-3.07,2.11,,87.8,82.6,91.9,,0.274,0.496,0.253,95.0,105.0,102.0,0.22,0.336,0.14400000000000002,0.375,0.563,0.226
2023/09/26,7:08 PM.,TOR,NYY,away,Clear.,65,592332,C,4,1,1,0,0,1,2,0,0,1,1,.190,.226,.414,.640,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,,,,110.0,104.0,105.0,89.0,89.0,94.0,0.509,0.108,,,1.13,-0.97,,,94.7,,83.6,,0.243,0.409,0.172,0.348,0.565,0.353,,,,,,,,,,,,,105.0,108.0,109.0,,,0.384,,,0.3,,,,86.3,,,,,,,,,,,,0.201,0.307,0.43200000000000005
2023/09/25,1:08 PM.,AZ,NYY,home,Drizzle.,59,518876,C,4,2,2,0,0,1,2,0,0,0,3,.185,.224,.370,.594,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,99.0,108.0,114.0,121.0,105.0,111.0,78.0,104.0,97.0,104.0,112.0,110.0,0.301,0.055,0.11,0.231,0.04,-0.64,-0.45,2.43,92.2,88.7,85.5,82.1,0.224,0.489,0.259,0.217,0.391,0.413,0.268,0.411,0.256,0.18,0.234,0.32,85.0,105.0,95.0,,,,,,,0.122,0.181,,,0.88,,0.83,,90.8,,92.4,,0.22,0.352,0.244,87.0,101.0,99.0,0.261,0.378,0.163,,,
2023/09/24,2:26 PM.,AZ,NYY,home,Rain.,64,668678,C,3,0,0,0,0,0,0,0,1,0,4,.160,.204,.300,.504,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,,,,104.0,104.0,106.0,105.0,116.0,112.0,0.491,0.045,,0.139,1.59,0.34,,1.05,93.6,86.8,87.4,,0.238,0.36,0.192,0.25,0.389,0.265,0.21,0.344,0.405,0.21,0.336,0.314,97.0,95.0,92.0,121.0,104.0,112.0,,,,0.007,0.092,,0.227,-2.24,,-3.38,0.46,90.2,,93.0,82.5,0.352,0.648,0.205,106.0,99.0,94.0,0.286,0.714,0.125,,,
2023/09/22,7:09 PM.,AZ,NYY,home,Cloudy.,66,694297,C,4,0,1,0,0,0,0,0,0,1,1,.170,.200,.319,.519,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,119.0,106.0,117.0,0.454,0.27,0.055,0.122,-1.63,1.21,-1.24,-3.66,93.6,86.7,83.8,78.8,0.327,0.654,0.17600000000000002,0.18,0.323,0.337,0.294,0.529,0.294,0.4,0.711,0.33,97.0,108.0,100.0,,,,,,,0.099,,,,,,-0.03,,,,93.1,,,,,,,,0.313,0.563,0.188,,,
2023/09/20,7:09 PM.,TOR,NYY,home,Clear.,72,592332,C,4,1,2,1,0,1,1,0,0,1,4,.163,.196,.326,.522,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,,,,110.0,104.0,105.0,89.0,89.0,94.0,0.509,0.108,,,1.13,-0.97,,,94.7,,83.6,,0.243,0.409,0.172,0.348,0.565,0.353,,,,,,,,,,,,,105.0,108.0,109.0,,,0.384,,,0.3,,,,86.3,,,,,,,,,,,,0.201,0.307,0.43200000000000005
2023/09/19,7:09 PM.,TOR,NYY,home,Clear.,70,579328,C,1,0,0,0,0,0,0,0,0,0,0,.128,.167,.205,.372,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.097,0.05,1.11,0.24,-1.83,95.1,88.7,88.7,83.1,0.27,0.412,0.268,0.225,0.396,0.302,0.284,0.463,0.307,0.254,0.508,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:51 PM.,PIT,NYY,away,Rain.,62,681882,C,4,0,1,1,0,0,0,0,0,0,0,.132,.171,.211,.382,681882,colinselby,Selby,Right,Colin Selby,PIT,9.0,5.52,24.0,93.0,114.0,97.0,0.714,11.25,5.63,10.88,1.5,1.74,0.232,0.449,0.188,0.333,0.391,,,,109.0,104.0,111.0,100.0,53.0,53.0,127.0,85.0,94.0,0.002,0.364,0.172,,-5.8,0.01,-0.52,,97.4,,88.4,82.7,,,,0.192,0.423,0.418,0.241,0.31,0.342,,,,106.0,97.0,95.0,,,,,,,0.462,,,,,,-1.24,,,,96.6,,,,,,,,0.395,0.535,0.163,,,
2023/09/16,6:36 PM.,PIT,NYY,away,Clear.,71,682847,C,5,1,1,1,0,0,1,0,0,1,5,.118,.162,.176,.338,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383,0.704,0.156,0.246,0.449,0.312,,,,0.209,0.209,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294,0.343,0.135,,,
