date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/29,7:10 PM.,CHC,MIL,home,Clear.,66,543294,RF,4,0,0,0,0,0,0,0,0,1,3,.246,.338,.351,.689,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,0.349,0.205,,0.411,-1.61,0.04,,1.43,87.8,80.7,87.5,,0.18,0.279,0.324,0.318,0.46,0.08,,,,0.38,0.658,0.11199999999999999,,,,,,,,,,97.0,79.0,84.0,0.035,0.0,73.3,0.25,0.25,0.43799999999999994,,,,,,,,,,,,,,,
2023/09/27,6:39 PM.,STL,MIL,home,Roof Closed.,70,668868,RF,4,0,0,0,0,0,0,0,0,2,3,.251,.344,.358,.702,668868,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,4.48,4.58,66.1,101.0,79.0,94.0,0.779,9.77,3.39,9.36,1.09,1.33,0.309,0.324,0.117,0.378,0.428,64.0,93.0,83.0,87.0,102.0,89.0,,,,,,,,0.537,0.17,0.021,-0.44,,0.82,-2.61,93.6,86.1,,85.7,0.25,1.0,0.125,,,,0.205,0.462,0.33,0.327,0.476,0.20600000000000002,,,,,,,,,,65.0,102.0,108.0,0.271,0.67,75.5,0.185,0.246,0.22899999999999998,,,,,,,,,,,,,0.002,-21.02,62.4
2023/09/26,6:41 PM.,STL,MIL,home,Roof Closed.,72,571945,CF,4,0,0,0,0,0,0,0,0,1,2,.257,.350,.366,.716,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,58.0,96.0,93.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.054,-0.19,-1.61,0.62,2.68,93.3,84.4,92.7,86.4,0.182,0.382,0.085,0.34,0.54,0.085,0.245,0.375,0.22399999999999998,0.29,0.495,0.18899999999999997,,,,,,,,,,95.0,105.0,102.0,0.198,-0.92,75.9,0.261,0.387,0.198,,,,,,,,,,,,,0.002,-0.89,68.1
2023/09/24,1:41 PM.,MIA,MIL,away,Roof Closed.,72,665795,CF,4,0,0,0,0,0,0,0,0,0,5,.263,.357,.374,.731,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.347,91.0,98.0,99.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,0.093,0.279,0.081,0.314,0.19,-0.3,-0.71,1.29,96.2,92.9,96.1,88.2,0.186,0.3,0.363,0.28,0.44,0.233,0.222,0.444,0.306,0.211,0.366,0.191,,,,,,,,,,109.0,102.0,103.0,0.234,-0.37,84.6,0.24,0.38,0.38,,,,,,,,,,,,,,,
2023/09/23,4:12 PM.,MIA,MIL,away,Roof Closed.,72,666200,RF,4,0,1,0,0,0,0,0,0,2,2,.269,.364,.383,.747,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,0.04,0.457,0.289,0.21,0.93,-0.81,-0.26,-0.09,96.7,88.3,96.5,85.1,0.248,0.429,0.361,0.314,0.686,0.102,0.233,0.389,0.518,0.232,0.384,0.19399999999999998,68.0,87.0,76.0,0.004,0.74,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/22,6:41 PM.,MIA,MIL,away,Roof Closed.,72,608638,LF,6,1,1,0,0,0,1,0,0,0,5,.269,.366,.386,.752,608638,jtchargois,Chargois,Right,JT Chargois,MIA,3.61,3.63,42.1,99.0,108.0,102.0,0.803,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.277,0.413,,,,83.0,92.0,92.0,104.0,98.0,96.0,118.0,101.0,111.0,0.506,0.078,0.415,,0.34,1.23,0.1,,95.8,,96.3,86.3,,,,0.25,0.421,0.096,0.206,0.338,0.302,0.286,0.286,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/21,12:16 PM.,STL,MIL,away,Partly Cloudy.,77,571945,RF,5,0,2,0,0,0,1,0,0,0,0,.273,.372,.394,.766,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,58.0,96.0,93.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.054,-0.19,-1.61,0.62,2.68,93.3,84.4,92.7,86.4,0.182,0.382,0.085,0.34,0.54,0.085,0.245,0.375,0.22399999999999998,0.29,0.495,0.18899999999999997,,,,,,,,,,95.0,105.0,102.0,0.198,-0.92,75.9,0.261,0.387,0.198,,,,,,,,,,,,,0.002,-0.89,68.1
2023/09/20,6:45 PM.,STL,MIL,away,Cloudy.,70,668868,RF,4,1,1,1,0,0,0,0,0,1,0,.269,.372,.394,.766,668868,zackthompson,"Thompson, Z.D.",Left,Zack Thompson,STL,4.48,4.58,66.1,101.0,79.0,94.0,0.779,9.77,3.39,9.36,1.09,1.33,0.309,0.324,0.117,0.378,0.428,64.0,93.0,83.0,87.0,102.0,89.0,,,,,,,,0.537,0.17,0.021,-0.44,,0.82,-2.61,93.6,86.1,,85.7,0.25,1.0,0.125,,,,0.205,0.462,0.33,0.327,0.476,0.20600000000000002,,,,,,,,,,65.0,102.0,108.0,0.271,0.67,75.5,0.185,0.246,0.22899999999999998,,,,,,,,,,,,,0.002,-21.02,62.4
2023/09/19,6:45 PM.,STL,MIL,away,Partly Cloudy.,81,680723,RF,3,1,1,1,0,0,1,0,1,0,3,.269,.374,.391,.765,680723,drewrom,Rom,Left,Drew Rom,STL,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.464,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,0.241,0.443,0.237,,-2.41,-2.11,-2.48,,90.6,,87.4,79.4,,,,0.351,0.568,0.091,0.289,0.632,0.172,0.333,0.633,0.212,,,,,,,,,,,,,,,,,,,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,0.6,0.26899999999999996,,,,,,
2023/09/18,6:46 PM.,STL,MIL,away,Clear.,75,425794,CF,4,0,2,0,0,0,0,0,0,0,0,.268,.372,.386,.758,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,80.0,94.0,84.0,87.0,99.0,89.0,83.0,78.0,71.0,0.314,0.099,0.003,0.05,-1.48,-3.36,-13.9,-3.6,85.7,81.4,86.9,75.6,0.389,0.611,0.1,0.394,0.746,0.09300000000000001,,,,0.326,0.512,0.11699999999999999,107.0,99.0,95.0,0.226,-0.27,82.9,0.344,0.473,0.152,129.0,102.0,110.0,0.306,-1.5,71.5,0.291,0.475,0.153,,,,,,,,,,,,,0.002,6.39,65.7
