date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,KC%,wFS/C,wSI/C,wKC/C,vFS,vSI,vKC,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,vKN (sc),KN%,wKN/C
2023/09/30,1:43 PM.,DET,CLE,away,Sunny.,72,676684,RF,2,0,1,0,0,0,0,0,0,0,0,.218,.243,.318,.561,676684,willvest,Vest,Right,Will Vest,DET,2.98,3.11,48.1,105.0,98.0,104.0,0.777,10.43,2.42,7.45,0.56,1.23,0.372,0.248,0.14,0.341,0.445,81.0,104.0,97.0,,,,98.0,110.0,105.0,104.0,97.0,104.0,,,,0.513,,0.332,,0.124,2.09,,0.82,,-2.74,95.2,,87.2,86.1,,0.209,0.363,0.22399999999999998,,,,0.259,0.407,0.212,0.213,0.246,0.282,,,,93.0,110.0,100.0,,,,,,,0.031,,,,2.49,,,95.0,,,,,0.167,0.167,0.3,,,
2023/09/02,6:10 PM.,TB,CLE,home,Partly Cloudy.,79,641793,DH,4,0,1,0,0,0,1,0,0,1,2,.214,.240,.315,.555,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,,0.57,,0.34,,,94.1,,,87.1,,0.26,0.44,0.22,,,,,,,0.25,0.417,0.3,,,,74.0,108.0,98.0,,,,115.0,107.0,118.0,0.099,0.192,,-1.3,0.28,,84.3,92.9,,0.268,0.415,0.281,0.237,0.342,0.063,,,
2023/08/29,6:40 PM.,MIN,CLE,away,Clear.,80,641154,DH,4,0,0,0,0,0,0,0,0,2,3,.213,.240,.317,.557,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,111.0,106.0,114.0,,,,0.345,,0.214,0.125,0.211,0.1,,1.34,0.25,-0.17,94.9,,88.4,84.4,82.5,0.268,0.468,0.315,,,,0.257,0.41,0.284,0.173,0.287,0.366,0.202,0.33,0.364,98.0,105.0,104.0,,,,,,,0.106,,,,2.08,,,94.5,,,,,0.278,0.342,0.126,,,
2023/08/27,1:37 PM.,TOR,CLE,away,Sunny.,68,579328,DH,3,0,0,0,0,0,0,0,0,2,0,.219,.246,.325,.571,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.097,0.05,,1.11,0.24,-1.83,95.1,,88.7,88.7,83.1,0.27,0.412,0.268,,,,0.254,0.508,0.193,0.225,0.396,0.302,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/26,3:07 PM.,TOR,CLE,away,Roof Closed.,68,547943,LF,4,0,0,0,0,0,0,0,0,2,2,.223,.250,.331,.581,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,,,,92.0,107.0,97.0,0.317,0.189,,0.171,0.228,-0.51,1.27,,-1.45,-2.1,88.6,85.1,78.1,,68.9,0.265,0.633,0.11900000000000001,0.238,0.357,0.207,0.276,0.448,0.25,,,,0.286,0.429,0.35200000000000004,73.0,100.0,94.0,,,,,,,0.095,,,,3.34,,,87.7,,,,,0.133,0.133,0.091,,,
2023/08/25,7:07 PM.,TOR,CLE,away,Cloudy.,77,605135,DH,4,2,2,1,0,0,0,0,0,1,0,.229,.256,.340,.596,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,0.093,0.153,0.136,0.126,0.065,-3.9,-1.13,-0.72,0.67,1.71,92.4,87.8,84.1,75.6,70.7,0.333,0.652,0.20600000000000002,0.274,0.496,0.253,0.189,0.351,0.10099999999999999,0.227,0.636,0.191,0.192,0.295,0.318,92.0,104.0,98.0,,,,78.0,84.0,84.0,0.393,0.033,,-3.07,2.11,,82.6,91.9,,0.375,0.563,0.226,0.22,0.336,0.14400000000000002,,,
2023/08/23,7:10 PM.,LAD,CLE,home,Overcast.,72,477132,DH,4,0,1,0,0,0,0,0,0,3,3,.221,.250,.329,.579,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,112.0,102.0,104.0,,,,0.369,,0.434,0.175,0.017,0.23,,2.06,0.13,-0.46,90.7,,84.6,86.5,73.4,0.281,0.451,0.09699999999999999,,,,0.2,0.2,0.6,0.167,0.338,0.36200000000000004,0.212,0.338,0.33799999999999997,90.0,115.0,107.0,,,,116.0,127.0,165.0,0.002,0.002,,13.51,14.84,,84.4,90.9,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023/08/22,7:10 PM.,LAD,CLE,home,Clear.,72,676272,DH,4,1,1,0,0,1,1,0,0,3,0,.221,.250,.331,.581,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,153.0,110.0,121.0,,,,0.289,,0.174,0.185,0.16,1.2,,-1.0,1.25,0.6,99.0,,88.2,89.7,80.6,0.258,0.367,0.20600000000000002,,,,0.133,0.307,0.39899999999999997,0.5,0.75,0.25,0.184,0.303,0.36,107.0,99.0,100.0,,,,,,,0.192,,,,1.75,,,98.8,,,,,0.258,0.382,0.17800000000000002,,,
2023/08/20,1:40 PM.,DET,CLE,home,Sunny.,83,593958,RF,3,0,0,0,0,0,0,0,0,1,2,.220,.250,.312,.562,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,103.0,107.0,106.0,90.0,101.0,98.0,0.454,0.192,0.072,,0.189,0.65,0.51,3.12,,0.71,92.2,88.8,85.9,84.5,,0.278,0.431,0.222,0.2,0.471,0.19399999999999998,0.233,0.292,0.317,0.089,0.178,0.395,,,,84.0,117.0,107.0,,,,,,,0.093,,,,1.11,,,92.4,,,,,0.165,0.228,0.135,,,
2023/08/19,7:11 PM.,DET,CLE,home,Clear.,74,666159,DH,4,0,0,0,0,0,0,0,0,1,3,.225,.255,.319,.574,666159,mattmanning,Manning,Right,Matt Manning,DET,3.58,5.48,78.0,102.0,104.0,102.0,0.831,5.77,2.42,6.92,1.27,0.83,0.272,0.423,0.142,0.389,0.492,62.0,96.0,84.0,102.0,99.0,101.0,103.0,104.0,100.0,112.0,102.0,107.0,,,,0.478,,0.315,0.172,0.036,0.58,,1.21,-0.9,0.93,93.4,,87.7,81.9,79.5,0.214,0.366,0.182,,,,0.111,0.111,0.063,0.185,0.383,0.261,0.258,0.419,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,
