date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023/05/15,6:36 PM.,LAA,BAL,home,Clear.,74,660271,RF,2,0,0,0,0,0,0,0,1,0,0,.214,.333,.214,.547,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.356,1.64,-0.82,-0.25,-0.53,1.81,96.8,88.6,88.6,94.5,83.7,0.146,0.339,0.365,0.273,0.409,0.225,0.31,0.606,0.228,0.164,0.236,0.27,0.179,0.205,0.41100000000000003,,,,87.0,97.0,105.0,0.036,,1.15,,,75.7,,,,,,,0.111,0.167,0.41700000000000004,,,,,,
2023/05/12,7:06 PM.,PIT,BAL,home,Partly Cloudy.,82,670912,RF,0,1,0,0,0,0,0,0,1,0,0,.231,.333,.231,.564,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,,,,,,,0.05,0.392,,,0.367,-1.25,,,0.93,0.8,95.8,,,95.7,88.2,0.21,0.349,0.326,0.276,0.345,0.065,,,,0.277,0.477,0.183,,,,75.0,84.0,82.0,87.0,97.0,101.0,0.149,0.041,0.82,-0.07,88.1,80.9,0.25,0.3,0.35700000000000004,,,,0.193,0.352,0.308,,,,,,
2023/04/26,1:05 PM.,BOS,BAL,home,Partly Cloudy.,61,656557,LF,1,0,0,0,0,0,0,0,0,0,1,.231,.310,.231,.541,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,95.0,96.0,88.0,111.0,102.0,101.0,113.0,99.0,107.0,80.0,100.0,92.0,67.0,105.0,92.0,0.295,0.099,0.108,0.114,0.383,-2.8,0.73,-1.52,-0.38,0.98,93.9,91.3,87.6,93.4,83.9,0.178,0.301,0.387,0.306,0.507,0.187,0.229,0.354,0.21600000000000003,0.325,0.55,0.157,0.31,0.452,0.40399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/25,6:35 PM.,BOS,BAL,home,Partly Cloudy.,59,446372,LF,3,1,2,0,0,0,0,0,0,0,0,.240,.321,.240,.561,446372,coreykluber,Kluber,Right,Corey Kluber,BOS,7.04,6.32,55.0,100.0,94.0,97.0,0.799,6.87,3.44,11.29,2.78,0.63,0.216,0.495,0.137,0.3,0.421,84.0,89.0,80.0,77.0,95.0,86.0,,,,107.0,96.0,93.0,,,,0.263,0.023,0.274,,,-0.55,-3.12,,-4.75,,88.1,86.1,,88.2,,,,,0.404,0.86,0.10099999999999999,0.333,0.75,0.184,,,,,,,82.0,106.0,96.0,106.0,106.0,110.0,0.282,0.159,-0.11,0.67,82.1,80.5,0.19,0.262,0.3,,,,0.247,0.479,0.261,,,,,,
2023/04/23,1:36 PM.,DET,BAL,home,Cloudy.,64,593958,PH,0,0,0,0,0,0,0,0,0,0,0,.182,.280,.182,.462,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,,,,0.093,0.454,0.192,,0.072,0.65,0.51,,1.11,3.12,92.2,88.8,,92.4,84.5,0.089,0.178,0.395,0.165,0.228,0.135,0.2,0.471,0.19399999999999998,0.278,0.431,0.222,,,,91.0,102.0,103.0,,,,,0.189,,0.71,85.9,,0.233,0.292,0.317,,,,,,,,,,,,
2023/04/22,7:05 PM.,DET,BAL,home,Overcast.,59,666214,3B,1,0,0,0,0,0,0,0,0,0,0,.182,.280,.182,.462,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,80.0,100.0,92.0,,,,,,,91.0,97.0,93.0,,,,,0.416,0.251,,,-2.53,-0.57,,,,93.4,86.0,,,,,,,,,,0.271,0.5,0.29100000000000004,0.374,0.682,0.19,,,,95.0,101.0,98.0,102.0,106.0,105.0,0.158,0.175,-0.86,-0.22,85.0,77.5,0.189,0.392,0.318,,,,0.247,0.356,0.285,,,,,,
2023/04/21,7:06 PM.,DET,BAL,home,Clear.,80,547179,RF,1,0,0,0,0,0,0,0,0,0,1,.190,.292,.190,.482,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,98.0,100.0,97.0,82.0,108.0,100.0,116.0,102.0,106.0,89.0,75.0,71.0,,,,0.12,0.347,0.009,,0.297,1.17,-7.35,,0.73,0.34,94.3,90.8,,93.7,84.7,0.293,0.61,0.214,0.333,0.4,0.038,0.6,1.2,0.16699999999999998,0.211,0.333,0.171,,,,95.0,101.0,102.0,103.0,112.0,110.0,0.011,0.216,-4.26,0.26,84.5,82.3,0.186,0.403,0.314,,,,0.667,1.667,0.182,,,,,,
2023/04/16,3:32 PM.,CWS,BAL,away,Overcast.,43,656302,RF,3,1,0,0,0,0,0,0,0,1,6,.200,.304,.200,.504,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,125.0,95.0,103.0,,,,120.0,101.0,108.0,,,,,,,,0.432,,,0.386,-0.15,,,,0.4,95.6,,,,86.3,0.216,0.339,0.433,,,,,,,0.273,0.436,0.205,,,,60.0,90.0,78.0,,,,,0.03,,1.0,74.6,,0.111,0.111,0.5379999999999999,0.152,-1.83,80.2,0.298,0.538,0.249,,,,83.0,94.0,99.0
2023/04/15,1:10 PM.,CWS,BAL,away,Partly Cloudy.,77,656629,PH,1,0,0,0,0,0,0,0,0,1,2,.235,.350,.235,.585,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,116.0,89.0,94.0,,,,102.0,97.0,99.0,,,,,,,,0.614,,,0.272,-0.71,,,,-1.5,95.2,,,,84.8,0.258,0.516,0.27399999999999997,,,,,,,0.244,0.462,0.264,,,,73.0,82.0,76.0,96.0,97.0,97.0,0.04,0.074,-0.94,0.15,88.7,80.6,0.133,0.3,0.33899999999999997,,,,0.158,0.474,0.19399999999999998,,,,,,
2023/04/14,6:10 PM.,CWS,BAL,away,Partly Cloudy.,72,605182,2B,3,1,1,0,0,0,0,0,1,1,2,.250,.368,.250,.618,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,90.0,100.0,100.0,,,,0.024,0.479,0.082,,0.271,-0.21,-0.07,,1.47,0.5,94.3,84.9,,93.1,79.4,0.203,0.366,0.306,0.2,0.2,0.2,0.256,0.395,0.264,0.283,0.494,0.174,,,,80.0,96.0,95.0,80.0,96.0,97.0,0.016,0.128,0.55,1.69,86.1,76.0,0.175,0.206,0.293,,,,0.167,0.167,0.2,,,,,,
2023/04/13,1:05 PM.,OAK,BAL,home,Sunny.,84,670124,RF,3,1,2,0,0,0,0,0,1,0,0,.231,.333,.231,.564,670124,adamoller,Oller,Right,Adam Oller,OAK,10.07,7.82,19.2,89.0,98.0,90.0,0.831,5.95,5.49,13.27,2.29,0.61,0.333,0.293,0.12,0.307,0.34,103.0,79.0,80.0,,,,,,,88.0,87.0,86.0,,,,,0.451,0.121,,,-1.28,-5.23,,,,93.7,88.8,,,,,,,,,,0.583,1.0,0.192,0.3,0.533,0.163,,,,87.0,90.0,74.0,96.0,98.0,101.0,0.376,0.051,-1.08,-12.04,86.7,83.3,0.6,1.2,0.0,,,,,,,0.263,0.395,0.294,,,
2023/04/11,6:36 PM.,OAK,BAL,home,Partly Cloudy.,76,666205,DH,1,0,0,0,0,0,0,0,0,0,2,.100,.182,.100,.282,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,87.0,99.0,92.0,,,,90.0,98.0,99.0,,,,,,,,0.517,,,0.253,-2.52,,,,-0.45,93.5,,,,87.1,0.293,0.475,0.242,,,,,,,0.395,0.663,0.161,,,,74.0,72.0,74.0,97.0,103.0,104.0,0.149,0.081,-2.07,-3.21,87.9,81.2,0.333,0.5,0.387,,,,0.268,0.415,0.284,,,,,,
2023/04/10,6:36 PM.,OAK,BAL,home,Clear.,64,676664,RF,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,.311,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,93.0,102.0,96.0,,,,93.0,102.0,106.0,,,,,,,0.001,0.501,,,0.346,-0.84,,,0.63,-0.06,93.1,,,92.1,81.4,0.21,0.395,0.28300000000000003,,,,,,,0.256,0.478,0.217,,,,83.0,100.0,102.0,,,,,0.151,,0.36,84.1,,0.277,0.438,0.225,,,,,,,,,,,,
2023/04/09,1:37 PM.,NYY,BAL,home,Partly Cloudy.,55,641482,PH,1,0,0,0,0,0,0,0,0,1,1,.111,.200,.111,.311,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.432,0.176,0.29,0.441,102.0,106.0,106.0,138.0,99.0,111.0,92.0,103.0,103.0,110.0,102.0,102.0,,,,0.005,0.521,0.288,,0.158,0.68,0.39,,4.05,-1.47,91.6,86.6,,89.3,76.9,0.2,0.2,0.429,,,,0.26,0.545,0.20600000000000002,0.213,0.352,0.249,,,,92.0,111.0,110.0,,,,,0.028,,-6.99,83.4,,0.5,0.6,0.294,,,,,,,,,,,,
2023/04/08,7:05 PM.,NYY,BAL,home,Overcast.,51,666745,RF,3,0,0,0,0,0,0,0,0,2,2,.125,.222,.125,.347,666745,jhonybrito,Brito,Right,Jhony Brito,NYY,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.399,0.134,0.347,0.424,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,,,,,,,0.327,0.166,,,0.113,-0.97,,,1.05,0.17,95.8,,,96.0,83.0,0.172,0.31,0.28,0.282,0.436,0.149,,,,0.167,0.5,0.179,,,,87.0,104.0,106.0,,,,,0.29,,0.5,88.8,,0.232,0.392,0.282,0.104,-1.87,80.4,0.348,0.696,0.188,,,,,,
2023/04/05,1:07 PM.,TEX,BAL,away,Roof Closed.,74,594798,DH,1,1,0,0,0,0,0,0,1,1,0,.200,.333,.200,.533,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.333,0.273,0.212,0.212,0.371,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,,,,0.521,,,0.37,2.0,,,,0.39,98.7,,,,91.8,0.189,0.378,0.5329999999999999,,,,,,,0.177,0.339,0.35,,,,132.0,101.0,106.0,133.0,116.0,132.0,0.02,0.089,6.08,3.57,91.4,84.8,0.1,0.1,0.318,,,,,,,,,,,,
2023/04/02,1:36 PM.,BOS,BAL,away,Sunny.,43,656557,LF,4,0,1,0,0,0,0,0,0,1,2,.250,.250,.250,.500,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,95.0,96.0,88.0,111.0,102.0,101.0,113.0,99.0,107.0,80.0,100.0,92.0,67.0,105.0,92.0,0.295,0.099,0.108,0.114,0.383,-2.8,0.73,-1.52,-0.38,0.98,93.9,91.3,87.6,93.4,83.9,0.178,0.301,0.387,0.306,0.507,0.187,0.229,0.354,0.21600000000000003,0.325,0.55,0.157,0.31,0.452,0.40399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
