date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,SV_ba,SV_slg,SV_whiff
2023/07/02,1:07 PM.,CWS,OAK,home,Partly Cloudy.,79,657053,RF,0,1,0,0,0,0,0,0,2,0,0,.260,.372,.329,.701,657053,toukitoussaint,Toussaint,Right,Touki Toussaint,- - -,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.477,0.106,0.315,0.366,108.0,99.0,104.0,79.0,87.0,79.0,94.0,94.0,89.0,88.0,112.0,117.0,,,,96.0,96.0,99.0,0.265,0.235,,0.189,0.023,0.288,-1.46,,-0.3,0.33,-6.26,1.81,93.6,,87.5,92.9,86.6,76.1,0.333,1.333,0.35700000000000004,0.294,0.426,0.217,,,,0.188,0.348,0.324,0.3,0.412,0.095,0.115,0.184,0.35600000000000004,,,,,,,,,,,,,,,,,,,,,
2023/07/01,1:07 PM.,CWS,OAK,home,Sunny.,81,656302,PH,1,0,0,0,0,0,0,0,0,1,2,.260,.357,.329,.686,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,,,,125.0,95.0,103.0,,,,120.0,101.0,108.0,,,,,,,,0.432,,,0.386,,-0.15,,,,0.4,,95.6,,,,86.3,,0.216,0.339,0.433,0.273,0.436,0.205,,,,,,,,,,0.298,0.538,0.249,60.0,90.0,78.0,0.03,1.0,74.6,0.111,0.111,0.5379999999999999,83.0,94.0,99.0,0.152,-1.83,80.2,,,,,,
2023/06/29,12:37 PM.,NYY,OAK,home,Sunny.,69,657376,RF,2,0,0,0,0,0,0,1,1,1,2,.264,.361,.333,.694,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,96.0,106.0,105.0,,,,0.241,,0.279,,0.274,,,0.27,,-0.2,-0.59,,,91.3,,93.4,86.0,,0.276,0.559,0.263,,,,0.28,0.457,0.222,,,,0.288,0.447,0.11,0.198,0.314,0.345,31.0,95.0,88.0,0.015,-7.35,89.4,0.5,0.5,0.091,146.0,100.0,118.0,0.191,-0.46,83.7,,,,,,
2023/06/27,6:40 PM.,NYY,OAK,home,Partly Cloudy.,58,666745,LF,0,0,0,0,0,0,0,0,0,0,0,.271,.363,.343,.706,666745,jhonybrito,Brito,Right,Jhony Brito,NYY,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.399,0.134,0.347,0.424,,,,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,,,,,,,0.327,0.166,,,0.113,,-0.97,,,1.05,0.17,,95.8,,,96.0,83.0,,0.172,0.31,0.28,0.167,0.5,0.179,,,,,,,0.282,0.436,0.149,0.348,0.696,0.188,87.0,104.0,106.0,0.29,0.5,88.8,0.232,0.392,0.282,,,,0.104,-1.87,80.4,,,,,,
2023/06/25,1:38 PM.,TOR,OAK,away,Sunny.,77,579328,LF,1,0,1,0,0,0,0,0,0,0,0,.271,.363,.343,.706,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,,,,,,,0.451,,,0.259,0.193,0.05,,,,1.11,0.24,95.1,,,,88.7,83.1,0.225,0.396,0.302,0.27,0.412,0.268,,,,,,,,,,0.284,0.463,0.307,82.0,93.0,83.0,0.097,-1.83,88.7,0.254,0.508,0.193,,,,,,,,,,,,
2023/06/23,7:08 PM.,TOR,OAK,away,Roof Closed.,68,605135,LF,3,1,1,1,0,0,0,0,0,1,0,.261,.354,.333,.687,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,78.0,84.0,84.0,0.393,0.093,0.153,0.033,0.136,0.126,-3.9,-1.13,-3.07,2.11,-0.72,0.67,92.4,87.8,82.6,91.9,75.6,70.7,0.227,0.636,0.191,0.333,0.652,0.20600000000000002,0.274,0.496,0.253,0.375,0.563,0.226,0.22,0.336,0.14400000000000002,0.192,0.295,0.318,72.0,93.0,91.0,0.065,1.71,84.1,0.189,0.351,0.10099999999999999,,,,,,,,,,,,
2023/05/02,6:41 PM.,SEA,OAK,home,Cloudy.,54,682243,LF,2,0,0,0,0,0,0,0,0,1,0,.258,.347,.318,.665,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,,,,,,,0.076,0.585,,,0.274,0.009,0.3,,,1.22,0.14,-8.41,95.1,,,95.1,85.0,78.2,0.3,0.475,0.174,0.256,0.45,0.271,,,,,,,0.26,0.36,0.096,0.667,1.333,0.125,90.0,101.0,107.0,0.056,0.66,85.0,0.167,0.433,0.179,,,,,,,,,,,,
2023/04/29,1:08 PM.,CIN,OAK,home,Partly Cloudy.,63,668881,LF,1,0,0,0,0,0,0,0,3,1,1,.266,.356,.328,.684,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,,,,127.0,103.0,105.0,,,,126.0,104.0,112.0,,,,,,,,0.544,,,0.404,,-0.95,,,,0.16,,98.3,,,,87.3,,0.229,0.416,0.392,0.265,0.518,0.252,,,,,,,,,,,,,69.0,88.0,90.0,0.053,-2.39,91.1,0.304,0.478,0.242,,,,,,,,,,,,
2023/04/28,6:41 PM.,CIN,OAK,home,Partly Cloudy.,64,570666,RF,4,0,0,0,0,0,0,0,1,1,3,.270,.333,.333,.666,570666,luiscessa,Cessa,Right,Luis Cessa,CIN,9.0,9.18,26.0,102.0,84.0,98.0,0.876,3.81,4.15,15.92,1.04,1.52,0.213,0.398,0.167,0.333,0.432,,,,50.0,97.0,77.0,87.0,105.0,96.0,102.0,103.0,104.0,,,,,,,0.166,0.235,,,0.376,,-1.2,,,-7.56,-2.29,,91.9,,,92.0,81.2,,0.389,0.5,0.125,0.355,0.581,0.053,,,,,,,0.522,0.957,0.136,,,,88.0,105.0,110.0,0.222,-1.48,86.3,0.346,0.462,0.259,,,,,,,,,,,,
2023/04/27,1:07 PM.,LAA,OAK,away,Sunny.,74,660271,RF,4,1,0,0,0,0,0,0,1,1,1,.288,.344,.356,.700,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.356,0.036,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.339,0.365,0.164,0.236,0.27,0.31,0.606,0.228,0.179,0.205,0.41100000000000003,0.273,0.409,0.225,0.111,0.167,0.41700000000000004,,,,,,,,,,,,,,,,,,,,,
2023/04/26,6:38 PM.,LAA,OAK,away,Clear.,73,663776,RF,4,0,2,1,0,0,0,0,0,0,0,.309,.356,.382,.738,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,,,,,,,0.111,0.256,,,0.285,0.09,-1.22,,,0.36,0.02,0.27,93.0,,,93.2,86.5,76.5,0.2,0.5,0.306,0.336,0.507,0.156,,,,,,,0.269,0.327,0.129,0.286,0.286,0.237,99.0,98.0,100.0,0.258,0.3,83.0,0.184,0.33,0.43200000000000005,,,,,,,,,,,,
2023/04/25,6:39 PM.,LAA,OAK,away,Partly Cloudy.,65,656288,RF,2,0,0,0,0,0,0,0,0,1,1,.294,.345,.353,.698,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,,,,0.006,0.348,,,0.299,0.134,-0.21,,,-8.61,0.1,-0.53,94.7,,,95.0,88.4,81.8,0.261,0.344,0.34,0.235,0.5,0.28300000000000003,,,,,,,0.333,1.333,0.0,0.271,0.667,0.252,89.0,101.0,101.0,0.213,1.6,90.2,0.213,0.339,0.248,,,,,,,,,,,,
2023/04/24,6:39 PM.,LAA,OAK,away,Clear.,67,660761,LF,2,0,1,0,0,0,0,0,0,0,2,.306,.358,.367,.725,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,,,,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,99.0,68.0,88.0,,,,0.052,0.398,0.015,,0.267,,-0.97,0.89,,-3.55,-3.72,,92.3,88.1,,90.8,81.5,,0.591,1.091,0.25,0.273,0.477,0.222,0.0,0.0,0.5,,,,0.444,0.778,0.067,,,,84.0,100.0,103.0,0.269,-2.55,82.0,0.31,0.548,0.385,,,,,,,,,,,,
2023/04/23,1:37 PM.,TEX,OAK,away,Roof Closed.,74,594798,RF,3,0,1,0,0,0,0,1,0,0,0,.298,.353,.362,.715,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.333,0.273,0.212,0.212,0.371,133.0,116.0,132.0,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,,,,0.521,,,0.37,0.02,2.0,,,,0.39,6.08,98.7,,,,91.8,84.8,0.189,0.378,0.5329999999999999,0.177,0.339,0.35,,,,,,,,,,,,,132.0,101.0,106.0,0.089,3.57,91.4,0.1,0.1,0.318,,,,,,,,,,,,
2023/04/22,6:07 PM.,TEX,OAK,away,Roof Closed.,74,571760,RF,4,0,1,0,0,0,0,0,0,1,2,.295,.354,.364,.718,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,80.0,143.0,68.0,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,,0.252,0.0,0.1,,,,-1.35,-3.87,92.5,,,,82.0,74.4,0.259,0.443,0.29600000000000004,0.236,0.431,0.256,,,,,,,,,,,,,101.0,97.0,92.0,0.169,-0.11,84.0,0.274,0.452,0.24,,,,,,,,,,,,
2023/04/21,7:08 PM.,TEX,OAK,away,Partly Cloudy.,73,592351,RF,2,1,2,0,0,0,0,0,1,0,0,.300,.364,.375,.739,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,99.0,90.0,98.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,,,,,,,0.424,,,0.398,0.062,-1.83,,,,2.33,-1.69,95.7,,,,87.2,78.2,0.105,0.211,0.324,0.346,0.551,0.179,,,,,,,,,,0.263,0.737,0.27,77.0,96.0,97.0,0.116,1.71,88.8,0.211,0.268,0.213,,,,,,,,,,,,
2023/04/19,12:37 PM.,CHC,OAK,home,Partly Cloudy.,56,657006,RF,3,0,1,1,0,0,0,0,0,0,2,.263,.317,.342,.659,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,,,,0.018,0.626,,,0.339,0.006,0.67,,,0.89,0.54,2.44,91.8,,,92.2,83.3,80.7,0.217,0.346,0.311,0.275,0.393,0.203,,,,,,,0.25,0.333,0.16699999999999998,0.0,0.0,0.33299999999999996,69.0,85.0,78.0,0.01,-1.94,87.5,0.4,0.4,0.1,,,,,,,,,,,,
2023/04/18,6:41 PM.,CHC,OAK,home,Clear.,53,573186,RF,3,0,1,1,0,0,0,0,0,2,1,.257,.316,.314,.630,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,139.0,103.0,111.0,58.0,106.0,91.0,102.0,97.0,95.0,78.0,111.0,109.0,105.0,96.0,98.0,46.0,95.0,91.0,0.464,0.082,0.096,0.077,0.051,0.23,0.34,0.96,0.12,1.08,-0.41,0.34,92.0,89.7,86.6,91.4,86.1,84.6,0.184,0.237,0.322,0.154,0.256,0.32,0.26,0.42,0.242,0.205,0.308,0.324,0.245,0.332,0.14300000000000002,,,,,,,,,,,,,,,,,,,,,,0.24,0.38,0.301
2023/04/17,6:41 PM.,CHC,OAK,home,Partly Cloudy.,56,669713,RF,3,0,1,0,0,0,0,0,0,1,1,.250,.314,.281,.595,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,4.63,5.23,89.1,101.0,101.0,102.0,0.796,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,,,,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,100.0,98.0,104.0,,,,0.189,0.296,0.1,,0.366,,-1.9,-0.42,,-0.38,1.49,,94.3,88.8,,92.9,82.0,,0.14,0.231,0.376,0.327,0.636,0.165,0.308,0.654,0.2,,,,0.273,0.545,0.145,,,,77.0,102.0,103.0,0.049,0.65,84.5,0.188,0.188,0.133,,,,,,,,,,,,
2023/04/16,1:29 PM.,NYM,OAK,home,Partly Cloudy.,59,676130,PH,1,0,0,0,0,0,0,0,0,0,2,.241,.313,.276,.589,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,76.0,88.0,94.0,101.0,96.0,94.0,86.0,86.0,79.0,109.0,104.0,106.0,,,,,,,0.056,0.509,,,0.151,0.055,1.65,,,4.53,1.11,1.56,93.8,,,92.9,86.2,80.0,0.154,0.308,0.389,0.174,0.275,0.22699999999999998,,,,,,,0.231,0.231,0.185,0.2,0.2,0.267,83.0,96.0,92.0,0.229,-2.44,85.5,0.316,0.395,0.373,,,,,,,,,,,,
2023/04/15,1:07 PM.,NYM,OAK,home,Sunny.,58,471911,LF,4,0,0,0,0,0,1,0,0,2,4,.250,.323,.286,.609,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,88.0,103.0,104.0,75.0,95.0,85.0,91.0,90.0,87.0,104.0,98.0,108.0,86.0,88.0,95.0,,,,0.1,0.323,0.004,,0.184,0.091,-2.35,-9.5,,-3.88,-1.99,-1.25,92.7,89.5,,91.5,84.1,80.1,0.329,0.575,0.32899999999999996,0.358,0.651,0.166,,,,,,,0.45,0.725,0.129,0.25,0.594,0.217,108.0,103.0,104.0,0.299,0.12,87.2,0.22,0.314,0.311,,,,,,,,,,,,
2023/04/14,6:42 PM.,NYM,OAK,home,Clear.,56,673540,LF,4,1,2,0,0,0,0,0,1,1,2,.292,.370,.333,.703,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,,,,0.37,0.25,,0.116,0.027,0.17,2.52,,,-0.96,-0.23,95.7,90.8,,,82.7,72.8,0.333,0.952,0.245,0.244,0.399,0.17300000000000001,0.244,0.339,0.182,0.11,0.147,0.595,,,,0.125,0.5,0.444,,,,,,,,,,,,,,,,0.237,0.95,83.2,,,
2023/04/13,1:05 PM.,BAL,OAK,away,Sunny.,84,608344,DH,0,0,0,0,0,0,0,0,0,0,0,.250,.318,.300,.618,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,,,,0.207,0.28,0.159,,,0.143,0.22,2.29,,0.95,,-0.89,92.2,85.5,,91.9,,77.2,,,,0.247,0.459,0.204,0.18,0.279,0.26,,,,0.28,0.36,0.195,0.229,0.343,0.23,75.0,106.0,101.0,0.211,-2.77,84.2,0.324,0.568,0.168,,,,,,,,,,,,
2023/04/11,6:36 PM.,BAL,OAK,away,Partly Cloudy.,76,680570,LF,5,0,1,0,0,0,1,1,0,1,4,.250,.318,.300,.618,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,76.0,90.0,86.0,,,,,0.496,0.052,,0.148,0.081,-0.83,-1.59,,,1.92,-0.49,97.4,90.0,,,82.4,79.9,0.153,0.169,0.34,0.342,0.535,0.24100000000000002,0.333,0.889,0.14300000000000002,,,,,,,0.176,0.353,0.281,110.0,102.0,115.0,0.224,1.7,83.9,0.201,0.318,0.28300000000000003,,,,,,,,,,,,
2023/04/10,6:36 PM.,BAL,OAK,away,Clear.,64,502043,LF,4,0,1,1,0,0,0,0,0,3,2,.267,.353,.333,.686,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,,,,0.261,0.134,0.166,,0.184,0.084,-0.69,-1.02,,-0.08,2.01,0.01,92.1,89.8,,91.9,81.6,79.5,0.147,0.228,0.47100000000000003,0.287,0.55,0.156,0.345,0.552,0.154,,,,0.289,0.459,0.11,0.279,0.419,0.40399999999999997,88.0,99.0,96.0,0.17,-0.29,85.5,0.288,0.453,0.29100000000000004,,,,,,,,,,,,
2023/04/09,1:10 PM.,TB,OAK,away,Dome.,72,656876,LF,2,0,0,0,0,0,0,0,1,1,0,.273,.385,.273,.658,656876,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.62,2.91,44.2,109.0,121.0,113.0,0.79,9.47,2.22,7.25,0.4,1.97,0.28,0.424,0.169,0.203,0.487,71.0,106.0,103.0,131.0,111.0,122.0,98.0,109.0,99.0,115.0,121.0,130.0,133.0,104.0,106.0,,,,0.122,0.295,0.359,,0.151,0.073,0.17,1.83,,2.15,3.01,1.91,95.7,88.2,,95.1,84.5,80.0,0.129,0.161,0.245,0.275,0.333,0.20800000000000002,0.204,0.327,0.275,,,,0.273,0.364,0.171,0.2,0.2,0.261,,,,,,,,,,,,,,,,,,,,,
2023/04/08,4:10 PM.,TB,OAK,away,Dome.,72,605488,RF,1,0,0,0,0,0,0,0,0,1,0,.333,.400,.333,.733,605488,jeffreysprings,Springs,Left,Jeffrey Springs,TBR,0.56,1.66,16.0,111.0,100.0,112.0,0.637,13.5,2.25,2.25,0.56,1.44,0.308,0.5,0.192,0.308,0.479,,,,105.0,108.0,107.0,,,,115.0,114.0,117.0,,,,,,,,0.406,,,0.251,,2.63,,,,3.79,,91.7,,,,82.2,,0.0,0.0,0.28600000000000003,0.143,0.286,0.17600000000000002,,,,,,,,,,,,,86.0,116.0,116.0,0.343,5.88,80.4,0.048,0.048,0.5,,,,,,,,,,,,
