date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023/09/30,6:07 PM.,LAA,OAK,away,Overcast.,66,681806,3B,3,0,0,0,0,0,0,0,0,1,1,.219,.270,.364,.634,681806,andrewwantz,Wantz,Right,Andrew Wantz,LAA,3.89,4.04,39.1,101.0,112.0,103.0,0.762,7.55,3.43,6.41,0.92,0.6,0.234,0.414,0.261,0.279,0.418,88.0,108.0,99.0,,,,112.0,99.0,99.0,,,,120.0,105.0,115.0,,0.389,0.26,,0.064,-1.07,,4.53,,0.16,94.0,87.7,,83.8,,0.295,0.568,0.244,0.067,0.089,0.258,,,,0.167,0.25,0.444,,,,109.0,97.0,99.0,0.287,1.1,89.4,0.244,0.439,0.258,,,,,,,,,,,,,,,,,,,,,
2023/09/27,6:41 PM.,MIN,OAK,away,Partly Cloudy.,69,641154,3B,4,0,0,0,0,0,0,0,0,2,0,.222,.273,.368,.641,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,0.106,0.345,0.214,0.125,0.211,0.1,2.08,1.34,0.25,-0.17,94.9,88.4,94.5,84.4,82.5,0.268,0.468,0.315,0.173,0.287,0.366,0.278,0.342,0.126,0.257,0.41,0.284,0.202,0.33,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/26,6:41 PM.,MIN,OAK,away,Overcast.,64,641927,3B,4,0,1,1,0,0,1,0,0,1,1,.225,.277,.374,.651,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,100.0,108.0,106.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,0.457,0.196,0.067,0.28,0.75,,-0.7,1.44,1.08,91.3,83.7,,81.0,77.5,0.232,0.425,0.27699999999999997,0.255,0.48,0.32899999999999996,,,,0.226,0.35,0.298,0.194,0.306,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/23,1:07 PM.,DET,OAK,home,Partly Cloudy.,67,622766,3B,2,0,0,0,0,0,0,0,0,0,0,.225,.277,.372,.649,622766,migueldiaz,"Díaz, M",Right,Miguel Díaz,DET,0.64,2.75,14.0,100.0,105.0,102.0,0.735,10.29,3.21,5.14,0.0,0.93,0.273,0.242,0.182,0.303,0.409,117.0,107.0,112.0,,,,96.0,91.0,89.0,101.0,103.0,99.0,102.0,100.0,101.0,0.269,0.212,0.269,,0.25,4.09,0.01,4.05,,1.3,95.1,88.7,94.4,84.5,,0.091,0.182,0.318,0.0,0.0,0.33299999999999996,0.333,0.333,0.042,0.235,0.294,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/21,6:41 PM.,DET,OAK,home,Clear.,64,669373,1B,2,0,1,0,0,0,0,0,0,0,0,.227,.279,.375,.654,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,,,,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,0.122,0.36,0.207,,0.244,2.49,2.7,-0.49,,3.25,95.8,84.3,95.9,87.6,,0.206,0.299,0.256,0.224,0.448,0.24,0.229,0.286,0.17300000000000001,0.167,0.205,0.506,0.143,0.214,0.36,,,,,,,,,,,,,,,,,,,81.0,90.0,93.0,0.068,0.54,76.4,,,,,,
2023/09/20,12:37 PM.,SEA,OAK,home,Sunny.,69,669923,3B,4,0,0,0,0,0,0,0,0,0,1,.224,.277,.374,.651,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,0.216,0.394,0.197,,0.018,1.34,0.43,1.03,,-5.31,96.1,86.6,95.8,86.3,,0.234,0.392,0.28,0.264,0.377,0.22,0.261,0.383,0.131,0.5,0.9,0.125,0.265,0.458,0.159,,,,,,,,,,95.0,103.0,110.0,0.061,1.07,84.9,0.143,0.286,0.35700000000000004,,,,0.115,0.35,81.8,,,,75.1,0.001,0.26
2023/09/18,6:41 PM.,SEA,OAK,home,Clear.,67,693433,3B,4,0,1,0,0,0,0,0,0,0,1,.228,.281,.380,.661,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,,,,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,0.255,0.469,0.24,,0.037,0.69,1.34,-0.83,,-2.37,95.1,89.7,95.0,86.0,,0.207,0.407,0.303,0.257,0.457,0.311,0.213,0.372,0.20800000000000002,0.4,0.4,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:08 PM.,SD,OAK,home,Partly Cloudy.,70,607259,1B,1,0,0,0,0,0,0,0,0,1,0,.228,.282,.382,.664,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,97.0,102.0,106.0,88.0,97.0,100.0,92.0,100.0,98.0,87.0,108.0,101.0,,,,0.224,0.13,0.002,0.191,0.288,-0.91,1.23,-4.18,0.59,2.41,93.3,80.7,92.9,84.5,81.8,0.25,0.423,0.225,,,,0.293,0.333,0.08800000000000001,0.158,0.226,0.465,0.164,0.295,0.34700000000000003,96.0,102.0,96.0,0.164,-1.99,89.5,0.382,0.632,0.16899999999999998,,,,,,,,,,,,,,,,,,,,,
2023/09/15,6:40 PM.,SD,OAK,home,Partly Cloudy.,65,607625,3B,4,0,0,0,0,0,0,0,0,1,0,.229,.283,.384,.667,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,0.199,0.318,0.111,0.313,0.059,0.36,1.87,-0.6,0.26,-2.89,93.4,86.3,93.2,85.2,79.6,0.246,0.464,0.214,0.25,0.417,0.28600000000000003,0.208,0.36,0.08900000000000001,0.303,0.576,0.34299999999999997,0.287,0.384,0.265,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.226,,,
2023/09/13,6:11 PM.,HOU,OAK,away,Roof Closed.,73,686613,3B,2,0,0,0,0,0,0,0,0,0,0,.232,.287,.390,.677,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,,,,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,0.002,0.461,0.017,,,0.01,-0.16,-2.64,,,95.7,,96.0,84.6,,0.271,0.511,0.223,0.25,0.625,0.33299999999999996,,,,0.121,0.242,0.37,0.247,0.374,0.303,,,,0.235,-0.4,91.7,0.297,0.506,0.20800000000000002,92.0,104.0,105.0,0.048,0.92,88.2,,,,112.0,102.0,110.0,0.238,-0.77,82.9,,,,,,
