date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SL,Loc+ SL,Pit+ SL,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/06/17,1:11 PM.,SEA,CWS,away,Roof Closed.,53,669302,DH,0,0,0,0,0,0,0,0,0,0,0,.194,.208,.376,.584,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,55.0,90.0,81.0,110.0,95.0,103.0,,,,0.003,,0.134,,-11.33,0.39,,93.7,80.3,0.214,0.371,0.306,0.667,1.0,0.25,,,,,,,,,,88.0,103.0,99.0,0.419,0.297,,,0.01,1.84,,,95.7,,88.7,,,,,0.211,0.349,0.322,133.0,101.0,99.0,0.28,0.491,0.177,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,,,
2023/06/15,7:10 PM.,LAD,CWS,away,Partly Cloudy.,65,675627,DH,0,0,0,0,0,0,0,0,0,0,0,.194,.208,.376,.584,675627,michaelgrove,Grove,Right,Michael Grove,LAD,6.13,5.0,69.0,102.0,98.0,103.0,0.742,9.52,2.48,10.83,1.57,1.07,0.188,0.42,0.164,0.343,0.44,,,,98.0,93.0,98.0,94.0,103.0,105.0,0.042,0.075,0.17,0.93,1.99,-0.36,89.2,94.7,78.3,0.308,0.423,0.17600000000000002,0.286,0.357,0.14800000000000002,0.261,0.565,0.264,123.0,129.0,150.0,,,,86.0,102.0,95.0,0.327,0.382,,0.003,-3.57,1.07,,-16.59,94.8,88.0,85.6,,,,,0.2,0.331,0.449,106.0,106.0,111.0,0.442,0.779,0.083,,,,,,,,,,,,
2023/06/14,7:10 PM.,LAD,CWS,away,Overcast.,65,477132,DH,0,1,0,0,0,0,0,1,0,0,0,.194,.208,.376,.584,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,90.0,115.0,107.0,,,,,,,0.002,,,,14.84,,,90.9,,0.212,0.338,0.33799999999999997,0.0,0.0,0.0,,,,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,0.369,0.434,0.175,0.017,0.23,2.06,0.13,-0.46,90.7,84.6,86.5,73.4,0.2,0.2,0.6,0.167,0.338,0.36200000000000004,112.0,102.0,104.0,0.281,0.451,0.09699999999999999,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0,,,
2023/06/13,7:10 PM.,LAD,CWS,away,Partly Cloudy.,65,664062,2B,3,0,0,0,0,0,0,0,0,2,0,.194,.208,.376,.584,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,,,,,,,,,,,,,,,,,,,0.313,0.656,0.209,,,,,,,,,,107.0,83.0,90.0,80.0,99.0,91.0,0.395,0.183,0.151,,1.42,-0.82,-2.12,,92.4,,86.8,80.9,,,,0.268,0.439,0.253,90.0,103.0,108.0,0.221,0.436,0.157,120.0,98.0,106.0,0.272,0.21,83.0,0.181,0.315,0.27,,,
2023/06/11,1:11 PM.,MIA,CWS,home,Overcast.,55,666129,2B,4,0,1,1,0,0,2,0,0,2,1,.200,.215,.389,.604,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,91.0,102.0,97.0,,,,95.0,100.0,97.0,0.317,0.177,,1.53,1.06,,87.5,90.5,,0.5,1.059,0.2,0.256,0.377,0.107,0.243,0.477,0.247,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,0.075,0.258,0.084,0.088,-1.84,0.45,-4.44,0.73,90.8,84.1,82.8,77.7,0.286,0.327,0.327,0.169,0.302,0.408,100.0,102.0,102.0,0.325,0.575,0.159,,,,,,,,,,,,
2023/06/08,4:08 PM.,NYY,CWS,away,Cloudy.,67,622663,2B,3,0,0,0,0,0,0,2,1,1,1,.205,.221,.398,.619,622663,luisseverino,"Severino, L",Right,Luis Severino,NYY,6.65,5.89,89.1,103.0,104.0,101.0,0.822,7.96,3.43,11.38,2.32,1.14,0.248,0.399,0.144,0.346,0.447,92.0,91.0,87.0,,,,110.0,100.0,98.0,0.028,0.15,,-0.08,5.41,,90.8,95.7,,,,,0.091,0.091,0.20800000000000002,0.208,0.313,0.17300000000000001,80.0,99.0,97.0,,,,103.0,104.0,98.0,0.449,0.188,,0.186,-2.42,-2.59,,-1.4,96.5,86.7,84.7,,0.279,0.441,0.21600000000000003,0.289,0.566,0.254,126.0,109.0,117.0,0.355,0.692,0.196,,,,,,,,,,,,
2023/06/08,7:35 PM.,NYY,CWS,away,Cloudy.,66,681190,2B,3,0,0,0,0,0,0,0,0,2,0,.198,.213,.384,.597,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,NYY,2.87,5.37,37.2,99.0,100.0,96.0,0.85,7.88,4.3,7.17,1.19,0.87,0.227,0.427,0.255,0.273,0.405,89.0,102.0,98.0,,,,107.0,85.0,79.0,0.223,0.166,,-1.61,0.44,,87.7,94.2,,0.235,0.353,0.276,0.235,0.441,0.08,0.3,0.65,0.22899999999999998,83.0,101.0,94.0,84.0,101.0,98.0,100.0,101.0,96.0,0.262,0.127,0.105,0.118,1.16,-1.01,-1.21,1.32,94.4,87.8,80.9,79.7,0.1,0.3,0.171,0.235,0.294,0.27,133.0,103.0,112.0,0.176,0.206,0.16699999999999998,,,,,,,,,,,,
2023/06/06,7:10 PM.,NYY,CWS,away,Cloudy.,68,657376,2B,3,1,1,0,0,0,0,0,0,1,1,.213,.220,.413,.633,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,68.0,103.0,88.0,146.0,100.0,118.0,96.0,106.0,105.0,0.241,0.279,0.191,0.27,-0.2,-0.46,91.3,93.4,83.7,0.198,0.314,0.345,0.288,0.447,0.11,0.28,0.457,0.222,31.0,95.0,88.0,,,,,,,,0.274,,0.015,,-0.59,,-7.35,,89.4,86.0,,0.5,0.5,0.091,0.276,0.559,0.263,109.0,99.0,107.0,,,,,,,,,,,,,,,
2023/06/04,1:10 PM.,DET,CWS,home,Overcast.,71,571510,2B,3,0,0,0,0,0,0,0,0,2,0,.208,.215,.416,.631,571510,matthewboyd,Boyd,Left,Matthew Boyd,DET,5.45,4.24,71.0,98.0,86.0,96.0,0.717,9.25,3.17,8.75,1.39,0.9,0.222,0.394,0.153,0.32,0.379,76.0,100.0,90.0,,,,,,,0.07,,,,2.52,,,90.8,,0.4,1.0,0.182,0.207,0.207,0.244,,,,87.0,97.0,101.0,90.0,87.0,92.0,81.0,102.0,94.0,0.386,0.284,0.074,0.186,-0.64,0.57,-2.52,0.56,91.4,80.2,79.6,73.8,0.245,0.367,0.389,0.203,0.338,0.305,95.0,95.0,96.0,0.281,0.509,0.295,,,,,,,,,,,,
2023/06/03,1:10 PM.,DET,CWS,home,Sunny.,79,547179,2B,0,0,0,0,0,0,0,1,0,0,0,.216,.224,.432,.656,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,82.0,108.0,100.0,,,,89.0,75.0,71.0,0.12,0.009,,-7.35,0.73,,90.8,93.7,,0.667,1.667,0.182,0.333,0.4,0.038,0.6,1.2,0.16699999999999998,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,0.347,0.297,0.011,0.216,1.17,0.34,-4.26,0.26,94.3,84.5,84.7,82.3,0.186,0.403,0.314,0.293,0.61,0.214,116.0,102.0,106.0,0.211,0.333,0.171,,,,,,,,,,,,
