date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/27,6:39 PM.,TEX,LAA,home,Partly Cloudy.,75,641540,RF,2,0,0,0,0,0,0,0,0,1,1,.125,.216,.279,.495,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.234,0.156,-3.75,0.82,1.37,0.14,-0.87,90.5,88.9,85.7,91.0,82.1,0.294,0.765,0.235,0.258,0.393,0.231,0.212,0.364,0.345,0.301,0.478,0.258,78.0,82.0,84.0,0.016,-3.56,78.1,0.25,0.25,0.5,0.246,0.354,0.08,,,,,,,,,,,,,0.032,-0.43,77.5
2023/09/26,6:39 PM.,TEX,LAA,home,Clear.,75,674003,1B,4,0,0,0,0,0,0,0,0,1,2,.127,.219,.284,.503,674003,codybradford,Bradford,Left,Cody Bradford,TEX,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,91.0,100.0,102.0,64.0,109.0,99.0,,,,66.0,104.0,103.0,,,,,0.546,0.134,0.044,0.276,0.16,-1.23,,-6.76,0.74,90.4,86.6,82.1,,83.1,0.26,0.535,0.18600000000000003,0.316,0.737,0.17,0.5,0.9,0.15,0.2,0.283,0.33899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/25,6:39 PM.,TEX,LAA,home,Clear.,73,592351,RF,3,0,0,0,0,0,0,0,0,2,2,.133,.227,.296,.523,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,,,,0.424,,0.398,0.116,-1.83,,,2.33,1.71,95.7,,88.8,,87.2,0.346,0.551,0.179,,,,0.105,0.211,0.324,0.211,0.268,0.213,99.0,90.0,98.0,0.062,-1.69,78.2,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,
2023/09/23,1:13 PM.,MIN,LAA,away,Cloudy.,71,543243,RF,4,0,0,0,0,0,0,0,0,2,2,.137,.234,.305,.539,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,0.157,0.271,0.131,0.205,0.067,0.61,1.3,-0.46,3.25,-0.63,92.9,87.6,87.9,92.8,84.3,0.301,0.422,0.16399999999999998,0.265,0.368,0.278,0.096,0.117,0.413,0.27,0.405,0.174,91.0,98.0,101.0,0.168,0.87,79.6,0.257,0.371,0.282,0.275,0.413,0.177,,,,,,,,,,,,,0.001,-0.41,72.9
2023/09/22,7:13 PM.,MIN,LAA,away,Cloudy.,72,641154,RF,4,1,1,0,0,1,2,0,0,2,0,.143,.243,.319,.562,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,,,,0.106,0.345,,0.214,0.211,0.1,,2.08,1.34,-0.17,94.9,,88.4,94.5,84.4,0.268,0.468,0.315,,,,0.173,0.287,0.366,0.257,0.41,0.284,93.0,110.0,114.0,0.125,0.25,82.5,0.202,0.33,0.364,0.278,0.342,0.126,,,,,,,,,,,,,,,
2023/09/21,1:10 PM.,TB,LAA,away,Dome.,72,621107,RF,2,2,1,0,0,0,0,0,0,1,0,.138,.242,.287,.529,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,75.0,99.0,94.0,83.0,123.0,112.0,98.0,107.0,105.0,122.0,120.0,127.0,100.0,106.0,102.0,0.319,0.062,0.261,0.044,0.051,2.53,-0.01,1.09,0.79,-0.61,92.9,88.5,86.4,92.2,80.0,0.104,0.208,0.32,0.307,0.588,0.16699999999999998,0.6,0.6,0.5,0.192,0.308,0.28300000000000003,100.0,110.0,107.0,0.263,1.27,79.1,0.185,0.339,0.349,0.259,0.315,0.129,,,,,,,,,,,,,,,
2023/09/20,6:40 PM.,TB,LAA,away,Dome.,72,650644,RF,5,0,1,0,0,0,1,0,0,3,3,.129,.229,.282,.511,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,0.185,0.123,0.372,0.058,,-0.65,1.13,1.59,0.15,,91.8,87.7,,92.4,82.5,0.359,0.436,0.243,0.261,0.406,0.23399999999999999,0.172,0.345,0.23199999999999998,,,,153.0,113.0,120.0,0.244,0.77,78.1,0.188,0.323,0.273,0.202,0.292,0.14400000000000002,58.0,95.0,95.0,0.017,-6.33,85.2,0.5,0.625,0.182,,,,,,
2023/09/19,6:40 PM.,TB,LAA,away,Dome.,72,671737,DH,4,0,0,0,0,0,0,0,0,4,3,.125,.231,.288,.519,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,131.0,101.0,109.0,,,,,,,106.0,99.0,99.0,0.001,0.449,0.248,,,-0.8,-1.32,0.0,,,96.1,88.9,,97.8,,0.277,0.559,0.191,0.312,0.581,0.295,,,,,,,88.0,107.0,111.0,0.167,0.04,79.0,0.169,0.338,0.22399999999999998,,,,,,,0.136,0.62,89.3,0.19,0.333,0.41,,,,,,
2023/09/17,1:08 PM.,DET,LAA,home,Cloudy.,74,622766,RF,4,0,0,0,0,0,0,0,0,2,2,.132,.241,.303,.544,622766,migueldiaz,"Díaz, M",Right,Miguel Díaz,DET,0.64,2.75,14.0,100.0,105.0,102.0,0.735,10.29,3.21,5.14,0.0,0.93,0.273,0.242,0.182,0.303,0.409,117.0,107.0,112.0,96.0,91.0,89.0,101.0,103.0,99.0,102.0,100.0,101.0,,,,0.269,0.212,,0.269,0.25,4.09,,0.01,4.05,1.3,95.1,,88.7,94.4,84.5,0.091,0.182,0.318,,,,0.0,0.0,0.33299999999999996,0.235,0.294,0.387,,,,,,,,,,0.333,0.333,0.042,,,,,,,,,,,,,,,
2023/09/16,6:08 PM.,DET,LAA,home,Overcast.,69,687830,RF,4,1,1,0,0,1,2,0,0,1,3,.139,.253,.319,.572,687830,sawyergipsonlong,Gipson-Long,Right,Sawyer Gipson-Long,DET,2.7,2.52,20.0,101.0,108.0,103.0,0.662,11.7,3.6,6.3,0.9,0.74,0.271,0.438,0.125,0.208,0.378,121.0,95.0,102.0,112.0,99.0,99.0,115.0,104.0,95.0,94.0,105.0,110.0,83.0,103.0,101.0,0.188,0.238,0.012,0.318,0.244,2.45,-1.39,4.55,-0.88,-1.53,93.6,87.6,85.8,92.4,82.4,0.174,0.304,0.18899999999999997,,,,0.273,0.455,0.409,0.176,0.412,0.5,,,,,,,,,,0.083,0.167,0.258,,,,,,,,,,,,,,,
