date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wCU/C,wCH/C,vFA,vFC,vCH,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff
2023/08/20,1:40 PM.,DET,CLE,home,Sunny.,83,593958,C,3,0,1,0,0,0,0,0,0,2,0,.500,.667,.500,1.167,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,90.0,101.0,98.0,0.454,0.192,,0.189,0.65,0.51,,0.71,92.2,88.8,85.9,,0.278,0.431,0.222,0.2,0.471,0.19399999999999998,0.233,0.292,0.317,,,,84.0,117.0,107.0,103.0,107.0,106.0,0.093,0.072,1.11,3.12,92.4,84.5,0.165,0.228,0.135,0.089,0.178,0.395
2023/08/18,7:30 PM.,DET,CLE,home,Partly Cloudy.,71,666214,C,1,0,1,0,0,0,0,0,2,0,0,1.000,1.000,1.000,2.000,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,91.0,97.0,93.0,0.416,0.251,0.158,0.175,-2.53,-0.57,-0.86,-0.22,93.4,86.0,85.0,77.5,0.374,0.682,0.19,0.271,0.5,0.29100000000000004,0.189,0.392,0.318,0.247,0.356,0.285,,,,,,,,,,,,,,,,,,
