date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff
2023/09/06,6:40 PM.,CWS,KC,home,Clear.,79,657053,1B,3,0,0,0,0,0,0,0,0,1,1,.230,.347,.295,.642,657053,toukitoussaint,Toussaint,Right,Touki Toussaint,- - -,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.477,0.106,0.315,0.366,,,,79.0,87.0,79.0,88.0,112.0,117.0,,,,,,,0.235,,0.023,,,-1.46,,-6.26,,,93.6,,,86.6,,0.294,0.426,0.217,0.333,1.333,0.35700000000000004,0.115,0.184,0.35600000000000004,,,,,,,108.0,99.0,104.0,94.0,94.0,89.0,0.265,0.288,0.33,1.81,92.9,76.1,0.3,0.412,0.095,0.189,-0.3,87.5,,,,96.0,96.0,99.0,0.188,0.348,0.324
2023/09/04,1:11 PM.,CWS,KC,home,Sunny.,91,669947,1B,1,0,0,0,0,0,0,0,0,0,2,.241,.362,.310,.672,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,73.0,99.0,93.0,82.0,98.0,101.0,,,,,,,0.435,,0.366,,0.035,0.27,,-1.82,,0.73,92.8,,85.4,85.4,,0.266,0.462,0.14,0.354,0.472,0.23399999999999999,0.245,0.469,0.34299999999999997,,,,0.111,0.111,0.154,104.0,104.0,106.0,,,,,0.165,,-0.51,,74.0,,,,,,,,,,,,,,,
2023/09/02,6:13 PM.,BOS,KC,home,Clear.,94,656557,DH,1,1,0,0,0,0,0,0,0,1,0,.246,.368,.316,.684,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,,,,95.0,96.0,88.0,113.0,99.0,107.0,,,,80.0,100.0,92.0,0.099,0.108,0.383,,,-2.8,0.73,0.98,,,93.9,91.3,,83.9,,0.325,0.55,0.157,0.178,0.301,0.387,,,,0.229,0.354,0.21600000000000003,,,,,,,111.0,102.0,101.0,0.295,,-0.38,,93.4,,0.306,0.507,0.187,0.114,-1.52,87.6,,,,67.0,105.0,92.0,0.31,0.452,0.40399999999999997
2023/08/30,7:11 PM.,PIT,KC,home,Clear.,83,656578,1B,3,0,0,0,0,0,0,0,0,1,1,.250,.344,.321,.665,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,85.0,106.0,100.0,99.0,98.0,94.0,90.0,101.0,103.0,,,,,,,0.446,,0.17,,0.32,0.74,,1.4,,-1.7,94.9,,86.9,87.1,,0.222,0.367,0.191,0.148,0.296,0.20600000000000002,0.067,0.067,0.32299999999999995,,,,0.273,0.566,0.297,96.0,93.0,93.0,,,,,0.065,,1.88,,81.5,,,,,,,,,,,,,,,
2023/08/28,7:10 PM.,PIT,KC,home,Clear.,83,670912,1B,3,0,0,0,0,0,0,0,0,0,1,.264,.361,.340,.701,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,103.0,98.0,104.0,,,,,,,0.392,,0.367,,0.041,-1.25,,0.8,,-0.07,95.8,,88.1,88.2,,0.277,0.477,0.183,0.21,0.349,0.326,0.193,0.352,0.308,,,,0.25,0.3,0.35700000000000004,87.0,97.0,101.0,100.0,93.0,92.0,0.05,0.149,0.93,0.82,95.7,80.9,0.276,0.345,0.065,,,,,,,,,,,,
2023/08/27,1:11 PM.,SEA,KC,away,Sunny.,77,622491,1B,1,0,0,0,0,0,0,0,1,0,0,.280,.379,.360,.739,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,95.0,104.0,100.0,117.0,100.0,108.0,,,,,,,0.444,,0.221,,0.156,1.31,,-0.12,,-1.6,96.3,,88.3,85.7,,0.165,0.384,0.33,0.234,0.455,0.37799999999999995,,,,,,,0.28,0.42,0.325,,,,82.0,103.0,95.0,0.179,,0.6,,95.9,,0.239,0.337,0.136,,,,,,,,,,,,
2023/08/26,1:10 PM.,SEA,KC,away,Partly Cloudy.,79,669302,DH,4,0,0,0,0,0,0,0,0,3,2,.286,.375,.367,.742,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,88.0,103.0,99.0,133.0,101.0,99.0,110.0,95.0,103.0,,,,0.419,,0.297,0.134,,0.01,,1.84,0.39,,95.7,,,88.7,80.3,0.28,0.491,0.177,0.211,0.349,0.322,0.214,0.371,0.306,,,,,,,,,,55.0,90.0,81.0,0.003,,-11.33,,93.7,,0.667,1.0,0.25,0.148,0.25,85.6,,,,98.0,103.0,117.0,0.174,0.34,0.35
2023/08/25,7:10 PM.,SEA,KC,away,Clear.,74,682243,1B,3,1,2,0,0,0,0,0,1,1,2,.311,.404,.400,.804,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,121.0,105.0,110.0,112.0,100.0,107.0,,,,,,,0.585,,0.274,,0.056,0.3,,0.14,,0.66,95.1,,85.0,85.0,,0.256,0.45,0.271,0.3,0.475,0.174,0.667,1.333,0.125,,,,0.167,0.433,0.179,113.0,102.0,102.0,104.0,101.0,99.0,0.076,0.009,1.22,-8.41,95.1,78.2,0.26,0.36,0.096,,,,,,,,,,,,
2023/08/23,12:38 PM.,OAK,KC,away,Sunny.,82,661309,DH,1,1,1,0,0,0,0,0,0,0,0,.286,.375,.381,.756,661309,adrianmartinez,"Martinez, A",Right,Adrián Martínez,OAK,4.75,5.37,55.0,95.0,88.0,92.0,0.787,7.69,3.11,9.65,1.31,1.08,0.235,0.376,0.176,0.247,0.394,98.0,90.0,96.0,,,,96.0,92.0,97.0,,,,,,,,,0.174,,0.234,,,-0.72,,-1.01,,,82.7,83.2,,,,,0.19,0.667,0.43799999999999994,,,,,,,0.323,0.435,0.299,,,,81.0,98.0,89.0,0.592,,-0.11,,93.8,,0.271,0.419,0.139,,,,,,,,,,,,
2023/08/22,6:40 PM.,OAK,KC,away,Clear.,72,666204,1B,2,0,0,0,0,0,0,0,0,1,0,.268,.348,.366,.714,666204,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.47,3.77,23.1,92.0,106.0,98.0,0.739,8.1,5.4,4.24,1.16,0.5,0.254,0.373,0.22,0.305,0.363,,,,75.0,91.0,85.0,126.0,94.0,106.0,,,,,,,0.372,,0.626,,0.002,-1.01,,2.83,,-2.69,93.3,,81.7,81.5,,0.28,0.56,0.115,0.077,0.154,0.35600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
