date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/07/04,11:05 AM.,CIN,WSH,home,Partly Cloudy.,83,664028,CF,3,0,1,0,0,0,1,0,1,1,4,.170,.220,.191,.411,664028,brettkennedy,"Kennedy, B",Right,Brett Kennedy,CIN,6.5,4.9,18.0,94.0,79.0,86.0,0.836,4.5,3.5,9.5,0.5,0.96,0.297,0.391,0.094,0.328,0.423,77.0,100.0,99.0,,,,79.0,95.0,84.0,92.0,81.0,83.0,0.516,0.055,,0.281,0.86,-1.89,,-1.37,92.9,83.6,83.8,,0.188,0.438,0.20600000000000002,,,,0.308,0.462,0.20800000000000002,,,,77.0,86.0,73.0,0.148,,-5.98,,91.9,,0.455,0.636,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/03,6:30 PM.,CIN,WSH,home,Cloudy.,86,596133,CF,3,0,1,0,0,0,0,0,0,1,0,.159,.196,.182,.378,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,83.0,103.0,100.0,,,,88.0,102.0,96.0,112.0,101.0,104.0,0.435,0.137,,0.2,-1.47,-2.22,,-2.01,94.0,86.1,85.8,,0.311,0.543,0.175,0.255,0.691,0.16699999999999998,0.316,0.547,0.32299999999999995,0.235,0.294,0.321,,,,,0.118,,-1.56,,81.7,,,,99.0,103.0,102.0,0.11,0.87,90.3,0.218,0.473,0.252,,,,,,,,,,,,,,,,,,,,,
2023/07/02,1:40 PM.,PHI,WSH,away,Partly Cloudy.,87,624133,CF,3,1,1,0,0,0,0,0,0,0,0,.146,.186,.171,.357,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,95.0,104.0,102.0,69.0,98.0,88.0,91.0,113.0,108.0,0.215,0.005,0.19,0.184,-0.65,4.65,1.95,-1.45,93.4,82.9,84.1,75.8,0.304,0.478,0.21899999999999997,0.143,0.226,0.377,0.267,0.444,0.311,0.2,0.2,0.0,96.0,104.0,102.0,0.28,,0.52,,92.8,,0.289,0.409,0.1,97.0,97.0,94.0,0.126,-1.27,87.5,0.34,0.585,0.179,,,,,,,,,,,,,,,,,,,,,
2023/07/01,4:08 PM.,PHI,WSH,away,Partly Cloudy.,86,554430,CF,4,0,0,0,0,0,0,0,0,0,3,.132,.175,.158,.333,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.123,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,90.8,84.4,81.4,0.199,0.333,0.314,0.264,0.473,0.33,,,,0.198,0.36,0.392,105.0,105.0,107.0,0.18,,1.62,,95.2,,0.252,0.308,0.192,96.0,102.0,102.0,0.144,-0.63,90.9,0.27,0.426,0.228,,,,,,,,,,,,,,,,,,,,,
2023/06/30,6:14 PM.,PHI,WSH,away,Overcast.,85,650911,CF,4,0,0,0,0,0,0,0,0,1,4,.147,.194,.176,.370,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,123.0,100.0,100.0,,0.211,,0.327,,0.2,,1.1,,81.8,82.7,,,,,,,,0.148,0.274,0.43,0.25,0.456,0.297,71.0,104.0,97.0,0.462,,0.65,,92.1,,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/28,1:10 PM.,SEA,WSH,away,Sunny.,72,669302,CF,4,0,1,0,0,0,0,0,0,2,3,.167,.219,.200,.419,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,133.0,101.0,99.0,0.419,0.297,,,0.01,1.84,,,95.7,,88.7,,0.28,0.491,0.177,0.214,0.371,0.306,,,,0.211,0.349,0.322,55.0,90.0,81.0,0.003,0.134,-11.33,0.39,93.7,80.3,0.667,1.0,0.25,,,,,,,,,,,,,,,,,,,110.0,95.0,103.0,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35
2023/06/27,6:42 PM.,SEA,WSH,away,Partly Cloudy.,73,693433,CF,3,0,0,0,0,0,0,0,2,1,2,.154,.214,.192,.406,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,,,,101.0,105.0,106.0,110.0,96.0,105.0,0.469,0.24,,0.037,0.69,-0.83,,-2.37,95.1,89.7,86.0,,0.207,0.407,0.303,,,,0.4,0.4,0.222,0.257,0.457,0.311,109.0,102.0,103.0,0.255,,1.34,,95.0,,0.213,0.372,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/26,6:40 PM.,SEA,WSH,away,Clear.,73,622491,CF,4,0,0,0,0,0,0,0,0,2,4,.174,.174,.217,.391,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,117.0,100.0,108.0,0.444,0.221,,0.156,1.31,-0.12,,-1.6,96.3,88.3,85.7,,0.165,0.384,0.33,,,,0.28,0.42,0.325,0.234,0.455,0.37799999999999995,82.0,103.0,95.0,0.179,,0.6,,95.9,,0.239,0.337,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/25,1:10 PM.,SD,WSH,away,Sunny.,70,607625,CF,4,1,0,0,0,0,0,0,0,0,1,.211,.211,.263,.474,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,114.0,96.0,108.0,0.318,0.111,0.313,0.059,0.36,-0.6,0.26,-2.89,93.4,86.3,85.2,79.6,0.246,0.464,0.214,0.287,0.384,0.265,0.303,0.576,0.34299999999999997,0.25,0.417,0.28600000000000003,97.0,102.0,97.0,0.199,,1.87,,93.2,,0.208,0.36,0.08900000000000001,,,,,,,,,,,,,,,,0.0,0.0,0.226,,,,,,,,,,,,
2023/06/24,5:40 PM.,SD,WSH,away,Clear.,68,663362,CF,4,0,0,0,0,0,0,1,0,1,3,.267,.267,.333,.600,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,,,,76.0,105.0,98.0,101.0,100.0,109.0,0.205,0.16,,,-0.95,-0.44,,,91.3,,79.8,,0.259,0.519,0.217,,,,,,,0.269,0.5,0.204,81.0,106.0,95.0,0.236,,0.75,,91.3,,0.239,0.457,0.095,104.0,114.0,109.0,0.131,0.15,86.7,0.214,0.464,0.193,76.6,0.267,-1.01,0.242,0.485,0.247,,,,,,,,,,,,,,,
2023/06/23,6:42 PM.,SD,WSH,away,Clear.,66,605397,CF,4,1,2,1,0,0,0,0,0,1,1,.364,.364,.455,.819,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.438,0.154,0.254,0.414,101.0,102.0,100.0,134.0,107.0,110.0,80.0,105.0,98.0,117.0,110.0,111.0,0.245,0.145,0.239,0.114,1.77,-2.03,0.77,-0.63,93.1,87.1,82.2,81.3,0.205,0.273,0.222,0.207,0.329,0.34,0.267,0.333,0.406,0.281,0.594,0.33899999999999997,109.0,98.0,78.0,0.054,,3.35,,92.8,,0.261,0.261,0.125,102.0,99.0,98.0,0.204,1.68,90.1,0.302,0.429,0.13,,,,,,,,,,,,,,,,,,,,,
