date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023/09/23,6:10 PM.,KC,HOU,home,Roof Closed.,73,543475,CF,2,0,0,0,0,0,0,0,0,0,1,.227,.296,.382,.678,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,75.0,101.0,92.0,99.0,107.0,110.0,,,,0.306,0.247,,0.109,1.11,-1.31,,-1.66,91.2,85.5,80.2,,0.28,0.543,0.249,0.227,0.444,0.154,0.238,0.476,0.21899999999999997,0.26,0.481,0.257,95.0,97.0,99.0,76.0,103.0,88.0,96.0,99.0,98.0,0.131,0.076,0.131,-0.94,-0.01,-1.6,86.8,90.5,79.4,0.314,0.725,0.19,0.248,0.457,0.158,,,,,,,,,,,,,,,,,,
2023/09/20,1:12 PM.,BAL,HOU,home,Roof Closed.,73,680694,CF,2,0,1,0,0,0,0,0,0,1,1,.228,.298,.384,.682,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,101.0,96.0,96.0,171.0,105.0,116.0,,,,0.224,0.313,,0.083,-1.0,1.77,,-0.36,94.5,90.8,88.1,,0.168,0.272,0.364,0.366,0.602,0.15,0.142,0.165,0.35600000000000004,0.259,0.37,0.114,135.0,105.0,109.0,88.0,104.0,98.0,,,,0.207,,0.173,,1.53,3.99,,95.0,84.8,,,,0.23,0.367,0.15,,,,,,,,,,,,,,,,,,
2023/09/18,7:11 PM.,BAL,HOU,home,Roof Closed.,73,607644,PR,0,0,0,0,0,0,0,0,0,0,0,.226,.297,.384,.681,607644,johnmeans,Means,Left,John Means,BAL,2.66,4.58,23.2,103.0,104.0,106.0,0.847,3.8,1.52,4.94,1.52,0.51,0.26,0.411,0.151,0.329,0.46,109.0,108.0,114.0,103.0,99.0,102.0,97.0,101.0,100.0,,,,0.419,0.15,0.094,0.333,0.5,3.05,-2.18,4.04,91.7,80.9,85.4,77.6,0.0,0.0,0.091,0.188,0.406,0.141,0.167,0.667,0.077,0.139,0.306,0.221,112.0,118.0,126.0,,,,,,,,,0.003,,,-57.14,,,81.6,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:12 PM.,KC,HOU,away,Sunny.,73,543475,CF,4,2,1,0,0,1,1,0,0,1,1,.226,.297,.384,.681,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,75.0,101.0,92.0,99.0,107.0,110.0,,,,0.306,0.247,,0.109,1.11,-1.31,,-1.66,91.2,85.5,80.2,,0.28,0.543,0.249,0.227,0.444,0.154,0.238,0.476,0.21899999999999997,0.26,0.481,0.257,95.0,97.0,99.0,76.0,103.0,88.0,96.0,99.0,98.0,0.131,0.076,0.131,-0.94,-0.01,-1.6,86.8,90.5,79.4,0.314,0.725,0.19,0.248,0.457,0.158,,,,,,,,,,,,,,,,,,
2023/09/13,6:11 PM.,OAK,HOU,home,Roof Closed.,73,621112,CF,4,0,1,0,0,0,0,0,0,0,1,.226,.297,.375,.672,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,77.0,95.0,87.0,91.0,103.0,108.0,,,,0.146,0.181,,0.112,-2.52,0.46,,2.14,91.9,86.0,80.8,,0.198,0.308,0.344,0.383,0.553,0.17,0.14,0.326,0.245,0.143,0.286,0.389,89.0,104.0,104.0,82.0,96.0,87.0,106.0,100.0,100.0,0.24,0.204,0.117,-2.38,-0.75,1.69,88.9,91.8,79.1,0.435,0.624,0.159,0.306,0.435,0.15,,,,,,,,,,,,,,,,,,
2023/09/10,1:10 PM.,SD,HOU,home,Roof Closed.,73,663362,CF,1,0,0,0,0,0,0,0,0,1,0,.226,.298,.377,.675,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,76.0,105.0,98.0,101.0,100.0,109.0,,,,0.205,0.16,,,-0.95,-0.44,,,91.3,,79.8,,0.269,0.5,0.204,0.259,0.519,0.217,,,,,,,,,,81.0,106.0,95.0,104.0,114.0,109.0,0.236,0.131,,0.15,0.75,,86.7,91.3,,0.214,0.464,0.193,0.239,0.457,0.095,,,,,,,,,,,,,76.6,0.267,-1.01,0.242,0.485,0.247
2023/09/08,7:10 PM.,SD,HOU,home,Roof Closed.,73,605483,CF,0,0,0,0,0,0,0,0,0,0,0,.226,.299,.378,.677,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,120.0,91.0,96.0,107.0,91.0,94.0,,,,0.486,0.131,,0.184,0.07,0.68,,2.65,95.5,86.7,88.4,,0.123,0.26,0.536,0.255,0.389,0.195,0.079,0.14,0.563,0.185,0.266,0.46799999999999997,106.0,102.0,110.0,,,,,,,,,0.198,,,2.55,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/06,7:07 PM.,TEX,HOU,away,Roof Closed.,74,453286,LF,0,0,0,0,0,0,0,0,0,0,0,.226,.299,.378,.677,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,104.0,101.0,101.0,106.0,108.0,108.0,,,,0.463,0.168,,0.141,0.72,-0.21,,0.03,93.7,83.8,84.0,,0.25,0.545,0.364,0.255,0.458,0.23800000000000002,0.187,0.373,0.326,0.207,0.283,0.275,96.0,101.0,104.0,,,,98.0,108.0,99.0,,0.104,0.124,2.12,,0.51,88.4,,75.4,0.135,0.243,0.33299999999999996,,,,,,,,,,,,,,,,,,,,,
2023/09/05,7:09 PM.,TEX,HOU,away,Roof Closed.,74,543135,LF,1,0,0,0,0,0,0,0,0,0,1,.226,.299,.378,.677,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,92.0,97.0,93.0,101.0,113.0,109.0,,,,0.372,0.04,,,0.41,-3.23,,,95.1,,83.9,,0.303,0.606,0.13699999999999998,0.234,0.423,0.183,0.2,0.22,0.41700000000000004,,,,99.0,104.0,102.0,,,,86.0,98.0,92.0,,0.176,0.135,1.33,,0.86,90.6,,76.0,0.238,0.417,0.198,,,,125.0,101.0,106.0,0.276,1.26,87.9,0.196,0.314,0.355,,,,,,,,,
2023/09/04,3:08 PM.,TEX,HOU,away,Roof Closed.,74,571760,CF,0,0,0,0,0,0,0,0,0,0,0,.227,.300,.380,.680,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,107.0,99.0,99.0,94.0,104.0,108.0,,,,0.579,0.252,,0.169,0.1,-1.35,,-0.11,92.5,84.0,82.0,,0.259,0.443,0.29600000000000004,0.236,0.431,0.256,,,,0.274,0.452,0.24,80.0,143.0,68.0,,,,,,,,,0.0,,,-3.87,,,74.4,,,,,,,,,,,,,,,,,,,,,,,,
