date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,vKN (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,KC%,CH%,KN%,wSI/C,wKC/C,wCH/C,wKN/C,vCH,vSI,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023/05/06,6:09 PM.,TEX,LAA,home,Partly Cloudy.,66,543135,1B,4,0,0,0,0,0,0,0,0,2,2,.216,.259,.353,.612,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,99.0,104.0,102.0,92.0,97.0,93.0,101.0,113.0,109.0,86.0,98.0,92.0,125.0,101.0,106.0,0.372,0.176,0.276,0.04,0.135,0.41,1.33,1.26,-3.23,0.86,95.1,90.6,87.9,83.9,76.0,0.234,0.423,0.183,0.196,0.314,0.355,0.238,0.417,0.198,0.303,0.606,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,0.2,0.22,0.41700000000000004,,,,,,,,,
2023/05/04,12:16 PM.,STL,LAA,away,Sunny.,72,656427,1B,4,2,1,0,0,0,1,0,0,2,2,.234,.280,.383,.663,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.246,0.459,0.132,0.307,0.398,,,,98.0,99.0,98.0,98.0,101.0,102.0,92.0,98.0,101.0,,,,0.417,0.091,,0.246,,-0.44,-1.05,,-1.15,,93.1,88.7,,84.2,,0.29,0.411,0.20800000000000002,,,,0.318,0.545,0.264,0.339,0.558,0.265,,68.0,89.0,84.0,75.0,82.0,71.0,0.02,0.194,0.033,,-2.28,0.23,0.86,,85.3,90.1,76.2,0.333,0.333,0.1,0.204,0.372,0.402,0.154,0.154,0.083,,,,93.0,102.0,108.0
2023/05/03,6:45 PM.,STL,LAA,away,Clear.,68,571945,PH,1,1,1,0,0,1,1,0,0,0,0,.233,.283,.395,.678,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,95.0,105.0,102.0,74.0,112.0,99.0,108.0,107.0,108.0,,,,,,,0.26,,,0.243,0.198,-0.19,,,0.62,-0.92,93.3,,,86.4,75.9,0.29,0.495,0.18899999999999997,,,,,,,0.245,0.375,0.22399999999999998,,58.0,96.0,93.0,86.0,108.0,99.0,0.243,0.002,0.054,,-1.61,-0.89,2.68,,84.4,92.7,68.1,0.34,0.54,0.085,0.261,0.387,0.198,0.182,0.382,0.085,,,,,,
2023/04/30,1:10 PM.,MIL,LAA,away,Roof Closed.,64,607067,1B,2,1,1,0,0,1,1,0,0,1,0,.214,.267,.310,.577,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,101.0,105.0,105.0,82.0,111.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,62.0,96.0,91.0,0.193,0.265,0.056,0.109,0.079,2.43,-0.01,-5.76,-0.31,-0.94,93.2,86.7,86.0,83.1,78.8,0.135,0.27,0.264,0.44,0.84,0.184,0.245,0.519,0.293,0.226,0.377,0.36200000000000004,,,,,96.0,105.0,99.0,0.299,,,,0.31,,,,,92.6,,0.253,0.42,0.136,0.242,0.455,0.231,,,,,,,,,
2023/04/29,6:10 PM.,MIL,LAA,away,Roof Closed.,66,669203,1B,2,0,0,0,0,0,0,0,0,0,0,.200,.256,.225,.481,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,160.0,104.0,113.0,,,,144.0,110.0,127.0,127.0,101.0,103.0,,,,,0.554,,0.085,0.171,,1.51,,1.12,1.35,,94.4,,86.0,79.8,,,,,,,0.209,0.34,0.22699999999999998,0.159,0.275,0.43799999999999994,,82.0,105.0,112.0,103.0,97.0,90.0,0.077,,0.112,,-2.42,,1.07,,89.3,95.3,,0.291,0.564,0.129,0.133,0.211,0.488,0.204,0.258,0.306,,,,,,
2023/04/23,1:08 PM.,KC,LAA,home,Sunny.,76,543475,1B,2,0,0,0,0,0,0,0,0,1,0,.211,.268,.237,.505,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,95.0,97.0,99.0,75.0,101.0,92.0,99.0,107.0,110.0,96.0,99.0,98.0,,,,0.306,0.076,,0.247,0.131,1.11,-0.94,,-1.31,-1.6,91.2,86.8,,80.2,79.4,0.227,0.444,0.154,,,,0.314,0.725,0.19,0.28,0.543,0.249,,73.0,95.0,90.0,76.0,103.0,88.0,0.131,,0.109,,-0.01,,-1.66,,85.5,90.5,,0.248,0.457,0.158,0.238,0.476,0.21899999999999997,0.26,0.481,0.257,,,,,,
2023/04/18,7:09 PM.,NYY,LAA,away,Clear.,52,657376,1B,3,0,0,0,0,0,0,0,0,3,1,.222,.282,.250,.532,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,,,,109.0,99.0,107.0,96.0,106.0,105.0,,,,,0.279,,0.274,,,0.27,,-0.59,,,91.3,,86.0,,,,,,,,0.28,0.457,0.222,0.276,0.559,0.263,,31.0,95.0,88.0,68.0,103.0,88.0,0.241,0.191,0.015,,-0.2,-0.46,-7.35,,89.4,93.4,83.7,0.288,0.447,0.11,0.198,0.314,0.345,0.5,0.5,0.091,,,,146.0,100.0,118.0
2023/04/17,12:06 PM.,BOS,LAA,away,Cloudy.,50,678394,1B,4,0,3,0,0,0,0,0,0,0,0,.242,.306,.273,.579,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,,,,83.0,102.0,93.0,103.0,94.0,103.0,88.0,100.0,88.0,,,,0.207,0.015,,0.175,,-1.91,-6.73,,-1.86,,95.5,89.1,,85.3,,0.31,0.646,0.19899999999999998,,,,0.462,1.077,0.20800000000000002,0.3,0.456,0.259,,80.0,103.0,99.0,93.0,101.0,98.0,0.364,,0.239,,0.52,,1.38,,86.2,95.0,,0.278,0.435,0.16,,,,0.196,0.291,0.387,,,,,,
2023/04/16,1:34 PM.,BOS,LAA,away,Cloudy.,54,676477,1B,0,0,0,0,0,0,0,0,0,0,0,.172,.250,.207,.457,676477,garrettwhitlock,Whitlock,Right,Garrett Whitlock,BOS,5.15,4.61,71.2,103.0,89.0,106.0,0.747,9.04,1.63,10.3,1.63,1.2,0.25,0.426,0.139,0.375,0.457,,,,67.0,84.0,84.0,73.0,96.0,97.0,,,,,,,0.004,,,0.23,,-2.31,,,0.44,,94.6,,,79.6,,,,,,,,,,,0.167,0.333,0.47200000000000003,,101.0,107.0,117.0,93.0,106.0,106.0,0.525,,0.241,,-0.46,,-2.21,,82.7,94.0,,0.326,0.538,0.184,,,,0.312,0.559,0.32,,,,,,
2023/04/14,7:11 PM.,BOS,LAA,away,Partly Cloudy.,58,656557,1B,3,0,2,0,0,0,0,0,1,1,1,.172,.250,.207,.457,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,,,,95.0,96.0,88.0,113.0,99.0,107.0,80.0,100.0,92.0,67.0,105.0,92.0,0.099,0.108,0.114,0.383,,-2.8,0.73,-1.52,0.98,,93.9,91.3,87.6,83.9,,0.325,0.55,0.157,0.31,0.452,0.40399999999999997,0.229,0.354,0.21600000000000003,0.178,0.301,0.387,,,,,111.0,102.0,101.0,0.295,,,,-0.38,,,,,93.4,,0.306,0.507,0.187,,,,,,,,,,,,
