date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff
2023/06/14,7:10 PM.,KC,CIN,away,Clear.,82,663738,CF,3,0,0,0,0,0,0,0,0,0,1,.218,.295,.323,.618,663738,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,0.537,0.166,0.75,1.5,0.0,,,,0.238,0.452,0.28800000000000003,0.417,0.667,0.22699999999999998,0.125,0.156,0.34700000000000003,,,,,,,,,,,,,,,,,,
2023/06/09,7:16 PM.,STL,CIN,away,Partly Cloudy.,82,656756,CF,2,0,0,0,0,0,0,0,0,0,2,.223,.301,.331,.632,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,101.0,102.0,87.0,0.426,0.106,0.016,,0.222,0.229,-0.68,-4.4,1.22,,0.84,0.2,93.4,88.2,83.5,93.3,,80.5,0.333,0.5,0.195,0.255,0.374,0.141,0.417,0.667,0.31,,,,0.191,0.357,0.371,0.239,0.405,0.392,,,,,,,,,,,,,,,,,,
2023/06/08,12:36 PM.,LAD,CIN,home,Sunny.,71,477132,CF,3,0,1,0,0,0,0,0,0,2,0,.227,.306,.336,.642,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,0.369,,0.434,0.175,0.017,0.23,,14.84,2.06,0.13,-0.46,90.7,,84.6,90.9,86.5,73.4,0.281,0.451,0.09699999999999999,0.0,0.0,0.0,,,,0.167,0.338,0.36200000000000004,0.212,0.338,0.33799999999999997,0.2,0.2,0.6,,,,,,,0.002,13.51,84.4,0.0,0.0,0.0,116.0,127.0,165.0,,,
2023/06/05,7:10 PM.,MIL,CIN,home,Partly Cloudy.,80,527054,SS,0,0,0,0,0,0,0,0,0,0,0,.224,.305,.336,.641,527054,julioteheran,Teheran,Right,Julio Teheran,MIL,4.4,4.93,71.2,104.0,85.0,98.0,0.813,6.28,1.63,8.54,1.63,0.97,0.249,0.362,0.118,0.339,0.428,94.0,107.0,89.0,82.0,103.0,103.0,99.0,109.0,105.0,90.0,104.0,100.0,,,,79.0,101.0,96.0,0.387,0.094,0.287,,0.115,0.118,-5.82,0.93,-0.03,,1.98,-0.54,89.2,86.4,83.4,90.0,,77.4,0.368,1.105,0.265,0.285,0.472,0.121,0.219,0.359,0.22,,,,0.074,0.185,0.32799999999999996,0.286,0.514,0.257,,,,,,,,,,,,,,,,,,
2023/06/02,5:12 PM.,MIL,CIN,home,Clear.,92,669203,PR,0,0,0,0,0,0,0,0,0,0,0,.224,.305,.336,.641,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,160.0,104.0,113.0,,,,103.0,97.0,90.0,144.0,110.0,127.0,127.0,101.0,103.0,0.077,,0.554,0.085,0.171,0.112,,1.51,-2.42,1.12,1.35,1.07,,94.4,89.3,95.3,86.0,79.8,,,,0.291,0.564,0.129,0.209,0.34,0.22699999999999998,0.159,0.275,0.43799999999999994,0.133,0.211,0.488,0.204,0.258,0.306,,,,,,,,,,,,,,,,,,
2023/06/01,7:12 PM.,BOS,CIN,away,Clear.,85,519242,CF,4,0,0,0,0,0,0,0,0,2,3,.224,.305,.336,.641,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,,,,99.0,102.0,100.0,98.0,94.0,96.0,92.0,98.0,100.0,,,,0.062,0.432,,0.375,,0.131,0.46,,-1.13,0.7,,-1.09,93.9,,86.1,93.3,77.8,,0.252,0.437,0.23399999999999999,0.267,0.5,0.16699999999999998,,,,0.162,0.358,0.389,,,,0.309,0.473,0.322,,,,,,,,,,,,,,,,,,
2023/05/31,7:12 PM.,BOS,CIN,away,Clear.,79,572020,CF,2,1,0,0,0,0,0,0,1,1,3,.231,.314,.347,.661,572020,jamespaxton,Paxton,Left,James Paxton,BOS,4.5,3.77,96.0,100.0,89.0,96.0,0.744,9.47,3.09,8.72,1.69,1.15,0.311,0.392,0.136,0.337,0.437,112.0,88.0,93.0,,,,95.0,103.0,98.0,98.0,92.0,90.0,,,,63.0,101.0,91.0,0.007,0.566,0.165,,,0.067,0.04,-0.15,-0.01,,,-0.96,95.2,85.8,84.4,94.9,,,0.269,0.498,0.217,,,,0.191,0.426,0.331,,,,0.231,0.338,0.376,0.316,0.421,0.467,0.195,-0.31,81.3,87.0,93.0,94.0,,,,,,,,,,,,
2023/05/30,7:12 PM.,BOS,CIN,away,Clear.,65,678394,CF,2,1,2,0,0,1,4,0,1,0,0,.235,.313,.353,.666,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,,,,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,,0.239,-1.91,-6.73,0.52,-1.86,,1.38,95.5,89.1,86.2,95.0,85.3,,0.31,0.646,0.19899999999999998,0.278,0.435,0.16,0.462,1.077,0.20800000000000002,0.3,0.456,0.259,,,,0.196,0.291,0.387,,,,,,,,,,,,,,,,,,
2023/05/28,1:20 PM.,CHC,CIN,away,Sunny.,69,592767,CF,4,0,0,0,0,0,0,0,0,1,4,.222,.298,.316,.614,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,,,,77.0,94.0,88.0,,,,86.0,94.0,82.0,0.389,,0.117,,,,,-0.51,-1.32,,,,,88.6,,91.9,,,,,,0.314,0.6,0.17300000000000001,0.293,0.463,0.21600000000000003,,,,0.229,0.399,0.36,,,,0.494,-0.09,78.6,105.0,102.0,103.0,,,,,,,,,,,,
2023/05/26,1:20 PM.,CHC,CIN,away,Sunny.,59,657006,CF,5,2,2,1,0,0,1,0,0,1,3,.230,.307,.327,.634,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,0.018,0.626,,0.339,0.006,0.01,0.67,,0.89,0.54,2.44,-1.94,91.8,,87.5,92.2,83.3,80.7,0.275,0.393,0.203,0.25,0.333,0.16699999999999998,,,,0.217,0.346,0.311,0.0,0.0,0.33299999999999996,0.4,0.4,0.1,,,,,,,,,,,,,,,,,,
2023/05/24,6:40 PM.,STL,CIN,home,Partly Cloudy.,80,571927,CF,4,0,0,0,0,0,0,0,0,1,3,.222,.303,.315,.618,571927,stevenmatz,Matz,Left,Steven Matz,STL,3.86,3.87,105.0,102.0,95.0,100.0,0.776,8.4,2.74,9.26,0.94,1.4,0.291,0.37,0.146,0.31,0.446,106.0,109.0,107.0,108.0,96.0,100.0,,,,87.0,101.0,96.0,62.0,82.0,90.0,,,,0.561,,,0.018,0.148,0.274,,,0.41,-1.27,-0.6,-0.09,,,84.2,94.1,88.9,78.5,,,,0.24,0.397,0.247,,,,0.5,0.75,0.1,0.259,0.407,0.2,0.291,0.405,0.289,,,,,,,,,,,,,,,,,,
2023/05/22,6:41 PM.,STL,CIN,home,Partly Cloudy.,77,656756,CF,1,0,0,0,0,0,0,0,2,1,1,.231,.314,.327,.641,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,101.0,102.0,87.0,0.426,0.106,0.016,,0.222,0.229,-0.68,-4.4,1.22,,0.84,0.2,93.4,88.2,83.5,93.3,,80.5,0.333,0.5,0.195,0.255,0.374,0.141,0.417,0.667,0.31,,,,0.191,0.357,0.371,0.239,0.405,0.392,,,,,,,,,,,,,,,,,,
2023/05/20,4:11 PM.,NYY,CIN,home,Sunny.,71,666745,CF,3,1,1,0,0,0,0,0,0,2,1,.233,.304,.330,.634,666745,jhonybrito,Brito,Right,Jhony Brito,NYY,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.399,0.134,0.347,0.424,87.0,104.0,106.0,,,,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,,,,0.327,0.166,,0.113,,0.29,-0.97,,1.05,0.17,,0.5,95.8,,88.8,96.0,83.0,,0.167,0.5,0.179,0.282,0.436,0.149,,,,0.172,0.31,0.28,0.348,0.696,0.188,0.232,0.392,0.282,0.104,-1.87,80.4,,,,,,,,,,,,,,,
2023/05/19,6:41 PM.,NYY,CIN,home,Partly Cloudy.,77,657376,CF,3,0,0,0,0,0,0,0,0,2,3,.230,.304,.330,.634,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,31.0,95.0,88.0,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,96.0,106.0,105.0,0.241,,0.279,0.274,,0.015,,0.27,-0.2,-0.59,,-7.35,,91.3,89.4,93.4,86.0,,,,,0.288,0.447,0.11,0.28,0.457,0.222,0.276,0.559,0.263,0.198,0.314,0.345,0.5,0.5,0.091,0.191,-0.46,83.7,146.0,100.0,118.0,,,,,,,,,,,,
2023/05/17,1:09 PM.,COL,CIN,away,Partly Cloudy.,77,596295,SS,3,0,2,0,0,0,1,0,2,1,3,.237,.312,.340,.652,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,0.012,0.439,,0.201,,0.181,-1.99,,-5.34,0.96,,-0.07,90.6,,81.6,90.8,84.8,,0.344,0.656,0.11800000000000001,0.4,1.0,0.16699999999999998,,,,0.275,0.383,0.247,0.226,0.358,0.28,0.296,0.509,0.19899999999999998,0.168,-0.75,77.6,90.0,103.0,104.0,,,,,,,,,,,,
2023/05/13,1:12 PM.,MIA,CIN,away,Roof Closed.,72,645261,SS,4,1,1,1,0,0,0,0,0,3,1,.223,.288,.330,.618,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,91.1,97.6,89.9,86.1,0.253,0.448,0.267,0.237,0.366,0.124,,,,0.227,0.364,0.35200000000000004,0.308,0.308,0.182,0.282,0.401,0.299,,,,,,,,,,,,,,,,,,
2023/05/12,6:40 PM.,MIA,CIN,away,Partly Cloudy.,83,691587,SS,3,1,1,0,0,0,0,0,1,2,0,.222,.290,.322,.612,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,101.0,102.0,107.0,,,,,0.454,,0.308,0.14,0.098,-0.47,,,0.99,1.89,0.99,97.5,,89.7,,86.4,81.2,0.289,0.585,0.187,,,,,,,0.183,0.365,0.47700000000000004,0.098,0.171,0.5429999999999999,0.045,0.045,0.462,,,,,,,,,,,,,,,,,,
2023/05/10,6:40 PM.,NYM,CIN,home,Clear.,76,434378,SS,3,0,0,0,0,0,0,0,0,0,0,.218,.281,.322,.603,434378,justinverlander,Verlander,Right,Justin Verlander,- - -,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.232,0.438,0.168,0.307,0.433,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,,,,127.0,112.0,111.0,,,,,0.5,,0.253,0.2,0.047,0.89,,,0.97,0.43,-0.23,94.3,,85.2,,86.9,78.2,0.235,0.417,0.18100000000000002,,,,,,,0.201,0.325,0.292,0.241,0.328,0.244,0.214,0.286,0.28600000000000003,,,,,,,,,,,,,,,,,,
2023/05/07,4:11 PM.,CWS,CIN,home,Cloudy.,77,656629,SS,4,0,1,1,0,0,0,0,0,1,2,.226,.290,.333,.623,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,,,,0.614,,0.272,0.04,0.074,-0.71,,,-1.5,-0.94,0.15,95.2,,88.7,,84.8,80.6,0.244,0.462,0.264,,,,,,,0.258,0.516,0.27399999999999997,0.158,0.474,0.19399999999999998,0.133,0.3,0.33899999999999997,,,,,,,,,,,,,,,,,,
