date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,KC%,wKC/C,vKC
2023/09/23,4:10 PM.,TB,TOR,away,Dome.,72,641793,C,3,1,1,0,0,0,0,0,0,1,2,.200,.333,.229,.562,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,115.0,107.0,118.0,0.312,,0.192,0.397,,0.57,,-1.3,0.34,,94.1,,84.3,87.1,,0.26,0.44,0.22,,,,0.25,0.417,0.3,,,,0.268,0.415,0.281,,,,,,,,,,74.0,108.0,98.0,0.099,0.28,92.9,0.237,0.342,0.063,,,,,,
2023/09/17,1:38 PM.,BOS,TOR,home,Sunny.,68,601713,C,2,0,0,0,0,0,0,0,0,0,0,.188,.333,.219,.552,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,1.59,-0.09,94.6,88.4,84.8,85.8,79.4,0.214,0.44,0.247,0.215,0.4,0.313,0.114,0.182,0.43799999999999994,0.267,0.467,0.379,0.25,1.0,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/13,7:07 PM.,TEX,TOR,home,Partly Cloudy.,65,656756,C,0,0,0,0,0,0,0,0,0,0,0,.200,.351,.233,.584,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,,,,0.106,0.016,,,0.222,-0.68,-4.4,,,0.84,93.4,88.2,,,80.5,0.333,0.5,0.195,0.191,0.357,0.371,,,,0.417,0.667,0.31,,,,99.0,101.0,98.0,0.229,0.2,83.5,0.239,0.405,0.392,91.0,99.0,91.0,0.426,1.22,93.3,0.255,0.374,0.141,,,,,,
2023/09/12,7:07 PM.,TEX,TOR,home,Roof Closed.,68,453286,C,2,0,0,0,0,0,0,0,0,0,0,.200,.351,.233,.584,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,,,,0.463,0.104,,0.168,0.124,0.72,2.12,,-0.21,0.51,93.7,88.4,,84.0,75.4,0.255,0.458,0.23800000000000002,0.187,0.373,0.326,0.25,0.545,0.364,0.135,0.243,0.33299999999999996,,,,94.0,106.0,106.0,0.141,0.03,83.8,0.207,0.283,0.275,,,,,,,,,,,,,,,
2023/09/10,1:38 PM.,KC,TOR,home,Partly Cloudy.,70,666142,C,0,0,0,0,0,0,0,0,0,0,0,.214,.371,.250,.621,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,,,,108.0,100.0,100.0,126.0,114.0,125.0,89.0,92.0,87.0,,,,0.401,0.134,,0.104,,0.24,1.47,,2.79,,96.5,91.8,,86.6,,0.234,0.411,0.27899999999999997,0.194,0.306,0.295,0.18,0.2,0.4,0.27,0.378,0.23800000000000002,,,,90.0,97.0,103.0,0.237,2.84,86.6,0.152,0.192,0.344,,,,,,,,,,,,,0.124,-0.05,81.8
2023/09/08,7:07 PM.,KC,TOR,home,Cloudy.,68,676092,C,1,1,0,0,0,0,0,0,0,1,0,.214,.371,.250,.621,676092,collinsnider,Snider,Right,Collin Snider,KCR,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.169,0.296,0.395,,,,106.0,89.0,88.0,129.0,98.0,110.0,108.0,99.0,93.0,,,,0.106,0.15,,0.362,,5.8,0.09,,-0.49,,94.8,91.6,,84.1,,0.111,0.111,0.105,,,,0.273,0.818,0.222,0.214,0.286,0.138,,,,50.0,49.0,53.0,0.003,-3.64,90.2,,,,68.0,96.0,85.0,0.379,-4.06,95.8,0.485,0.667,0.085,,,,,,
2023/09/06,12:37 PM.,OAK,TOR,away,Sunny.,70,676664,C,0,0,0,0,0,0,0,0,2,0,0,.222,.382,.259,.641,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,,,,93.0,102.0,96.0,93.0,102.0,106.0,,,,,,,0.501,,,0.346,,-0.84,,,-0.06,,93.1,,,81.4,,0.256,0.478,0.217,,,,0.21,0.395,0.28300000000000003,,,,,,,83.0,100.0,102.0,0.151,0.36,84.1,0.277,0.438,0.225,,,,0.001,0.63,92.1,,,,,,,,,
2023/09/03,1:12 PM.,COL,TOR,away,Partly Cloudy.,86,502624,C,2,0,0,0,0,0,0,0,0,0,1,.222,.344,.259,.603,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,75.0,91.0,92.0,67.0,93.0,82.0,104.0,114.0,115.0,108.0,98.0,97.0,,,,0.312,0.263,,0.082,0.041,-2.17,0.63,,0.92,-4.22,93.3,89.2,,80.6,77.6,0.351,0.619,0.17300000000000001,0.3,0.9,0.125,0.172,0.172,0.24600000000000002,0.244,0.444,0.226,,,,71.0,106.0,104.0,0.229,2.14,83.9,0.163,0.25,0.287,70.0,96.0,82.0,0.073,-5.45,92.6,0.545,0.955,0.073,,,,,,
2023/09/02,6:10 PM.,COL,TOR,away,Cloudy.,95,621389,PR,0,0,0,0,0,0,0,0,0,0,0,.240,.367,.280,.647,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,66.0,98.0,98.0,,,,,,,170.0,99.0,85.0,,,,,0.165,,,0.064,,-2.26,,,-0.44,,83.7,,,78.9,,,,0.211,0.211,0.257,,,,0.348,0.652,0.184,,,,20.0,103.0,96.0,0.221,-1.35,79.9,0.371,0.486,0.207,69.0,104.0,84.0,0.55,-1.22,89.3,0.322,0.561,0.102,,,,,,
2023/06/25,1:38 PM.,OAK,TOR,home,Sunny.,77,665622,C,3,0,1,0,0,0,0,0,0,1,1,.240,.367,.280,.647,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,99.0,96.0,98.0,112.0,93.0,94.0,106.0,97.0,100.0,,,,,,,0.415,,,0.238,0.117,-0.35,,,-0.8,-0.73,96.1,,,85.3,79.6,0.272,0.494,0.121,0.146,0.366,0.308,0.233,0.456,0.484,,,,,,,84.0,86.0,90.0,0.087,1.25,87.3,0.256,0.282,0.304,117.0,96.0,96.0,0.142,-0.8,95.5,0.313,0.406,0.141,,,,,,
