date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,wFO/C,vFO,Stf+ FS,Loc+ FS,Pit+ FS
2023/05/27,6:16 PM.,CHC,CIN,away,Partly Cloudy.,64,592791,C,4,0,1,0,0,0,1,0,0,2,1,.157,.259,.157,.416,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,97.0,107.0,97.0,117.0,113.0,122.0,101.0,102.0,99.0,0.102,0.342,0.222,0.154,0.149,,0.031,-0.69,-0.32,0.9,0.75,-0.12,,-0.22,93.7,88.6,86.5,93.9,80.9,80.5,,0.198,0.349,0.2,0.261,0.553,0.204,0.311,0.521,0.27399999999999997,0.233,0.333,0.27399999999999997,0.296,0.394,0.133,0.28,0.44,0.106,,,,,,,,,,,,,,,
2023/05/26,1:20 PM.,CHC,CIN,away,Sunny.,59,657006,C,4,1,1,0,0,0,2,0,0,2,3,.149,.259,.149,.408,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,0.018,0.626,,0.339,0.006,,0.01,0.67,,0.89,0.54,2.44,,-1.94,91.8,,87.5,92.2,83.3,80.7,,0.0,0.0,0.33299999999999996,0.275,0.393,0.203,,,,0.217,0.346,0.311,0.25,0.333,0.16699999999999998,0.4,0.4,0.1,,,,,,,,,,,,,,,
2023/05/22,6:41 PM.,STL,CIN,home,Partly Cloudy.,77,656756,C,3,0,0,0,0,0,0,0,0,1,2,.140,.260,.140,.400,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,101.0,102.0,87.0,0.426,0.106,0.016,,0.222,,0.229,-0.68,-4.4,1.22,,0.84,,0.2,93.4,88.2,83.5,93.3,,80.5,,0.191,0.357,0.371,0.333,0.5,0.195,0.417,0.667,0.31,,,,0.255,0.374,0.141,0.239,0.405,0.392,,,,,,,,,,,,,,,
2023/05/20,4:11 PM.,NYY,CIN,home,Sunny.,71,666745,C,0,0,0,0,0,0,0,0,0,0,0,.150,.277,.150,.427,666745,jhonybrito,Brito,Right,Jhony Brito,NYY,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.399,0.134,0.347,0.424,87.0,104.0,106.0,,,,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,,,,0.327,0.166,,0.113,,0.104,0.29,-0.97,,1.05,0.17,,-1.87,0.5,95.8,,88.8,96.0,83.0,,80.4,0.348,0.696,0.188,0.167,0.5,0.179,,,,0.172,0.31,0.28,0.282,0.436,0.149,0.232,0.392,0.282,,,,,,,,,,,,,,,
2023/05/16,6:42 PM.,COL,CIN,away,Cloudy.,73,502624,C,2,0,0,0,0,0,0,0,1,0,1,.150,.277,.150,.427,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,108.0,98.0,97.0,0.073,0.312,0.263,0.082,0.041,,0.229,-2.17,0.63,-5.45,0.92,-4.22,,2.14,93.3,89.2,83.9,92.6,80.6,77.6,,0.3,0.9,0.125,0.351,0.619,0.17300000000000001,0.244,0.444,0.226,0.172,0.172,0.24600000000000002,0.545,0.955,0.073,0.163,0.25,0.287,,,,,,,,,,,,,,,
2023/05/13,1:12 PM.,MIA,CIN,away,Roof Closed.,72,645261,C,3,1,0,0,0,0,0,0,1,0,0,.158,.273,.158,.431,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022,,0.273,-0.27,,1.72,0.72,-0.52,,-0.43,98.0,,91.1,97.6,89.9,86.1,,0.308,0.308,0.182,0.253,0.448,0.267,,,,0.227,0.364,0.35200000000000004,0.237,0.366,0.124,0.282,0.401,0.299,,,,,,,,,,,,,,,
2023/05/11,12:36 PM.,NYM,CIN,home,Partly Cloudy.,76,673540,C,3,0,0,0,0,0,0,0,0,2,2,.171,.275,.171,.446,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,93.0,95.0,93.0,,0.37,0.25,0.116,0.027,,,0.17,2.52,,-0.96,-0.23,,,95.7,90.8,,,82.7,72.8,,0.125,0.5,0.444,0.244,0.399,0.17300000000000001,0.244,0.339,0.182,0.333,0.952,0.245,,,,,,,,,,0.11,0.147,0.595,,,,0.237,0.95,83.2,,,
2023/05/09,6:41 PM.,NYM,CIN,home,Clear.,73,656849,C,0,0,0,0,0,0,0,0,0,0,0,.188,.297,.188,.485,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,0.253,0.273,,0.197,0.088,,0.189,-0.83,,0.66,-2.58,2.63,,-1.35,92.7,,85.3,91.5,85.3,78.6,,0.2,0.2,0.365,0.287,0.425,0.281,,,,0.268,0.472,0.39399999999999996,0.314,0.486,0.165,0.325,0.55,0.309,,,,,,,,,,,,,,,
2023/05/07,4:11 PM.,CWS,CIN,home,Cloudy.,77,656629,1B,2,0,0,0,0,0,0,0,0,0,3,.188,.297,.188,.485,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,,,,0.614,,0.272,0.04,,0.074,-0.71,,,-1.5,-0.94,,0.15,95.2,,88.7,,84.8,80.6,,0.158,0.474,0.19399999999999998,0.244,0.462,0.264,,,,0.258,0.516,0.27399999999999997,,,,0.133,0.3,0.33899999999999997,,,,,,,,,,,,,,,
2023/05/06,6:41 PM.,CWS,CIN,home,Partly Cloudy.,76,605182,C,3,1,1,0,0,0,0,0,0,2,1,.200,.314,.200,.514,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,90.0,100.0,100.0,0.024,0.479,0.082,0.271,0.016,,0.128,-0.21,-0.07,1.47,0.5,0.55,,1.69,94.3,84.9,86.1,93.1,79.4,76.0,,0.167,0.167,0.2,0.283,0.494,0.174,0.256,0.395,0.264,0.203,0.366,0.306,0.2,0.2,0.2,0.175,0.206,0.293,,,,,,,,,,,,,,,
